TF_ID	Gene_ID	Family
MELO3C012217P1	MELO3C012217	RAV
MELO3C003002P1	MELO3C003002	RAV
MELO3C015667P1	MELO3C015667	RAV
MELO3C010235P1	MELO3C010235	RAV
MELO3C000030P1	MELO3C000030	WRKY
MELO3C000068P1	MELO3C000068	LBD
MELO3C000076P1	MELO3C000076	LBD
MELO3C000087P1	MELO3C000087	YABBY
MELO3C000099P1	MELO3C000099	ZF-HD
MELO3C000201P1	MELO3C000201	Dof
MELO3C000615P1	MELO3C000615	Trihelix
MELO3C000922P1	MELO3C000922	NAC
MELO3C001959P1	MELO3C001959	NAC
MELO3C001968P1	MELO3C001968	bHLH
MELO3C001972P1	MELO3C001972	TCP
MELO3C001982P1	MELO3C001982	ZF-HD
MELO3C001987P1	MELO3C001987	Dof
MELO3C001996P1	MELO3C001996	NAC
MELO3C002012P1	MELO3C002012	bHLH
MELO3C002012P2	MELO3C002012	bHLH
MELO3C002038P1	MELO3C002038	TCP
MELO3C002048P1	MELO3C002048	SBP
MELO3C002055P1	MELO3C002055	Dof
MELO3C002057P1	MELO3C002057	bHLH
MELO3C002057P2	MELO3C002057	bHLH
MELO3C002057P3	MELO3C002057	bHLH
MELO3C002059P1	MELO3C002059	bZIP
MELO3C002076P1	MELO3C002076	TCP
MELO3C002089P1	MELO3C002089	bHLH
MELO3C002089P2	MELO3C002089	bHLH
MELO3C002148P1	MELO3C002148	NF-X1
MELO3C002157P1	MELO3C002157	ZF-HD
MELO3C002197P1	MELO3C002197	bHLH
MELO3C002202P1	MELO3C002202	WRKY
MELO3C002236P1	MELO3C002236	E2F/DP
MELO3C002236P2	MELO3C002236	E2F/DP
MELO3C002236P3	MELO3C002236	E2F/DP
MELO3C002264P1	MELO3C002264	Dof
MELO3C002290P1	MELO3C002290	LBD
MELO3C002370P1	MELO3C002370	SBP
MELO3C002383P1	MELO3C002383	bHLH
MELO3C002385P1	MELO3C002385	bHLH
MELO3C002385P2	MELO3C002385	bHLH
MELO3C002507P1	MELO3C002507	bHLH
MELO3C002522P1	MELO3C002522	bHLH
MELO3C002573P1	MELO3C002573	NAC
MELO3C002608P1	MELO3C002608	bHLH
MELO3C002608P2	MELO3C002608	bHLH
MELO3C002608P3	MELO3C002608	bHLH
MELO3C002608P4	MELO3C002608	bHLH
MELO3C002616P1	MELO3C002616	Dof
MELO3C002617P1	MELO3C002617	Dof
MELO3C002618P1	MELO3C002618	SBP
MELO3C002618P2	MELO3C002618	SBP
MELO3C002628P1	MELO3C002628	NAC
MELO3C002636P1	MELO3C002636	TCP
MELO3C002644P1	MELO3C002644	bHLH
MELO3C002649P1	MELO3C002649	Dof
MELO3C002654P1	MELO3C002654	Trihelix
MELO3C002675P1	MELO3C002675	WRKY
MELO3C002679P1	MELO3C002679	HSF
MELO3C002681P1	MELO3C002681	BES1
MELO3C002754P1	MELO3C002754	TCP
MELO3C002870P1	MELO3C002870	bHLH
MELO3C002875P1	MELO3C002875	WRKY
MELO3C003121P1	MELO3C003121	Dof
MELO3C003140P1	MELO3C003140	WRKY
MELO3C003208P1	MELO3C003208	CAMTA
MELO3C003390P1	MELO3C003390	NAC
MELO3C003390P2	MELO3C003390	NAC
MELO3C003412P1	MELO3C003412	bHLH
MELO3C003421P1	MELO3C003421	bHLH
MELO3C003443P1	MELO3C003443	bZIP
MELO3C003466P1	MELO3C003466	GATA
MELO3C003492P1	MELO3C003492	bHLH
MELO3C003604P1	MELO3C003604	Trihelix
MELO3C003622P1	MELO3C003622	WRKY
MELO3C003686P1	MELO3C003686	bZIP
MELO3C003686P2	MELO3C003686	bZIP
MELO3C003686P3	MELO3C003686	bZIP
MELO3C003781P1	MELO3C003781	SRS
MELO3C003794P1	MELO3C003794	bZIP
MELO3C003797P2	MELO3C003797	bHLH
MELO3C003797P3	MELO3C003797	bHLH
MELO3C003968P1	MELO3C003968	bHLH
MELO3C003968P2	MELO3C003968	bHLH
MELO3C003968P3	MELO3C003968	bHLH
MELO3C003968P4	MELO3C003968	bHLH
MELO3C003968P5	MELO3C003968	bHLH
MELO3C004148P1	MELO3C004148	bHLH
MELO3C004148P2	MELO3C004148	bHLH
MELO3C004287P1	MELO3C004287	bHLH
MELO3C004359P1	MELO3C004359	GeBP
MELO3C004378P1	MELO3C004378	bZIP
MELO3C004429P1	MELO3C004429	bHLH
MELO3C004493P1	MELO3C004493	YABBY
MELO3C004493P2	MELO3C004493	YABBY
MELO3C004493P3	MELO3C004493	YABBY
MELO3C004493P4	MELO3C004493	YABBY
MELO3C004556P1	MELO3C004556	HSF
MELO3C004566P1	MELO3C004566	CPP
MELO3C004604P1	MELO3C004604	NAC
MELO3C004627P1	MELO3C004627	bHLH
MELO3C004630P1	MELO3C004630	HSF
MELO3C004694P1	MELO3C004694	NAC
MELO3C004728P1	MELO3C004728	bZIP
MELO3C004728P2	MELO3C004728	bZIP
MELO3C004728P3	MELO3C004728	bZIP
MELO3C005009P1	MELO3C005009	LBD
MELO3C005013P1	MELO3C005013	LBD
MELO3C005173P1	MELO3C005173	bZIP
MELO3C005178P1	MELO3C005178	bHLH
MELO3C005178P2	MELO3C005178	bHLH
MELO3C005178P3	MELO3C005178	bHLH
MELO3C005238P1	MELO3C005238	BBR-BPC
MELO3C005239P1	MELO3C005239	BBR-BPC
MELO3C005298P1	MELO3C005298	GRAS
MELO3C005358P1	MELO3C005358	TCP
MELO3C005563P1	MELO3C005563	NAC
MELO3C005610P1	MELO3C005610	bHLH
MELO3C005610P2	MELO3C005610	bHLH
MELO3C005639P1	MELO3C005639	HSF
MELO3C005774P1	MELO3C005774	Dof
MELO3C005791P1	MELO3C005791	NAC
MELO3C005815P1	MELO3C005815	Trihelix
MELO3C005815P2	MELO3C005815	Trihelix
MELO3C005815P3	MELO3C005815	Trihelix
MELO3C005834P1	MELO3C005834	GRAS
MELO3C005843P1	MELO3C005843	WRKY
MELO3C005902P1	MELO3C005902	Dof
MELO3C005928P1	MELO3C005928	bHLH
