TF_ID	Gene_ID	Family
Araha.43210s0001.1.p	Araha.43210s0001	RAV
Araha.12794s0001.1.p	Araha.12794s0001	RAV
Araha.7962s0007.1.p	Araha.7962s0007	RAV
Araha.0018s0007.1.p	Araha.0018s0007	LBD
Araha.0018s0008.1.p	Araha.0018s0008	LBD
Araha.0018s0011.1.p	Araha.0018s0011	VOZ
Araha.0018s0016.1.p	Araha.0018s0016	bZIP
Araha.0018s0031.1.p	Araha.0018s0031	bHLH
Araha.0027s0004.1.p	Araha.0027s0004	WRKY
Araha.0028s0010.1.p	Araha.0028s0010	NF-YC
Araha.0049s0014.1.p	Araha.0049s0014	LBD
Araha.0070s0003.1.p	Araha.0070s0003	NAC
Araha.0091s0008.1.p	Araha.0091s0008	GeBP
Araha.0097s0005.1.p	Araha.0097s0005	bZIP
Araha.0118s0003.1.p	Araha.0118s0003	bHLH
Araha.0121s0001.1.p	Araha.0121s0001	Trihelix
Araha.0122s0004.1.p	Araha.0122s0004	Trihelix
Araha.0129s0005.1.p	Araha.0129s0005	NAC
Araha.0173s0001.1.p	Araha.0173s0001	bHLH
Araha.0173s0015.1.p	Araha.0173s0015	bHLH
Araha.0173s0016.1.p	Araha.0173s0016	NAC
Araha.0299s0007.1.p	Araha.0299s0007	NAC
Araha.0305s0002.1.p	Araha.0305s0002	CPP
Araha.0321s0007.1.p	Araha.0321s0007	FAR1
Araha.0323s0001.1.p	Araha.0323s0001	WRKY
Araha.0323s0004.1.p	Araha.0323s0004	bHLH
Araha.0330s0004.1.p	Araha.0330s0004	E2F/DP
Araha.0399s0001.1.p	Araha.0399s0001	LBD
Araha.0425s0007.1.p	Araha.0425s0007	YABBY
Araha.0425s0020.1.p	Araha.0425s0020	bZIP
Araha.0439s0001.1.p	Araha.0439s0001	GRAS
Araha.0439s0002.1.p	Araha.0439s0002	GRAS
Araha.0473s0001.1.p	Araha.0473s0001	Nin-like
Araha.0473s0001.2.p	Araha.0473s0001	Nin-like
Araha.0490s0001.1.p	Araha.0490s0001	HSF
Araha.0550s0015.1.p	Araha.0550s0015	bHLH
Araha.0626s0002.1.p	Araha.0626s0002	GRAS
Araha.0632s0002.1.p	Araha.0632s0002	bHLH
Araha.0632s0023.1.p	Araha.0632s0023	GeBP
Araha.0644s0001.1.p	Araha.0644s0001	bZIP
Araha.0650s0016.1.p	Araha.0650s0016	NAC
Araha.0665s0005.1.p	Araha.0665s0005	SBP
Araha.0676s0001.1.p	Araha.0676s0001	WRKY
Araha.0689s0002.1.p	Araha.0689s0002	Nin-like
Araha.0689s0002.2.p	Araha.0689s0002	Nin-like
Araha.0689s0013.1.p	Araha.0689s0013	FAR1
