TF_ID	Gene_ID	Family
Aco012003.1	Aco012003	RAV
Aco006706.1	Aco006706	RAV
Aco000007.1	Aco000007	E2F/DP
Aco000069.1	Aco000069	WRKY
Aco000179.1	Aco000179	bHLH
Aco000186.1	Aco000186	bHLH
Aco000199.1	Aco000199	GATA
Aco000272.1	Aco000272	bHLH
Aco000305.1	Aco000305	VOZ
Aco000307.1	Aco000307	NAC
Aco000358.1	Aco000358	WRKY
Aco000364.1	Aco000364	NAC
Aco000392.1	Aco000392	BES1
Aco000436.1	Aco000436	WRKY
Aco000440.1	Aco000440	NF-YC
Aco000448.1	Aco000448	FAR1
Aco000510.1	Aco000510	GRAS
Aco000547.1	Aco000547	WRKY
Aco000605.1	Aco000605	bHLH
Aco000611.1	Aco000611	NF-YC
Aco000670.1	Aco000670	GATA
Aco000696.1	Aco000696	SBP
Aco000726.1	Aco000726	SBP
Aco000744.1	Aco000744	NAC
Aco000773.1	Aco000773	bHLH
Aco000831.1	Aco000831	WRKY
Aco000852.1	Aco000852	NF-YC
Aco000890.1	Aco000890	NF-YB
Aco000904.1	Aco000904	bHLH
Aco000913.1	Aco000913	bHLH
Aco000921.1	Aco000921	bZIP
Aco000996.1	Aco000996	E2F/DP
Aco001064.1	Aco001064	bZIP
Aco001074.1	Aco001074	bHLH
Aco001109.1	Aco001109	NAC
Aco001114.1	Aco001114	ZF-HD
Aco001133.1	Aco001133	bHLH
Aco001136.1	Aco001136	bHLH
Aco001160.1	Aco001160	NF-YB
Aco001167.1	Aco001167	bZIP
Aco001232.1	Aco001232	Trihelix
Aco001255.1	Aco001255	bHLH
Aco001263.1	Aco001263	ZF-HD
Aco001282.1	Aco001282	bHLH
Aco001320.1	Aco001320	HSF
Aco001326.1	Aco001326	bZIP
Aco001331.1	Aco001331	bHLH
Aco001332.1	Aco001332	HSF
Aco001346.1	Aco001346	GeBP
Aco001352.1	Aco001352	WRKY
Aco001456.1	Aco001456	Dof
Aco001562.1	Aco001562	Trihelix
Aco001636.1	Aco001636	bZIP
Aco001643.1	Aco001643	WRKY
Aco001674.1	Aco001674	NAC
Aco001684.1	Aco001684	Dof
Aco001697.1	Aco001697	EIL
Aco001707.1	Aco001707	bZIP
Aco001737.1	Aco001737	bZIP
Aco001785.1	Aco001785	bZIP
Aco001948.1	Aco001948	FAR1
Aco002066.1	Aco002066	NAC
Aco002068.1	Aco002068	NAC
Aco002115.1	Aco002115	GRAS
Aco002151.1	Aco002151	bHLH
Aco002163.1	Aco002163	CPP
Aco002181.1	Aco002181	LBD
Aco002202.1	Aco002202	YABBY
Aco002210.1	Aco002210	NF-YA
Aco002220.1	Aco002220	BES1
Aco002225.1	Aco002225	bHLH
Aco002246.1	Aco002246	bHLH
Aco002292.1	Aco002292	TCP
Aco002298.1	Aco002298	NF-YB
Aco002301.1	Aco002301	SAP
Aco002322.1	Aco002322	Trihelix
Aco002326.1	Aco002326	SRS
Aco002333.1	Aco002333	bHLH
Aco002370.1	Aco002370	GRAS
Aco002371.1	Aco002371	GRAS
Aco002436.1	Aco002436	NF-YB
Aco002544.1	Aco002544	bZIP
Aco002567.1	Aco002567	WRKY
Aco002597.1	Aco002597	FAR1
Aco002637.1	Aco002637	ZF-HD
Aco002684.1	Aco002684	HSF
Aco002688.1	Aco002688	HSF
Aco002750.1	Aco002750	ZF-HD
Aco002862.1	Aco002862	bHLH
Aco002878.1	Aco002878	NAC
Aco002883.1	Aco002883	Nin-like
Aco002964.1	Aco002964	NF-X1
Aco003015.1	Aco003015	NAC
Aco003020.1	Aco003020	TCP
Aco003049.1	Aco003049	bZIP
Aco003064.1	Aco003064	bHLH
Aco003073.1	Aco003073	NF-YB
Aco003074.1	Aco003074	NF-YB
Aco003106.1	Aco003106	NF-YC
Aco003120.1	Aco003120	WRKY
Aco003149.1	Aco003149	bHLH
Aco003174.1	Aco003174	GRAS
Aco003175.1	Aco003175	bZIP
Aco003181.1	Aco003181	Trihelix
Aco003204.1	Aco003204	bHLH
Aco003270.1	Aco003270	ZF-HD
Aco003302.1	Aco003302	NAC
Aco003359.1	Aco003359	Whirly
Aco003398.1	Aco003398	ZF-HD
Aco003445.1	Aco003445	Nin-like
Aco003467.1	Aco003467	Nin-like
Aco003514.1	Aco003514	Trihelix
Aco003613.1	Aco003613	bHLH
Aco003626.1	Aco003626	NAC
Aco003635.1	Aco003635	GRAS
Aco003657.1	Aco003657	NF-YC
Aco003668.1	Aco003668	SBP
Aco003674.1	Aco003674	WRKY
Aco003723.1	Aco003723	Nin-like
Aco003738.1	Aco003738	WRKY
Aco003739.1	Aco003739	GRAS
Aco003778.1	Aco003778	BES1
Aco003781.1	Aco003781	NAC
Aco003842.1	Aco003842	WRKY
Aco003917.1	Aco003917	YABBY
Aco003945.1	Aco003945	NF-YA
Aco003961.1	Aco003961	GRAS
Aco004054.1	Aco004054	bHLH
Aco004092.1	Aco004092	LBD
Aco004136.1	Aco004136	bHLH
Aco004138.1	Aco004138	bHLH
Aco004337.1	Aco004337	bZIP
Aco004364.1	Aco004364	NAC
Aco004377.1	Aco004377	bHLH
Aco004459.1	Aco004459	Nin-like
Aco004559.1	Aco004559	bHLH
Aco004608.1	Aco004608	SBP
Aco004632.1	Aco004632	NAC
Aco004647.1	Aco004647	bHLH
Aco004673.1	Aco004673	GRAS
Aco004686.1	Aco004686	bHLH
Aco004737.1	Aco004737	FAR1
Aco004776.1	Aco004776	NAC
Aco004910.1	Aco004910	LBD
Aco004914.1	Aco004914	bHLH
Aco004921.1	Aco004921	LBD
Aco004929.1	Aco004929	Dof
Aco004970.1	Aco004970	bZIP
Aco005017.1	Aco005017	Trihelix
Aco005019.1	Aco005019	NAC
Aco005023.1	Aco005023	LBD
Aco005024.1	Aco005024	FAR1
Aco005059.1	Aco005059	NAC
Aco005083.1	Aco005083	NF-YA
Aco005128.1	Aco005128	NF-YA
Aco005138.1	Aco005138	YABBY
Aco005182.1	Aco005182	GATA
Aco005184.1	Aco005184	WRKY
Aco005205.1	Aco005205	CPP
Aco005206.1	Aco005206	CPP
Aco005226.1	Aco005226	bZIP
Aco005240.1	Aco005240	WRKY
Aco005263.1	Aco005263	SRS
Aco005280.1	Aco005280	GATA
Aco005321.1	Aco005321	VOZ
Aco005341.1	Aco005341	WRKY
Aco005342.1	Aco005342	bHLH
Aco005374.1	Aco005374	ZF-HD
Aco005381.1	Aco005381	GATA
Aco005438.1	Aco005438	GATA
Aco005452.1	Aco005452	GRAS
Aco005453.1	Aco005453	GRAS
Aco005454.1	Aco005454	GRAS
Aco005495.1	Aco005495	NF-YB
Aco005520.1	Aco005520	WRKY
Aco005538.1	Aco005538	bZIP
Aco005568.1	Aco005568	WRKY
Aco005573.1	Aco005573	HSF
Aco005587.1	Aco005587	WRKY
Aco005592.1	Aco005592	HSF
Aco005593.1	Aco005593	BES1
Aco005686.1	Aco005686	Trihelix
Aco005719.1	Aco005719	WRKY
Aco005745.1	Aco005745	GATA
Aco005756.1	Aco005756	LBD
Aco005770.1	Aco005770	bHLH
Aco005792.1	Aco005792	Nin-like
Aco005835.1	Aco005835	Nin-like
Aco005839.1	Aco005839	bHLH
Aco005862.1	Aco005862	HSF
Aco005872.1	Aco005872	bHLH
Aco005897.1	Aco005897	WRKY
Aco005906.1	Aco005906	WRKY
Aco005995.1	Aco005995	GATA
Aco006038.1	Aco006038	WRKY
Aco006046.1	Aco006046	HSF
Aco006054.1	Aco006054	WRKY
