TF_ID	Gene_ID	Family
119524	eugene1.1.0200012465	Nin-like
119601	eugene1.1.0200013330	E2F/DP
14167	fgenesh1_pg.C_Chr_2000110	GATA
15409	fgenesh1_pg.C_Chr_5000161	GATA
15490	fgenesh1_pg.C_Chr_5000242	YABBY
19031	fgenesh1_pg.C_Chr_20000123	NF-YC
24740	estExt_fgenesh1_pg.C_Chr_70009	Nin-like
24922	estExt_fgenesh1_pg.C_Chr_80112	Dof
25091	estExt_fgenesh1_pg.C_Chr_90297	CPP
25644	estExt_fgenesh1_pg.C_Chr_160021	GATA
26252	eugene.1000010286	CAMTA
26580	eugene.1100010253	WRKY
27099	eugene.1300010121	bZIP
28580	eugene.1900010066	GATA
29020	eugene.0100010414	bZIP
29323	eugene.2000010029	NF-YA
29489	eugene.2000010195	Nin-like
29509	eugene.2000010215	bHLH
29862	eugene.0200010049	Nin-like
30146	eugene.0200010333	E2F/DP
30438	eugene.0300010114	GATA
30605	eugene.0300010281	bZIP
30638	eugene.0300010314	bZIP
31702	eugene.0500010239	Nin-like
32448	eugene.0700010045	bZIP
32466	eugene.0700010063	GATA
32750	eugene.0700010347	GATA
32755	eugene.0700010352	NF-YB
32832	eugene.0700010429	bZIP
34929	e_gwEuk.9.601.1	NF-YC
35958	e_gwEuk.2.547.1	NF-YB
38105	e_gwEuk.10.287.1	E2F/DP
42308	e_gwEuk.19.94.1	CPP
42726	e_gwEuk.8.148.1	E2F/DP
7962	gwEuk.11.390.1	NF-YC
8400	gwEuk.16.280.1	Whirly
8561	gwEuk.19.100.1	HSF
8911	gwEuk.4.591.1	NF-YB
93058	ost_07_016_033	GATA
93136	ost_08_010_039	WRKY
9704	gwEuk.4.653.1	Dof
9763	gwEuk.4.656.1	bZIP
34044	e_gwEuk.3.609.1	AP2
9185	gwEuk.8.504.1	AP2
30700	eugene.0300010376	AP2
17981	fgenesh1_pg.C_Chr_14000027	ERF
23938	estExt_fgenesh1_pg.C_Chr_10369	ERF
9011	gwEuk.20.448.1	ERF
9237	gwEuk.4.617.1	ERF
93618	ost_13_009_028	ERF
94161	ost_21_006_044	ERF
33434	eugene.0900010138	CO-like
37312	e_gwEuk.4.304.1	CO-like
5500	gwEuk.1.479.1	ARR-B
26838	eugene.1200010183	G2-like
26932	eugene.1200010277	G2-like
32976	eugene.0800010102	G2-like
29140	eugene.0100010534	M-type_MADS
15538	fgenesh1_pg.C_Chr_5000290	HB-other
18758	fgenesh1_pg.C_Chr_17000134	HB-other
27999	eugene.1600010055	HB-other
33640	eugene.0900010344	HB-other
27102	eugene.1300010124	WOX
5313	gwEuk.4.361.1	TALE
89717	ost_20_007_029	HB-PHD
10510	gwEuk.5.648.1	C3H
14398	fgenesh1_pg.C_Chr_2000341	C2H2
16521	fgenesh1_pg.C_Chr_8000208	C2H2
16547	fgenesh1_pg.C_Chr_8000234	C2H2
24295	estExt_fgenesh1_pg.C_Chr_30371	C2H2
24342	estExt_fgenesh1_pg.C_Chr_40023	C3H
24522	estExt_fgenesh1_pg.C_Chr_50096	C3H
26956	eugene.1200010301	C2H2
27930	eugene.1500010252	C3H
29103	eugene.0100010497	LSD
30295	eugene.0200010482	C3H
30343	eugene.0300010019	C3H
31349	eugene.0400010425	C3H
31465	eugene.0500010002	C3H
32335	eugene.0600010394	C3H
48805	estExt_Genewise_ext.C_Chr_20463	C3H
5242	gwEuk.12.222.1	C3H
86070	ost_01_008_087	C3H
87137	ost_04_023_026	C2H2
92497	ost_03_020_039	C3H
93380	ost_10_014_053	C2H2
93911	ost_17_001_063	C3H
9818	gwEuk.3.753.1	C3H
25549	estExt_fgenesh1_pg.C_Chr_140220	MYB
27356	eugene.1400010071	MYB
31513	eugene.0500010050	MYB
34891	e_gwEuk.9.410.1	MYB
40769	e_gwEuk.15.293.1	MYB
41981	e_gwEuk.17.213.1	MYB
43387	e_gwEuk.14.429.1	MYB
47583	estExt_GenewiseEukaryote.C_Chr_140435	MYB
8749	gwEuk.10.443.1	MYB
9404	gwEuk.13.411.1	MYB
9540	gwEuk.5.576.1	MYB
13931	fgenesh1_pg.C_Chr_1000391	MYB_related
17449	fgenesh1_pg.C_Chr_11000251	MYB_related
23972	estExt_fgenesh1_pg.C_Chr_10464	MYB_related
24137	estExt_fgenesh1_pg.C_Chr_20302	MYB_related
27049	eugene.1300010071	MYB_related
30413	eugene.0300010089	MYB_related
30541	eugene.0300010217	MYB_related
32661	eugene.0700010258	MYB_related
5960	gwEuk.6.396.1	MYB_related
6612	gwEuk.4.447.1	MYB_related
8087	gwEuk.3.624.1	MYB_related
9264	gwEuk.18.58.1	MYB_related
93535	ost_12_007_088	MYB_related
9418	gwEuk.6.620.1	MYB_related
9737	gwEuk.5.591.1	MYB_related
