TF_ID	Gene_ID	Family
Gh_D02G1153	Gh_D02G1153	RAV
Gh_A03G0840	Gh_A03G0840	RAV
Gh_A12G1554	Gh_A12G1554	RAV
Gh_D13G0717	Gh_D13G0717	RAV
Gh_A13G2131	Gh_A13G2131	RAV
Gh_D13G1855	Gh_D13G1855	RAV
Gh_A13G1522	Gh_A13G1522	RAV
Gh_A13G1853	Gh_A13G1853	RAV
Gh_A05G0119	Gh_A05G0119	RAV
Gh_A13G1524	Gh_A13G1524	RAV
Gh_D13G2241	Gh_D13G2241	RAV
Gh_D13G1853	Gh_D13G1853	RAV
Gh_D05G0181	Gh_D05G0181	RAV
Gh_D05G0182	Gh_D05G0182	RAV
Gh_A12G1951	Gh_A12G1951	RAV
Gh_D12G2131	Gh_D12G2131	RAV
Gh_D08G0157	Gh_D08G0157	RAV
Gh_A01G0013	Gh_A01G0013	NAC
Gh_A01G0024	Gh_A01G0024	bZIP
Gh_A01G0073	Gh_A01G0073	NAC
Gh_A01G0131	Gh_A01G0131	NAC
Gh_A01G0151	Gh_A01G0151	Trihelix
Gh_A01G0219	Gh_A01G0219	GATA
Gh_A01G0250	Gh_A01G0250	NAC
Gh_A01G0267	Gh_A01G0267	NAC
Gh_A01G0277	Gh_A01G0277	GeBP
Gh_A01G0298	Gh_A01G0298	NAC
Gh_A01G0360	Gh_A01G0360	BES1
Gh_A01G0376	Gh_A01G0376	YABBY
Gh_A01G0414	Gh_A01G0414	TCP
Gh_A01G0419	Gh_A01G0419	bZIP
Gh_A01G0440	Gh_A01G0440	NAC
Gh_A01G0447	Gh_A01G0447	SBP
Gh_A01G0497	Gh_A01G0497	NAC
Gh_A01G0529	Gh_A01G0529	NZZ/SPL
Gh_A01G0544	Gh_A01G0544	bHLH
Gh_A01G0556	Gh_A01G0556	GRAS
Gh_A01G0566	Gh_A01G0566	bHLH
Gh_A01G0639	Gh_A01G0639	WRKY
Gh_A01G0681	Gh_A01G0681	WRKY
Gh_A01G0682	Gh_A01G0682	GRAS
Gh_A01G0712	Gh_A01G0712	NF-YB
Gh_A01G0756	Gh_A01G0756	LBD
Gh_A01G0772	Gh_A01G0772	bHLH
Gh_A01G0795	Gh_A01G0795	GRAS
Gh_A01G0796	Gh_A01G0796	NF-YC
Gh_A01G0806	Gh_A01G0806	NAC
Gh_A01G0812	Gh_A01G0812	SBP
Gh_A01G0819	Gh_A01G0819	NAC
Gh_A01G0844	Gh_A01G0844	Nin-like
