TF_ID	Gene_ID	Family
Ote100218520011	Ote100218520011	RAV
Ote100092620021	Ote100092620021	RAV
Ote100001190021	Ote100001190021	CPP
Ote100001190031	Ote100001190031	CPP
Ote100001760011	Ote100001760011	NF-YB
Ote100001860041	Ote100001860041	NAC
Ote100001860042	Ote100001860042	NAC
Ote100002730131	Ote100002730131	bHLH
Ote100002990061	Ote100002990061	HSF
Ote100003020021	Ote100003020021	bHLH
Ote100003020041	Ote100003020041	bHLH
Ote100003460061	Ote100003460061	NAC
Ote100003460071	Ote100003460071	NAC
Ote100003900031	Ote100003900031	bHLH
Ote100004080051	Ote100004080051	CPP
Ote100004440121	Ote100004440121	NAC
Ote100004440122	Ote100004440122	NAC
Ote100005190011	Ote100005190011	HSF
Ote100005370051	Ote100005370051	NAC
Ote100005680061	Ote100005680061	GRAS
Ote100006200011	Ote100006200011	bZIP
Ote100006200021	Ote100006200021	bZIP
Ote100006770211	Ote100006770211	NAC
Ote100006840031	Ote100006840031	WRKY
Ote100007110101	Ote100007110101	LBD
Ote100008140071	Ote100008140071	GRAS
Ote100008310011	Ote100008310011	bZIP
Ote100008310041	Ote100008310041	bZIP
Ote100008900001	Ote100008900001	bHLH
Ote100009080031	Ote100009080031	bZIP
Ote100009080051	Ote100009080051	bZIP
Ote100009200061	Ote100009200061	SRS
Ote100009260051	Ote100009260051	bZIP
Ote100009440121	Ote100009440121	YABBY
Ote100009660061	Ote100009660061	NAC
Ote100009660062	Ote100009660062	NAC
Ote100009830031	Ote100009830031	NAC
Ote100010270081	Ote100010270081	GRAS
Ote100010730081	Ote100010730081	YABBY
Ote100011220121	Ote100011220121	LBD
Ote100011930021	Ote100011930021	bHLH
Ote100012360071	Ote100012360071	CAMTA
Ote100012360072	Ote100012360072	CAMTA
Ote100013230051	Ote100013230051	bZIP
Ote100013890081	Ote100013890081	LBD
Ote100014200001	Ote100014200001	FAR1
Ote100015150061	Ote100015150061	WRKY
Ote100015190091	Ote100015190091	Trihelix
Ote100015360061	Ote100015360061	GATA
Ote100015450041	Ote100015450041	ZF-HD
Ote100015450101	Ote100015450101	Nin-like
Ote100015450131	Ote100015450131	Nin-like
Ote100016140021	Ote100016140021	WRKY
Ote100017230051	Ote100017230051	BBR-BPC
Ote100017900131	Ote100017900131	NAC
Ote100018280011	Ote100018280011	bHLH
Ote100018490011	Ote100018490011	NAC
Ote100018490031	Ote100018490031	NAC
Ote100018500041	Ote100018500041	NAC
Ote100019360041	Ote100019360041	NAC
Ote100019360051	Ote100019360051	NAC
Ote100019640031	Ote100019640031	SBP
Ote100019660061	Ote100019660061	bZIP
Ote100020730111	Ote100020730111	CPP
Ote100020890021	Ote100020890021	Trihelix
Ote100020890031	Ote100020890031	Trihelix
Ote100021640121	Ote100021640121	bHLH
Ote100021710051	Ote100021710051	EIL
Ote100021820061	Ote100021820061	NAC
Ote100022120011	Ote100022120011	bZIP
Ote100022230071	Ote100022230071	bHLH
Ote100022490051	Ote100022490051	WRKY
Ote100022510011	Ote100022510011	Trihelix
Ote100022510021	Ote100022510021	Trihelix
Ote100022510041	Ote100022510041	Trihelix
Ote100022550201	Ote100022550201	GATA
Ote100022550211	Ote100022550211	HSF
Ote100022610011	Ote100022610011	NAC
Ote100023100011	Ote100023100011	WRKY
Ote100023350051	Ote100023350051	WRKY
Ote100023620061	Ote100023620061	bZIP
Ote100023860031	Ote100023860031	bHLH
Ote100023940121	Ote100023940121	LBD
Ote100023940131	Ote100023940131	bHLH
Ote100025110121	Ote100025110121	NAC
Ote100025110161	Ote100025110161	NAC
Ote100025190021	Ote100025190021	WRKY
Ote100025190022	Ote100025190022	WRKY
Ote100025380051	Ote100025380051	HSF
Ote100025990061	Ote100025990061	LBD
Ote100026100061	Ote100026100061	bHLH
Ote100026180021	Ote100026180021	FAR1
Ote100026930081	Ote100026930081	WRKY
Ote100027510021	Ote100027510021	NAC
Ote100027850021	Ote100027850021	SRS
Ote100027860091	Ote100027860091	bZIP
Ote100028310061	Ote100028310061	bZIP
Ote100028380031	Ote100028380031	bZIP
Ote100028410021	Ote100028410021	FAR1
Ote100028410101	Ote100028410101	FAR1
Ote100028510051	Ote100028510051	WRKY
Ote100028950011	Ote100028950011	bHLH
Ote100028950021	Ote100028950021	bHLH
Ote100029390001	Ote100029390001	GATA
Ote100029421111	Ote100029421111	bHLH
Ote100030700021	Ote100030700021	YABBY
Ote100030700031	Ote100030700031	YABBY
Ote100030740011	Ote100030740011	bHLH
Ote100031260021	Ote100031260021	Trihelix
Ote100031790061	Ote100031790061	WRKY
Ote100032270061	Ote100032270061	NF-X1
Ote100032390011	Ote100032390011	WRKY
Ote100032450011	Ote100032450011	GRAS
Ote100032450101	Ote100032450101	WRKY
Ote100032630141	Ote100032630141	GRAS
Ote100032630151	Ote100032630151	GRAS
Ote100032740001	Ote100032740001	LBD
Ote100032770031	Ote100032770031	GATA
Ote100032970041	Ote100032970041	S1Fa-like
Ote100033180101	Ote100033180101	FAR1
Ote100034100091	Ote100034100091	Dof
Ote100034290001	Ote100034290001	HSF
Ote100034300051	Ote100034300051	WRKY
Ote100034430051	Ote100034430051	WRKY
