TF_ID	Gene_ID	Family
11841	MicpuC2.gw1.1.1342.1	NF-YB
129362	gw1.3.110.1	GATA
133691	gw1.3.547.1	NF-YC
146852	gw1.8.1068.1	bZIP
147206	gw1.10.917.1	NF-YC
16466	MicpuC2.e_gw1.4.806.1	bZIP
187228	gm1.4349_g	NF-YB
189333	gm1.6454_g	bZIP
192534	estExt_Genemark1.C_1_t20353	bZIP
195658	estExt_Genemark1.C_150138	NF-YA
20274	MicpuC2.e_gw1.10.370.1	NF-YB
30105	MicpuC2.estExt_Genewise1.C_160078	Whirly
39370	MicpuC2.fgenesh1_pg.C_scaffold_4000277	GATA
39559	MicpuC2.fgenesh1_pg.C_scaffold_4000466	Nin-like
39571	MicpuC2.fgenesh1_pg.C_scaffold_4000478	Nin-like
40449	MicpuC2.fgenesh1_pg.C_scaffold_7000043	NF-YC
42504	MicpuC2.fgenesh1_pg.C_scaffold_13000154	Nin-like
43666	MicpuC2.fgenesh1_pg.C_scaffold_18000096	HSF
46781	MicpuC2.estExt_fgenesh1_pg.C_30376	Nin-like
46789	MicpuC2.estExt_fgenesh1_pg.C_30392	GATA
46920	MicpuC2.estExt_fgenesh1_pg.C_40022	bZIP
47201	MicpuC2.estExt_fgenesh1_pg.C_50039	GATA
47586	MicpuC2.estExt_fgenesh1_pg.C_60304	SBP
47661	MicpuC2.estExt_fgenesh1_pg.C_70084	bHLH
47798	MicpuC2.estExt_fgenesh1_pg.C_70349	bZIP
48162	MicpuC2.estExt_fgenesh1_pg.C_90307	HSF
48504	MicpuC2.estExt_fgenesh1_pg.C_120044	E2F/DP
48531	MicpuC2.estExt_fgenesh1_pg.C_120087	bZIP
48598	MicpuC2.estExt_fgenesh1_pg.C_120215	GATA
48763	MicpuC2.estExt_fgenesh1_pg.C_130266	HSF
50253	MicpuC2.EuGene.0000010477	WRKY
50291	MicpuC2.EuGene.0000010515	GATA
50595	MicpuC2.EuGene.0000010819	CAMTA
52743	MicpuC2.EuGene.0000130300	GATA
52944	MicpuC2.EuGene.0000140039	SBP
53007	MicpuC2.EuGene.0000140102	Nin-like
53335	MicpuC2.EuGene.0000150010	SBP
53433	MicpuC2.EuGene.0000150108	Nin-like
55664	MicpuC2.EuGene.0000020693	CPP
55764	MicpuC2.EuGene.0000020793	bHLH
55817	MicpuC2.EuGene.0000020846	E2F/DP
56004	MicpuC2.EuGene.0000030158	GATA
