TF_ID	Gene_ID	Family
Zjn_sc00011.1.g04110.1.sm.mk	Zjn_sc00011.1.g04110.1.sm.mk	RAV
Zjn_sc00027.1.g02710.1.sm.mk	Zjn_sc00027.1.g02710.1.sm.mk	RAV
Zjn_sc00024.1.g00990.1.am.mk	Zjn_sc00024.1.g00990.1.am.mk	RAV
Zjn_sc00005.1.g06240.1.am.mk	Zjn_sc00005.1.g06240.1.am.mk	RAV
Zjn_sc00012.1.g02500.1.am.mk	Zjn_sc00012.1.g02500.1.am.mk	RAV
Zjn_sc00005.1.g06230.1.am.mk	Zjn_sc00005.1.g06230.1.am.mk	RAV
Zjn_sc00001.1.g00340.1.am.mk	Zjn_sc00001.1.g00340.1.am.mk	bZIP
Zjn_sc00001.1.g00460.1.am.mkhc	Zjn_sc00001.1.g00460.1.am.mkhc	bZIP
Zjn_sc00001.1.g00520.1.sm.mk	Zjn_sc00001.1.g00520.1.sm.mk	EIL
Zjn_sc00001.1.g00610.1.sm.mkhc	Zjn_sc00001.1.g00610.1.sm.mkhc	NAC
Zjn_sc00001.1.g00620.1.sm.mk	Zjn_sc00001.1.g00620.1.sm.mk	NAC
Zjn_sc00001.1.g00630.1.sm.mk	Zjn_sc00001.1.g00630.1.sm.mk	NAC
Zjn_sc00001.1.g00840.1.am.mk	Zjn_sc00001.1.g00840.1.am.mk	WRKY
Zjn_sc00001.1.g02400.1.sm.mk	Zjn_sc00001.1.g02400.1.sm.mk	HSF
Zjn_sc00001.1.g03000.1.sm.mkhc	Zjn_sc00001.1.g03000.1.sm.mkhc	bHLH
Zjn_sc00001.1.g04030.1.sm.mkhc	Zjn_sc00001.1.g04030.1.sm.mkhc	NF-YA
Zjn_sc00001.1.g04140.1.am.mk	Zjn_sc00001.1.g04140.1.am.mk	NF-YB
Zjn_sc00001.1.g05030.1.am.mk	Zjn_sc00001.1.g05030.1.am.mk	GRAS
Zjn_sc00001.1.g05300.1.am.mk	Zjn_sc00001.1.g05300.1.am.mk	GRAS
Zjn_sc00001.1.g05780.1.sm.mk	Zjn_sc00001.1.g05780.1.sm.mk	BES1
Zjn_sc00001.1.g06450.1.am.mk	Zjn_sc00001.1.g06450.1.am.mk	GRAS
Zjn_sc00001.1.g06500.1.am.mk	Zjn_sc00001.1.g06500.1.am.mk	NAC
Zjn_sc00001.1.g06700.1.sm.mkhc	Zjn_sc00001.1.g06700.1.sm.mkhc	FAR1
Zjn_sc00001.1.g07600.1.es.mkhc	Zjn_sc00001.1.g07600.1.es.mkhc	GRAS
Zjn_sc00001.1.g08300.1.am.mk	Zjn_sc00001.1.g08300.1.am.mk	NAC
Zjn_sc00001.1.g08470.1.sm.mk	Zjn_sc00001.1.g08470.1.sm.mk	NAC
Zjn_sc00001.1.g08980.1.am.mk	Zjn_sc00001.1.g08980.1.am.mk	Dof
Zjn_sc00001.1.g09160.1.am.mk	Zjn_sc00001.1.g09160.1.am.mk	SBP
Zjn_sc00001.1.g09170.1.am.mk	Zjn_sc00001.1.g09170.1.am.mk	SBP
Zjn_sc00001.1.g09470.1.sm.mkhc	Zjn_sc00001.1.g09470.1.sm.mkhc	FAR1
Zjn_sc00001.1.g09690.1.sm.mkhc	Zjn_sc00001.1.g09690.1.sm.mkhc	CAMTA
Zjn_sc00001.1.g09710.1.am.mk	Zjn_sc00001.1.g09710.1.am.mk	NAC
Zjn_sc00001.1.g11180.1.am.mk	Zjn_sc00001.1.g11180.1.am.mk	NAC
Zjn_sc00001.1.g11200.1.am.mk	Zjn_sc00001.1.g11200.1.am.mk	NAC
Zjn_sc00002.1.g00090.1.sm.mkhc	Zjn_sc00002.1.g00090.1.sm.mkhc	bHLH
Zjn_sc00002.1.g00450.1.sm.mk	Zjn_sc00002.1.g00450.1.sm.mk	GeBP
Zjn_sc00002.1.g02180.1.am.mkhc	Zjn_sc00002.1.g02180.1.am.mkhc	bZIP
Zjn_sc00002.1.g02830.1.am.mk	Zjn_sc00002.1.g02830.1.am.mk	NAC
Zjn_sc00002.1.g02870.1.sm.mkhc	Zjn_sc00002.1.g02870.1.sm.mkhc	NAC
Zjn_sc00002.1.g03180.1.am.mk	Zjn_sc00002.1.g03180.1.am.mk	bZIP
Zjn_sc00002.1.g03230.1.sm.mkhc	Zjn_sc00002.1.g03230.1.sm.mkhc	WRKY
Zjn_sc00002.1.g04040.1.am.mk	Zjn_sc00002.1.g04040.1.am.mk	bZIP
Zjn_sc00002.1.g05450.1.am.mk	Zjn_sc00002.1.g05450.1.am.mk	LBD
Zjn_sc00002.1.g05520.1.sm.mk	Zjn_sc00002.1.g05520.1.sm.mk	Dof
Zjn_sc00002.1.g06270.1.am.mk	Zjn_sc00002.1.g06270.1.am.mk	Dof
Zjn_sc00002.1.g07190.1.sm.mk	Zjn_sc00002.1.g07190.1.sm.mk	GRAS
Zjn_sc00002.1.g07650.1.sm.mkhc	Zjn_sc00002.1.g07650.1.sm.mkhc	FAR1
Zjn_sc00002.1.g07690.1.am.mk	Zjn_sc00002.1.g07690.1.am.mk	FAR1
