TF_ID	Gene_ID	Family
XP_004514325.1	LOC101503485	RAV
XP_004496199.1	LOC101492303	RAV
XP_004497481.1	LOC101495119	RAV
NP_001266054.1	NAC2	NAC
NP_001266090.1	NAC1	NAC
NP_001287928.1	LOC101514947	bZIP
XP_004485421.1	LOC101493663	FAR1
XP_004485422.1	LOC101493663	FAR1
XP_004485466.1	LOC101506448	TCP
XP_004485547.1	LOC101504837	NAC
XP_004485582.1	LOC101514494	CAMTA
XP_004485583.1	LOC101514494	CAMTA
XP_004485645.1	LOC101506885	bHLH
XP_004485664.1	LOC101512869	GeBP
XP_004485676.1	LOC101489117	bHLH
XP_004485677.1	LOC101489117	bHLH
XP_004485768.1	LOC101491064	Dof
XP_004485800.1	LOC101500880	Dof
XP_004485801.1	LOC101501208	Dof
XP_004485802.1	LOC101501522	SBP
XP_004485893.1	LOC101502161	Dof
XP_004485895.1	LOC101503102	Trihelix
XP_004485928.1	LOC101513300	WRKY
XP_004485934.1	LOC101515265	HSF
XP_004486001.1	LOC101507434	TCP
XP_004486003.1	LOC101507434	TCP
XP_004486006.1	LOC101507434	TCP
XP_004486007.1	LOC101507434	TCP
XP_004486008.1	LOC101507434	TCP
XP_004486100.1	LOC101510406	FAR1
XP_004486145.1	LOC101496892	bHLH
XP_004486177.1	LOC101508161	WRKY
XP_004486310.1	LOC101502053	NF-YC
XP_004486330.1	LOC101512755	GRAS
XP_004486346.1	LOC101490518	NF-YB
XP_004486347.1	LOC101490841	Trihelix
XP_004486348.1	LOC101490841	Trihelix
XP_004486451.1	LOC101496019	NF-YA
XP_004486452.1	LOC101496019	NF-YA
XP_004486453.1	LOC101496019	NF-YA
XP_004486508.1	LOC101513524	WRKY
XP_004486612.1	LOC101496569	WRKY
XP_004486628.1	LOC101501528	bHLH
XP_004486629.1	LOC101501845	bHLH
XP_004486724.1	LOC101503981	Trihelix
XP_004486757.1	LOC101514717	bHLH
XP_004486891.1	LOC101501941	GRAS
XP_004486898.1	LOC101503774	bZIP
XP_004486899.1	LOC101503774	bZIP
XP_004486900.1	LOC101503774	bZIP
XP_004486914.1	LOC101507953	FAR1
XP_004486915.1	LOC101507953	FAR1
XP_004486917.1	LOC101509119	FAR1
XP_004486918.1	LOC101509119	FAR1
XP_004486935.1	LOC101514824	EIL
XP_004486946.1	LOC101490323	bHLH
XP_004486947.1	LOC101490641	FAR1
XP_004486956.1	LOC101493778	Trihelix
XP_004486993.1	LOC101504630	GRAS
XP_004487016.1	LOC101511165	Dof
XP_004487098.1	LOC101509222	GATA
XP_004487133.1	LOC101492252	NAC
XP_004487140.1	LOC101495045	Dof
XP_004487155.1	LOC101499726	Trihelix
XP_004487156.1	LOC101499726	Trihelix
XP_004487166.1	LOC101502999	bHLH
XP_004487176.1	LOC101506032	TCP
XP_004487177.1	LOC101506032	TCP
XP_004487178.1	LOC101506032	TCP
XP_004487179.1	LOC101506032	TCP
XP_004487180.1	LOC101506032	TCP
XP_004487182.1	LOC101507538	bZIP
XP_004487194.1	LOC101512115	NAC
XP_004487228.1	LOC101497115	bHLH
XP_004487250.1	LOC101508383	LBD
XP_004487362.1	LOC101490327	GRAS
XP_004487368.1	LOC101492123	bHLH
XP_004487384.1	LOC101498441	bHLH
XP_004487438.1	LOC101488802	YABBY
XP_004487439.1	LOC101488802	YABBY
XP_004487499.1	LOC101506893	bZIP
XP_004487500.2	LOC101507223	bZIP
XP_004487563.1	LOC101498540	bHLH
XP_004487582.1	LOC101504205	WRKY
XP_004487616.1	LOC101514826	bHLH
XP_004487630.1	LOC101491796	GRAS
XP_004487634.1	LOC101493128	bHLH
XP_004487635.1	LOC101493128	bHLH
XP_004487636.1	LOC101493128	bHLH
XP_004487637.1	LOC101493128	bHLH
XP_004487678.1	LOC101506350	NAC
XP_004487679.1	LOC101506671	NAC
XP_004487742.1	LOC101503561	NF-YC
XP_004487762.1	LOC101513638	GRAS
XP_004487795.1	LOC101496907	FAR1
XP_004487998.1	LOC101512768	bHLH
XP_004488023.1	LOC101493996	WRKY
XP_004488061.1	LOC101506037	bHLH
XP_004488182.1	LOC101498660	WRKY
XP_004488183.1	LOC101498660	WRKY
XP_004488200.1	LOC101503890	SBP
XP_004488253.1	LOC101497461	NF-YB
XP_004488351.1	LOC101507640	NF-YB
XP_004488419.1	LOC101508706	Dof
XP_004488431.1	LOC101511918	SBP
XP_004488556.1	LOC101508708	NAC
XP_004488594.1	LOC101496912	NAC
XP_004488736.1	LOC101498218	SBP
XP_004488737.1	LOC101498218	SBP
XP_004488746.1	LOC101501114	NAC
XP_004488773.2	LOC101507861	NF-YC
XP_004488806.1	LOC101492597	LBD
XP_004488808.1	LOC101493257	NAC
XP_004488843.1	LOC101504217	NAC
XP_004488862.1	LOC101509781	bHLH
XP_004488863.1	LOC101510097	bHLH
XP_004489001.1	LOC101515609	BES1
XP_004489002.1	LOC101515609	BES1
XP_004489004.1	LOC101488568	BES1
XP_004489051.1	LOC101504111	TCP
XP_004489061.1	LOC101507013	bZIP
XP_004489073.1	LOC101513740	WRKY
XP_004489160.1	LOC101490340	WRKY
XP_004489213.1	LOC101508089	LBD
XP_004489214.1	LOC101508089	LBD
XP_004489217.1	LOC101508089	LBD
XP_004489383.1	LOC101512587	bHLH
XP_004489393.1	LOC101515611	ZF-HD
XP_004489395.1	LOC101488692	ZF-HD
XP_004489399.1	LOC101490004	Dof
XP_004489410.1	LOC101493139	NAC
XP_004489468.1	LOC101511385	TCP
XP_004489469.1	LOC101511385	TCP
XP_004489492.1	LOC101491928	NAC
XP_004489632.1	LOC101512895	bZIP
XP_004489646.1	LOC101489791	Dof
XP_004489657.1	LOC101493585	LBD
XP_004489720.1	LOC101514407	NAC
XP_004489760.1	LOC101500163	bHLH
XP_004489767.1	LOC101502503	ZF-HD
XP_004489825.1	LOC101494418	YABBY
XP_004489860.1	LOC101506050	bHLH
XP_004489951.1	LOC101513654	bHLH
XP_004490008.1	LOC101506576	Whirly
XP_004490010.1	LOC101506576	Whirly
XP_004490021.1	LOC101510761	bHLH
XP_004490031.1	LOC101513549	TCP
XP_004490032.1	LOC101513549	TCP
XP_004490046.1	LOC101490349	NAC
XP_004490083.1	LOC101503458	Dof
XP_004490093.1	NAC3	NAC
XP_004490148.1	LOC101498460	WRKY
XP_004490175.1	LOC101507022	NAC
XP_004490226.1	LOC101497348	YABBY
XP_004490242.1	LOC101505285	SBP
XP_004490261.1	LOC101511604	bHLH
XP_004490274.2	LOC101490350	bHLH
XP_004490275.1	LOC101490669	NAC
