TF_ID	Gene_ID	Family
Csa04g009900.1	Csa04g009900	RAV
Csa06g005290.1	Csa06g005290	RAV
Csa09g008780.1	Csa09g008780	RAV
Csa07g034530.1	Csa07g034530	RAV
Csa16g028940.1	Csa16g028940	RAV
Csa05g085430.1	Csa05g085430	RAV
Csa03g017070.1	Csa03g017070	RAV
Csa14g016230.1	Csa14g016230	RAV
Csa17g018590.1	Csa17g018590	RAV
Csa14g032810.1	Csa14g032810	RAV
Csa03g029510.1	Csa03g029510	RAV
Csa17g034910.1	Csa17g034910	RAV
Csa14g059030.1	Csa14g059030	RAV
Csa03g056670.1	Csa03g056670	RAV
Csa03g058030.1	Csa03g058030	RAV
Csa17g088440.1	Csa17g088440	RAV
Csa17g089890.1	Csa17g089890	RAV
Csa05g083210.1	Csa05g083210	RAV
Csa14g059470.1	Csa14g059470	RAV
Csa17g088420.1	Csa17g088420	RAV
Csa14g057590.1	Csa14g057590	RAV
Csa03g056660.1	Csa03g056660	RAV
Csa14g059010.1	Csa14g059010	RAV
Csa00382s220.1	Csa00382s220	TCP
Csa00382s260.1	Csa00382s260	TCP
Csa00382s290.1	Csa00382s290	GATA
Csa00430s030.1	Csa00430s030	FAR1
Csa00441s040.1	Csa00441s040	GeBP
Csa00441s040.2	Csa00441s040	GeBP
Csa00478s020.1	Csa00478s020	bZIP
Csa00511s240.1	Csa00511s240	WRKY
Csa00532s170.1	Csa00532s170	NAC
Csa00566s020.1	Csa00566s020	SBP
Csa00578s040.1	Csa00578s040	GRAS
Csa00595s010.1	Csa00595s010	bZIP
Csa00674s020.1	Csa00674s020	ZF-HD
Csa00734s020.1	Csa00734s020	Dof
Csa00780s040.1	Csa00780s040	LBD
Csa01g001130.1	Csa01g001130	E2F/DP
Csa01g001480.1	Csa01g001480	WRKY
Csa01g001660.1	Csa01g001660	TCP
Csa01g002130.1	Csa01g002130	LBD
Csa01g002880.1	Csa01g002880	NAC
Csa01g003150.1	Csa01g003150	GRAS
Csa01g003470.1	Csa01g003470	LBD
Csa01g004850.1	Csa01g004850	NAC
Csa01g004860.1	Csa01g004860	NAC
Csa01g005410.1	Csa01g005410	WRKY
Csa01g005590.1	Csa01g005590	CPP
Csa01g005680.1	Csa01g005680	GeBP
Csa01g006590.1	Csa01g006590	NF-YA
Csa01g007130.1	Csa01g007130	bHLH
Csa01g007260.1	Csa01g007260	FAR1
Csa01g007780.1	Csa01g007780	GATA
Csa01g008360.1	Csa01g008360	bHLH
Csa01g008520.1	Csa01g008520	FAR1
Csa01g008770.1	Csa01g008770	GeBP
Csa01g010530.1	Csa01g010530	S1Fa-like
Csa01g010830.1	Csa01g010830	Trihelix
Csa01g010860.1	Csa01g010860	Trihelix
Csa01g010870.1	Csa01g010870	Trihelix
Csa01g011360.1	Csa01g011360	NAC
Csa01g011370.1	Csa01g011370	NAC
Csa01g011380.1	Csa01g011380	NAC
Csa01g011730.1	Csa01g011730	bZIP
Csa01g012110.1	Csa01g012110	LBD
Csa01g012120.1	Csa01g012120	Trihelix
Csa01g013360.1	Csa01g013360	bZIP
Csa01g013550.1	Csa01g013550	NF-YC
Csa01g014020.1	Csa01g014020	NAC
Csa01g014150.1	Csa01g014150	NAC
Csa01g016250.1	Csa01g016250	GRAS
Csa01g016270.1	Csa01g016270	LBD
Csa01g016500.1	Csa01g016500	NF-YA
Csa01g016510.1	Csa01g016510	GRAS
Csa01g016690.1	Csa01g016690	Trihelix
Csa01g017540.1	Csa01g017540	TCP
Csa01g017710.1	Csa01g017710	NAC
Csa01g017810.1	Csa01g017810	SBP
Csa01g018090.1	Csa01g018090	NAC
Csa01g018100.1	Csa01g018100	NAC
Csa01g018810.1	Csa01g018810	CPP
Csa01g019550.1	Csa01g019550	GATA
Csa01g019640.1	Csa01g019640	CAMTA
Csa01g020290.1	Csa01g020290	bZIP
