TF_ID	Gene_ID	Family
Bathy01g04040	Bathy01g04040	bZIP
Bathy01g07090	Bathy01g07090	E2F/DP
Bathy02g00180	Bathy02g00180	Nin-like
Bathy02g02000	Bathy02g02000	bZIP
Bathy02g02870	Bathy02g02870	GATA
Bathy02g05220	Bathy02g05220	GATA
Bathy02g05450	Bathy02g05450	bZIP
Bathy03g01310	Bathy03g01310	Nin-like
Bathy03g01690	Bathy03g01690	SBP
Bathy03g02390	Bathy03g02390	GATA
Bathy03g02810	Bathy03g02810	GATA
Bathy04g01220	Bathy04g01220	bZIP
Bathy04g04150	Bathy04g04150	GATA
Bathy04g04790	Bathy04g04790	NF-YA
Bathy06g01570	Bathy06g01570	Whirly
Bathy06g02590	Bathy06g02590	GATA
Bathy07g01100	Bathy07g01100	SBP
Bathy08g00970	Bathy08g00970	CPP
Bathy08g01970	Bathy08g01970	Dof
Bathy08g04030	Bathy08g04030	SBP
Bathy08g04690	Bathy08g04690	NF-YB
Bathy10g00160	Bathy10g00160	bZIP
Bathy10g00280	Bathy10g00280	CPP
Bathy10g00480	Bathy10g00480	SBP
Bathy10g03780	Bathy10g03780	NF-YC
Bathy11g01110	Bathy11g01110	E2F/DP
Bathy12g00720	Bathy12g00720	NF-YC
Bathy12g01120	Bathy12g01120	bHLH
Bathy13g01160	Bathy13g01160	WRKY
Bathy14g02150	Bathy14g02150	NF-YB
Bathy14g02250	Bathy14g02250	E2F/DP
Bathy15g00050	Bathy15g00050	HSF
Bathy16g02130	Bathy16g02130	GATA
Bathy17g00320	Bathy17g00320	Nin-like
Bathy17g02050	Bathy17g02050	WRKY
Bathy18g01250	Bathy18g01250	Nin-like
Bathy18g01260	Bathy18g01260	NF-YC
Bathy01g05740	Bathy01g05740	AP2
Bathy09g02260	Bathy09g02260	AP2
Bathy12g01210	Bathy12g01210	AP2
Bathy14g03300	Bathy14g03300	AP2
Bathy01g03260	Bathy01g03260	ERF
Bathy08g04640	Bathy08g04640	ERF
Bathy15g00870	Bathy15g00870	ARR-B
Bathy05g04020	Bathy05g04020	G2-like
Bathy07g01790	Bathy07g01790	G2-like
Bathy07g03390	Bathy07g03390	G2-like
Bathy15g01190	Bathy15g01190	M-type_MADS
Bathy03g04690	Bathy03g04690	HB-other
Bathy06g01510	Bathy06g01510	HB-other
Bathy08g03820	Bathy08g03820	HB-other
Bathy10g00740	Bathy10g00740	HB-other
Bathy12g03630	Bathy12g03630	WOX
Bathy05g04420	Bathy05g04420	WOX
Bathy01g01390	Bathy01g01390	C2H2
Bathy01g03110	Bathy01g03110	LSD
Bathy01g05880	Bathy01g05880	C2H2
Bathy01g06140	Bathy01g06140	C2H2
Bathy01g06670	Bathy01g06670	C2H2
Bathy01g06780	Bathy01g06780	C2H2
Bathy01g07040	Bathy01g07040	C2H2
Bathy02g00410	Bathy02g00410	C2H2
Bathy02g01020	Bathy02g01020	C2H2
Bathy02g04070	Bathy02g04070	C2H2
Bathy03g01880	Bathy03g01880	C3H
Bathy04g01170	Bathy04g01170	C2H2
Bathy04g01230	Bathy04g01230	C2H2
Bathy04g01670	Bathy04g01670	C2H2
Bathy04g01800	Bathy04g01800	C2H2
Bathy04g02370	Bathy04g02370	C2H2
Bathy04g02570	Bathy04g02570	C2H2
Bathy04g02730	Bathy04g02730	C2H2
Bathy04g02810	Bathy04g02810	C2H2
Bathy04g03060	Bathy04g03060	C2H2
Bathy04g03240	Bathy04g03240	C2H2
Bathy05g03070	Bathy05g03070	C2H2
Bathy05g04320	Bathy05g04320	C3H
Bathy06g01090	Bathy06g01090	C3H
Bathy07g01350	Bathy07g01350	C2H2
Bathy07g01410	Bathy07g01410	C3H
Bathy07g03130	Bathy07g03130	C3H
Bathy08g00030	Bathy08g00030	C2H2
Bathy09g00490	Bathy09g00490	C2H2
Bathy09g02470	Bathy09g02470	C2H2
Bathy09g02890	Bathy09g02890	C3H
Bathy09g03240	Bathy09g03240	C2H2
Bathy09g03950	Bathy09g03950	C3H
Bathy09g03960	Bathy09g03960	C2H2
Bathy09g04040	Bathy09g04040	C2H2
Bathy09g04110	Bathy09g04110	C2H2
Bathy09g04220	Bathy09g04220	C2H2
Bathy10g01100	Bathy10g01100	C2H2
Bathy10g02910	Bathy10g02910	C2H2
Bathy11g01580	Bathy11g01580	C2H2
Bathy11g01700	Bathy11g01700	C2H2
Bathy11g01860	Bathy11g01860	C2H2
Bathy11g02260	Bathy11g02260	C2H2
Bathy11g03340	Bathy11g03340	C2H2
Bathy11g03440	Bathy11g03440	C2H2
Bathy12g02690	Bathy12g02690	C2H2
Bathy13g00550	Bathy13g00550	C2H2
Bathy13g01410	Bathy13g01410	C2H2
Bathy14g01030	Bathy14g01030	C3H
Bathy15g00730	Bathy15g00730	C2H2
Bathy15g00930	Bathy15g00930	C3H
Bathy15g01170	Bathy15g01170	C2H2
Bathy15g01610	Bathy15g01610	C2H2
Bathy15g02320	Bathy15g02320	C2H2
Bathy16g00660	Bathy16g00660	C2H2
Bathy16g01780	Bathy16g01780	C2H2
Bathy16g01810	Bathy16g01810	C2H2
Bathy16g02080	Bathy16g02080	C2H2
