TF_ID	Gene_ID	Family
Lus10041487	Lus10041487.g	RAV
Lus10021707	Lus10021707.g	RAV
Lus10036282	Lus10036282.g	RAV
Lus10000037	Lus10000037.g	bHLH
Lus10000069	Lus10000069.g	bZIP
Lus10000140	Lus10000140.g	GRAS
Lus10000173	Lus10000173.g	WRKY
Lus10000206	Lus10000206.g	NAC
Lus10000208	Lus10000208.g	bHLH
Lus10000312	Lus10000312.g	HSF
Lus10000332	Lus10000332.g	bHLH
Lus10000463	Lus10000463.g	TCP
Lus10000484	Lus10000484.g	bHLH
Lus10000492	Lus10000492.g	HSF
Lus10000531	Lus10000531.g	GRAS
Lus10000532	Lus10000532.g	GRAS
Lus10000539	Lus10000539.g	GRAS
Lus10000587	Lus10000587.g	GATA
Lus10000613	Lus10000613.g	LBD
Lus10000643	Lus10000643.g	SBP
Lus10000644	Lus10000644.g	YABBY
Lus10000707	Lus10000707.g	LBD
Lus10000807	Lus10000807.g	GeBP
Lus10000864	Lus10000864.g	NF-YB
Lus10000940	Lus10000940.g	GeBP
Lus10000963	Lus10000963.g	Trihelix
Lus10001062	Lus10001062.g	WRKY
Lus10001066	Lus10001066.g	bHLH
Lus10001068	Lus10001068.g	bHLH
Lus10001085	Lus10001085.g	SRS
Lus10001133	Lus10001133.g	HSF
Lus10001139	Lus10001139.g	LBD
Lus10001177	Lus10001177.g	NF-YB
Lus10001265	Lus10001265.g	WRKY
Lus10001271	Lus10001271.g	bHLH
Lus10001347	Lus10001347.g	bZIP
Lus10001451	Lus10001451.g	GRAS
Lus10001577	Lus10001577.g	GRAS
Lus10001591	Lus10001591.g	HSF
Lus10001648	Lus10001648.g	NAC
Lus10001664	Lus10001664.g	NAC
Lus10001751	Lus10001751.g	NF-YB
Lus10001809	Lus10001809.g	NAC
Lus10001810	Lus10001810.g	Nin-like
Lus10001876	Lus10001876.g	NAC
Lus10001879	Lus10001879.g	WRKY
Lus10001885	Lus10001885.g	bHLH
Lus10001896	Lus10001896.g	Dof
Lus10001902	Lus10001902.g	WRKY
Lus10001914	Lus10001914.g	NF-YB
Lus10002028	Lus10002028.g	bZIP
Lus10002033	Lus10002033.g	CPP
Lus10002049	Lus10002049.g	FAR1
Lus10002058	Lus10002058.g	ZF-HD
Lus10002083	Lus10002083.g	NAC
Lus10002160	Lus10002160.g	bHLH
Lus10002185	Lus10002185.g	bZIP
Lus10002204	Lus10002204.g	GRAS
Lus10002205	Lus10002205.g	GRAS
Lus10002213	Lus10002213.g	bHLH
Lus10002309	Lus10002309.g	WRKY
Lus10002337	Lus10002337.g	bHLH
Lus10002381	Lus10002381.g	Dof
Lus10002390	Lus10002390.g	bHLH
Lus10002399	Lus10002399.g	bZIP
Lus10002412	Lus10002412.g	GATA
Lus10002424	Lus10002424.g	GRAS
Lus10002481	Lus10002481.g	Trihelix
Lus10002513	Lus10002513.g	LBD
Lus10002581	Lus10002581.g	NAC
Lus10002687	Lus10002687.g	NAC
Lus10002720	Lus10002720.g	bHLH
Lus10002794	Lus10002794.g	GeBP
Lus10002895	Lus10002895.g	CPP
Lus10002900	Lus10002900.g	bZIP
Lus10003008	Lus10003008.g	SRS
Lus10003034	Lus10003034.g	bZIP
Lus10003078	Lus10003078.g	TCP
Lus10003119	Lus10003119.g	CAMTA
Lus10003126	Lus10003126.g	SBP
Lus10003128	Lus10003128.g	WRKY
Lus10003172	Lus10003172.g	bHLH
Lus10003199	Lus10003199.g	Nin-like
Lus10003207	Lus10003207.g	Dof
Lus10003208	Lus10003208.g	Dof
Lus10003255	Lus10003255.g	bZIP
Lus10003269	Lus10003269.g	NAC
Lus10003333	Lus10003333.g	NAC
