TF_ID	Gene_ID	Family
DCAR_023683	DCAR_023683	RAV
DCAR_007228	DCAR_007228	RAV
DCAR_030078	DCAR_030078	RAV
DCAR_014815	DCAR_014815	RAV
DCAR_000127	DCAR_000127	Trihelix
DCAR_000312	DCAR_000312	LBD
DCAR_000361	DCAR_000361	LBD
DCAR_000434	DCAR_000434	bHLH
DCAR_000526	DCAR_000526	Trihelix
DCAR_000540	DCAR_000540	bHLH
DCAR_000544	DCAR_000544	bHLH
DCAR_000545	DCAR_000545	bHLH
DCAR_000591	DCAR_000591	GRAS
DCAR_000599	DCAR_000599	NF-YC
DCAR_000616	DCAR_000616	bHLH
DCAR_000635	DCAR_000635	WRKY
DCAR_000653	DCAR_000653	GATA
DCAR_000690	DCAR_000690	bZIP
DCAR_000692	DCAR_000692	NAC
DCAR_000701	DCAR_000701	Trihelix
DCAR_000726	DCAR_000726	SRS
DCAR_000728	DCAR_000728	SRS
DCAR_000755	DCAR_000755	GATA
DCAR_000800	DCAR_000800	LBD
DCAR_000809	DCAR_000809	WRKY
DCAR_000813	DCAR_000813	Nin-like
DCAR_000901	DCAR_000901	TCP
DCAR_000902	DCAR_000902	TCP
DCAR_000903	DCAR_000903	TCP
DCAR_000904	DCAR_000904	TCP
DCAR_000905	DCAR_000905	TCP
DCAR_000906	DCAR_000906	TCP
DCAR_000907	DCAR_000907	TCP
DCAR_000909	DCAR_000909	TCP
DCAR_000912	DCAR_000912	TCP
DCAR_000913	DCAR_000913	TCP
DCAR_000914	DCAR_000914	TCP
DCAR_000915	DCAR_000915	TCP
DCAR_000916	DCAR_000916	TCP
DCAR_000917	DCAR_000917	TCP
DCAR_000934	DCAR_000934	TCP
DCAR_000935	DCAR_000935	NAC
DCAR_001004	DCAR_001004	bZIP
DCAR_001121	DCAR_001121	GRAS
DCAR_001125	DCAR_001125	bZIP
DCAR_001132	DCAR_001132	Trihelix
DCAR_001133	DCAR_001133	Trihelix
DCAR_001141	DCAR_001141	bZIP
DCAR_001199	DCAR_001199	NF-YB
DCAR_001338	DCAR_001338	LBD
DCAR_001346	DCAR_001346	NAC
DCAR_001361	DCAR_001361	bHLH
DCAR_001382	DCAR_001382	WRKY
DCAR_001450	DCAR_001450	bZIP
DCAR_001479	DCAR_001479	NAC
DCAR_001561	DCAR_001561	bZIP
DCAR_001572	DCAR_001572	bHLH
DCAR_001687	DCAR_001687	bHLH
DCAR_001701	DCAR_001701	bZIP
DCAR_001728	DCAR_001728	ZF-HD
DCAR_001752	DCAR_001752	Nin-like
DCAR_001795	DCAR_001795	bHLH
DCAR_001804	DCAR_001804	NAC
DCAR_001816	DCAR_001816	GATA
DCAR_001831	DCAR_001831	bZIP
DCAR_001871	DCAR_001871	NAC
DCAR_002023	DCAR_002023	bZIP
DCAR_002048	DCAR_002048	bHLH
DCAR_002060	DCAR_002060	Trihelix
DCAR_002069	DCAR_002069	NAC
DCAR_002074	DCAR_002074	NF-YA
DCAR_002079	DCAR_002079	NAC
DCAR_002090	DCAR_002090	GRAS
DCAR_002099	DCAR_002099	bZIP
DCAR_002108	DCAR_002108	SRS
DCAR_002125	DCAR_002125	FAR1
DCAR_002189	DCAR_002189	Nin-like
DCAR_002356	DCAR_002356	bHLH
DCAR_002368	DCAR_002368	HSF
DCAR_002372	DCAR_002372	CPP
DCAR_002460	DCAR_002460	NF-YB
DCAR_002499	DCAR_002499	GATA
DCAR_002547	DCAR_002547	SBP
DCAR_002594	DCAR_002594	TCP
DCAR_002633	DCAR_002633	Trihelix
DCAR_002680	DCAR_002680	LBD
DCAR_002688	DCAR_002688	bHLH
DCAR_002739	DCAR_002739	bHLH
DCAR_002808	DCAR_002808	NF-YB
DCAR_002896	DCAR_002896	bZIP
DCAR_002897	DCAR_002897	bZIP
DCAR_003095	DCAR_003095	bZIP
DCAR_003169	DCAR_003169	bZIP
DCAR_003235	DCAR_003235	GRAS
DCAR_003241	DCAR_003241	GRAS
DCAR_003260	DCAR_003260	NAC
DCAR_003339	DCAR_003339	NF-YB
DCAR_003409	DCAR_003409	NAC
DCAR_003439	DCAR_003439	Dof
DCAR_003455	DCAR_003455	ZF-HD
DCAR_003527	DCAR_003527	bHLH
DCAR_003534	DCAR_003534	NF-X1
DCAR_003652	DCAR_003652	SRS
DCAR_003659	DCAR_003659	bZIP
DCAR_003687	DCAR_003687	BBR-BPC
DCAR_003800	DCAR_003800	Trihelix
DCAR_003829	DCAR_003829	bHLH
DCAR_003855	DCAR_003855	NF-YA
DCAR_003998	DCAR_003998	bZIP
DCAR_004005	DCAR_004005	Trihelix
DCAR_004007	DCAR_004007	Dof
DCAR_004034	DCAR_004034	VOZ
DCAR_004035	DCAR_004035	VOZ
DCAR_004058	DCAR_004058	Dof
DCAR_004113	DCAR_004113	Dof
DCAR_004166	DCAR_004166	bHLH
DCAR_004170	DCAR_004170	BBR-BPC
DCAR_004178	DCAR_004178	bHLH
DCAR_004233	DCAR_004233	WRKY
DCAR_004239	DCAR_004239	bHLH
DCAR_004268	DCAR_004268	bZIP
DCAR_004291	DCAR_004291	bHLH
DCAR_004389	DCAR_004389	Nin-like
DCAR_004412	DCAR_004412	LBD
DCAR_004413	DCAR_004413	LBD
DCAR_004426	DCAR_004426	GATA
DCAR_004466	DCAR_004466	GATA
DCAR_004491	DCAR_004491	CPP
DCAR_004549	DCAR_004549	bZIP
DCAR_004562	DCAR_004562	Trihelix
DCAR_004591	DCAR_004591	GATA
DCAR_004610	DCAR_004610	WRKY
DCAR_004632	DCAR_004632	bHLH
DCAR_004707	DCAR_004707	bHLH
DCAR_004708	DCAR_004708	bHLH
DCAR_004752	DCAR_004752	bHLH
DCAR_004769	DCAR_004769	bHLH
DCAR_004782	DCAR_004782	bZIP
DCAR_004891	DCAR_004891	GRAS
DCAR_004918	DCAR_004918	NAC
DCAR_004921	DCAR_004921	YABBY
DCAR_004956	DCAR_004956	LBD
DCAR_005034	DCAR_005034	WRKY
DCAR_005083	DCAR_005083	WRKY
DCAR_005143	DCAR_005143	WRKY
DCAR_005165	DCAR_005165	BES1
DCAR_005239	DCAR_005239	TCP
DCAR_005319	DCAR_005319	Dof
DCAR_005363	DCAR_005363	NAC
DCAR_005379	DCAR_005379	WRKY
DCAR_005396	DCAR_005396	bHLH
DCAR_005468	DCAR_005468	GRAS
DCAR_005536	DCAR_005536	bHLH
DCAR_005550	DCAR_005550	HSF
DCAR_005559	DCAR_005559	Dof
DCAR_005574	DCAR_005574	WRKY
DCAR_005631	DCAR_005631	bHLH
DCAR_005632	DCAR_005632	GRAS
DCAR_005640	DCAR_005640	WRKY
DCAR_005683	DCAR_005683	GRAS
DCAR_005684	DCAR_005684	NAC
DCAR_005753	DCAR_005753	WRKY
DCAR_005758	DCAR_005758	bZIP
DCAR_005777	DCAR_005777	GATA
DCAR_005872	DCAR_005872	WRKY
DCAR_005962	DCAR_005962	GRAS
DCAR_005976	DCAR_005976	Dof
DCAR_006026	DCAR_006026	SBP
DCAR_006035	DCAR_006035	Dof
DCAR_006054	DCAR_006054	NAC
DCAR_006116	DCAR_006116	bHLH
DCAR_006122	DCAR_006122	bHLH
DCAR_006160	DCAR_006160	bZIP
DCAR_006164	DCAR_006164	NF-YB
DCAR_006174	DCAR_006174	NAC
DCAR_006178	DCAR_006178	E2F/DP
DCAR_006190	DCAR_006190	YABBY
DCAR_006285	DCAR_006285	Nin-like
DCAR_006295	DCAR_006295	NAC
DCAR_006303	DCAR_006303	bHLH
DCAR_006317	DCAR_006317	NF-YB
DCAR_006319	DCAR_006319	NF-YB
DCAR_006320	DCAR_006320	NF-YB
DCAR_006322	DCAR_006322	NF-YB
DCAR_006324	DCAR_006324	NF-YB
DCAR_006325	DCAR_006325	NF-YB
DCAR_006326	DCAR_006326	NF-YB
DCAR_006394	DCAR_006394	NAC
DCAR_006395	DCAR_006395	NAC
DCAR_006433	DCAR_006433	GATA
DCAR_006497	DCAR_006497	Dof
DCAR_006548	DCAR_006548	bHLH
DCAR_006550	DCAR_006550	bHLH
DCAR_006551	DCAR_006551	bHLH
DCAR_006552	DCAR_006552	bHLH
DCAR_006562	DCAR_006562	NAC
DCAR_006595	DCAR_006595	NF-YC
DCAR_006652	DCAR_006652	bZIP
DCAR_006683	DCAR_006683	TCP
DCAR_006686	DCAR_006686	bZIP
DCAR_006720	DCAR_006720	LBD
DCAR_006824	DCAR_006824	GRAS
DCAR_006825	DCAR_006825	GRAS
DCAR_006868	DCAR_006868	LBD
DCAR_006899	DCAR_006899	TCP
DCAR_006949	DCAR_006949	WRKY
DCAR_006961	DCAR_006961	bZIP
DCAR_006979	DCAR_006979	Dof
DCAR_006987	DCAR_006987	bHLH
DCAR_006988	DCAR_006988	bHLH
DCAR_006999	DCAR_006999	CAMTA
DCAR_007020	DCAR_007020	Trihelix
DCAR_007074	DCAR_007074	YABBY
DCAR_007080	DCAR_007080	bHLH
DCAR_007086	DCAR_007086	bHLH
DCAR_007135	DCAR_007135	Whirly
DCAR_007136	DCAR_007136	WRKY
DCAR_007143	DCAR_007143	bHLH
DCAR_007150	DCAR_007150	NAC
DCAR_007160	DCAR_007160	Dof
DCAR_007177	DCAR_007177	WRKY
DCAR_007210	DCAR_007210	bZIP
DCAR_007211	DCAR_007211	bHLH
DCAR_007224	DCAR_007224	bHLH
DCAR_007311	DCAR_007311	GRAS
DCAR_007333	DCAR_007333	LBD
DCAR_007343	DCAR_007343	WRKY
DCAR_007350	DCAR_007350	GRAS
DCAR_007469	DCAR_007469	GRAS
DCAR_007494	DCAR_007494	NF-YC
DCAR_007495	DCAR_007495	NF-YC
DCAR_007501	DCAR_007501	SBP
DCAR_007515	DCAR_007515	bHLH
DCAR_007539	DCAR_007539	bZIP
DCAR_007559	DCAR_007559	Trihelix
DCAR_007601	DCAR_007601	bHLH
DCAR_007612	DCAR_007612	Dof
DCAR_007624	DCAR_007624	LBD
DCAR_007632	DCAR_007632	NF-YA
DCAR_007740	DCAR_007740	GeBP
DCAR_007751	DCAR_007751	bZIP
DCAR_007815	DCAR_007815	WRKY
DCAR_007817	DCAR_007817	bHLH
DCAR_007866	DCAR_007866	GeBP
DCAR_007880	DCAR_007880	TCP
DCAR_007945	DCAR_007945	Trihelix
DCAR_008025	DCAR_008025	SBP
DCAR_008026	DCAR_008026	Dof
DCAR_008102	DCAR_008102	bHLH
DCAR_008106	DCAR_008106	bHLH
DCAR_008114	DCAR_008114	bHLH
DCAR_008117	DCAR_008117	bHLH
DCAR_008173	DCAR_008173	WRKY
DCAR_008218	DCAR_008218	bZIP
DCAR_008254	DCAR_008254	bHLH
DCAR_008270	DCAR_008270	bHLH
DCAR_008328	DCAR_008328	Trihelix
DCAR_008333	DCAR_008333	GATA
DCAR_008352	DCAR_008352	WRKY
DCAR_008391	DCAR_008391	TCP
DCAR_008392	DCAR_008392	TCP
DCAR_008393	DCAR_008393	TCP
DCAR_008395	DCAR_008395	TCP
DCAR_008419	DCAR_008419	GRAS
DCAR_008421	DCAR_008421	GRAS
DCAR_008464	DCAR_008464	YABBY
DCAR_008485	DCAR_008485	GRAS
DCAR_008543	DCAR_008543	YABBY
DCAR_008562	DCAR_008562	LBD
DCAR_008638	DCAR_008638	WRKY
DCAR_008655	DCAR_008655	WRKY
DCAR_008773	DCAR_008773	BES1
DCAR_008959	DCAR_008959	Dof
DCAR_009102	DCAR_009102	LBD
DCAR_009107	DCAR_009107	bZIP
DCAR_009151	DCAR_009151	bZIP
DCAR_009159	DCAR_009159	bZIP
DCAR_009224	DCAR_009224	GRAS
DCAR_009235	DCAR_009235	Dof
DCAR_009288	DCAR_009288	NF-YB
DCAR_009383	DCAR_009383	GRAS
DCAR_009408	DCAR_009408	TCP
DCAR_009541	DCAR_009541	LBD
DCAR_009550	DCAR_009550	bHLH
DCAR_009603	DCAR_009603	NAC
DCAR_009610	DCAR_009610	WRKY
DCAR_009635	DCAR_009635	NAC
DCAR_009670	DCAR_009670	NAC
DCAR_009674	DCAR_009674	GATA
DCAR_009695	DCAR_009695	GeBP
DCAR_009698	DCAR_009698	GRAS
DCAR_009764	DCAR_009764	LBD
DCAR_009765	DCAR_009765	bZIP
DCAR_009768	DCAR_009768	TCP
DCAR_009838	DCAR_009838	TCP
DCAR_009840	DCAR_009840	GRAS
DCAR_009852	DCAR_009852	NAC
DCAR_009857	DCAR_009857	bZIP
DCAR_009888	DCAR_009888	bHLH
DCAR_009951	DCAR_009951	SRS
DCAR_009964	DCAR_009964	bZIP
DCAR_009965	DCAR_009965	bHLH
DCAR_009973	DCAR_009973	NAC
DCAR_009975	DCAR_009975	NAC
DCAR_010002	DCAR_010002	bHLH
DCAR_010011	DCAR_010011	GRAS
DCAR_010015	DCAR_010015	bHLH
DCAR_010092	DCAR_010092	bZIP
DCAR_010171	DCAR_010171	SBP
DCAR_010178	DCAR_010178	bHLH
DCAR_010211	DCAR_010211	NAC
DCAR_010245	DCAR_010245	Trihelix
DCAR_010316	DCAR_010316	E2F/DP
DCAR_010346	DCAR_010346	NF-YB
DCAR_010463	DCAR_010463	bHLH
DCAR_010568	DCAR_010568	NAC
DCAR_010624	DCAR_010624	WRKY
DCAR_010625	DCAR_010625	bHLH
DCAR_010654	DCAR_010654	WRKY
DCAR_010666	DCAR_010666	GRAS
DCAR_010739	DCAR_010739	bHLH
DCAR_010759	DCAR_010759	bHLH
DCAR_010766	DCAR_010766	bHLH
DCAR_010767	DCAR_010767	bHLH
DCAR_010769	DCAR_010769	bHLH
DCAR_010770	DCAR_010770	bHLH
DCAR_010801	DCAR_010801	bZIP
DCAR_010820	DCAR_010820	GRAS
DCAR_010829	DCAR_010829	GRAS
DCAR_010862	DCAR_010862	WRKY
DCAR_010922	DCAR_010922	LBD
DCAR_010931	DCAR_010931	Dof
DCAR_010936	DCAR_010936	Dof
DCAR_010972	DCAR_010972	TCP
DCAR_010997	DCAR_010997	bZIP
DCAR_011084	DCAR_011084	NAC
DCAR_011099	DCAR_011099	ZF-HD
DCAR_011100	DCAR_011100	ZF-HD
DCAR_011126	DCAR_011126	ZF-HD
DCAR_011127	DCAR_011127	ZF-HD
DCAR_011129	DCAR_011129	ZF-HD
DCAR_011133	DCAR_011133	NAC
DCAR_011136	DCAR_011136	bHLH
DCAR_011142	DCAR_011142	bHLH
DCAR_011188	DCAR_011188	E2F/DP
DCAR_011258	DCAR_011258	NAC
DCAR_011259	DCAR_011259	NAC
DCAR_011324	DCAR_011324	SBP
DCAR_011344	DCAR_011344	TCP
DCAR_011357	DCAR_011357	bHLH
DCAR_011446	DCAR_011446	NF-YB
DCAR_011611	DCAR_011611	bZIP
DCAR_011831	DCAR_011831	Trihelix
DCAR_011832	DCAR_011832	LBD
DCAR_011845	DCAR_011845	LBD
DCAR_011967	DCAR_011967	bHLH
DCAR_011970	DCAR_011970	LBD
DCAR_011976	DCAR_011976	GATA
DCAR_012021	DCAR_012021	NAC
DCAR_012077	DCAR_012077	HSF
DCAR_012190	DCAR_012190	bZIP
DCAR_012209	DCAR_012209	NAC
DCAR_012246	DCAR_012246	FAR1
DCAR_012253	DCAR_012253	GRAS
DCAR_012254	DCAR_012254	YABBY
DCAR_012273	DCAR_012273	LBD
DCAR_012331	DCAR_012331	bHLH
DCAR_012337	DCAR_012337	WRKY
DCAR_012339	DCAR_012339	GRAS
DCAR_012340	DCAR_012340	GRAS
DCAR_012341	DCAR_012341	GRAS
DCAR_012342	DCAR_012342	GRAS
DCAR_012343	DCAR_012343	GRAS
DCAR_012400	DCAR_012400	NF-YB
DCAR_012515	DCAR_012515	bHLH
DCAR_012521	DCAR_012521	WRKY
DCAR_012531	DCAR_012531	LBD
DCAR_012553	DCAR_012553	NAC
DCAR_012554	DCAR_012554	NAC
DCAR_012555	DCAR_012555	NAC
DCAR_012590	DCAR_012590	LBD
DCAR_012684	DCAR_012684	bHLH
DCAR_012697	DCAR_012697	NAC
DCAR_012705	DCAR_012705	bZIP
DCAR_012720	DCAR_012720	bZIP
DCAR_012749	DCAR_012749	BES1
DCAR_012752	DCAR_012752	NAC
DCAR_012791	DCAR_012791	WRKY
DCAR_012813	DCAR_012813	bHLH
DCAR_012848	DCAR_012848	bZIP
DCAR_012851	DCAR_012851	GATA
DCAR_012875	DCAR_012875	bHLH
DCAR_012904	DCAR_012904	WRKY
DCAR_012989	DCAR_012989	TCP
DCAR_013052	DCAR_013052	LBD
DCAR_013082	DCAR_013082	NAC
DCAR_013122	DCAR_013122	NAC
DCAR_013173	DCAR_013173	bZIP
DCAR_013176	DCAR_013176	NAC
DCAR_013212	DCAR_013212	GRAS
DCAR_013280	DCAR_013280	WRKY
DCAR_013364	DCAR_013364	Trihelix
DCAR_013381	DCAR_013381	bZIP
DCAR_013444	DCAR_013444	NF-YA
DCAR_013493	DCAR_013493	Dof
DCAR_013495	DCAR_013495	ZF-HD
DCAR_013520	DCAR_013520	bZIP
DCAR_013537	DCAR_013537	bZIP
DCAR_013560	DCAR_013560	bZIP
DCAR_013566	DCAR_013566	bHLH
DCAR_013568	DCAR_013568	bHLH
DCAR_013644	DCAR_013644	bZIP
DCAR_013646	DCAR_013646	bHLH
DCAR_013698	DCAR_013698	NAC
DCAR_013720	DCAR_013720	NF-YC
DCAR_013734	DCAR_013734	NAC
DCAR_013845	DCAR_013845	SRS
DCAR_013863	DCAR_013863	E2F/DP
DCAR_013939	DCAR_013939	NAC
DCAR_014026	DCAR_014026	SBP
DCAR_014105	DCAR_014105	GRAS
DCAR_014143	DCAR_014143	NAC
DCAR_014176	DCAR_014176	GRAS
DCAR_014177	DCAR_014177	Dof
DCAR_014190	DCAR_014190	bHLH
DCAR_014197	DCAR_014197	bHLH
DCAR_014229	DCAR_014229	WRKY
DCAR_014251	DCAR_014251	bZIP
DCAR_014340	DCAR_014340	NAC
DCAR_014348	DCAR_014348	Trihelix
DCAR_014415	DCAR_014415	Dof
DCAR_014428	DCAR_014428	bZIP
DCAR_014433	DCAR_014433	Trihelix
DCAR_014476	DCAR_014476	bHLH
DCAR_014487	DCAR_014487	NAC
DCAR_014493	DCAR_014493	GRAS
DCAR_014495	DCAR_014495	TCP
DCAR_014497	DCAR_014497	WRKY
DCAR_014567	DCAR_014567	NAC
DCAR_014591	DCAR_014591	HSF
DCAR_014625	DCAR_014625	NAC
DCAR_014671	DCAR_014671	bHLH
DCAR_014672	DCAR_014672	bHLH
DCAR_014673	DCAR_014673	bHLH
DCAR_014674	DCAR_014674	bHLH
DCAR_014683	DCAR_014683	WRKY
DCAR_014778	DCAR_014778	GRAS
DCAR_014844	DCAR_014844	Dof
DCAR_014892	DCAR_014892	YABBY
DCAR_014957	DCAR_014957	WRKY
DCAR_014972	DCAR_014972	S1Fa-like
DCAR_014999	DCAR_014999	E2F/DP
DCAR_015025	DCAR_015025	Trihelix
DCAR_015027	DCAR_015027	Trihelix
DCAR_015061	DCAR_015061	LBD
DCAR_015132	DCAR_015132	TCP
DCAR_015144	DCAR_015144	bHLH
DCAR_015270	DCAR_015270	NF-YB
DCAR_015278	DCAR_015278	LBD
DCAR_015312	DCAR_015312	Whirly
DCAR_015369	DCAR_015369	bHLH
DCAR_015528	DCAR_015528	GATA
DCAR_015564	DCAR_015564	LBD
DCAR_015630	DCAR_015630	GRAS
DCAR_015660	DCAR_015660	Nin-like
DCAR_015676	DCAR_015676	NAC
DCAR_015679	DCAR_015679	GeBP
DCAR_015681	DCAR_015681	bHLH
DCAR_015694	DCAR_015694	NAC
DCAR_015700	DCAR_015700	GeBP
DCAR_015710	DCAR_015710	GeBP
DCAR_015731	DCAR_015731	GeBP
DCAR_015860	DCAR_015860	SBP
DCAR_015861	DCAR_015861	SBP
DCAR_015862	DCAR_015862	SBP
DCAR_015869	DCAR_015869	bHLH
DCAR_015900	DCAR_015900	GeBP
DCAR_015926	DCAR_015926	GRAS
DCAR_015927	DCAR_015927	GRAS
DCAR_015989	DCAR_015989	GeBP
DCAR_016033	DCAR_016033	LBD
DCAR_016100	DCAR_016100	Trihelix
DCAR_016125	DCAR_016125	GRAS
DCAR_016172	DCAR_016172	Dof
DCAR_016180	DCAR_016180	bHLH
DCAR_016194	DCAR_016194	GATA
DCAR_016302	DCAR_016302	WRKY
DCAR_016338	DCAR_016338	LFY
DCAR_016404	DCAR_016404	Trihelix
DCAR_016461	DCAR_016461	LBD
DCAR_016463	DCAR_016463	LBD
DCAR_016464	DCAR_016464	LBD
DCAR_016465	DCAR_016465	LBD
DCAR_016467	DCAR_016467	LBD
DCAR_016468	DCAR_016468	LBD
DCAR_016509	DCAR_016509	E2F/DP
DCAR_016536	DCAR_016536	WRKY
DCAR_016540	DCAR_016540	TCP
DCAR_016564	DCAR_016564	Nin-like
DCAR_016571	DCAR_016571	NAC
DCAR_016661	DCAR_016661	NAC
DCAR_016795	DCAR_016795	NAC
DCAR_016808	DCAR_016808	WRKY
DCAR_016827	DCAR_016827	NAC
DCAR_016829	DCAR_016829	LBD
DCAR_016852	DCAR_016852	NAC
