TF_ID	Gene_ID	Family
NNU_012716-RA	NNU_012716-RA	RAV
NNU_001186-RA	NNU_001186-RA	RAV
NNU_002548-RA	NNU_002548-RA	RAV
NNU_003134-RA	NNU_003134-RA	RAV
NNU_011422-RA	NNU_011422-RA	RAV
NNU_000027-RA	NNU_000027-RA	NF-YC
NNU_000160-RA	NNU_000160-RA	GRAS
NNU_000255-RA	NNU_000255-RA	HSF
NNU_000273-RA	NNU_000273-RA	bZIP
NNU_000297-RA	NNU_000297-RA	ZF-HD
NNU_000301-RA	NNU_000301-RA	BBR-BPC
NNU_000404-RA	NNU_000404-RA	TCP
NNU_000475-RA	NNU_000475-RA	Trihelix
NNU_000476-RA	NNU_000476-RA	Trihelix
NNU_000503-RA	NNU_000503-RA	bHLH
NNU_000552-RA	NNU_000552-RA	NAC
NNU_000597-RA	NNU_000597-RA	Dof
NNU_000625-RA	NNU_000625-RA	HSF
NNU_000694-RA	NNU_000694-RA	NF-YC
NNU_000704-RA	NNU_000704-RA	bHLH
NNU_000725-RA	NNU_000725-RA	LBD
NNU_000744-RA	NNU_000744-RA	ZF-HD
NNU_000760-RA	NNU_000760-RA	Whirly
NNU_000764-RA	NNU_000764-RA	WRKY
NNU_000778-RA	NNU_000778-RA	bHLH
NNU_000788-RA	NNU_000788-RA	bHLH
NNU_000795-RA	NNU_000795-RA	SBP
NNU_000800-RA	NNU_000800-RA	bHLH
NNU_000815-RA	NNU_000815-RA	NAC
NNU_000820-RA	NNU_000820-RA	ZF-HD
NNU_000841-RA	NNU_000841-RA	bHLH
NNU_000842-RA	NNU_000842-RA	Dof
NNU_000863-RA	NNU_000863-RA	NAC
NNU_000864-RA	NNU_000864-RA	NAC
NNU_000906-RA	NNU_000906-RA	WRKY
NNU_000933-RA	NNU_000933-RA	FAR1
NNU_000937-RA	NNU_000937-RA	WRKY
NNU_000986-RA	NNU_000986-RA	TCP
NNU_001019-RA	NNU_001019-RA	YABBY
NNU_001020-RA	NNU_001020-RA	SBP
NNU_001044-RA	NNU_001044-RA	Dof
NNU_001052-RA	NNU_001052-RA	bHLH
NNU_001071-RA	NNU_001071-RA	bHLH
NNU_001074-RA	NNU_001074-RA	bZIP
NNU_001138-RA	NNU_001138-RA	NF-YB
NNU_001168-RA	NNU_001168-RA	TCP
NNU_001170-RA	NNU_001170-RA	bHLH
NNU_001240-RA	NNU_001240-RA	LBD
NNU_001248-RA	NNU_001248-RA	NAC
NNU_001267-RA	NNU_001267-RA	bHLH
NNU_001366-RA	NNU_001366-RA	bHLH
NNU_001380-RA	NNU_001380-RA	WRKY
NNU_001428-RA	NNU_001428-RA	LBD
NNU_001430-RA	NNU_001430-RA	LBD
NNU_001560-RA	NNU_001560-RA	bHLH
NNU_001569-RA	NNU_001569-RA	NF-YC
NNU_001578-RA	NNU_001578-RA	bHLH
NNU_001645-RA	NNU_001645-RA	SBP
NNU_001699-RA	NNU_001699-RA	bHLH
NNU_001773-RA	NNU_001773-RA	ZF-HD
NNU_001794-RA	NNU_001794-RA	bHLH
NNU_001801-RA	NNU_001801-RA	Trihelix
NNU_001887-RA	NNU_001887-RA	CAMTA
NNU_002022-RA	NNU_002022-RA	bHLH
NNU_002027-RA	NNU_002027-RA	bZIP
NNU_002039-RA	NNU_002039-RA	HSF
NNU_002061-RA	NNU_002061-RA	bHLH
NNU_002063-RA	NNU_002063-RA	NAC
NNU_002193-RA	NNU_002193-RA	GRAS
NNU_002197-RA	NNU_002197-RA	LBD
NNU_002279-RA	NNU_002279-RA	bZIP
NNU_002291-RA	NNU_002291-RA	bHLH
NNU_002333-RA	NNU_002333-RA	Trihelix
NNU_002338-RA	NNU_002338-RA	ZF-HD
NNU_002382-RA	NNU_002382-RA	Trihelix
NNU_002458-RA	NNU_002458-RA	bZIP
NNU_002463-RA	NNU_002463-RA	bZIP
NNU_002489-RA	NNU_002489-RA	NF-YB
NNU_002530-RA	NNU_002530-RA	NAC
NNU_002531-RA	NNU_002531-RA	NAC
NNU_002551-RA	NNU_002551-RA	TCP
NNU_002554-RA	NNU_002554-RA	NAC
NNU_002573-RA	NNU_002573-RA	E2F/DP
NNU_002613-RA	NNU_002613-RA	bZIP
NNU_002626-RA	NNU_002626-RA	Dof
NNU_002654-RA	NNU_002654-RA	NF-YA
NNU_002667-RA	NNU_002667-RA	YABBY
NNU_002719-RA	NNU_002719-RA	TCP
NNU_002730-RA	NNU_002730-RA	bHLH
NNU_002737-RA	NNU_002737-RA	bZIP
NNU_002747-RA	NNU_002747-RA	WRKY
NNU_002776-RA	NNU_002776-RA	HSF
NNU_002805-RA	NNU_002805-RA	YABBY
NNU_002854-RA	NNU_002854-RA	LBD
NNU_002898-RA	NNU_002898-RA	NAC
NNU_002936-RA	NNU_002936-RA	GATA
NNU_003022-RA	NNU_003022-RA	Trihelix
NNU_003122-RA	NNU_003122-RA	NF-YC
NNU_003139-RA	NNU_003139-RA	SBP
NNU_003142-RA	NNU_003142-RA	WRKY
NNU_003157-RA	NNU_003157-RA	TCP
NNU_003181-RA	NNU_003181-RA	NAC
NNU_003204-RA	NNU_003204-RA	bHLH
NNU_003217-RA	NNU_003217-RA	bHLH
NNU_003237-RA	NNU_003237-RA	Trihelix
NNU_003323-RA	NNU_003323-RA	HSF
NNU_003395-RA	NNU_003395-RA	GATA
NNU_003426-RA	NNU_003426-RA	bHLH
NNU_003427-RA	NNU_003427-RA	bHLH
NNU_003442-RA	NNU_003442-RA	bHLH
NNU_003457-RA	NNU_003457-RA	CPP
NNU_003516-RA	NNU_003516-RA	HSF
NNU_003545-RA	NNU_003545-RA	Trihelix
NNU_003621-RA	NNU_003621-RA	GRAS
NNU_003652-RA	NNU_003652-RA	CPP
NNU_003672-RA	NNU_003672-RA	bZIP
NNU_003736-RA	NNU_003736-RA	YABBY
NNU_003782-RA	NNU_003782-RA	FAR1
NNU_003813-RA	NNU_003813-RA	GRAS
NNU_003940-RA	NNU_003940-RA	LFY
NNU_003952-RA	NNU_003952-RA	Trihelix
NNU_003962-RA	NNU_003962-RA	bHLH
NNU_003979-RA	NNU_003979-RA	bHLH
NNU_004001-RA	NNU_004001-RA	NAC
NNU_004037-RA	NNU_004037-RA	TCP
NNU_004050-RA	NNU_004050-RA	WRKY
NNU_004056-RA	NNU_004056-RA	SBP
NNU_004077-RA	NNU_004077-RA	NF-YC
NNU_004135-RA	NNU_004135-RA	Trihelix
NNU_004170-RA	NNU_004170-RA	Trihelix
NNU_004270-RA	NNU_004270-RA	NAC
NNU_004312-RA	NNU_004312-RA	LBD
NNU_004382-RA	NNU_004382-RA	Dof
NNU_004386-RA	NNU_004386-RA	bHLH
NNU_004410-RA	NNU_004410-RA	bHLH
NNU_004461-RA	NNU_004461-RA	LBD
NNU_004517-RA	NNU_004517-RA	bZIP
NNU_004563-RA	NNU_004563-RA	FAR1
NNU_004585-RA	NNU_004585-RA	bZIP
NNU_004655-RA	NNU_004655-RA	NAC
NNU_004688-RA	NNU_004688-RA	NAC
NNU_004689-RA	NNU_004689-RA	NAC
NNU_004690-RA	NNU_004690-RA	NAC
NNU_004768-RA	NNU_004768-RA	WRKY
NNU_004769-RA	NNU_004769-RA	WRKY
NNU_004785-RA	NNU_004785-RA	bZIP
NNU_004832-RA	NNU_004832-RA	Dof
NNU_004852-RA	NNU_004852-RA	SBP
NNU_004901-RA	NNU_004901-RA	NAC
NNU_004922-RA	NNU_004922-RA	ZF-HD
NNU_004940-RA	NNU_004940-RA	NAC
NNU_004947-RA	NNU_004947-RA	bHLH
NNU_005007-RA	NNU_005007-RA	WRKY
NNU_005172-RA	NNU_005172-RA	WRKY
NNU_005173-RA	NNU_005173-RA	GRAS
NNU_005217-RA	NNU_005217-RA	NF-YB
NNU_005224-RA	NNU_005224-RA	Trihelix
NNU_005227-RA	NNU_005227-RA	NF-YB
NNU_005288-RA	NNU_005288-RA	GRAS
NNU_005293-RA	NNU_005293-RA	WRKY
NNU_005350-RA	NNU_005350-RA	WRKY
NNU_005374-RA	NNU_005374-RA	bZIP
NNU_005431-RA	NNU_005431-RA	Dof
NNU_005436-RA	NNU_005436-RA	E2F/DP
NNU_005576-RA	NNU_005576-RA	WRKY
NNU_005601-RA	NNU_005601-RA	NF-YB
NNU_005609-RA	NNU_005609-RA	Dof
NNU_005617-RA	NNU_005617-RA	LBD
NNU_005646-RA	NNU_005646-RA	S1Fa-like
NNU_005714-RA	NNU_005714-RA	GATA
NNU_005735-RA	NNU_005735-RA	NF-X1
NNU_005749-RA	NNU_005749-RA	Trihelix
NNU_005785-RA	NNU_005785-RA	bHLH
NNU_005911-RA	NNU_005911-RA	bHLH
NNU_005925-RA	NNU_005925-RA	CPP
NNU_005975-RA	NNU_005975-RA	HSF
NNU_006004-RA	NNU_006004-RA	Trihelix
NNU_006067-RA	NNU_006067-RA	GRAS
NNU_006109-RA	NNU_006109-RA	CPP
NNU_006130-RA	NNU_006130-RA	bZIP
NNU_006184-RA	NNU_006184-RA	YABBY
NNU_006193-RA	NNU_006193-RA	bHLH
NNU_006235-RA	NNU_006235-RA	GATA
NNU_006236-RA	NNU_006236-RA	GATA
NNU_006246-RA	NNU_006246-RA	Dof
NNU_006282-RA	NNU_006282-RA	bHLH
NNU_006339-RA	NNU_006339-RA	bZIP
NNU_006343-RA	NNU_006343-RA	bHLH
NNU_006380-RA	NNU_006380-RA	bHLH
NNU_006386-RA	NNU_006386-RA	ZF-HD
NNU_006392-RA	NNU_006392-RA	GATA
NNU_006420-RA	NNU_006420-RA	GRAS
NNU_006461-RA	NNU_006461-RA	GRAS
NNU_006464-RA	NNU_006464-RA	bZIP
NNU_006474-RA	NNU_006474-RA	BES1
NNU_006481-RA	NNU_006481-RA	NAC
NNU_006564-RA	NNU_006564-RA	Dof
NNU_006581-RA	NNU_006581-RA	Dof
NNU_006597-RA	NNU_006597-RA	LBD
NNU_006605-RA	NNU_006605-RA	E2F/DP
NNU_006655-RA	NNU_006655-RA	GRAS
NNU_006703-RA	NNU_006703-RA	bHLH
NNU_006705-RA	NNU_006705-RA	BES1
NNU_006787-RA	NNU_006787-RA	HSF
NNU_006850-RA	NNU_006850-RA	TCP
NNU_007035-RA	NNU_007035-RA	bHLH
NNU_007045-RA	NNU_007045-RA	NF-YC
NNU_007057-RA	NNU_007057-RA	bHLH
NNU_007159-RA	NNU_007159-RA	HSF
NNU_007181-RA	NNU_007181-RA	CPP
NNU_007190-RA	NNU_007190-RA	Trihelix
NNU_007278-RA	NNU_007278-RA	WRKY
NNU_007298-RA	NNU_007298-RA	GRAS
NNU_007358-RA	NNU_007358-RA	NAC
NNU_007422-RA	NNU_007422-RA	TCP
NNU_007471-RA	NNU_007471-RA	bHLH
NNU_007473-RA	NNU_007473-RA	bHLH
NNU_007583-RA	NNU_007583-RA	bHLH
NNU_007617-RA	NNU_007617-RA	LBD
NNU_007649-RA	NNU_007649-RA	WRKY
NNU_007655-RA	NNU_007655-RA	GRAS
NNU_007688-RA	NNU_007688-RA	LBD
NNU_007725-RA	NNU_007725-RA	WRKY
NNU_007762-RA	NNU_007762-RA	LBD
NNU_007795-RA	NNU_007795-RA	Trihelix
NNU_007801-RA	NNU_007801-RA	bHLH
NNU_007843-RA	NNU_007843-RA	NF-YA
NNU_007909-RA	NNU_007909-RA	FAR1
NNU_007924-RA	NNU_007924-RA	bHLH
NNU_007949-RA	NNU_007949-RA	bZIP
NNU_007950-RA	NNU_007950-RA	EIL
NNU_007971-RA	NNU_007971-RA	SBP
NNU_007991-RA	NNU_007991-RA	GATA
NNU_008123-RA	NNU_008123-RA	GATA
NNU_008163-RA	NNU_008163-RA	NAC
NNU_008211-RA	NNU_008211-RA	bZIP
NNU_008213-RA	NNU_008213-RA	bZIP
NNU_008221-RA	NNU_008221-RA	bHLH
NNU_008242-RA	NNU_008242-RA	bHLH
NNU_008247-RA	NNU_008247-RA	Dof
NNU_008264-RA	NNU_008264-RA	E2F/DP
NNU_008273-RA	NNU_008273-RA	SBP
NNU_008274-RA	NNU_008274-RA	YABBY
NNU_008307-RA	NNU_008307-RA	TCP
NNU_008352-RA	NNU_008352-RA	NAC
NNU_008364-RA	NNU_008364-RA	WRKY
NNU_008419-RA	NNU_008419-RA	WRKY
NNU_008461-RA	NNU_008461-RA	NAC
NNU_008468-RA	NNU_008468-RA	NAC
NNU_008469-RA	NNU_008469-RA	NAC
NNU_008489-RA	NNU_008489-RA	Dof
NNU_008500-RA	NNU_008500-RA	Nin-like
NNU_008514-RA	NNU_008514-RA	ZF-HD
NNU_008515-RA	NNU_008515-RA	ZF-HD
NNU_008524-RA	NNU_008524-RA	NAC
NNU_008541-RA	NNU_008541-RA	bHLH
NNU_008570-RA	NNU_008570-RA	Nin-like
NNU_008579-RA	NNU_008579-RA	GRAS
NNU_008593-RA	NNU_008593-RA	bZIP
NNU_008679-RA	NNU_008679-RA	NAC
NNU_008703-RA	NNU_008703-RA	GATA
NNU_008704-RA	NNU_008704-RA	WRKY
NNU_008771-RA	NNU_008771-RA	FAR1
NNU_008810-RA	NNU_008810-RA	Dof
NNU_008817-RA	NNU_008817-RA	SBP
NNU_008818-RA	NNU_008818-RA	SBP
NNU_008823-RA	NNU_008823-RA	GATA
NNU_008831-RA	NNU_008831-RA	bHLH
NNU_008848-RA	NNU_008848-RA	Trihelix
NNU_008855-RA	NNU_008855-RA	GRAS
NNU_008890-RA	NNU_008890-RA	YABBY
NNU_008894-RA	NNU_008894-RA	NAC
NNU_008957-RA	NNU_008957-RA	CPP
NNU_008965-RA	NNU_008965-RA	Trihelix
NNU_008978-RA	NNU_008978-RA	HSF
NNU_009014-RA	NNU_009014-RA	WRKY
NNU_009041-RA	NNU_009041-RA	WRKY
NNU_009051-RA	NNU_009051-RA	bZIP
NNU_009076-RA	NNU_009076-RA	CAMTA
NNU_009108-RA	NNU_009108-RA	FAR1
NNU_009116-RA	NNU_009116-RA	GATA
NNU_009260-RA	NNU_009260-RA	TCP
NNU_009283-RA	NNU_009283-RA	NF-YB
NNU_009308-RA	NNU_009308-RA	bHLH
NNU_009391-RA	NNU_009391-RA	bZIP
NNU_009408-RA	NNU_009408-RA	NAC
NNU_009557-RA	NNU_009557-RA	WRKY
NNU_009596-RA	NNU_009596-RA	bHLH
NNU_009621-RA	NNU_009621-RA	Dof
NNU_009622-RA	NNU_009622-RA	Dof
NNU_009623-RA	NNU_009623-RA	SBP
NNU_009645-RA	NNU_009645-RA	NAC
NNU_009651-RA	NNU_009651-RA	ZF-HD
NNU_009671-RA	NNU_009671-RA	NAC
NNU_009703-RA	NNU_009703-RA	VOZ
NNU_009725-RA	NNU_009725-RA	bZIP
NNU_009753-RA	NNU_009753-RA	NF-YC
NNU_009756-RA	NNU_009756-RA	NAC
NNU_009776-RA	NNU_009776-RA	GRAS
NNU_009790-RA	NNU_009790-RA	NAC
NNU_009809-RA	NNU_009809-RA	FAR1
NNU_009815-RA	NNU_009815-RA	NF-YC
NNU_009875-RA	NNU_009875-RA	bHLH
NNU_009951-RA	NNU_009951-RA	NAC
NNU_010007-RA	NNU_010007-RA	bZIP
NNU_010009-RA	NNU_010009-RA	bZIP
NNU_010030-RA	NNU_010030-RA	Trihelix
NNU_010031-RA	NNU_010031-RA	Trihelix
NNU_010049-RA	NNU_010049-RA	bZIP
NNU_010097-RA	NNU_010097-RA	WRKY
NNU_010111-RA	NNU_010111-RA	NF-YC
NNU_010128-RA	NNU_010128-RA	WRKY
NNU_010152-RA	NNU_010152-RA	NAC
NNU_010177-RA	NNU_010177-RA	NF-YB
