TF_ID	Gene_ID	Family
AHYPO_005576-RA	AHYPO_005576	RAV
AHYPO_016826-RA	AHYPO_016826	RAV
AHYPO_019734-RA	AHYPO_019734	RAV
AHYPO_000051-RA	AHYPO_000051	HSF
AHYPO_000106-RA	AHYPO_000106	bHLH
AHYPO_000115-RA	AHYPO_000115	bHLH
AHYPO_000139-RA	AHYPO_000139	SBP
AHYPO_000255-RA	AHYPO_000255	GATA
AHYPO_000259-RA	AHYPO_000259	Trihelix
AHYPO_000293-RA	AHYPO_000293	WRKY
AHYPO_000301-RA	AHYPO_000301	CAMTA
AHYPO_000305-RA	AHYPO_000305	SBP
AHYPO_000320-RA	AHYPO_000320	TCP
AHYPO_000346-RA	AHYPO_000346	TCP
AHYPO_000360-RA	AHYPO_000360	Whirly
AHYPO_000361-RA	AHYPO_000361	WRKY
AHYPO_000376-RA	AHYPO_000376	Trihelix
AHYPO_000421-RA	AHYPO_000421	bHLH
AHYPO_000424-RA	AHYPO_000424	bHLH
AHYPO_000515-RA	AHYPO_000515	bHLH
AHYPO_000644-RA	AHYPO_000644	Trihelix
AHYPO_000646-RA	AHYPO_000646	Trihelix
AHYPO_000659-RA	AHYPO_000659	HSF
AHYPO_000660-RA	AHYPO_000660	GATA
AHYPO_000666-RA	AHYPO_000666	Trihelix
AHYPO_000754-RA	AHYPO_000754	bHLH
AHYPO_000786-RA	AHYPO_000786	GATA
AHYPO_000787-RA	AHYPO_000787	GATA
AHYPO_000792-RA	AHYPO_000792	FAR1
AHYPO_000797-RA	AHYPO_000797	CAMTA
AHYPO_000803-RA	AHYPO_000803	bZIP
AHYPO_000943-RA	AHYPO_000943	Trihelix
AHYPO_000961-RA	AHYPO_000961	bHLH
AHYPO_001049-RA	AHYPO_001049	GATA
AHYPO_001076-RA	AHYPO_001076	NF-YB
AHYPO_001120-RA	AHYPO_001120	bHLH
AHYPO_001173-RA	AHYPO_001173	Trihelix
AHYPO_001189-RA	AHYPO_001189	HSF
AHYPO_001190-RA	AHYPO_001190	GATA
AHYPO_001195-RA	AHYPO_001195	Trihelix
AHYPO_001215-RA	AHYPO_001215	bZIP
AHYPO_001248-RA	AHYPO_001248	NAC
AHYPO_001299-RA	AHYPO_001299	LBD
AHYPO_001450-RA	AHYPO_001450	bZIP
AHYPO_001457-RA	AHYPO_001457	WRKY
AHYPO_001471-RA	AHYPO_001471	WRKY
AHYPO_001473-RA	AHYPO_001473	bHLH
AHYPO_001499-RA	AHYPO_001499	SBP
AHYPO_001518-RA	AHYPO_001518	E2F/DP
AHYPO_001524-RA	AHYPO_001524	bHLH
AHYPO_001565-RA	AHYPO_001565	TCP
AHYPO_001576-RA	AHYPO_001576	ZF-HD
AHYPO_001663-RA	AHYPO_001663	NAC
AHYPO_001686-RA	AHYPO_001686	FAR1
AHYPO_001692-RA	AHYPO_001692	Nin-like
AHYPO_001751-RA	AHYPO_001751	GRAS
AHYPO_001767-RA	AHYPO_001767	WRKY
AHYPO_001785-RA	AHYPO_001785	GATA
AHYPO_001810-RA	AHYPO_001810	FAR1
AHYPO_001826-RA	AHYPO_001826	LBD
AHYPO_001833-RA	AHYPO_001833	S1Fa-like
AHYPO_001850-RA	AHYPO_001850	LBD
AHYPO_001902-RA	AHYPO_001902	bHLH
AHYPO_001925-RA	AHYPO_001925	Trihelix
AHYPO_001938-RA	AHYPO_001938	NAC
AHYPO_001951-RA	AHYPO_001951	BES1
AHYPO_001952-RA	AHYPO_001952	HSF
AHYPO_001978-RA	AHYPO_001978	Dof
AHYPO_002020-RA	AHYPO_002020	NF-YB
AHYPO_002031-RA	AHYPO_002031	GRAS
AHYPO_002079-RA	AHYPO_002079	WRKY
AHYPO_002095-RA	AHYPO_002095	bZIP
AHYPO_002183-RA	AHYPO_002183	HSF
AHYPO_002198-RA	AHYPO_002198	bHLH
AHYPO_002215-RA	AHYPO_002215	HRT-like
AHYPO_002238-RA	AHYPO_002238	bHLH
AHYPO_002318-RA	AHYPO_002318	bHLH
AHYPO_002339-RA	AHYPO_002339	GATA
AHYPO_002392-RA	AHYPO_002392	CAMTA
AHYPO_002424-RA	AHYPO_002424	bHLH
AHYPO_002439-RA	AHYPO_002439	Trihelix
AHYPO_002480-RA	AHYPO_002480	NAC
AHYPO_002483-RA	AHYPO_002483	NF-YA
AHYPO_002505-RA	AHYPO_002505	GRAS
AHYPO_002523-RA	AHYPO_002523	SRS
AHYPO_002544-RA	AHYPO_002544	HSF
AHYPO_002586-RA	AHYPO_002586	bHLH
AHYPO_002602-RA	AHYPO_002602	BES1
AHYPO_002609-RA	AHYPO_002609	GRAS
AHYPO_002700-RA	AHYPO_002700	bZIP
AHYPO_002745-RA	AHYPO_002745	NF-YA
AHYPO_002761-RA	AHYPO_002761	bHLH
AHYPO_002791-RA	AHYPO_002791	Trihelix
AHYPO_002802-RA	AHYPO_002802	bZIP
AHYPO_002926-RA	AHYPO_002926	WRKY
AHYPO_002927-RA	AHYPO_002927	WRKY
AHYPO_002929-RA	AHYPO_002929	WRKY
AHYPO_002930-RA	AHYPO_002930	bHLH
AHYPO_003009-RA	AHYPO_003009	LBD
AHYPO_003060-RA	AHYPO_003060	bHLH
AHYPO_003073-RA	AHYPO_003073	bZIP
AHYPO_003114-RA	AHYPO_003114	NF-YA
AHYPO_003129-RA	AHYPO_003129	NAC
AHYPO_003143-RA	AHYPO_003143	GATA
AHYPO_003153-RA	AHYPO_003153	SRS
AHYPO_003169-RA	AHYPO_003169	bZIP
AHYPO_003194-RA	AHYPO_003194	ZF-HD
AHYPO_003219-RA	AHYPO_003219	bHLH
AHYPO_003221-RA	AHYPO_003221	bZIP
AHYPO_003237-RA	AHYPO_003237	Trihelix
AHYPO_003244-RA	AHYPO_003244	CPP
AHYPO_003251-RA	AHYPO_003251	WRKY
AHYPO_003276-RA	AHYPO_003276	GRAS
AHYPO_003342-RA	AHYPO_003342	bZIP
AHYPO_003348-RA	AHYPO_003348	EIL
AHYPO_003399-RA	AHYPO_003399	bZIP
AHYPO_003409-RA	AHYPO_003409	NF-YB
AHYPO_003415-RA	AHYPO_003415	Trihelix
AHYPO_003441-RA	AHYPO_003441	WRKY
AHYPO_003445-RA	AHYPO_003445	GRAS
AHYPO_003454-RA	AHYPO_003454	NAC
AHYPO_003471-RA	AHYPO_003471	bHLH
AHYPO_003478-RA	AHYPO_003478	bHLH
AHYPO_003519-RA	AHYPO_003519	TCP
AHYPO_003548-RA	AHYPO_003548	bHLH
AHYPO_003681-RA	AHYPO_003681	bZIP
AHYPO_003717-RA	AHYPO_003717	WRKY
AHYPO_003726-RA	AHYPO_003726	LBD
AHYPO_003736-RA	AHYPO_003736	bZIP
AHYPO_003772-RA	AHYPO_003772	FAR1
AHYPO_003852-RA	AHYPO_003852	SBP
AHYPO_004018-RA	AHYPO_004018	Trihelix
AHYPO_004081-RA	AHYPO_004081	bHLH
AHYPO_004119-RA	AHYPO_004119	SBP
