TF_ID	Gene_ID	Family
Do003037.1	Do003037.1	RAV
Do012042.1	Do012042.1	RAV
Do012302.1	Do012302.1	RAV
Do004006.1	Do004006.1	RAV
Do021229.1	Do021229.1	RAV
Do000066.1	Do000066.1	bHLH
Do000072.1	Do000072.1	Trihelix
Do000147.1	Do000147.1	E2F/DP
Do000158.1	Do000158.1	bZIP
Do000214.1	Do000214.1	bHLH
Do000245.1	Do000245.1	NAC
Do000292.1	Do000292.1	GATA
Do000294.1	Do000294.1	GATA
Do000328.1	Do000328.1	bHLH
Do000425.1	Do000425.1	SBP
Do000437.1	Do000437.1	Dof
Do000478.1	Do000478.1	YABBY
Do000495.1	Do000495.1	NF-YA
Do000534.1	Do000534.1	Trihelix
Do000558.1	Do000558.1	bHLH
Do000601.1	Do000601.1	LBD
Do000661.1	Do000661.1	NAC
Do000702.1	Do000702.1	Trihelix
Do000707.1	Do000707.1	SBP
Do000733.1	Do000733.1	NF-YC
Do000746.1	Do000746.1	GRAS
Do000756.1	Do000756.1	Trihelix
Do000759.1	Do000759.1	bHLH
Do000821.1	Do000821.1	GRAS
Do000832.1	Do000832.1	WRKY
Do000925.1	Do000925.1	bZIP
Do000937.1	Do000937.1	NAC
Do000953.1	Do000953.1	bHLH
Do000955.1	Do000955.1	LBD
Do001067.1	Do001067.1	BES1
Do001097.1	Do001097.1	bHLH
Do001152.1	Do001152.1	NAC
Do001157.1	Do001157.1	ZF-HD
Do001164.1	Do001164.1	Trihelix
Do001166.1	Do001166.1	HSF
Do001180.1	Do001180.1	GATA
Do001246.1	Do001246.1	GeBP
Do001260.1	Do001260.1	bHLH
Do001263.1	Do001263.1	TCP
Do001279.1	Do001279.1	bZIP
Do001321.1	Do001321.1	WRKY
Do001347.1	Do001347.1	HSF
Do001354.1	Do001354.1	bHLH
Do001398.1	Do001398.1	NAC
Do001452.1	Do001452.1	Trihelix
Do001484.1	Do001484.1	NF-YB
Do001517.1	Do001517.1	bZIP
Do001523.1	Do001523.1	TCP
Do001525.1	Do001525.1	bHLH
Do001534.1	Do001534.1	NAC
Do001560.1	Do001560.1	WRKY
Do001594.1	Do001594.1	GRAS
Do001632.1	Do001632.1	bHLH
Do001643.1	Do001643.1	bHLH
Do001751.1	Do001751.1	WRKY
Do001762.1	Do001762.1	WRKY
Do001763.1	Do001763.1	WRKY
Do001797.1	Do001797.1	WRKY
Do001799.1	Do001799.1	HSF
Do001800.1	Do001800.1	WRKY
Do001886.1	Do001886.1	SBP
Do001904.1	Do001904.1	SBP
Do001906.1	Do001906.1	GATA
Do001930.1	Do001930.1	WRKY
Do001959.1	Do001959.1	NAC
Do001981.1	Do001981.1	HSF
Do002052.1	Do002052.1	GATA
Do002102.1	Do002102.1	NAC
Do002143.1	Do002143.1	TCP
Do002149.1	Do002149.1	bHLH
Do002201.1	Do002201.1	E2F/DP
Do002250.1	Do002250.1	LBD
Do002280.1	Do002280.1	BBR-BPC
Do002283.1	Do002283.1	bZIP
Do002294.1	Do002294.1	NAC
Do002300.1	Do002300.1	NAC
Do002349.1	Do002349.1	bHLH
Do002362.1	Do002362.1	NAC
Do002406.1	Do002406.1	bHLH
Do002449.1	Do002449.1	NAC
Do002458.1	Do002458.1	Nin-like
Do002520.1	Do002520.1	GRAS
Do002532.1	Do002532.1	NF-YA
Do002541.1	Do002541.1	NAC
Do002551.1	Do002551.1	bHLH
Do002598.1	Do002598.1	Dof
Do002628.1	Do002628.1	NAC
Do002645.1	Do002645.1	HSF
Do002667.1	Do002667.1	SRS
Do002704.1	Do002704.1	bHLH
Do002735.1	Do002735.1	Dof
Do002738.1	Do002738.1	bHLH
Do002743.1	Do002743.1	TCP
Do002774.1	Do002774.1	WRKY
Do002796.1	Do002796.1	YABBY
Do002836.1	Do002836.1	NAC
Do002847.1	Do002847.1	Trihelix
Do002854.1	Do002854.1	WRKY
Do002859.1	Do002859.1	Trihelix
Do002899.1	Do002899.1	WRKY
Do002928.1	Do002928.1	Nin-like
Do002969.1	Do002969.1	LBD
Do003007.1	Do003007.1	bHLH
Do003038.1	Do003038.1	bHLH
Do003086.1	Do003086.1	GeBP
Do003107.1	Do003107.1	Dof
Do003167.1	Do003167.1	HSF
Do003233.1	Do003233.1	GATA
Do003247.1	Do003247.1	NAC
Do003461.1	Do003461.1	NF-YA
Do003489.1	Do003489.1	bHLH
Do003525.1	Do003525.1	TCP
Do003563.1	Do003563.1	bHLH
Do003574.1	Do003574.1	NAC
Do003611.1	Do003611.1	NAC
Do003634.1	Do003634.1	bHLH
Do003647.1	Do003647.1	bZIP
Do003674.1	Do003674.1	FAR1
Do003686.1	Do003686.1	NAC
Do003738.1	Do003738.1	NAC
Do003780.1	Do003780.1	bHLH
Do003836.1	Do003836.1	YABBY
Do003840.1	Do003840.1	NAC
Do003868.1	Do003868.1	NAC
Do003874.1	Do003874.1	bHLH
Do003876.1	Do003876.1	GATA
Do003895.1	Do003895.1	E2F/DP
Do003940.1	Do003940.1	NAC
Do003945.1	Do003945.1	NAC
Do003967.1	Do003967.1	bZIP
Do003979.1	Do003979.1	Dof
Do004021.1	Do004021.1	NF-YC
Do004023.1	Do004023.1	NF-YC
Do004051.1	Do004051.1	bZIP
Do004059.1	Do004059.1	bHLH
Do004146.1	Do004146.1	bHLH
Do004161.1	Do004161.1	NAC
Do004168.1	Do004168.1	GATA
Do004342.1	Do004342.1	WRKY
Do004363.1	Do004363.1	Dof
Do004405.1	Do004405.1	bZIP
Do004480.1	Do004480.1	CAMTA
Do004562.1	Do004562.1	bHLH
Do004599.1	Do004599.1	WRKY
Do004661.1	Do004661.1	bHLH
Do004691.1	Do004691.1	bHLH
Do004741.1	Do004741.1	bZIP
Do004759.1	Do004759.1	GeBP
Do004766.1	Do004766.1	WRKY
Do004790.1	Do004790.1	bZIP
Do004800.1	Do004800.1	WRKY
Do004812.1	Do004812.1	NF-YA
Do004835.1	Do004835.1	Dof
Do004892.1	Do004892.1	bHLH
Do004946.1	Do004946.1	GRAS
Do004998.1	Do004998.1	NAC
Do005022.1	Do005022.1	NAC
Do005043.1	Do005043.1	NF-YB
Do005045.1	Do005045.1	bHLH
Do005067.1	Do005067.1	bHLH
Do005076.1	Do005076.1	NF-X1
Do005082.1	Do005082.1	HSF
Do005109.1	Do005109.1	GeBP
Do005222.1	Do005222.1	bHLH
Do005225.1	Do005225.1	NAC
Do005251.1	Do005251.1	FAR1
Do005274.1	Do005274.1	WRKY
Do005286.1	Do005286.1	NAC
Do005299.1	Do005299.1	GRAS
Do005362.1	Do005362.1	Nin-like
Do005424.1	Do005424.1	NAC
Do005455.1	Do005455.1	bHLH
Do005480.1	Do005480.1	ZF-HD
Do005486.1	Do005486.1	SRS
Do005497.1	Do005497.1	TCP
Do005566.1	Do005566.1	WRKY
Do005603.1	Do005603.1	Trihelix
Do005608.1	Do005608.1	Dof
Do005620.1	Do005620.1	bHLH
Do005671.1	Do005671.1	LBD
Do005686.1	Do005686.1	bHLH
Do005732.1	Do005732.1	bHLH
Do005733.1	Do005733.1	bHLH
Do005779.1	Do005779.1	bHLH
Do005783.1	Do005783.1	bZIP
Do005859.1	Do005859.1	HSF
Do005899.1	Do005899.1	bZIP
Do005920.1	Do005920.1	Dof
Do005959.1	Do005959.1	SBP
Do005980.1	Do005980.1	LBD
Do005987.1	Do005987.1	LBD
Do006064.1	Do006064.1	NAC
Do006093.1	Do006093.1	NAC
Do006095.1	Do006095.1	YABBY
Do006111.1	Do006111.1	LBD
