TF_ID	Gene_ID	Family
Migut.L01094.1.p	Migut.L01094	RAV
Migut.E00306.1.p	Migut.E00306	RAV
Migut.K00338.1.p	Migut.K00338	RAV
Migut.A00054.1.p	Migut.A00054	bZIP
Migut.A00054.2.p	Migut.A00054	bZIP
Migut.A00102.1.p	Migut.A00102	WRKY
Migut.A00131.1.p	Migut.A00131	LBD
Migut.A00198.1.p	Migut.A00198	GATA
Migut.A00224.1.p	Migut.A00224	CPP
Migut.A00318.1.p	Migut.A00318	CPP
Migut.A00320.1.p	Migut.A00320	CPP
Migut.A00323.1.p	Migut.A00323	CPP
Migut.A00323.2.p	Migut.A00323	CPP
Migut.A00324.1.p	Migut.A00324	CPP
Migut.A00335.1.p	Migut.A00335	WRKY
Migut.A00430.1.p	Migut.A00430	WRKY
Migut.A00430.2.p	Migut.A00430	WRKY
Migut.A00461.1.p	Migut.A00461	NAC
Migut.A00486.1.p	Migut.A00486	BES1
Migut.A00608.1.p	Migut.A00608	bZIP
Migut.A00671.1.p	Migut.A00671	WRKY
Migut.A00716.1.p	Migut.A00716	WRKY
Migut.A00718.1.p	Migut.A00718	WRKY
Migut.A00733.1.p	Migut.A00733	bHLH
Migut.A00788.1.p	Migut.A00788	NF-YC
Migut.A00803.1.p	Migut.A00803	HSF
Migut.A00972.1.p	Migut.A00972	NF-YB
Migut.A01003.1.p	Migut.A01003	GeBP
Migut.A01055.1.p	Migut.A01055	Trihelix
Migut.A01055.2.p	Migut.A01055	Trihelix
Migut.A01059.1.p	Migut.A01059	NAC
Migut.A01062.1.p	Migut.A01062	FAR1
Migut.A01167.1.p	Migut.A01167	NAC
Migut.A01168.1.p	Migut.A01168	NAC
Migut.A01203.1.p	Migut.A01203	GeBP
Migut.A01206.1.p	Migut.A01206	GeBP
Migut.B00011.1.p	Migut.B00011	Nin-like
Migut.B00028.1.p	Migut.B00028	NAC
Migut.B00065.1.p	Migut.B00065	GATA
Migut.B00082.1.p	Migut.B00082	bZIP
Migut.B00122.1.p	Migut.B00122	bZIP
Migut.B00182.1.p	Migut.B00182	GATA
Migut.B00182.2.p	Migut.B00182	GATA
Migut.B00196.1.p	Migut.B00196	SRS
Migut.B00214.1.p	Migut.B00214	bZIP
Migut.B00228.1.p	Migut.B00228	bHLH
Migut.B00228.2.p	Migut.B00228	bHLH
Migut.B00355.1.p	Migut.B00355	bZIP
Migut.B00355.2.p	Migut.B00355	bZIP
Migut.B00355.3.p	Migut.B00355	bZIP
Migut.B00361.1.p	Migut.B00361	bHLH
Migut.B00434.1.p	Migut.B00434	LBD
Migut.B00434.2.p	Migut.B00434	LBD
Migut.B00443.1.p	Migut.B00443	bHLH
Migut.B00488.1.p	Migut.B00488	BBR-BPC
Migut.B00503.1.p	Migut.B00503	bHLH
Migut.B00543.1.p	Migut.B00543	GATA
Migut.B00609.1.p	Migut.B00609	CAMTA
Migut.B00609.2.p	Migut.B00609	CAMTA
Migut.B00650.1.p	Migut.B00650	Trihelix
Migut.B00653.1.p	Migut.B00653	bZIP
Migut.B00703.1.p	Migut.B00703	NAC
Migut.B00716.1.p	Migut.B00716	ZF-HD
Migut.B00731.1.p	Migut.B00731	FAR1
Migut.B00792.1.p	Migut.B00792	ZF-HD
Migut.B00796.1.p	Migut.B00796	ZF-HD
Migut.B00798.1.p	Migut.B00798	ZF-HD
Migut.B00799.1.p	Migut.B00799	ZF-HD
Migut.B00803.1.p	Migut.B00803	TCP
Migut.B00803.2.p	Migut.B00803	TCP
Migut.B00807.1.p	Migut.B00807	bZIP
Migut.B00824.1.p	Migut.B00824	bHLH
Migut.B00825.1.p	Migut.B00825	bHLH
Migut.B00888.1.p	Migut.B00888	bHLH
Migut.B00923.1.p	Migut.B00923	NF-YB
Migut.B00945.1.p	Migut.B00945	NF-YB
Migut.B00946.1.p	Migut.B00946	NF-YB
Migut.B00952.1.p	Migut.B00952	NF-YB
Migut.B00953.1.p	Migut.B00953	NF-YB
Migut.B00954.1.p	Migut.B00954	NF-YB
Migut.B00955.1.p	Migut.B00955	NF-YB
Migut.B00956.1.p	Migut.B00956	NF-YB
Migut.B00988.1.p	Migut.B00988	GATA
Migut.B00988.2.p	Migut.B00988	GATA
Migut.B00999.1.p	Migut.B00999	ZF-HD
Migut.B01075.1.p	Migut.B01075	Trihelix
Migut.B01081.1.p	Migut.B01081	Trihelix
Migut.B01086.1.p	Migut.B01086	bZIP
Migut.B01126.1.p	Migut.B01126	FAR1
Migut.B01164.1.p	Migut.B01164	EIL
Migut.B01188.1.p	Migut.B01188	bHLH
Migut.B01236.1.p	Migut.B01236	Trihelix
Migut.B01333.1.p	Migut.B01333	bHLH
Migut.B01423.1.p	Migut.B01423	Nin-like
Migut.B01512.1.p	Migut.B01512	WRKY
Migut.B01572.1.p	Migut.B01572	SBP
Migut.B01572.2.p	Migut.B01572	SBP
Migut.B01572.3.p	Migut.B01572	SBP
Migut.B01573.1.p	Migut.B01573	SBP
Migut.B01577.1.p	Migut.B01577	GATA
Migut.B01581.1.p	Migut.B01581	bHLH
Migut.B01597.1.p	Migut.B01597	GRAS
Migut.B01607.1.p	Migut.B01607	YABBY
Migut.B01641.1.p	Migut.B01641	LBD
Migut.B01642.1.p	Migut.B01642	LBD
Migut.B01672.1.p	Migut.B01672	TCP
Migut.B01797.1.p	Migut.B01797	WRKY
Migut.B01828.1.p	Migut.B01828	bZIP
Migut.B01828.2.p	Migut.B01828	bZIP
Migut.B01828.3.p	Migut.B01828	bZIP
Migut.B01847.1.p	Migut.B01847	WRKY
Migut.B01884.1.p	Migut.B01884	bHLH
Migut.B01894.1.p	Migut.B01894	Dof
Migut.B01912.1.p	Migut.B01912	bHLH
Migut.C00090.1.p	Migut.C00090	bHLH
Migut.C00214.1.p	Migut.C00214	bZIP
Migut.C00273.1.p	Migut.C00273	bHLH
Migut.C00339.1.p	Migut.C00339	SBP
Migut.C00339.2.p	Migut.C00339	SBP
Migut.C00446.1.p	Migut.C00446	bHLH
Migut.C00492.1.p	Migut.C00492	bHLH
Migut.C00539.1.p	Migut.C00539	WRKY
Migut.C00561.1.p	Migut.C00561	bHLH
Migut.C00567.1.p	Migut.C00567	HSF
Migut.C00572.1.p	Migut.C00572	bZIP
Migut.C00646.1.p	Migut.C00646	Dof
Migut.C00690.1.p	Migut.C00690	BES1
Migut.C00746.1.p	Migut.C00746	ZF-HD
Migut.C00762.1.p	Migut.C00762	bHLH
Migut.C00766.1.p	Migut.C00766	bZIP
Migut.C00805.1.p	Migut.C00805	E2F/DP
Migut.C00999.1.p	Migut.C00999	bZIP
Migut.C00999.2.p	Migut.C00999	bZIP
Migut.C01007.1.p	Migut.C01007	bZIP
Migut.C01016.1.p	Migut.C01016	Trihelix
Migut.C01017.1.p	Migut.C01017	Trihelix
Migut.C01028.1.p	Migut.C01028	Dof
Migut.C01100.1.p	Migut.C01100	GRAS
Migut.C01100.2.p	Migut.C01100	GRAS
Migut.C01110.1.p	Migut.C01110	NAC
Migut.C01249.1.p	Migut.C01249	NAC
Migut.C01285.1.p	Migut.C01285	TCP
Migut.C01294.1.p	Migut.C01294	bZIP
Migut.C01371.1.p	Migut.C01371	bHLH
Migut.C01402.1.p	Migut.C01402	Whirly
Migut.D00024.1.p	Migut.D00024	SBP
Migut.D00064.1.p	Migut.D00064	WRKY
Migut.D00078.1.p	Migut.D00078	WRKY
Migut.D00084.1.p	Migut.D00084	bZIP
Migut.D00108.1.p	Migut.D00108	GATA
Migut.D00186.1.p	Migut.D00186	NF-YB
Migut.D00274.1.p	Migut.D00274	bHLH
Migut.D00287.1.p	Migut.D00287	bHLH
Migut.D00287.2.p	Migut.D00287	bHLH
Migut.D00358.1.p	Migut.D00358	HSF
Migut.D00370.1.p	Migut.D00370	bHLH
Migut.D00387.1.p	Migut.D00387	WRKY
Migut.D00401.1.p	Migut.D00401	bHLH
Migut.D00401.2.p	Migut.D00401	bHLH
Migut.D00408.1.p	Migut.D00408	LBD
Migut.D00437.1.p	Migut.D00437	NAC
Migut.D00443.1.p	Migut.D00443	GRAS
Migut.D00504.1.p	Migut.D00504	bHLH
Migut.D00564.1.p	Migut.D00564	LBD
Migut.D00568.1.p	Migut.D00568	bHLH
Migut.D00604.1.p	Migut.D00604	NF-YA
Migut.D00604.2.p	Migut.D00604	NF-YA
Migut.D00641.1.p	Migut.D00641	bHLH
Migut.D00643.1.p	Migut.D00643	GRAS
Migut.D00656.1.p	Migut.D00656	SRS
Migut.D00705.1.p	Migut.D00705	NF-YC
Migut.D00719.1.p	Migut.D00719	EIL
Migut.D00743.1.p	Migut.D00743	bHLH
Migut.D00842.1.p	Migut.D00842	WRKY
Migut.D00966.1.p	Migut.D00966	LBD
Migut.D00976.1.p	Migut.D00976	Dof
Migut.D01033.1.p	Migut.D01033	Trihelix
Migut.D01107.1.p	Migut.D01107	LBD
Migut.D01124.1.p	Migut.D01124	WRKY
Migut.D01179.1.p	Migut.D01179	LFY
Migut.D01185.1.p	Migut.D01185	Trihelix
Migut.D01191.1.p	Migut.D01191	bHLH
Migut.D01205.1.p	Migut.D01205	BBR-BPC
Migut.D01221.1.p	Migut.D01221	NF-X1
Migut.D01224.1.p	Migut.D01224	bHLH
Migut.D01232.1.p	Migut.D01232	GRAS
Migut.D01269.1.p	Migut.D01269	NF-YC
Migut.D01296.1.p	Migut.D01296	NAC
Migut.D01478.1.p	Migut.D01478	NAC
Migut.D01515.1.p	Migut.D01515	NAC
Migut.D01587.1.p	Migut.D01587	NF-YB
Migut.D01611.1.p	Migut.D01611	bHLH
Migut.D01611.2.p	Migut.D01611	bHLH
Migut.D01611.3.p	Migut.D01611	bHLH
Migut.D01611.4.p	Migut.D01611	bHLH
Migut.D01635.1.p	Migut.D01635	TCP
Migut.D01635.2.p	Migut.D01635	TCP
Migut.D01647.1.p	Migut.D01647	WRKY
Migut.D01653.1.p	Migut.D01653	WRKY
Migut.D01669.1.p	Migut.D01669	bHLH
Migut.D01669.2.p	Migut.D01669	bHLH
Migut.D01687.1.p	Migut.D01687	NAC
Migut.D01706.1.p	Migut.D01706	TCP
Migut.D01802.1.p	Migut.D01802	NAC
Migut.D01811.1.p	Migut.D01811	Dof
Migut.D01815.1.p	Migut.D01815	Nin-like
Migut.D01819.1.p	Migut.D01819	ZF-HD
Migut.D01829.1.p	Migut.D01829	TCP
Migut.D01831.1.p	Migut.D01831	bHLH
Migut.D01841.1.p	Migut.D01841	bHLH
Migut.D01842.1.p	Migut.D01842	bHLH
Migut.D01865.1.p	Migut.D01865	LBD
Migut.D01883.1.p	Migut.D01883	FAR1
Migut.D01884.1.p	Migut.D01884	FAR1
Migut.D01986.1.p	Migut.D01986	LBD
Migut.D01987.1.p	Migut.D01987	LBD
Migut.D02076.1.p	Migut.D02076	GRAS
Migut.D02077.1.p	Migut.D02077	GRAS
Migut.D02079.1.p	Migut.D02079	GRAS
Migut.D02079.2.p	Migut.D02079	GRAS
Migut.D02176.1.p	Migut.D02176	Dof
Migut.D02201.1.p	Migut.D02201	NAC
Migut.D02232.1.p	Migut.D02232	GATA
Migut.D02232.2.p	Migut.D02232	GATA
Migut.D02289.1.p	Migut.D02289	bHLH
Migut.D02290.1.p	Migut.D02290	bHLH
Migut.D02326.1.p	Migut.D02326	FAR1
Migut.D02326.2.p	Migut.D02326	FAR1
Migut.D02379.1.p	Migut.D02379	YABBY
Migut.D02423.1.p	Migut.D02423	NAC
