TF_ID	Gene_ID	Family
CCG000595.1	CCG000595.1	RAV
CCG025123.1	CCG025123.1	RAV
CCG013920.1	CCG013920.1	RAV
CCG030528.1	CCG030528.1	RAV
CCG030219.1	CCG030219.1	RAV
CCG000007.1	CCG000007.1	LBD
CCG000015.1	CCG000015.1	NF-YB
CCG000075.1	CCG000075.1	bHLH
CCG000094.1	CCG000094.1	Dof
CCG000111.1	CCG000111.1	GRAS
CCG000223.2	CCG000223.2	bHLH
CCG000229.2	CCG000229.2	Trihelix
CCG000230.1	CCG000230.1	LBD
CCG000243.1	CCG000243.1	LBD
CCG000297.1	CCG000297.1	LBD
CCG000299.1	CCG000299.1	NAC
CCG000314.1	CCG000314.1	NAC
CCG000343.1	CCG000343.1	ZF-HD
CCG000356.1	CCG000356.1	Dof
CCG000365.1	CCG000365.1	NAC
CCG000387.1	CCG000387.1	WRKY
CCG000403.1	CCG000403.1	WRKY
CCG000433.1	CCG000433.1	YABBY
CCG000434.1	CCG000434.1	SBP
CCG000438.1	CCG000438.1	SBP
CCG000477.1	CCG000477.1	WRKY
CCG000506.1	CCG000506.1	GRAS
CCG000509.1	CCG000509.1	bZIP
CCG000518.1	CCG000518.1	CAMTA
CCG000527.3	CCG000527.3	FAR1
CCG000557.1	CCG000557.1	bHLH
CCG000564.1	CCG000564.1	bHLH
CCG000565.1	CCG000565.1	bZIP
CCG000586.1	CCG000586.1	TCP
CCG000588.1	CCG000588.1	bHLH
CCG000591.1	CCG000591.1	NAC
CCG000606.1	CCG000606.1	bZIP
CCG000626.1	CCG000626.1	LBD
CCG000725.1	CCG000725.1	GRAS
CCG000795.1	CCG000795.1	BBR-BPC
CCG000865.1	CCG000865.1	Whirly
CCG000925.1	CCG000925.1	CPP
CCG000940.1	CCG000940.1	HSF
CCG000993.1	CCG000993.1	WRKY
CCG001019.1	CCG001019.1	LBD
CCG001024.1	CCG001024.1	bZIP
CCG001062.1	CCG001062.1	bHLH
CCG001083.1	CCG001083.1	NAC
CCG001091.1	CCG001091.1	bZIP
CCG001135.1	CCG001135.1	TCP
CCG001155.1	CCG001155.1	LBD
CCG001161.1	CCG001161.1	bHLH
CCG001200.1	CCG001200.1	NF-YC
CCG001243.1	CCG001243.1	GRAS
CCG001259.1	CCG001259.1	bHLH
CCG001290.1	CCG001290.1	WRKY
CCG001330.1	CCG001330.1	NAC
CCG001341.1	CCG001341.1	HSF
CCG001354.1	CCG001354.1	Trihelix
CCG001377.1	CCG001377.1	Nin-like
CCG001407.1	CCG001407.1	SBP
CCG001452.1	CCG001452.1	NAC
CCG001458.1	CCG001458.1	HSF
CCG001493.1	CCG001493.1	bHLH
CCG001517.1	CCG001517.1	bHLH
CCG001572.1	CCG001572.1	NAC
CCG001596.3	CCG001596.3	WRKY
CCG001597.1	CCG001597.1	WRKY
CCG001610.2	CCG001610.2	bHLH
CCG001613.2	CCG001613.2	bZIP
CCG001625.1	CCG001625.1	Trihelix
CCG001631.2	CCG001631.2	CPP
CCG001724.1	CCG001724.1	HSF
CCG001732.1	CCG001732.1	SRS
CCG001742.1	CCG001742.1	GATA
CCG001760.1	CCG001760.1	BBR-BPC
CCG001761.1	CCG001761.1	bZIP
CCG001791.1	CCG001791.1	bHLH
CCG001881.1	CCG001881.1	NAC
CCG002018.1	CCG002018.1	Trihelix
CCG002043.1	CCG002043.1	SBP
CCG002048.1	CCG002048.1	NAC
CCG002067.1	CCG002067.1	ZF-HD
CCG002083.1	CCG002083.1	bHLH
CCG002090.1	CCG002090.1	NAC
CCG002131.1	CCG002131.1	GRAS
CCG002138.1	CCG002138.1	WRKY
CCG002141.1	CCG002141.1	GRAS
CCG002195.1	CCG002195.1	CPP
CCG002206.1	CCG002206.1	WRKY
CCG002218.1	CCG002218.1	bHLH
CCG002228.1	CCG002228.1	LBD
CCG002229.1	CCG002229.1	LBD
CCG002260.1	CCG002260.1	NAC
CCG002268.1	CCG002268.1	GRAS
CCG002275.1	CCG002275.1	ZF-HD
CCG002297.2	CCG002297.2	bHLH
CCG002301.1	CCG002301.1	bZIP
CCG002322.1	CCG002322.1	SRS
CCG002338.1	CCG002338.1	BBR-BPC
CCG002361.1	CCG002361.1	E2F/DP
CCG002444.1	CCG002444.1	GRAS
CCG002481.1	CCG002481.1	TCP
