TF_ID	Gene_ID	Family
CA12g20650	CA12g20650	RAV
CA00g00130	CA00g00130	WRKY
CA00g00230	CA00g00230	WRKY
CA00g00390	CA00g00390	LBD
CA00g03050	CA00g03050	NAC
CA00g07140	CA00g07140	E2F/DP
CA00g10990	CA00g10990	bZIP
CA00g16330	CA00g16330	bHLH
CA00g29950	CA00g29950	Nin-like
CA00g32430	CA00g32430	GATA
CA00g32460	CA00g32460	SBP
CA00g33100	CA00g33100	NF-YA
CA00g34300	CA00g34300	GATA
CA00g34580	CA00g34580	GeBP
CA00g41470	CA00g41470	bZIP
CA00g42950	CA00g42950	GRAS
CA00g44100	CA00g44100	Trihelix
CA00g45170	CA00g45170	Dof
CA00g45390	CA00g45390	HSF
CA00g46270	CA00g46270	NAC
CA00g46850	CA00g46850	bHLH
CA00g50270	CA00g50270	bHLH
CA00g50480	CA00g50480	FAR1
CA00g52210	CA00g52210	bHLH
CA00g53720	CA00g53720	bHLH
CA00g54690	CA00g54690	NAC
CA00g56330	CA00g56330	bHLH
CA00g57880	CA00g57880	Dof
CA00g57890	CA00g57890	E2F/DP
CA00g58390	CA00g58390	bHLH
CA00g58490	CA00g58490	bZIP
CA00g60490	CA00g60490	WRKY
CA00g60620	CA00g60620	GATA
CA00g63000	CA00g63000	HSF
CA00g63410	CA00g63410	GRAS
CA00g64360	CA00g64360	bHLH
CA00g64610	CA00g64610	Dof
CA00g64680	CA00g64680	bHLH
CA00g65660	CA00g65660	NF-YA
CA00g66680	CA00g66680	NAC
CA00g66790	CA00g66790	GRAS
CA00g67520	CA00g67520	YABBY
CA00g67620	CA00g67620	NAC
CA00g67630	CA00g67630	GRAS
CA00g69000	CA00g69000	bHLH
CA00g71530	CA00g71530	HSF
CA00g71840	CA00g71840	bZIP
CA00g71910	CA00g71910	bZIP
CA00g73220	CA00g73220	NAC
CA00g73380	CA00g73380	NF-YA
CA00g74140	CA00g74140	bHLH
CA00g74270	CA00g74270	NF-YA
CA00g74540	CA00g74540	SBP
CA00g75200	CA00g75200	NF-YC
CA00g75310	CA00g75310	LBD
CA00g76770	CA00g76770	FAR1
CA00g77770	CA00g77770	bHLH
CA00g77790	CA00g77790	NAC
CA00g78480	CA00g78480	Dof
CA00g79730	CA00g79730	Nin-like
CA00g80260	CA00g80260	Trihelix
CA00g80710	CA00g80710	WRKY
CA00g81170	CA00g81170	Trihelix
CA00g81250	CA00g81250	Nin-like
CA00g81450	CA00g81450	bHLH
CA00g82730	CA00g82730	Nin-like
CA00g82930	CA00g82930	CPP
CA00g84090	CA00g84090	GRAS
CA00g84110	CA00g84110	GRAS
CA00g84150	CA00g84150	Dof
CA00g84200	CA00g84200	NAC
CA00g84390	CA00g84390	Dof
CA00g86330	CA00g86330	LBD
CA00g86400	CA00g86400	NAC
CA00g86410	CA00g86410	NAC
CA00g87020	CA00g87020	GATA
CA00g87690	CA00g87690	WRKY
CA00g89360	CA00g89360	GeBP
CA00g89750	CA00g89750	NAC
CA00g89790	CA00g89790	NAC
CA00g90280	CA00g90280	bHLH
CA00g91420	CA00g91420	ZF-HD
CA00g91430	CA00g91430	ZF-HD
CA00g95620	CA00g95620	bHLH
CA00g95680	CA00g95680	NF-YC
CA00g96300	CA00g96300	Dof
CA01g00280	CA01g00280	bHLH
CA01g00490	CA01g00490	Dof
CA01g00740	CA01g00740	Nin-like
CA01g01280	CA01g01280	WRKY
CA01g01900	CA01g01900	WRKY
CA01g01920	CA01g01920	WRKY
CA01g02540	CA01g02540	bHLH
CA01g03100	CA01g03100	HSF
CA01g03260	CA01g03260	GRAS
CA01g03560	CA01g03560	TCP
CA01g03980	CA01g03980	bHLH
CA01g04070	CA01g04070	bHLH
CA01g04740	CA01g04740	NAC
CA01g04770	CA01g04770	YABBY
CA01g05690	CA01g05690	TCP
CA01g06170	CA01g06170	GATA
CA01g07140	CA01g07140	bHLH
CA01g07270	CA01g07270	bHLH
CA01g07540	CA01g07540	HSF
CA01g07550	CA01g07550	NAC
CA01g07960	CA01g07960	bZIP
CA01g08080	CA01g08080	BBR-BPC
CA01g09650	CA01g09650	NAC
CA01g09930	CA01g09930	Trihelix
CA01g10190	CA01g10190	FAR1
CA01g10630	CA01g10630	EIL
CA01g10640	CA01g10640	EIL
CA01g11010	CA01g11010	bHLH
CA01g11190	CA01g11190	LBD
CA01g11210	CA01g11210	LBD
CA01g11960	CA01g11960	NAC
CA01g12960	CA01g12960	GRAS
CA01g13150	CA01g13150	GRAS
CA01g13280	CA01g13280	bZIP
CA01g13570	CA01g13570	EIL
CA01g14220	CA01g14220	GATA
CA01g14430	CA01g14430	FAR1
CA01g15440	CA01g15440	EIL
CA01g17160	CA01g17160	NAC
CA01g17270	CA01g17270	LBD
CA01g17310	CA01g17310	bHLH
CA01g17540	CA01g17540	bHLH
CA01g19610	CA01g19610	SRS
CA01g19720	CA01g19720	GATA
CA01g19850	CA01g19850	BBR-BPC
CA01g20090	CA01g20090	bHLH
CA01g20270	CA01g20270	NF-YA
CA01g21310	CA01g21310	FAR1
CA01g22410	CA01g22410	WRKY
CA01g22800	CA01g22800	SBP
CA01g23300	CA01g23300	WRKY
CA01g23320	CA01g23320	GRAS
CA01g23330	CA01g23330	GRAS
CA01g24080	CA01g24080	bZIP
CA01g24680	CA01g24680	NF-YC
CA01g24820	CA01g24820	bHLH
CA01g24950	CA01g24950	SBP
CA01g26660	CA01g26660	NAC
CA01g26680	CA01g26680	GRAS
CA01g26690	CA01g26690	GRAS
CA01g26770	CA01g26770	bHLH
CA01g26780	CA01g26780	bHLH
CA01g27470	CA01g27470	Trihelix
CA01g28150	CA01g28150	WRKY
CA01g29220	CA01g29220	Nin-like
CA01g29420	CA01g29420	bHLH
CA01g29700	CA01g29700	WRKY
CA01g30040	CA01g30040	bZIP
CA01g30350	CA01g30350	HSF
CA01g30550	CA01g30550	NAC
CA01g31490	CA01g31490	bHLH
CA01g31670	CA01g31670	GATA
CA01g31850	CA01g31850	GRAS
CA01g32800	CA01g32800	BES1
CA01g33720	CA01g33720	GATA
CA01g34090	CA01g34090	NF-YC
CA01g34460	CA01g34460	WRKY
CA01g34470	CA01g34470	WRKY
CA01g34480	CA01g34480	WRKY
CA01g34600	CA01g34600	Nin-like
CA01g34700	CA01g34700	bHLH
CA01g34750	CA01g34750	NAC
CA02g00130	CA02g00130	GRAS
CA02g00820	CA02g00820	LBD
CA02g00850	CA02g00850	Trihelix
CA02g00960	CA02g00960	bZIP
CA02g01120	CA02g01120	Dof
CA02g01550	CA02g01550	Dof
CA02g01670	CA02g01670	LBD
CA02g01800	CA02g01800	WRKY
CA02g02540	CA02g02540	bHLH
CA02g03060	CA02g03060	NAC
CA02g03480	CA02g03480	WRKY
CA02g03800	CA02g03800	GeBP
CA02g04240	CA02g04240	VOZ
CA02g04350	CA02g04350	LBD
CA02g04500	CA02g04500	TCP
CA02g04730	CA02g04730	NF-YA
CA02g04820	CA02g04820	NAC
CA02g05210	CA02g05210	bHLH
CA02g05270	CA02g05270	GATA
CA02g05350	CA02g05350	bZIP
CA02g05470	CA02g05470	NAC
CA02g05650	CA02g05650	bZIP
CA02g05990	CA02g05990	SRS
CA02g06450	CA02g06450	NAC
CA02g06510	CA02g06510	BES1
CA02g06560	CA02g06560	bHLH
CA02g06780	CA02g06780	GeBP
CA02g07070	CA02g07070	GeBP
CA02g08280	CA02g08280	TCP
CA02g08530	CA02g08530	WRKY
CA02g08580	CA02g08580	bHLH
CA02g08610	CA02g08610	ZF-HD
CA02g08620	CA02g08620	ZF-HD
CA02g08630	CA02g08630	ZF-HD
CA02g09250	CA02g09250	TCP
CA02g11030	CA02g11030	HSF
CA02g11990	CA02g11990	bHLH
CA02g12180	CA02g12180	WRKY
CA02g13270	CA02g13270	BES1
CA02g13280	CA02g13280	HSF
CA02g13320	CA02g13320	HSF
CA02g13500	CA02g13500	WRKY
CA02g14130	CA02g14130	Trihelix
CA02g14180	CA02g14180	Dof
CA02g14270	CA02g14270	bHLH
CA02g14320	CA02g14320	bHLH
CA02g14440	CA02g14440	bHLH
CA02g14640	CA02g14640	WRKY
CA02g15180	CA02g15180	Dof
CA02g15190	CA02g15190	Dof
CA02g15200	CA02g15200	SBP
CA02g15520	CA02g15520	NAC
CA02g15750	CA02g15750	Dof
CA02g16000	CA02g16000	HSF
CA02g16250	CA02g16250	bHLH
CA02g16840	CA02g16840	HSF
CA02g17470	CA02g17470	bHLH
CA02g17520	CA02g17520	bHLH
CA02g17700	CA02g17700	bZIP
CA02g17720	CA02g17720	bHLH
CA02g17910	CA02g17910	NAC
