TF_ID	Gene_ID	Family
GSVIVT01036447001	GSVIVG01036447001	RAV
GSVIVT01000012001	GSVIVG01000012001	bHLH
GSVIVT01000107001	GSVIVG01000107001	GRAS
GSVIVT01000141001	GSVIVG01000141001	LBD
GSVIVT01000142001	GSVIVG01000142001	GRAS
GSVIVT01000386001	GSVIVG01000386001	ZF-HD
GSVIVT01000714001	GSVIVG01000714001	bZIP
GSVIVT01000717001	GSVIVG01000717001	bHLH
GSVIVT01000752001	GSVIVG01000752001	WRKY
GSVIVT01000771001	GSVIVG01000771001	bHLH
GSVIVT01000847001	GSVIVG01000847001	GRAS
GSVIVT01000940001	GSVIVG01000940001	NAC
GSVIVT01001264001	GSVIVG01001264001	NAC
GSVIVT01001269001	GSVIVG01001269001	YABBY
GSVIVT01001286001	GSVIVG01001286001	WRKY
GSVIVT01001308001	GSVIVG01001308001	GRAS
GSVIVT01001332001	GSVIVG01001332001	WRKY
GSVIVT01001468001	GSVIVG01001468001	bZIP
GSVIVT01001783001	GSVIVG01001783001	bZIP
GSVIVT01001896001	GSVIVG01001896001	FAR1
GSVIVT01001940001	GSVIVG01001940001	bZIP
GSVIVT01002066001	GSVIVG01002066001	HSF
GSVIVT01002242001	GSVIVG01002242001	Dof
GSVIVT01002668001	GSVIVG01002668001	bHLH
GSVIVT01002745001	GSVIVG01002745001	GeBP
GSVIVT01002833001	GSVIVG01002833001	bHLH
GSVIVT01002895001	GSVIVG01002895001	NF-YB
GSVIVT01003118001	GSVIVG01003118001	HSF
GSVIVT01003437001	GSVIVG01003437001	bHLH
GSVIVT01003485001	GSVIVG01003485001	FAR1
GSVIVT01003546001	GSVIVG01003546001	LBD
GSVIVT01003547001	GSVIVG01003547001	LBD
GSVIVT01003548001	GSVIVG01003548001	LBD
GSVIVT01003614001	GSVIVG01003614001	ZF-HD
GSVIVT01003683001	GSVIVG01003683001	Trihelix
GSVIVT01003697001	GSVIVG01003697001	bHLH
GSVIVT01003698001	GSVIVG01003698001	bHLH
GSVIVT01003701001	GSVIVG01003701001	bHLH
GSVIVT01003836001	GSVIVG01003836001	SBP
GSVIVT01003947001	GSVIVG01003947001	Dof
GSVIVT01004104001	GSVIVG01004104001	GRAS
GSVIVT01004323001	GSVIVG01004323001	LBD
GSVIVT01004375001	GSVIVG01004375001	NF-YB
GSVIVT01004409001	GSVIVG01004409001	bHLH
GSVIVT01004860001	GSVIVG01004860001	CAMTA
GSVIVT01004930001	GSVIVG01004930001	bHLH
GSVIVT01004940001	GSVIVG01004940001	bHLH
GSVIVT01005057001	GSVIVG01005057001	Dof
GSVIVT01005236001	GSVIVG01005236001	FAR1
GSVIVT01005301001	GSVIVG01005301001	bHLH
GSVIVT01006269001	GSVIVG01006269001	LBD
GSVIVT01006485001	GSVIVG01006485001	NAC
GSVIVT01006588001	GSVIVG01006588001	bHLH
GSVIVT01007006001	GSVIVG01007006001	WRKY
GSVIVT01007007001	GSVIVG01007007001	GRAS
GSVIVT01007117001	GSVIVG01007117001	bHLH
GSVIVT01007194001	GSVIVG01007194001	NAC
GSVIVT01007339001	GSVIVG01007339001	bHLH
GSVIVT01007389001	GSVIVG01007389001	bHLH
GSVIVT01007522001	GSVIVG01007522001	Trihelix
GSVIVT01007532001	GSVIVG01007532001	GRAS
GSVIVT01007677001	GSVIVG01007677001	LBD
GSVIVT01007758001	GSVIVG01007758001	Dof
GSVIVT01007772001	GSVIVG01007772001	bHLH
GSVIVT01007832001	GSVIVG01007832001	E2F/DP
GSVIVT01007914001	GSVIVG01007914001	bHLH
GSVIVT01007982001	GSVIVG01007982001	NAC
GSVIVT01007992001	GSVIVG01007992001	Dof
GSVIVT01007998001	GSVIVG01007998001	Nin-like
GSVIVT01008023001	GSVIVG01008023001	TCP
GSVIVT01008030001	GSVIVG01008030001	bHLH
GSVIVT01008034001	GSVIVG01008034001	bHLH
GSVIVT01008046001	GSVIVG01008046001	WRKY
GSVIVT01008080001	GSVIVG01008080001	LBD
GSVIVT01008093001	GSVIVG01008093001	bHLH
GSVIVT01008109001	GSVIVG01008109001	TCP
GSVIVT01008156001	GSVIVG01008156001	Dof
GSVIVT01008164001	GSVIVG01008164001	bHLH
GSVIVT01008215001	GSVIVG01008215001	NF-YB
GSVIVT01008234001	GSVIVG01008234001	TCP
GSVIVT01008284001	GSVIVG01008284001	LBD
GSVIVT01008291001	GSVIVG01008291001	NAC
GSVIVT01008299001	GSVIVG01008299001	bHLH
GSVIVT01008305001	GSVIVG01008305001	bHLH
GSVIVT01008482001	GSVIVG01008482001	NF-X1
GSVIVT01008515001	GSVIVG01008515001	Trihelix
GSVIVT01008553001	GSVIVG01008553001	WRKY
GSVIVT01008556001	GSVIVG01008556001	SBP
GSVIVT01008570001	GSVIVG01008570001	NF-YC
GSVIVT01008601001	GSVIVG01008601001	NAC
GSVIVT01008628001	GSVIVG01008628001	bHLH
GSVIVT01008637001	GSVIVG01008637001	bHLH
GSVIVT01008644001	GSVIVG01008644001	Trihelix
GSVIVT01008655001	GSVIVG01008655001	LFY
GSVIVT01008839001	GSVIVG01008839001	NAC
GSVIVT01008901001	GSVIVG01008901001	GRAS
GSVIVT01008960001	GSVIVG01008960001	bZIP
