TF_ID	Gene_ID	Family
SapurV1A.0079s0450.1.p	SapurV1A.0079s0450	RAV
SapurV1A.1001s0020.1.p	SapurV1A.1001s0020	RAV
SapurV1A.3302s0010.1.p	SapurV1A.3302s0010	RAV
SapurV1A.0009s0070.1.p	SapurV1A.0009s0070	RAV
SapurV1A.2134s0020.1.p	SapurV1A.2134s0020	RAV
SapurV1A.2134s0020.2.p	SapurV1A.2134s0020	RAV
SapurV1A.0001s0200.1.p	SapurV1A.0001s0200	WRKY
SapurV1A.0001s0420.1.p	SapurV1A.0001s0420	bHLH
SapurV1A.0001s0490.1.p	SapurV1A.0001s0490	Trihelix
SapurV1A.0001s0490.2.p	SapurV1A.0001s0490	Trihelix
SapurV1A.0001s1670.1.p	SapurV1A.0001s1670	WRKY
SapurV1A.0001s1700.1.p	SapurV1A.0001s1700	GRAS
SapurV1A.0001s1700.2.p	SapurV1A.0001s1700	GRAS
SapurV1A.0001s1930.1.p	SapurV1A.0001s1930	Dof
SapurV1A.0001s1930.2.p	SapurV1A.0001s1930	Dof
SapurV1A.0001s2050.1.p	SapurV1A.0001s2050	bZIP
SapurV1A.0001s2050.2.p	SapurV1A.0001s2050	bZIP
SapurV1A.0001s2320.10.p	SapurV1A.0001s2320	SBP
SapurV1A.0001s2320.1.p	SapurV1A.0001s2320	SBP
SapurV1A.0001s2320.2.p	SapurV1A.0001s2320	SBP
SapurV1A.0001s2320.3.p	SapurV1A.0001s2320	SBP
SapurV1A.0001s2320.4.p	SapurV1A.0001s2320	SBP
SapurV1A.0001s2320.5.p	SapurV1A.0001s2320	SBP
SapurV1A.0001s2320.6.p	SapurV1A.0001s2320	SBP
SapurV1A.0001s2320.7.p	SapurV1A.0001s2320	SBP
SapurV1A.0001s2320.8.p	SapurV1A.0001s2320	SBP
SapurV1A.0001s2320.9.p	SapurV1A.0001s2320	SBP
SapurV1A.0001s2810.1.p	SapurV1A.0001s2810	bHLH
SapurV1A.0001s2810.2.p	SapurV1A.0001s2810	bHLH
SapurV1A.0001s2820.1.p	SapurV1A.0001s2820	bHLH
SapurV1A.0002s0060.1.p	SapurV1A.0002s0060	Whirly
SapurV1A.0002s0060.2.p	SapurV1A.0002s0060	Whirly
SapurV1A.0002s0250.1.p	SapurV1A.0002s0250	Trihelix
SapurV1A.0002s0940.1.p	SapurV1A.0002s0940	GRAS
SapurV1A.0003s0310.1.p	SapurV1A.0003s0310	NAC
SapurV1A.0003s0330.1.p	SapurV1A.0003s0330	NAC
SapurV1A.0003s0430.1.p	SapurV1A.0003s0430	bHLH
SapurV1A.0003s0430.2.p	SapurV1A.0003s0430	bHLH
SapurV1A.0003s0530.1.p	SapurV1A.0003s0530	NAC
SapurV1A.0003s0670.1.p	SapurV1A.0003s0670	bHLH
SapurV1A.0003s0880.1.p	SapurV1A.0003s0880	Dof
SapurV1A.0003s0880.2.p	SapurV1A.0003s0880	Dof
SapurV1A.0003s0880.3.p	SapurV1A.0003s0880	Dof
SapurV1A.0003s1040.1.p	SapurV1A.0003s1040	bHLH
SapurV1A.0004s0180.1.p	SapurV1A.0004s0180	bZIP
SapurV1A.0004s0280.1.p	SapurV1A.0004s0280	bHLH
SapurV1A.0004s0280.2.p	SapurV1A.0004s0280	bHLH
SapurV1A.0004s0280.3.p	SapurV1A.0004s0280	bHLH
SapurV1A.0004s0630.1.p	SapurV1A.0004s0630	GATA
SapurV1A.0004s0640.1.p	SapurV1A.0004s0640	GATA
SapurV1A.0004s0640.2.p	SapurV1A.0004s0640	GATA
SapurV1A.0004s0900.1.p	SapurV1A.0004s0900	bHLH
SapurV1A.0004s0900.2.p	SapurV1A.0004s0900	bHLH
SapurV1A.0004s1200.1.p	SapurV1A.0004s1200	bHLH
SapurV1A.0005s0310.1.p	SapurV1A.0005s0310	Nin-like
SapurV1A.0005s0310.2.p	SapurV1A.0005s0310	Nin-like
SapurV1A.0005s0340.1.p	SapurV1A.0005s0340	GeBP
SapurV1A.0005s0400.1.p	SapurV1A.0005s0400	bHLH
SapurV1A.0005s0750.1.p	SapurV1A.0005s0750	bHLH
SapurV1A.0005s0750.2.p	SapurV1A.0005s0750	bHLH
SapurV1A.0005s1150.1.p	SapurV1A.0005s1150	bHLH
