TF_ID	Gene_ID	Family
Dca18854.1	Dca18854	RAV
Dca10243.1	Dca10243	NF-YA
Dca10246.1	Dca10246	Trihelix
Dca1050.1	Dca1050	BBR-BPC
Dca10730.1	Dca10730	bHLH
Dca10788.1	Dca10788	bZIP
Dca10858.1	Dca10858	SRS
Dca11075.1	Dca11075	FAR1
Dca11113.1	Dca11113	BES1
Dca11158.1	Dca11158	CPP
Dca11187.1	Dca11187	bHLH
Dca11208.1	Dca11208	Trihelix
Dca11233.1	Dca11233	NAC
Dca11377.1	Dca11377	Dof
Dca11390.1	Dca11390	Dof
Dca11427.1	Dca11427	NF-YA
Dca11454.1	Dca11454	bZIP
Dca11474.1	Dca11474	bZIP
Dca11514.1	Dca11514	FAR1
Dca11608.1	Dca11608	bHLH
Dca11741.1	Dca11741	FAR1
Dca11875.1	Dca11875	bHLH
Dca11931.1	Dca11931	bHLH
Dca12014.1	Dca12014	FAR1
Dca12235.1	Dca12235	NAC
Dca12352.1	Dca12352	bHLH
Dca12446.1	Dca12446	bHLH
Dca12454.1	Dca12454	LFY
Dca12464.1	Dca12464	NAC
Dca12557.1	Dca12557	bZIP
Dca12567.1	Dca12567	BES1
Dca12805.1	Dca12805	bHLH
Dca12897.1	Dca12897	FAR1
Dca12933.1	Dca12933	bHLH
Dca12993.1	Dca12993	CAMTA
Dca13008.1	Dca13008	NAC
Dca13191.1	Dca13191	Trihelix
Dca13348.1	Dca13348	BES1
Dca13357.1	Dca13357	STAT
Dca13450.1	Dca13450	bHLH
Dca13478.1	Dca13478	bZIP
Dca13547.1	Dca13547	NAC
Dca13635.1	Dca13635	bZIP
Dca13636.1	Dca13636	Trihelix
Dca13740.1	Dca13740	NAC
Dca13804.1	Dca13804	FAR1
Dca13893.1	Dca13893	FAR1
Dca13909.1	Dca13909	FAR1
Dca13941.1	Dca13941	FAR1
Dca13949.1	Dca13949	FAR1
Dca14026.1	Dca14026	FAR1
Dca14116.1	Dca14116	WRKY
Dca14210.1	Dca14210	WRKY
Dca14273.1	Dca14273	FAR1
Dca14360.1	Dca14360	HSF
Dca14447.1	Dca14447	bZIP
Dca14511.1	Dca14511	LBD
Dca14717.1	Dca14717	FAR1
Dca14842.1	Dca14842	bHLH
Dca14902.1	Dca14902	bHLH
Dca14913.1	Dca14913	NF-YA
Dca14916.1	Dca14916	bZIP
Dca1501.1	Dca1501	VOZ
Dca15166.1	Dca15166	FAR1
Dca1519.1	Dca1519	bZIP
Dca1520.1	Dca1520	bZIP
Dca15260.1	Dca15260	Whirly
Dca15261.1	Dca15261	Whirly
Dca15320.1	Dca15320	Trihelix
Dca15340.1	Dca15340	GRAS
