TF_ID	Gene_ID	Family
XP_010093403.1	L484_022972	RAV
XP_010087389.1	L484_018415	RAV
XP_010110369.1	L484_009976	RAV
XP_010086552.1	L484_001444	ZF-HD
XP_010086565.1	L484_007627	WRKY
XP_010086689.1	L484_000659	Dof
XP_010086697.1	L484_016125	bZIP
XP_010086730.1	L484_016163	GRAS
XP_010086741.1	L484_001973	NF-YC
XP_010086778.1	L484_001635	WRKY
XP_010086812.1	L484_009583	GRAS
XP_010086863.1	L484_009921	WRKY
XP_010086870.1	L484_005283	LBD
XP_010086912.1	L484_005172	WRKY
XP_010086954.1	L484_005914	LBD
XP_010086955.1	L484_005915	GRAS
XP_010086977.1	L484_010123	SBP
XP_010086980.1	L484_010126	WRKY
XP_010086998.1	L484_005893	TCP
XP_010087059.1	L484_012304	LBD
XP_010087101.1	L484_012529	HSF
XP_010087124.1	L484_012556	bZIP
XP_010087126.1	L484_012559	bHLH
XP_010087144.1	L484_007394	Trihelix
XP_010087146.1	L484_007396	NAC
XP_010087230.1	L484_009739	WRKY
XP_010087232.1	L484_009741	GRAS
XP_010087242.1	L484_009751	bZIP
XP_010087306.1	L484_002986	TCP
XP_010087331.1	L484_012664	bZIP
XP_010087390.1	L484_018416	GATA
XP_010087392.1	L484_018418	GATA
XP_010087414.1	L484_018441	TCP
XP_010087462.1	L484_019666	FAR1
XP_010087483.1	L484_019689	E2F/DP
XP_010087532.1	L484_006937	LBD
XP_010087599.1	L484_022125	CAMTA
XP_010087643.1	L484_010594	FAR1
XP_010087661.1	L484_010613	NF-YB
XP_010087663.1	L484_010615	Trihelix
XP_010087666.1	L484_010618	NF-YB
XP_010087689.1	L484_013451	NF-YA
XP_010087745.1	L484_008942	bHLH
XP_010087781.1	L484_016352	bHLH
XP_010088009.1	L484_004599	BES1
XP_010088011.1	L484_004601	HSF
XP_010088096.1	L484_014842	GeBP
XP_010088106.1	L484_000779	NAC
XP_010088131.1	L484_013575	NAC
XP_010088142.1	L484_013586	Dof
XP_010088162.1	L484_013607	ZF-HD
XP_010088164.1	L484_013609	ZF-HD
XP_010088228.1	L484_012510	NF-YA
XP_010088257.1	L484_005133	CPP
XP_010088258.1	L484_005134	CPP
XP_010088375.1	L484_008109	Dof
XP_010088441.1	L484_018213	NF-YB
XP_010088443.1	L484_018215	NF-YB
XP_010088452.1	L484_018224	NF-YB
XP_010088481.1	L484_013686	NAC
XP_010088484.1	L484_013689	NAC
XP_010088495.1	L484_013700	LBD
XP_010088541.1	L484_002082	LBD
XP_010088657.1	L484_007879	bZIP
XP_010088702.1	L484_016488	NAC
XP_010088821.1	L484_020803	HSF
XP_010088845.1	L484_020829	Trihelix
XP_010088882.1	L484_020870	YABBY
XP_010088896.1	L484_020885	GRAS
XP_010088933.1	L484_018560	bHLH
XP_010088954.1	L484_013533	NF-YB
XP_010088963.1	L484_013542	HSF
XP_010088985.1	L484_020268	Dof
XP_010089034.1	L484_020320	GATA
XP_010089100.1	L484_024273	bHLH
XP_010089137.1	L484_024312	NF-YC
XP_010089192.1	L484_002979	Dof
XP_010089230.1	L484_004059	NF-YC
XP_010089231.1	L484_004060	GRAS
XP_010089247.1	L484_021776	bHLH
XP_010089251.1	L484_021780	GATA
XP_010089257.1	L484_021787	SBP
XP_010089258.1	L484_021788	SBP
XP_010089408.1	L484_013801	Trihelix
XP_010089411.1	L484_013804	Trihelix
XP_010089474.1	L484_011928	WRKY
XP_010089502.1	L484_006053	NAC
XP_010089503.1	L484_006054	NAC
XP_010089523.1	L484_011685	bZIP
XP_010089564.1	L484_020954	WRKY
XP_010089649.1	L484_021042	TCP
XP_010089721.1	L484_013915	GRAS
XP_010089783.1	L484_008033	Trihelix
XP_010089818.1	L484_022334	NF-YB
XP_010089829.1	L484_022345	bZIP
XP_010089831.1	L484_022347	bZIP
XP_010089907.1	L484_008595	NAC
XP_010089911.1	L484_008599	Dof
XP_010089914.1	L484_008602	NAC
XP_010089926.1	L484_014436	Dof
XP_010089971.1	L484_008049	GATA
XP_010090025.1	L484_027255	HRT-like
XP_010090039.1	L484_027270	GATA
XP_010090051.1	L484_027282	LBD
XP_010090062.1	L484_027293	bHLH
XP_010090068.1	L484_027299	HSF
XP_010090113.1	L484_027345	NF-YA
XP_010090255.1	L484_006161	Trihelix
XP_010090260.1	L484_006166	CPP
XP_010090273.1	L484_006180	GeBP
XP_010090274.1	L484_006181	GeBP
XP_010090287.1	L484_024952	bHLH
XP_010090380.1	L484_025045	bHLH
XP_010090392.1	L484_025057	bHLH
XP_010090439.1	L484_008002	NAC
XP_010090441.1	L484_008004	NAC
XP_010090516.1	L484_017140	YABBY
XP_010090542.1	L484_016592	EIL
XP_010090543.1	L484_016593	EIL
XP_010090639.1	L484_017441	CAMTA
XP_010090650.1	L484_017456	SBP
XP_010090653.1	L484_017459	WRKY
XP_010090667.1	L484_017473	TCP
XP_010090688.1	L484_017494	NAC
XP_010090782.1	L484_009058	NF-YB
XP_010090819.1	L484_020677	NF-YB
