TF_ID	Gene_ID	Family
FANhyb_icon00000657_a.1.g00001.1	FANhyb_icon00000657_a.1.g00001.1	RAV
FANhyb_rscf00006333.1.g00001.1	FANhyb_rscf00006333.1.g00001.1	RAV
FANhyb_rscf00000662.1.g00003.1	FANhyb_rscf00000662.1.g00003.1	RAV
FANhyb_rscf00001211.1.g00006.1	FANhyb_rscf00001211.1.g00006.1	RAV
FANhyb_icon00000037_a.1.g00001.1	FANhyb_icon00000037_a.1.g00001.1	NF-YC
FANhyb_icon00000082_a.1.g00001.1	FANhyb_icon00000082_a.1.g00001.1	NAC
FANhyb_icon00000086_a.1.g00001.1	FANhyb_icon00000086_a.1.g00001.1	FAR1
FANhyb_icon00000103_a.1.g00001.1	FANhyb_icon00000103_a.1.g00001.1	bZIP
FANhyb_icon00000155_a.1.g00001.1	FANhyb_icon00000155_a.1.g00001.1	Trihelix
FANhyb_icon00000286_a.1.g00001.1	FANhyb_icon00000286_a.1.g00001.1	Dof
FANhyb_icon00000369_a.1.g00001.1	FANhyb_icon00000369_a.1.g00001.1	GRAS
FANhyb_icon00000378_a.1.g00001.1	FANhyb_icon00000378_a.1.g00001.1	bZIP
FANhyb_icon00000409_a.1.g00001.1	FANhyb_icon00000409_a.1.g00001.1	SBP
FANhyb_icon00000413_a.1.g00001.1	FANhyb_icon00000413_a.1.g00001.1	GRAS
FANhyb_icon00000435_a.1.g00001.1	FANhyb_icon00000435_a.1.g00001.1	bZIP
FANhyb_icon00000456_a.1.g00001.1	FANhyb_icon00000456_a.1.g00001.1	WRKY
FANhyb_icon00000457_a.1.g00001.1	FANhyb_icon00000457_a.1.g00001.1	Nin-like
FANhyb_icon00000662_a.1.g00001.1	FANhyb_icon00000662_a.1.g00001.1	Trihelix
FANhyb_icon00000687_a.1.g00001.1	FANhyb_icon00000687_a.1.g00001.1	WRKY
FANhyb_icon00000768_a.1.g00001.1	FANhyb_icon00000768_a.1.g00001.1	WRKY
FANhyb_icon00000792_a.1.g00001.1	FANhyb_icon00000792_a.1.g00001.1	LBD
FANhyb_icon00000825_a.1.g00001.1	FANhyb_icon00000825_a.1.g00001.1	NAC
FANhyb_icon00000854_a.1.g00001.1	FANhyb_icon00000854_a.1.g00001.1	bZIP
FANhyb_icon00000871_a.1.g00001.1	FANhyb_icon00000871_a.1.g00001.1	FAR1
FANhyb_icon00000995_a.1.g00001.1	FANhyb_icon00000995_a.1.g00001.1	FAR1
FANhyb_icon00001007_a.1.g00001.1	FANhyb_icon00001007_a.1.g00001.1	GRAS
FANhyb_icon00001105_a.1.g00001.1	FANhyb_icon00001105_a.1.g00001.1	WRKY
FANhyb_icon00001111_a.1.g00002.1	FANhyb_icon00001111_a.1.g00002.1	BES1
FANhyb_icon00001112_a.1.g00001.1	FANhyb_icon00001112_a.1.g00001.1	GRAS
FANhyb_icon00001118_a.1.g00001.1	FANhyb_icon00001118_a.1.g00001.1	FAR1
FANhyb_icon00001173_a.1.g00001.1	FANhyb_icon00001173_a.1.g00001.1	NAC
FANhyb_icon00001194_a.1.g00001.1	FANhyb_icon00001194_a.1.g00001.1	YABBY
FANhyb_icon00001345_a.1.g00001.1	FANhyb_icon00001345_a.1.g00001.1	Dof
FANhyb_icon00001388_a.1.g00001.1	FANhyb_icon00001388_a.1.g00001.1	GRAS
FANhyb_icon00001429_a.1.g00001.1	FANhyb_icon00001429_a.1.g00001.1	LBD
FANhyb_icon00001436_a.1.g00001.1	FANhyb_icon00001436_a.1.g00001.1	NAC
FANhyb_icon00001446_a.1.g00001.1	FANhyb_icon00001446_a.1.g00001.1	LBD
FANhyb_icon00001572_a.1.g00001.1	FANhyb_icon00001572_a.1.g00001.1	WRKY
FANhyb_icon00001611_a.1.g00001.1	FANhyb_icon00001611_a.1.g00001.1	bZIP
FANhyb_icon00001650_a.1.g00001.1	FANhyb_icon00001650_a.1.g00001.1	bHLH
FANhyb_icon00001738_a.1.g00001.1	FANhyb_icon00001738_a.1.g00001.1	bHLH
FANhyb_icon00001740_a.1.g00001.1	FANhyb_icon00001740_a.1.g00001.1	GRAS
FANhyb_icon00001839_a.1.g00001.1	FANhyb_icon00001839_a.1.g00001.1	bHLH
FANhyb_icon00001976_a.1.g00001.1	FANhyb_icon00001976_a.1.g00001.1	HSF
FANhyb_icon00002021_a.1.g00001.1	FANhyb_icon00002021_a.1.g00001.1	NAC
FANhyb_icon00002302_a.1.g00001.1	FANhyb_icon00002302_a.1.g00001.1	BES1
FANhyb_icon00002702_a.1.g00001.1	FANhyb_icon00002702_a.1.g00001.1	E2F/DP
FANhyb_icon00002805_a.1.g00001.1	FANhyb_icon00002805_a.1.g00001.1	NAC
FANhyb_icon00003056_a.1.g00001.1	FANhyb_icon00003056_a.1.g00001.1	bHLH
FANhyb_icon00003061_a.1.g00001.1	FANhyb_icon00003061_a.1.g00001.1	Trihelix
FANhyb_icon00003337_a.1.g00001.1	FANhyb_icon00003337_a.1.g00001.1	NAC
FANhyb_icon00003557_a.1.g00001.1	FANhyb_icon00003557_a.1.g00001.1	FAR1
FANhyb_icon00003699_a.1.g00001.1	FANhyb_icon00003699_a.1.g00001.1	bHLH
FANhyb_icon00003954_a.1.g00001.1	FANhyb_icon00003954_a.1.g00001.1	NAC
FANhyb_icon00004064_a.1.g00001.1	FANhyb_icon00004064_a.1.g00001.1	SBP
FANhyb_icon00004457_a.1.g00001.1	FANhyb_icon00004457_a.1.g00001.1	EIL
FANhyb_icon00004712_a.1.g00001.1	FANhyb_icon00004712_a.1.g00001.1	NAC
FANhyb_icon00004730_a.1.g00001.1	FANhyb_icon00004730_a.1.g00001.1	SBP
FANhyb_icon00004954_a.1.g00001.1	FANhyb_icon00004954_a.1.g00001.1	LBD
FANhyb_icon00005019_a.1.g00001.1	FANhyb_icon00005019_a.1.g00001.1	bZIP
FANhyb_icon00005132_a.1.g00001.1	FANhyb_icon00005132_a.1.g00001.1	FAR1
FANhyb_icon00005720_a.1.g00001.1	FANhyb_icon00005720_a.1.g00001.1	bHLH
FANhyb_icon00005788_a.1.g00001.1	FANhyb_icon00005788_a.1.g00001.1	NAC
FANhyb_icon00005950_a.1.g00001.1	FANhyb_icon00005950_a.1.g00001.1	LBD
FANhyb_icon00005989_a.1.g00001.1	FANhyb_icon00005989_a.1.g00001.1	bHLH
FANhyb_icon00006028_a.1.g00001.1	FANhyb_icon00006028_a.1.g00001.1	bHLH
FANhyb_icon00006132_a.1.g00001.1	FANhyb_icon00006132_a.1.g00001.1	FAR1
FANhyb_icon00006293_a.1.g00001.1	FANhyb_icon00006293_a.1.g00001.1	NAC
FANhyb_icon00006341_a.1.g00001.1	FANhyb_icon00006341_a.1.g00001.1	bHLH
FANhyb_icon00006561_a.1.g00001.1	FANhyb_icon00006561_a.1.g00001.1	WRKY
FANhyb_icon00006584_a.1.g00001.1	FANhyb_icon00006584_a.1.g00001.1	FAR1
FANhyb_icon00006645_a.1.g00001.1	FANhyb_icon00006645_a.1.g00001.1	LBD
FANhyb_icon00006922_a.1.g00001.1	FANhyb_icon00006922_a.1.g00001.1	NAC
FANhyb_icon00006979_a.1.g00001.1	FANhyb_icon00006979_a.1.g00001.1	LFY
FANhyb_icon00007002_a.1.g00001.1	FANhyb_icon00007002_a.1.g00001.1	WRKY
FANhyb_icon00007937_a.1.g00001.1	FANhyb_icon00007937_a.1.g00001.1	NAC
FANhyb_icon00008008_a.1.g00001.1	FANhyb_icon00008008_a.1.g00001.1	LBD
