TF_ID	Gene_ID	Family
Pp3c1_16700V3.1.p	Pp3c1_16700	RAV
Pp3c1_16700V3.2.p	Pp3c1_16700	RAV
Pp3c1_16700V3.3.p	Pp3c1_16700	RAV
Pp3c1_16700V3.4.p	Pp3c1_16700	RAV
Pp3c2_23660V3.1.p	Pp3c2_23660	RAV
Pp3c2_23660V3.2.p	Pp3c2_23660	RAV
Pp3c2_23660V3.3.p	Pp3c2_23660	RAV
Pp3c10_14310V3.1.p	Pp3c10_14310	TCP
Pp3c10_14310V3.2.p	Pp3c10_14310	TCP
Pp3c10_16180V3.1.p	Pp3c10_16180	bHLH
Pp3c10_16180V3.2.p	Pp3c10_16180	bHLH
Pp3c10_17500V3.1.p	Pp3c10_17500	NF-YB
Pp3c10_17500V3.2.p	Pp3c10_17500	NF-YB
Pp3c10_17500V3.3.p	Pp3c10_17500	NF-YB
Pp3c10_17500V3.4.p	Pp3c10_17500	NF-YB
Pp3c10_17500V3.5.p	Pp3c10_17500	NF-YB
Pp3c10_17500V3.6.p	Pp3c10_17500	NF-YB
Pp3c10_17500V3.7.p	Pp3c10_17500	NF-YB
Pp3c10_17630V3.1.p	Pp3c10_17630	GRAS
Pp3c10_17630V3.2.p	Pp3c10_17630	GRAS
Pp3c10_19020V3.1.p	Pp3c10_19020	bHLH
Pp3c10_19020V3.2.p	Pp3c10_19020	bHLH
Pp3c10_19020V3.3.p	Pp3c10_19020	bHLH
Pp3c10_19020V3.4.p	Pp3c10_19020	bHLH
Pp3c10_20400V3.1.p	Pp3c10_20400	TCP
Pp3c10_20400V3.2.p	Pp3c10_20400	TCP
Pp3c10_20400V3.3.p	Pp3c10_20400	TCP
Pp3c10_20400V3.4.p	Pp3c10_20400	TCP
Pp3c10_20400V3.5.p	Pp3c10_20400	TCP
Pp3c10_20400V3.6.p	Pp3c10_20400	TCP
Pp3c10_20400V3.7.p	Pp3c10_20400	TCP
Pp3c10_20400V3.8.p	Pp3c10_20400	TCP
Pp3c10_22480V3.1.p	Pp3c10_22480	GATA
Pp3c10_22480V3.2.p	Pp3c10_22480	GATA
Pp3c10_22600V3.1.p	Pp3c10_22600	GATA
Pp3c10_22600V3.2.p	Pp3c10_22600	GATA
Pp3c10_25720V3.1.p	Pp3c10_25720	Trihelix
Pp3c10_25720V3.2.p	Pp3c10_25720	Trihelix
Pp3c10_25720V3.3.p	Pp3c10_25720	Trihelix
Pp3c10_25720V3.4.p	Pp3c10_25720	Trihelix
Pp3c10_25720V3.5.p	Pp3c10_25720	Trihelix
Pp3c10_25720V3.6.p	Pp3c10_25720	Trihelix
Pp3c10_25720V3.7.p	Pp3c10_25720	Trihelix
Pp3c10_25720V3.8.p	Pp3c10_25720	Trihelix
Pp3c10_25720V3.9.p	Pp3c10_25720	Trihelix
Pp3c10_2910V3.1.p	Pp3c10_2910	NF-YC
Pp3c10_2910V3.2.p	Pp3c10_2910	NF-YC
Pp3c10_2910V3.3.p	Pp3c10_2910	NF-YC
Pp3c10_2910V3.4.p	Pp3c10_2910	NF-YC
Pp3c10_2910V3.5.p	Pp3c10_2910	NF-YC
Pp3c10_4280V3.10.p	Pp3c10_4280	bHLH
Pp3c10_4280V3.11.p	Pp3c10_4280	bHLH
Pp3c10_4280V3.12.p	Pp3c10_4280	bHLH
Pp3c10_4280V3.13.p	Pp3c10_4280	bHLH
Pp3c10_4280V3.14.p	Pp3c10_4280	bHLH
Pp3c10_4280V3.15.p	Pp3c10_4280	bHLH
Pp3c10_4280V3.1.p	Pp3c10_4280	bHLH
Pp3c10_4280V3.2.p	Pp3c10_4280	bHLH
Pp3c10_4280V3.3.p	Pp3c10_4280	bHLH
Pp3c10_4280V3.4.p	Pp3c10_4280	bHLH
Pp3c10_4280V3.5.p	Pp3c10_4280	bHLH
Pp3c10_4280V3.6.p	Pp3c10_4280	bHLH
Pp3c10_4280V3.7.p	Pp3c10_4280	bHLH
Pp3c10_4280V3.8.p	Pp3c10_4280	bHLH
Pp3c10_4280V3.9.p	Pp3c10_4280	bHLH
Pp3c11_11230V3.10.p	Pp3c11_11230	LBD
Pp3c11_11230V3.11.p	Pp3c11_11230	LBD
Pp3c11_11230V3.1.p	Pp3c11_11230	LBD
Pp3c11_11230V3.2.p	Pp3c11_11230	LBD
