TF_ID	Gene_ID	Family
XP_010528045.1	LOC104805246	RAV
XP_010556384.1	LOC104825711	RAV
XP_010536332.1	LOC104811360	RAV
XP_010551303.1	LOC104821961	RAV
XP_010544462.1	LOC104817081	RAV
XP_010518703.1	LOC104798355	GATA
XP_010518733.1	LOC104798376	GRAS
XP_010518735.1	LOC104798376	GRAS
XP_010518736.1	LOC104798377	NF-YB
XP_010518737.1	LOC104798377	NF-YB
XP_010518738.1	LOC104798377	NF-YB
XP_010518739.1	LOC104798377	NF-YB
XP_010518740.1	LOC104798378	Trihelix
XP_010518770.1	LOC104798399	TCP
XP_010518819.1	LOC104798435	HSF
XP_010518825.1	LOC104798442	BES1
XP_010518826.1	LOC104798442	BES1
XP_010518919.1	LOC104798493	bHLH
XP_010518926.1	LOC104798501	BBR-BPC
XP_010518982.1	LOC104798543	LBD
XP_010518983.1	LOC104798544	Trihelix
XP_010518984.1	LOC104798544	Trihelix
XP_010519038.1	LOC104798581	WRKY
XP_010519068.1	LOC104798599	Dof
XP_010519069.1	LOC104798601	NF-YA
XP_010519088.1	LOC104798618	NF-X1
XP_010519174.1	LOC104798695	bHLH
XP_010519194.1	LOC104798711	EIL
XP_010519240.1	LOC104798747	TCP
XP_010519282.1	LOC104798783	GRAS
XP_010519366.1	LOC104798854	YABBY
XP_010519367.1	LOC104798854	YABBY
XP_010519368.1	LOC104798854	YABBY
XP_010519372.1	LOC104798859	GRAS
XP_010519374.1	LOC104798859	GRAS
XP_010519375.1	LOC104798859	GRAS
XP_010519397.1	LOC104798876	bZIP
XP_010519511.1	LOC104798945	NF-YC
XP_010519514.1	LOC104798948	Trihelix
XP_010519515.1	LOC104798948	Trihelix
XP_010519577.1	LOC104798991	NAC
XP_010519592.1	LOC104799003	bZIP
XP_010519593.1	LOC104799003	bZIP
XP_010519750.1	LOC104799107	NF-YA
XP_010519751.1	LOC104799107	NF-YA
XP_010519752.1	LOC104799104	EIL
XP_010519753.1	LOC104799107	NF-YA
XP_010519754.1	LOC104799107	NF-YA
XP_010519755.1	LOC104799107	NF-YA
XP_010519756.1	LOC104799107	NF-YA
XP_010519785.1	LOC104799121	SRS
XP_010519786.1	LOC104799121	SRS
XP_010519853.1	LOC104799164	bZIP
XP_010519860.1	LOC104799164	bZIP
XP_010519867.1	LOC104799164	bZIP
XP_010519876.1	LOC104799164	bZIP
XP_010519882.1	LOC104799191	GATA
XP_010519883.1	LOC104799164	bZIP
XP_010519890.1	LOC104799164	bZIP
XP_010519897.1	LOC104799200	CPP
XP_010519899.1	LOC104799164	bZIP
XP_010519931.1	LOC104799223	CPP
XP_010519932.1	LOC104799223	CPP
XP_010519933.1	LOC104799223	CPP
XP_010519934.1	LOC104799223	CPP
XP_010520059.1	LOC104799311	bZIP
XP_010520061.1	LOC104799311	bZIP
XP_010520066.1	LOC104799317	bZIP
XP_010520067.1	LOC104799317	bZIP
XP_010520068.1	LOC104799317	bZIP
XP_010520069.1	LOC104799317	bZIP
XP_010520090.1	LOC104799329	WRKY
XP_010520132.1	LOC104799359	NF-YB
XP_010520133.1	LOC104799359	NF-YB
XP_010520134.1	LOC104799359	NF-YB
XP_010520136.1	LOC104799359	NF-YB
XP_010520137.1	LOC104799359	NF-YB
XP_010520177.1	LOC104799377	NF-YA
XP_010520178.1	LOC104799377	NF-YA
XP_010520359.1	LOC104799493	bHLH
XP_010520375.1	LOC104799508	GATA
XP_010520402.1	LOC104799530	LBD
XP_010520443.1	LOC104799552	NAC
XP_010520448.1	LOC104799556	NAC
XP_010520449.1	LOC104799556	NAC
XP_010520454.1	LOC104799561	E2F/DP
XP_010520455.1	LOC104799561	E2F/DP
XP_010520457.1	LOC104799561	E2F/DP
XP_010520458.1	LOC104799561	E2F/DP
XP_010520690.1	LOC104799748	E2F/DP
XP_010520691.1	LOC104799748	E2F/DP
XP_010520835.1	LOC104799857	GATA
XP_010520836.1	LOC104799857	GATA
XP_010520837.1	LOC104799857	GATA
XP_010520838.1	LOC104799858	GATA
XP_010520853.1	LOC104799872	FAR1
XP_010520887.1	LOC104799901	NZZ/SPL
XP_010520901.1	LOC104799916	NAC
XP_010520931.1	LOC104799938	CAMTA
XP_010520981.1	LOC104799951	bZIP
XP_010521043.1	LOC104800035	Trihelix
XP_010521054.1	LOC104800043	NAC
XP_010521060.1	LOC104800043	NAC
XP_010521138.1	LOC104800112	NAC
XP_010521144.1	LOC104800118	TCP
XP_010521172.1	LOC104800137	bHLH
XP_010521212.1	LOC104800170	bZIP
XP_010521213.1	LOC104800170	bZIP
XP_010521214.1	LOC104800170	bZIP
XP_010521215.1	LOC104800170	bZIP
XP_010521272.1	LOC104800206	NAC
XP_010521273.1	LOC104800209	NAC
XP_010521353.1	LOC104800264	GRAS
XP_010521354.1	LOC104800264	GRAS
XP_010521403.1	LOC104800304	WRKY
XP_010521422.1	LOC104800324	WRKY
XP_010521423.1	LOC104800324	WRKY
XP_010521426.1	LOC104800326	NAC
XP_010521441.1	LOC104800343	bZIP
XP_010521443.1	LOC104800346	bZIP
XP_010521471.1	LOC104800369	BES1
XP_010521479.1	LOC104800379	bHLH
XP_010521480.1	LOC104800382	bHLH
XP_010521511.1	LOC104800413	GATA
XP_010521560.1	LOC104800456	HSF
XP_010521598.1	LOC104800487	EIL
XP_010521599.1	LOC104800487	EIL
XP_010521601.1	LOC104800487	EIL
XP_010521602.1	LOC104800488	EIL
XP_010521603.1	LOC104800488	EIL
XP_010521607.1	LOC104800493	FAR1
XP_010521623.1	LOC104800504	YABBY
XP_010521720.1	LOC104800575	bHLH
XP_010521758.1	LOC104800599	GATA
XP_010521759.1	LOC104800599	GATA
XP_010521775.1	LOC104800614	LBD
XP_010521778.1	LOC104800616	Dof
XP_010521856.1	LOC104800669	TCP
XP_010521861.1	LOC104800673	GRAS
XP_010521862.1	LOC104800674	GRAS
XP_010521993.1	LOC104800775	LBD
XP_010522110.1	LOC104800853	LBD
XP_010522114.1	LOC104800857	TCP
