TF_ID	Gene_ID	Family
KDD72049.1	H632_c3951p0	WRKY
KDD72829.1	H632_c2843p0	bZIP
KDD73260.1	H632_c2373p0	HSF
KDD73886.1	H632_c1758p1	NF-YB
KDD74079.1	H632_c1590p0	Nin-like
KDD74275.1	H632_c1438p0	bZIP
KDD74652.1	H632_c1157p1	NF-YB
KDD74966.1	H632_c959p2	bHLH
KDD75309.1	H632_c753p2	NF-YC
KDD75526.1	H632_c637p0	CAMTA
KDD75554.1	H632_c620p1	Nin-like
KDD75586.1	H632_c605p1	SBP
KDD76032.1	H632_c388p0	NF-YC
KDD76345.1	H632_c259p0	SBP
KDD76494.1	H632_c206p1	Whirly
KDD76734.1	H632_c124p2	NF-YB
KDD73307.1	H632_c2318p0	B3
KDD73390.1	H632_c2229p1	B3
KDD73524.1	H632_c2090p0	B3
KDD72107.1	H632_c3857p0	AP2
KDD72805.1	H632_c2875p0	AP2
KDD73610.1	H632_c2006p0	AP2
KDD76461.1	H632_c217p1	AP2
KDD73540.1	H632_c2070p0	AP2
KDD72016.1	H632_c3997p0	AP2
KDD76490.1	H632_c208p0	AP2
KDD76808.1	H632_c98p2	ERF
KDD72573.1	H632_c3178p0	G2-like
KDD73596.1	H632_c2022p0	M-type_MADS
KDD71320.1	H632_c5301p0	C3H
KDD73703.1	H632_c1913p0	LSD
KDD74225.1	H632_c1475p0	C2H2
KDD74655.1	H632_c1155p0	C3H
KDD75818.1	H632_c487p2	C3H
KDD72353.1	H632_c3470p0	MYB
KDD74600.1	H632_c1193p0	MYB
KDD75235.1	H632_c793p0	MYB
KDD71214.1	H632_c5542p0	MYB_related
KDD72319.1	H632_c3521p1	MYB_related
KDD72953.1	H632_c2698p1	MYB_related
KDD74730.1	H632_c1108p0	MYB_related
KDD74844.1	H632_c1038p1	MYB_related
KDD75135.1	H632_c850p1	MYB_related
