TF_ID	Gene_ID	Family
WALNUT_00030774-RA	WALNUT_00030774	RAV
WALNUT_00015962-RA	WALNUT_00015962	RAV
WALNUT_00015424-RA	WALNUT_00015424	RAV
WALNUT_00002764-RA	WALNUT_00002764	RAV
WALNUT_00009312-RA	WALNUT_00009312	RAV
WALNUT_00002635-RA	WALNUT_00002635	RAV
WALNUT_00000132-RA	WALNUT_00000132	bHLH
WALNUT_00000159-RA	WALNUT_00000159	GRAS
WALNUT_00000188-RA	WALNUT_00000188	NAC
WALNUT_00000212-RA	WALNUT_00000212	NF-YB
WALNUT_00000224-RA	WALNUT_00000224	NAC
WALNUT_00000247-RA	WALNUT_00000247	NAC
WALNUT_00000258-RA	WALNUT_00000258	Trihelix
WALNUT_00000269-RA	WALNUT_00000269	GRAS
WALNUT_00000297-RA	WALNUT_00000297	CPP
WALNUT_00000448-RA	WALNUT_00000448	YABBY
WALNUT_00000459-RA	WALNUT_00000459	WRKY
WALNUT_00000471-RA	WALNUT_00000471	GRAS
WALNUT_00000551-RA	WALNUT_00000551	TCP
WALNUT_00000558-RA	WALNUT_00000558	NZZ/SPL
WALNUT_00000561-RA	WALNUT_00000561	bZIP
WALNUT_00000581-RA	WALNUT_00000581	NAC
WALNUT_00000640-RA	WALNUT_00000640	NAC
WALNUT_00000666-RA	WALNUT_00000666	bHLH
WALNUT_00000695-RA	WALNUT_00000695	GRAS
WALNUT_00000704-RA	WALNUT_00000704	bHLH
WALNUT_00000780-RA	WALNUT_00000780	HSF
WALNUT_00000781-RA	WALNUT_00000781	HSF
WALNUT_00000787-RA	WALNUT_00000787	bHLH
WALNUT_00000806-RA	WALNUT_00000806	GATA
WALNUT_00000849-RA	WALNUT_00000849	NAC
WALNUT_00000881-RA	WALNUT_00000881	GRAS
WALNUT_00000882-RA	WALNUT_00000882	bHLH
WALNUT_00000909-RA	WALNUT_00000909	HSF
WALNUT_00000989-RA	WALNUT_00000989	WRKY
WALNUT_00001012-RA	WALNUT_00001012	bHLH
WALNUT_00001056-RA	WALNUT_00001056	Dof
WALNUT_00001173-RA	WALNUT_00001173	GRAS
WALNUT_00001188-RA	WALNUT_00001188	bHLH
WALNUT_00001203-RA	WALNUT_00001203	bZIP
WALNUT_00001285-RA	WALNUT_00001285	GRAS
WALNUT_00001288-RA	WALNUT_00001288	NF-YB
WALNUT_00001299-RA	WALNUT_00001299	bHLH
WALNUT_00001364-RA	WALNUT_00001364	bHLH
WALNUT_00001369-RA	WALNUT_00001369	LBD
WALNUT_00001407-RA	WALNUT_00001407	NF-YA
WALNUT_00001450-RA	WALNUT_00001450	bZIP
WALNUT_00001459-RA	WALNUT_00001459	GRAS
WALNUT_00001482-RA	WALNUT_00001482	SRS
WALNUT_00001489-RA	WALNUT_00001489	Trihelix
WALNUT_00001493-RA	WALNUT_00001493	bZIP
WALNUT_00001509-RA	WALNUT_00001509	NF-YC
