TF_ID	Gene_ID	Family
GSMUA_Achr3P21100_001	GSMUA_Achr3G21100_001	RAV
GSMUA_Achr5P09950_001	GSMUA_Achr5G09950_001	RAV
GSMUA_Achr4P03670_001	GSMUA_Achr4G03670_001	RAV
GSMUA_Achr1P21250_001	GSMUA_Achr1G21250_001	RAV
GSMUA_Achr6P09880_001	GSMUA_Achr6G09880_001	RAV
GSMUA_Achr2P22560_001	GSMUA_Achr2G22560_001	RAV
GSMUA_Achr1P05400_001	GSMUA_Achr1G05400_001	RAV
GSMUA_Achr3P29380_001	GSMUA_Achr3G29380_001	RAV
GSMUA_Achr4P06710_001	GSMUA_Achr4G06710_001	RAV
GSMUA_Achr9P21470_001	GSMUA_Achr9G21470_001	RAV
GSMUA_Achr6P01420_001	GSMUA_Achr6G01420_001	RAV
GSMUA_AchrUn_randomP06880_001	GSMUA_AchrUn_randomG06880_001	RAV
GSMUA_Achr8P18260_001	GSMUA_Achr8G18260_001	RAV
GSMUA_Achr10P19690_001	GSMUA_Achr10G19690_001	RAV
GSMUA_Achr8P14650_001	GSMUA_Achr8G14650_001	RAV
GSMUA_Achr10P00170_001	GSMUA_Achr10G00170_001	bHLH
GSMUA_Achr10P00340_001	GSMUA_Achr10G00340_001	bZIP
GSMUA_Achr10P00420_001	GSMUA_Achr10G00420_001	bZIP
GSMUA_Achr10P00550_001	GSMUA_Achr10G00550_001	bHLH
GSMUA_Achr10P00810_001	GSMUA_Achr10G00810_001	WRKY
GSMUA_Achr10P01020_001	GSMUA_Achr10G01020_001	TCP
GSMUA_Achr10P01060_001	GSMUA_Achr10G01060_001	bHLH
GSMUA_Achr10P01150_001	GSMUA_Achr10G01150_001	WRKY
GSMUA_Achr10P01440_001	GSMUA_Achr10G01440_001	bZIP
GSMUA_Achr10P01600_001	GSMUA_Achr10G01600_001	bZIP
GSMUA_Achr10P02050_001	GSMUA_Achr10G02050_001	GeBP
GSMUA_Achr10P02060_001	GSMUA_Achr10G02060_001	WRKY
GSMUA_Achr10P02440_001	GSMUA_Achr10G02440_001	GRAS
GSMUA_Achr10P02500_001	GSMUA_Achr10G02500_001	Dof
GSMUA_Achr10P02970_001	GSMUA_Achr10G02970_001	SBP
GSMUA_Achr10P03030_001	GSMUA_Achr10G03030_001	Dof
GSMUA_Achr10P03660_001	GSMUA_Achr10G03660_001	Dof
