TF_ID	Gene_ID	Family
KFK35073.1	AALP_AA5G231800	RAV
KFK41311.1	AALP_AA2G113800	RAV
KFK43591.1	AALP_AA1G146100	RAV
KFK44549.1	AALP_AA1G271200	RAV
KFK35915.1	AALP_AA4G053000	RAV
KFK35878.1	AALP_AA4G048600	RAV
KFK21944.1	AALP_AAs44406U000100	bHLH
KFK21955.1	AALP_AAs48252U000400	WRKY
KFK22018.1	AALP_AAs52212U000300	GeBP
KFK22195.1	AALP_AAs56852U000100	GeBP
KFK22204.1	AALP_AAs48501U000100	TCP
KFK22396.1	AALP_AAs52006U000300	bHLH
KFK22424.1	AALP_AAs51301U000100	WRKY
KFK22532.1	AALP_AAs66306U000100	bZIP
KFK22641.1	AALP_AAs66509U000200	NAC
KFK22685.1	AALP_AAs42556U000700	HSF
KFK22783.1	AALP_AAs59711U000200	NAC
KFK22898.1	AALP_AAs47564U000100	bZIP
KFK23120.1	AALP_AAs72355U000100	CAMTA
KFK23146.1	AALP_AAs64104U000100	NAC
KFK23321.1	AALP_AAs74635U001100	WRKY
KFK23426.1	AALP_AAs45999U001000	GRAS
KFK23649.1	AALP_AAs49271U000100	GeBP
KFK23754.1	AALP_AAs74096U000300	bHLH
KFK23906.1	AALP_AAs52442U000100	bHLH
KFK23965.1	AALP_AAs39002U000200	CPP
KFK24130.1	AALP_AAs56947U000100	NAC
KFK24186.1	AALP_AAs68745U000600	GeBP
KFK24430.1	AALP_AAs55026U000900	SBP
KFK24450.1	AALP_AAs62041U000100	HSF
KFK24518.1	AALP_AAs65934U001000	LBD
KFK24583.1	AALP_AAs67532U000200	GeBP
KFK24587.1	AALP_AAs67532U001200	GeBP
KFK24588.1	AALP_AAs67532U001200	GeBP
KFK24631.1	AALP_AA8G004800	bHLH
KFK24646.1	AALP_AA8G006700	Trihelix
KFK24741.1	AALP_AA8G018500	Dof
KFK24832.1	AALP_AA8G030800	Trihelix
KFK24833.1	AALP_AA8G030800	Trihelix
KFK24845.1	AALP_AA8G032000	HSF
KFK24862.1	AALP_AA8G034700	bHLH
KFK24890.1	AALP_AA8G037900	NAC
KFK24891.1	AALP_AA8G038000	NAC
KFK24969.1	AALP_AA8G049300	Trihelix
KFK24973.1	AALP_AA8G050100	NF-X1
KFK25000.1	AALP_AA8G053400	LBD
KFK25038.1	AALP_AA8G058500	GeBP
KFK25074.1	AALP_AA8G062800	bZIP
KFK25075.1	AALP_AA8G062800	bZIP
KFK25098.1	AALP_AA8G066100	NF-YC
KFK25103.1	AALP_AA8G066500	WRKY
KFK25104.1	AALP_AA8G066600	WRKY
KFK25109.1	AALP_AA8G067100	bZIP
KFK25110.1	AALP_AA8G067200	bZIP
KFK25161.1	AALP_AA8G073900	NAC
KFK25187.1	AALP_AA8G078300	NAC
KFK25193.1	AALP_AA8G079500	TCP
KFK25233.1	AALP_AA8G084600	NAC
KFK25305.1	AALP_AA8G095300	EIL
KFK25396.1	AALP_AA8G109000	bZIP
KFK25507.1	AALP_AA8G123600	SRS
KFK25539.1	AALP_AA8G128200	HSF
KFK25540.1	AALP_AA8G128300	HSF
KFK25550.1	AALP_AA8G129300	WRKY
KFK25634.1	AALP_AA8G140100	NAC
KFK25657.1	AALP_AA8G142900	GeBP
KFK25688.1	AALP_AA8G146200	NAC
KFK25706.1	AALP_AA8G148800	Nin-like
KFK25733.1	AALP_AA8G152600	E2F/DP
KFK25734.1	AALP_AA8G152700	E2F/DP
KFK25750.1	AALP_AA8G154700	WRKY
KFK25753.1	AALP_AA8G155000	bHLH
KFK25766.1	AALP_AA8G156900	ZF-HD
KFK25847.1	AALP_AA8G169800	Nin-like
KFK25966.1	AALP_AA8G186200	GRAS
KFK26065.1	AALP_AA8G198600	NAC
KFK26113.1	AALP_AA8G204400	GRAS
KFK26119.1	AALP_AA8G206200	SBP
KFK26331.1	AALP_AA8G233800	NAC
KFK26334.1	AALP_AA8G234300	E2F/DP
KFK26392.1	AALP_AA8G242700	WRKY
KFK26393.1	AALP_AA8G242700	WRKY
KFK26401.1	AALP_AA8G243800	NF-YC
KFK26458.1	AALP_AA8G251800	GeBP
KFK26541.1	AALP_AA8G262400	bHLH
KFK26563.1	AALP_AA8G265100	Trihelix
KFK26588.1	AALP_AA8G268300	bZIP
KFK26697.1	AALP_AA8G281500	NF-YC
KFK26711.1	AALP_AA8G283300	NAC
KFK26712.1	AALP_AA8G283300	NAC
KFK26767.1	AALP_AA8G291100	Trihelix
KFK26787.1	AALP_AA8G293300	bHLH
KFK26800.1	AALP_AA8G295100	TCP
KFK26857.1	AALP_AA8G302500	GRAS
KFK26883.1	AALP_AA8G305900	WRKY
KFK26902.1	AALP_AA8G308300	ZF-HD
KFK26908.1	AALP_AA8G309200	Nin-like
KFK26911.1	AALP_AA8G309800	Dof
KFK26940.1	AALP_AA8G313500	bHLH
KFK27011.1	AALP_AA8G322800	NAC
KFK27081.1	AALP_AA8G331500	bHLH
KFK27095.1	AALP_AA8G333500	bZIP
KFK27140.1	AALP_AA8G340400	WRKY
KFK27240.1	AALP_AA8G355700	HRT-like
KFK27270.1	AALP_AA8G360300	bHLH
KFK27334.1	AALP_AA8G369700	bHLH
