TF_ID	Gene_ID	Family
Itr_sc001010.1_g00013.1	Itr_sc001010.1_g00013	RAV
Itr_sc006382.1_g00001.1	Itr_sc006382.1_g00001	RAV
Itr_sc000065.1_g00030.1	Itr_sc000065.1_g00030	RAV
Itr_sc000992.1_g00001.1	Itr_sc000992.1_g00001	RAV
Itr_sc000001.1_g00084.1	Itr_sc000001.1_g00084	bZIP
Itr_sc000002.1_g00019.1	Itr_sc000002.1_g00019	E2F/DP
Itr_sc000002.1_g00029.1	Itr_sc000002.1_g00029	LBD
Itr_sc000002.1_g00042.1	Itr_sc000002.1_g00042	WRKY
Itr_sc000002.1_g00047.1	Itr_sc000002.1_g00047	bHLH
Itr_sc000002.1_g00050.1	Itr_sc000002.1_g00050	bHLH
Itr_sc000002.1_g00059.1	Itr_sc000002.1_g00059	ZF-HD
Itr_sc000002.1_g00064.1	Itr_sc000002.1_g00064	Dof
Itr_sc000002.1_g00068.1	Itr_sc000002.1_g00068	NAC
Itr_sc000003.1_g00017.1	Itr_sc000003.1_g00017	bHLH
Itr_sc000004.1_g00037.1	Itr_sc000004.1_g00037	bZIP
Itr_sc000006.1_g00059.1	Itr_sc000006.1_g00059	Trihelix
Itr_sc000006.1_g00061.1	Itr_sc000006.1_g00061	Trihelix
Itr_sc000009.1_g00019.1	Itr_sc000009.1_g00019	bHLH
Itr_sc000010.1_g00057.1	Itr_sc000010.1_g00057	bHLH
Itr_sc000010.1_g00066.1	Itr_sc000010.1_g00066	E2F/DP
Itr_sc000011.1_g00016.1	Itr_sc000011.1_g00016	GATA
Itr_sc000011.1_g00053.1	Itr_sc000011.1_g00053	LBD
Itr_sc000011.1_g00095.1	Itr_sc000011.1_g00095	WRKY
Itr_sc000011.1_g00131.1	Itr_sc000011.1_g00131	FAR1
Itr_sc000011.1_g00140.1	Itr_sc000011.1_g00140	bHLH
Itr_sc000012.1_g00030.1	Itr_sc000012.1_g00030	BES1
Itr_sc000013.1_g00001.1	Itr_sc000013.1_g00001	Dof
Itr_sc000013.1_g00024.1	Itr_sc000013.1_g00024	HSF
Itr_sc000014.1_g00021.1	Itr_sc000014.1_g00021	Trihelix
