TF_ID	Gene_ID	Family
AA65G00360	AA65G00360	RAV
AA39G00678	AA39G00678	RAV
AA2G00191	AA2G00191	RAV
AA2G00168	AA2G00168	RAV
AA102G00007	AA102G00007	NAC
AA102G00010	AA102G00010	NAC
AA102G00037	AA102G00037	bHLH
AA102G00055	AA102G00055	bHLH
AA102G00062	AA102G00062	CPP
AA102G00071	AA102G00071	HRT-like
AA102G00073	AA102G00073	NAC
AA102G00134	AA102G00134	bHLH
AA102G00246	AA102G00246	FAR1
AA102G00247	AA102G00247	WRKY
AA102G00279	AA102G00279	Trihelix
AA102G00304	AA102G00304	WRKY
AA102G00343	AA102G00343	WRKY
AA1098G00001	AA1098G00001	CAMTA
AA10G00050	AA10G00050	NF-YA
AA10G00129	AA10G00129	GeBP
AA10G00136	AA10G00136	CPP
AA10G00152	AA10G00152	WRKY
AA10G00196	AA10G00196	NAC
AA10G00230	AA10G00230	LBD
AA10G00264	AA10G00264	GRAS
AA10G00295	AA10G00295	NAC
AA10G00315	AA10G00315	HSF
AA10G00357	AA10G00357	LBD
AA10G00391	AA10G00391	TCP
AA10G00404	AA10G00404	WRKY
AA112G00015	AA112G00015	bHLH
AA118G00053	AA118G00053	bZIP
AA11G00017	AA11G00017	NAC
AA11G00058	AA11G00058	NAC
AA11G00142	AA11G00142	Nin-like
AA123G00108	AA123G00108	bHLH
AA123G00123	AA123G00123	bHLH
AA1278G00001	AA1278G00001	WRKY
AA128G00002	AA128G00002	NAC
AA12G00046	AA12G00046	bZIP
AA12G00109	AA12G00109	CPP
AA12G00127	AA12G00127	GATA
AA12G00161	AA12G00161	NAC
AA12G00203	AA12G00203	bHLH
AA131G00001	AA131G00001	CPP
AA131G00004	AA131G00004	CPP
AA1332G00001	AA1332G00001	NF-YC
AA13G00019	AA13G00019	SRS
AA13G00037	AA13G00037	GATA
AA13G00046	AA13G00046	BES1
AA13G00053	AA13G00053	GRAS
AA13G00068	AA13G00068	Dof
AA13G00077	AA13G00077	bHLH
AA13G00092	AA13G00092	LBD
AA13G00104	AA13G00104	bZIP
AA13G00126	AA13G00126	NAC
AA14G00003	AA14G00003	WRKY
AA14G00044	AA14G00044	ZF-HD
AA14G00063	AA14G00063	BBR-BPC
AA14G00065	AA14G00065	ZF-HD
AA14G00090	AA14G00090	GRAS
AA150G00001	AA150G00001	bHLH
AA159G00002	AA159G00002	TCP
AA15G00044	AA15G00044	FAR1
AA15G00071	AA15G00071	NAC
AA15G00093	AA15G00093	SBP
AA15G00099	AA15G00099	TCP
AA15G00159	AA15G00159	Trihelix
