TF_ID	Gene_ID	Family
Rsa1.0_08129.1_g00003.1	Rsa1.0_08129.1_g00003.1	RAV
Rsa1.0_02994.1_g00004.1	Rsa1.0_02994.1_g00004.1	RAV
Rsa1.0_04734.1_g00001.1	Rsa1.0_04734.1_g00001.1	RAV
Rsa1.0_00886.1_g00016.1	Rsa1.0_00886.1_g00016.1	RAV
Rsa1.0_05254.1_g00001.1	Rsa1.0_05254.1_g00001.1	RAV
Rsa1.0_00325.1_g00002.1	Rsa1.0_00325.1_g00002.1	RAV
Rsa1.0_00149.1_g00014.1	Rsa1.0_00149.1_g00014.1	RAV
Rsa1.0_12274.1_g00001.1	Rsa1.0_12274.1_g00001.1	RAV
Rsa1.0_00769.1_g00006.1	Rsa1.0_00769.1_g00006.1	RAV
Rsa1.0_00731.1_g00001.1	Rsa1.0_00731.1_g00001.1	RAV
Rsa1.0_00731.1_g00002.1	Rsa1.0_00731.1_g00002.1	RAV
Rsa1.0_00001.1_g00011.1	Rsa1.0_00001.1_g00011.1	WRKY
Rsa1.0_00001.1_g00034.1	Rsa1.0_00001.1_g00034.1	GATA
Rsa1.0_00001.1_g00053.1	Rsa1.0_00001.1_g00053.1	ZF-HD
Rsa1.0_00002.1_g00033.1	Rsa1.0_00002.1_g00033.1	bHLH
Rsa1.0_00002.1_g00077.1	Rsa1.0_00002.1_g00077.1	TCP
Rsa1.0_00002.1_g00078.1	Rsa1.0_00002.1_g00078.1	bZIP
Rsa1.0_00002.1_g00106.1	Rsa1.0_00002.1_g00106.1	bZIP
Rsa1.0_00003.1_g00028.1	Rsa1.0_00003.1_g00028.1	WRKY
Rsa1.0_00005.1_g00025.1	Rsa1.0_00005.1_g00025.1	GATA
Rsa1.0_00005.1_g00033.1	Rsa1.0_00005.1_g00033.1	Dof
Rsa1.0_00006.1_g00039.1	Rsa1.0_00006.1_g00039.1	WRKY
Rsa1.0_00006.1_g00048.1	Rsa1.0_00006.1_g00048.1	Dof
Rsa1.0_00006.1_g00064.1	Rsa1.0_00006.1_g00064.1	VOZ
Rsa1.0_00007.1_g00006.1	Rsa1.0_00007.1_g00006.1	bZIP
Rsa1.0_00007.1_g00017.1	Rsa1.0_00007.1_g00017.1	GATA
Rsa1.0_00007.1_g00023.1	Rsa1.0_00007.1_g00023.1	bHLH
Rsa1.0_00007.1_g00039.1	Rsa1.0_00007.1_g00039.1	Dof
Rsa1.0_00008.1_g00015.1	Rsa1.0_00008.1_g00015.1	LBD
Rsa1.0_00008.1_g00039.1	Rsa1.0_00008.1_g00039.1	HSF
Rsa1.0_00008.1_g00055.1	Rsa1.0_00008.1_g00055.1	NAC
Rsa1.0_00009.1_g00005.1	Rsa1.0_00009.1_g00005.1	LBD
Rsa1.0_00009.1_g00019.1	Rsa1.0_00009.1_g00019.1	bZIP
