TF_ID	Gene_ID	Family
OBART01G02610.1	OBART01G02610	RAV
OBART01G27360.1	OBART01G27360	RAV
OBART01G00200.1	OBART01G00200	NF-YC
OBART01G00330.1	OBART01G00330	NAC
OBART01G00360.1	OBART01G00360	NAC
OBART01G00400.1	OBART01G00400	bHLH
OBART01G00600.1	OBART01G00600	bHLH
OBART01G00620.1	OBART01G00620	bHLH
OBART01G00850.1	OBART01G00850	bHLH
OBART01G01940.1	OBART01G01940	LBD
OBART01G03880.1	OBART01G03880	NF-X1
OBART01G03950.1	OBART01G03950	bHLH
OBART01G04470.1	OBART01G04470	LBD
OBART01G04790.1	OBART01G04790	bZIP
OBART01G05000.1	OBART01G05000	BES1
OBART01G05390.1	OBART01G05390	WRKY
OBART01G05390.3	OBART01G05390	WRKY
OBART01G05600.1	OBART01G05600	WRKY
OBART01G05840.1	OBART01G05840	NAC
OBART01G05840.2	OBART01G05840	NAC
OBART01G06120.1	OBART01G06120	bHLH
OBART01G06170.1	OBART01G06170	bHLH
OBART01G06590.1	OBART01G06590	BES1
OBART01G07120.1	OBART01G07120	bZIP
OBART01G07230.1	OBART01G07230	TCP
OBART01G08590.1	OBART01G08590	bHLH
OBART01G08660.1	OBART01G08660	Nin-like
OBART01G08980.1	OBART01G08980	LBD
OBART01G09250.1	OBART01G09250	Nin-like
OBART01G09260.1	OBART01G09260	WRKY
OBART01G10140.1	OBART01G10140	NAC
OBART01G10260.1	OBART01G10260	Dof
OBART01G11140.1	OBART01G11140	Dof
OBART01G11380.1	OBART01G11380	bZIP
OBART01G11380.2	OBART01G11380	bZIP
OBART01G11380.3	OBART01G11380	bZIP
OBART01G11380.4	OBART01G11380	bZIP
OBART01G11950.1	OBART01G11950	bHLH
OBART01G11950.2	OBART01G11950	bHLH
OBART01G11950.3	OBART01G11950	bHLH
OBART01G12100.1	OBART01G12100	WRKY
OBART01G12250.1	OBART01G12250	SBP
OBART01G12250.2	OBART01G12250	SBP
OBART01G12250.3	OBART01G12250	SBP
OBART01G12250.4	OBART01G12250	SBP
OBART01G12250.5	OBART01G12250	SBP
OBART01G12270.1	OBART01G12270	SBP
OBART01G12270.2	OBART01G12270	SBP
OBART01G12270.3	OBART01G12270	SBP
OBART01G12270.4	OBART01G12270	SBP
OBART01G12270.5	OBART01G12270	SBP
OBART01G12290.1	OBART01G12290	bHLH
OBART01G14190.1	OBART01G14190	NAC
OBART01G14380.1	OBART01G14380	GATA
OBART01G14380.2	OBART01G14380	GATA
OBART01G14510.1	OBART01G14510	NF-YC
OBART01G16010.1	OBART01G16010	NAC
OBART01G16620.1	OBART01G16620	NAC
OBART01G17510.1	OBART01G17510	LBD
OBART01G17580.1	OBART01G17580	GeBP
OBART01G17870.1	OBART01G17870	bHLH
OBART01G18790.1	OBART01G18790	bZIP
OBART01G19230.1	OBART01G19230	Nin-like
OBART01G19850.1	OBART01G19850	bHLH
OBART01G20060.1	OBART01G20060	HSF
OBART01G20080.1	OBART01G20080	LBD
OBART01G20170.1	OBART01G20170	LBD
OBART01G20180.1	OBART01G20180	LBD
OBART01G20190.1	OBART01G20190	LBD
OBART01G20230.1	OBART01G20230	LBD
OBART01G20240.1	OBART01G20240	LBD
OBART01G20310.1	OBART01G20310	bHLH
OBART01G20350.1	OBART01G20350	bHLH
OBART01G20540.1	OBART01G20540	NF-YC
OBART01G20830.1	OBART01G20830	WRKY
OBART01G20970.1	OBART01G20970	WRKY
OBART01G21400.1	OBART01G21400	TCP
OBART01G22520.1	OBART01G22520	CPP
OBART01G23290.1	OBART01G23290	WRKY
OBART01G23320.1	OBART01G23320	HSF
OBART01G23380.1	OBART01G23380	WRKY
OBART01G23380.2	OBART01G23380	WRKY
OBART01G23900.1	OBART01G23900	ZF-HD
OBART01G24520.1	OBART01G24520	GRAS
OBART01G25160.1	OBART01G25160	WRKY
OBART01G25300.1	OBART01G25300	bZIP
OBART01G25510.1	OBART01G25510	GATA
OBART01G25690.1	OBART01G25690	WRKY
OBART01G25780.1	OBART01G25780	NAC
OBART01G26080.1	OBART01G26080	NAC
OBART01G26520.1	OBART01G26520	E2F/DP
OBART01G28080.1	OBART01G28080	bHLH
OBART01G28250.1	OBART01G28250	bHLH
OBART01G28750.1	OBART01G28750	WRKY
OBART01G28780.1	OBART01G28780	WRKY
OBART01G29800.1	OBART01G29800	WRKY
OBART01G29920.1	OBART01G29920	HSF
OBART01G29960.1	OBART01G29960	WRKY
OBART01G30590.1	OBART01G30590	GATA
OBART01G30880.1	OBART01G30880	HSF
OBART01G30930.1	OBART01G30930	WRKY
OBART01G31110.1	OBART01G31110	VOZ
OBART01G31310.1	OBART01G31310	bZIP
OBART01G31310.2	OBART01G31310	bZIP
OBART01G31500.1	OBART01G31500	Dof
OBART01G31780.1	OBART01G31780	CPP
OBART01G31910.1	OBART01G31910	TCP
OBART01G32570.1	OBART01G32570	LBD
OBART01G32730.1	OBART01G32730	bHLH
OBART01G33360.1	OBART01G33360	bHLH
OBART01G34150.1	OBART01G34150	bZIP
OBART01G34430.1	OBART01G34430	bZIP
OBART01G34650.1	OBART01G34650	NAC
OBART01G34790.1	OBART01G34790	bZIP
OBART01G35010.1	OBART01G35010	NAC
OBART01G35280.1	OBART01G35280	WRKY
OBART01G35310.1	OBART01G35310	WRKY
OBART01G35350.1	OBART01G35350	WRKY
OBART01G35360.1	OBART01G35360	WRKY
OBART01G35380.1	OBART01G35380	WRKY
OBART01G35680.1	OBART01G35680	LBD
OBART01G35770.1	OBART01G35770	WRKY
OBART01G36050.1	OBART01G36050	bHLH
OBART01G36280.1	OBART01G36280	NF-YB
OBART01G36810.1	OBART01G36810	GRAS
OBART01G36870.1	OBART01G36870	WRKY
OBART01G37980.1	OBART01G37980	bZIP
OBART01G37980.2	OBART01G37980	bZIP
OBART01G38000.1	OBART01G38000	bZIP
OBART01G38000.2	OBART01G38000	bZIP
OBART01G38000.3	OBART01G38000	bZIP
OBART01G38000.4	OBART01G38000	bZIP
OBART01G38190.1	OBART01G38190	NAC
OBART01G38370.1	OBART01G38370	bHLH
OBART01G38400.1	OBART01G38400	Dof
OBART01G38510.1	OBART01G38510	bZIP
OBART01G38510.2	OBART01G38510	bZIP
OBART01G39420.1	OBART01G39420	GRAS
OBART01G39590.1	OBART01G39590	NAC
OBART01G39900.1	OBART01G39900	NAC
OBART01G39990.1	OBART01G39990	LBD
OBART01G39990.2	OBART01G39990	LBD
OBART01G40680.1	OBART01G40680	bHLH
OBART01G40830.1	OBART01G40830	GRAS
OBART01G40850.1	OBART01G40850	GRAS
OBART01G40860.1	OBART01G40860	GRAS
OBART01G41700.1	OBART01G41700	bHLH
OBART01G41700.2	OBART01G41700	bHLH
OBART01G42150.1	OBART01G42150	SBP
OBART01G42220.1	OBART01G42220	CAMTA
OBART01G42290.1	OBART01G42290	TCP
OBART01G42420.1	OBART01G42420	NAC
OBART01G42530.1	OBART01G42530	Trihelix
OBART01G42600.1	OBART01G42600	bHLH
OBART01G43120.1	OBART01G43120	NF-YB
OBART01G43130.1	OBART01G43130	NF-YB
OBART01G43140.1	OBART01G43140	NF-YB
OBART01G43720.1	OBART01G43720	NAC
OBART01G43800.1	OBART01G43800	GRAS
OBART01G44150.1	OBART01G44150	bHLH
OBART01G44230.1	OBART01G44230	SRS
OBART01G45510.1	OBART01G45510	WRKY
OBART01G45830.1	OBART01G45830	GATA
OBART02G00380.1	OBART02G00380	Trihelix
OBART02G01220.1	OBART02G01220	bHLH
OBART02G01550.1	OBART02G01550	bHLH
OBART02G02250.1	OBART02G02250	bZIP
OBART02G02330.1	OBART02G02330	BES1
OBART02G02330.2	OBART02G02330	BES1
OBART02G02570.1	OBART02G02570	bZIP
OBART02G02910.1	OBART02G02910	Nin-like
OBART02G03260.1	OBART02G03260	SBP
OBART02G03780.1	OBART02G03780	GATA
OBART02G04450.1	OBART02G04450	Whirly
OBART02G04450.2	OBART02G04450	Whirly
OBART02G05020.2	OBART02G05020	NAC
OBART02G05400.1	OBART02G05400	NF-YC
OBART02G05680.1	OBART02G05680	bZIP
OBART02G06150.1	OBART02G06150	WRKY
OBART02G06250.1	OBART02G06250	bZIP
OBART02G06960.1	OBART02G06960	bZIP
OBART02G07230.1	OBART02G07230	bZIP
OBART02G07840.1	OBART02G07840	bZIP
OBART02G08650.1	OBART02G08650	NAC
OBART02G08990.1	OBART02G08990	GATA
OBART02G09660.1	OBART02G09660	bHLH
OBART02G09820.1	OBART02G09820	BES1
OBART02G10550.1	OBART02G10550	bZIP
OBART02G10820.1	OBART02G10820	NAC
OBART02G10830.1	OBART02G10830	Dof
OBART02G11110.1	OBART02G11110	bHLH
OBART02G11480.1	OBART02G11480	WRKY
OBART02G11580.1	OBART02G11580	bZIP
OBART02G11580.2	OBART02G11580	bZIP
OBART02G11990.1	OBART02G11990	CPP
OBART02G11990.2	OBART02G11990	CPP
OBART02G11990.3	OBART02G11990	CPP
OBART02G11990.4	OBART02G11990	CPP
OBART02G11990.5	OBART02G11990	CPP
OBART02G11990.6	OBART02G11990	CPP
OBART02G12540.1	OBART02G12540	NAC
OBART02G12640.1	OBART02G12640	GeBP
OBART02G12760.1	OBART02G12760	GeBP
OBART02G15990.1	OBART02G15990	WRKY
OBART02G17360.1	OBART02G17360	HSF
OBART02G18800.1	OBART02G18800	HSF
OBART02G19430.1	OBART02G19430	E2F/DP
OBART02G19520.1	OBART02G19520	bZIP
OBART02G19580.1	OBART02G19580	Trihelix
OBART02G19680.1	OBART02G19680	Trihelix
OBART02G19940.1	OBART02G19940	bHLH
OBART02G19960.1	OBART02G19960	bHLH
OBART02G20450.1	OBART02G20450	NAC
OBART02G20940.1	OBART02G20940	bHLH
OBART02G20940.2	OBART02G20940	bHLH
OBART02G21540.1	OBART02G21540	EIL
OBART02G21850.1	OBART02G21850	NAC
OBART02G22660.1	OBART02G22660	NAC
OBART02G23210.1	OBART02G23210	bHLH
OBART02G23210.2	OBART02G23210	bHLH
OBART02G24080.1	OBART02G24080	YABBY
OBART02G24560.1	OBART02G24560	NAC
OBART02G25260.1	OBART02G25260	TCP
OBART02G25670.1	OBART02G25670	YABBY
OBART02G25700.1	OBART02G25700	NAC
OBART02G25970.1	OBART02G25970	Trihelix
OBART02G26230.1	OBART02G26230	WRKY
OBART02G26880.1	OBART02G26880	GRAS
OBART02G26890.1	OBART02G26890	GRAS
OBART02G27590.1	OBART02G27590	Dof
OBART02G27590.2	OBART02G27590	Dof
OBART02G28020.1	OBART02G28020	GRAS
OBART02G28630.1	OBART02G28630	bHLH
OBART02G29000.1	OBART02G29000	WRKY
OBART02G29490.1	OBART02G29490	bHLH
OBART02G29600.1	OBART02G29600	Dof
OBART02G29800.1	OBART02G29800	bHLH
OBART02G29970.1	OBART02G29970	LBD
OBART02G30860.1	OBART02G30860	NF-YB
OBART02G30870.1	OBART02G30870	NF-YB
OBART02G30900.1	OBART02G30900	Dof
OBART02G30940.1	OBART02G30940	bHLH
OBART02G30940.2	OBART02G30940	bHLH
OBART02G30940.3	OBART02G30940	bHLH
OBART02G30940.4	OBART02G30940	bHLH
OBART02G30940.6	OBART02G30940	bHLH
OBART02G30940.7	OBART02G30940	bHLH
OBART02G31030.1	OBART02G31030	bZIP
OBART02G31930.1	OBART02G31930	E2F/DP
OBART02G31930.2	OBART02G31930	E2F/DP
OBART02G32320.1	OBART02G32320	Nin-like
OBART02G32360.1	OBART02G32360	NAC
OBART02G32430.1	OBART02G32430	TCP
OBART02G32460.1	OBART02G32460	TCP
OBART02G32470.1	OBART02G32470	bHLH
OBART02G33140.1	OBART02G33140	HSF
OBART02G33270.1	OBART02G33270	bHLH
OBART02G33770.1	OBART02G33770	bZIP
OBART02G33770.2	OBART02G33770	bZIP
OBART02G34040.1	OBART02G34040	WRKY
OBART02G34090.1	OBART02G34090	GeBP
OBART02G34510.1	OBART02G34510	NF-YA
OBART02G35840.1	OBART02G35840	bHLH
OBART02G36490.1	OBART02G36490	bHLH
OBART02G36830.1	OBART02G36830	NAC
OBART02G37570.1	OBART02G37570	LBD
OBART02G37700.1	OBART02G37700	NAC
OBART02G38520.1	OBART02G38520	bZIP
OBART03G00350.1	OBART03G00350	GRAS
OBART03G00700.1	OBART03G00700	NAC
OBART03G01030.1	OBART03G01030	Trihelix
OBART03G01580.1	OBART03G01580	NAC
OBART03G01740.1	OBART03G01740	bHLH
OBART03G02180.1	OBART03G02180	NAC
OBART03G02190.1	OBART03G02190	bZIP
OBART03G02440.1	OBART03G02440	GATA
OBART03G02480.1	OBART03G02480	Nin-like
OBART03G02620.1	OBART03G02620	NAC
OBART03G02630.1	OBART03G02630	NAC
OBART03G02840.1	OBART03G02840	bHLH
OBART03G03820.1	OBART03G03820	LBD
OBART03G03830.1	OBART03G03830	LBD
OBART03G04060.1	OBART03G04060	E2F/DP
OBART03G04630.1	OBART03G04630	HSF
OBART03G05210.1	OBART03G05210	Dof
OBART03G05350.1	OBART03G05350	bHLH
OBART03G05370.1	OBART03G05370	bHLH
OBART03G05590.1	OBART03G05590	NF-YA
OBART03G05980.1	OBART03G05980	GATA
OBART03G06470.1	OBART03G06470	bHLH
OBART03G06570.1	OBART03G06570	CAMTA
OBART03G06570.2	OBART03G06570	CAMTA
OBART03G06570.3	OBART03G06570	CAMTA
OBART03G06740.1	OBART03G06740	GRAS
OBART03G06780.1	OBART03G06780	TCP
OBART03G07520.1	OBART03G07520	bHLH
OBART03G08320.1	OBART03G08320	YABBY
OBART03G08740.1	OBART03G08740	NAC
OBART03G08980.1	OBART03G08980	HSF
OBART03G09330.1	OBART03G09330	bHLH
OBART03G09470.1	OBART03G09470	bHLH
OBART03G09980.1	OBART03G09980	bZIP
OBART03G10450.1	OBART03G10450	LBD
OBART03G10780.1	OBART03G10780	NF-YC
OBART03G11320.1	OBART03G11320	bHLH
OBART03G11490.1	OBART03G11490	GRAS
OBART03G12630.1	OBART03G12630	bHLH
OBART03G13260.1	OBART03G13260	LBD
OBART03G14570.1	OBART03G14570	bZIP
OBART03G15290.1	OBART03G15290	bZIP
OBART03G15470.1	OBART03G15470	WRKY
OBART03G15570.1	OBART03G15570	bZIP
OBART03G15700.1	OBART03G15700	EIL
OBART03G15920.1	OBART03G15920	NAC
OBART03G15960.1	OBART03G15960	NAC
OBART03G16400.1	OBART03G16400	WRKY
OBART03G16510.1	OBART03G16510	bZIP
OBART03G19370.1	OBART03G19370	bHLH
OBART03G19880.1	OBART03G19880	CAMTA
OBART03G20100.1	OBART03G20100	bHLH
OBART03G21180.1	OBART03G21180	NF-YA
OBART03G21180.2	OBART03G21180	NF-YA
OBART03G21300.1	OBART03G21300	NF-YB
OBART03G22810.1	OBART03G22810	WRKY
OBART03G22810.2	OBART03G22810	WRKY
OBART03G22820.1	OBART03G22820	LBD
OBART03G24650.1	OBART03G24650	GRAS
OBART03G24660.1	OBART03G24660	GRAS
OBART03G24670.1	OBART03G24670	NAC
OBART03G24690.1	OBART03G24690	NAC
OBART03G25200.1	OBART03G25200	GRAS
OBART03G25820.1	OBART03G25820	LBD
OBART03G25970.1	OBART03G25970	LBD
OBART03G26170.1	OBART03G26170	bHLH
OBART03G26480.1	OBART03G26480	NAC
OBART03G27030.1	OBART03G27030	CPP
OBART03G27560.1	OBART03G27560	NF-YA
OBART03G27740.1	OBART03G27740	YABBY
OBART03G28190.1	OBART03G28190	WRKY
OBART03G28270.1	OBART03G28270	LBD
OBART03G28660.1	OBART03G28660	Trihelix
OBART03G29020.1	OBART03G29020	bHLH
OBART03G29050.1	OBART03G29050	bHLH
OBART03G29860.1	OBART03G29860	GATA
OBART03G30260.3	OBART03G30260	GRAS
OBART03G30260.4	OBART03G30260	GRAS
OBART03G30600.1	OBART03G30600	NF-YA
OBART03G30600.2	OBART03G30600	NF-YA
OBART03G30600.3	OBART03G30600	NF-YA
OBART03G30600.4	OBART03G30600	NF-YA
OBART03G31290.1	OBART03G31290	TCP
OBART03G31370.1	OBART03G31370	GRAS
OBART03G31460.1	OBART03G31460	GeBP
OBART03G32070.1	OBART03G32070	ZF-HD
OBART03G32400.1	OBART03G32400	GRAS
OBART03G32580.1	OBART03G32580	bHLH
OBART03G32830.1	OBART03G32830	bHLH
OBART03G33220.1	OBART03G33220	GATA
OBART03G33610.1	OBART03G33610	bHLH
OBART03G33630.1	OBART03G33630	WRKY
OBART03G33860.1	OBART03G33860	HSF
OBART03G33860.2	OBART03G33860	HSF
OBART03G33860.3	OBART03G33860	HSF
OBART03G34810.1	OBART03G34810	WRKY
OBART03G34890.1	OBART03G34890	WRKY
OBART03G34890.3	OBART03G34890	WRKY
OBART03G34930.1	OBART03G34930	bHLH
OBART03G35240.1	OBART03G35240	Dof
OBART03G36060.1	OBART03G36060	NAC
OBART03G36060.2	OBART03G36060	NAC
OBART03G36360.1	OBART03G36360	bHLH
OBART03G36360.2	OBART03G36360	bHLH
OBART03G36360.3	OBART03G36360	bHLH
OBART03G36360.4	OBART03G36360	bHLH
OBART03G36360.5	OBART03G36360	bHLH
OBART03G36360.6	OBART03G36360	bHLH
OBART03G36360.7	OBART03G36360	bHLH
OBART03G36360.8	OBART03G36360	bHLH
OBART03G37290.1	OBART03G37290	HSF
OBART03G37370.1	OBART03G37370	bZIP
OBART03G37400.1	OBART03G37400	bHLH
OBART03G37400.2	OBART03G37400	bHLH
OBART03G37480.1	OBART03G37480	WRKY
OBART03G37480.2	OBART03G37480	WRKY
OBART03G37850.1	OBART03G37850	bHLH
OBART03G38300.1	OBART03G38300	bZIP
OBART03G38490.1	OBART03G38490	NAC
OBART03G38670.1	OBART03G38670	NAC
OBART03G39570.1	OBART03G39570	NAC
OBART03G39750.1	OBART03G39750	GATA
OBART03G39800.1	OBART03G39800	NAC
OBART03G39900.1	OBART03G39900	SBP
OBART03G40450.1	OBART03G40450	NAC
OBART03G41240.1	OBART03G41240	NF-YC
OBART03G41440.1	OBART03G41440	HSF
OBART03G41470.1	OBART03G41470	WRKY
OBART04G00680.1	OBART04G00680	E2F/DP
OBART04G02690.1	OBART04G02690	CPP
OBART04G03030.1	OBART04G03030	bZIP
OBART04G03050.1	OBART04G03050	bZIP
OBART04G03730.1	OBART04G03730	TCP
OBART04G06440.1	OBART04G06440	WRKY
OBART04G06800.1	OBART04G06800	bHLH
OBART04G06800.2	OBART04G06800	bHLH
OBART04G06880.1	OBART04G06880	bHLH
OBART04G08520.1	OBART04G08520	bHLH
OBART04G10120.1	OBART04G10120	bHLH
OBART04G10490.1	OBART04G10490	CAMTA
OBART04G11480.1	OBART04G11480	LBD
OBART04G11650.1	OBART04G11650	S1Fa-like
OBART04G11650.2	OBART04G11650	S1Fa-like
OBART04G11660.1	OBART04G11660	S1Fa-like
OBART04G12180.1	OBART04G12180	E2F/DP
OBART04G12870.1	OBART04G12870	bHLH
OBART04G12880.1	OBART04G12880	bHLH
OBART04G13350.1	OBART04G13350	NAC
OBART04G13830.1	OBART04G13830	NAC
OBART04G14000.1	OBART04G14000	Trihelix
OBART04G14970.1	OBART04G14970	NAC
OBART04G15720.1	OBART04G15720	WRKY
OBART04G15980.1	OBART04G15980	NAC
OBART04G16110.1	OBART04G16110	NAC
OBART04G16670.1	OBART04G16670	Trihelix
OBART04G16900.1	OBART04G16900	bHLH
OBART04G17300.1	OBART04G17300	bZIP
OBART04G17320.1	OBART04G17320	Nin-like
OBART04G18700.1	OBART04G18700	NAC
