TF_ID	Gene_ID	Family
OGLUM01G02850.1	OGLUM01G02850	RAV
OGLUM05G26380.1	OGLUM05G26380	RAV
OGLUM01G31260.1	OGLUM01G31260	RAV
OGLUM01G00330.1	OGLUM01G00330	NAC
OGLUM01G00350.1	OGLUM01G00350	NAC
OGLUM01G00400.1	OGLUM01G00400	bHLH
OGLUM01G00620.1	OGLUM01G00620	bHLH
OGLUM01G00630.1	OGLUM01G00630	bHLH
OGLUM01G00830.1	OGLUM01G00830	bHLH
OGLUM01G02100.1	OGLUM01G02100	LBD
OGLUM01G04180.1	OGLUM01G04180	NF-X1
OGLUM01G04250.1	OGLUM01G04250	bHLH
OGLUM01G04250.2	OGLUM01G04250	bHLH
OGLUM01G04900.1	OGLUM01G04900	LBD
OGLUM01G05200.1	OGLUM01G05200	bZIP
OGLUM01G05430.1	OGLUM01G05430	BES1
OGLUM01G05840.2	OGLUM01G05840	WRKY
OGLUM01G05840.4	OGLUM01G05840	WRKY
OGLUM01G05880.1	OGLUM01G05880	NF-YC
OGLUM01G06080.1	OGLUM01G06080	WRKY
OGLUM01G06090.1	OGLUM01G06090	WRKY
OGLUM01G06390.1	OGLUM01G06390	NAC
OGLUM01G06520.1	OGLUM01G06520	Dof
OGLUM01G06690.1	OGLUM01G06690	bHLH
OGLUM01G06710.1	OGLUM01G06710	bHLH
OGLUM01G06730.1	OGLUM01G06730	bHLH
OGLUM01G06940.1	OGLUM01G06940	NAC
OGLUM01G06950.1	OGLUM01G06950	NAC
OGLUM01G08020.1	OGLUM01G08020	bZIP
OGLUM01G08160.1	OGLUM01G08160	TCP
OGLUM01G08450.1	OGLUM01G08450	bHLH
OGLUM01G09830.1	OGLUM01G09830	bHLH
OGLUM01G09910.1	OGLUM01G09910	Nin-like
OGLUM01G10300.1	OGLUM01G10300	LBD
OGLUM01G10550.1	OGLUM01G10550	TCP
OGLUM01G10590.1	OGLUM01G10590	Nin-like
OGLUM01G10620.1	OGLUM01G10620	WRKY
OGLUM01G11550.1	OGLUM01G11550	NAC
OGLUM01G11690.1	OGLUM01G11690	Dof
OGLUM01G11800.1	OGLUM01G11800	CPP
OGLUM01G11830.1	OGLUM01G11830	FAR1
OGLUM01G12710.1	OGLUM01G12710	Dof
OGLUM01G12950.1	OGLUM01G12950	bZIP
OGLUM01G12950.2	OGLUM01G12950	bZIP
OGLUM01G13370.1	OGLUM01G13370	bHLH
OGLUM01G13550.1	OGLUM01G13550	WRKY
OGLUM01G13730.1	OGLUM01G13730	SBP
OGLUM01G13730.2	OGLUM01G13730	SBP
OGLUM01G13730.3	OGLUM01G13730	SBP
OGLUM01G13730.4	OGLUM01G13730	SBP
OGLUM01G13730.5	OGLUM01G13730	SBP
OGLUM01G13750.1	OGLUM01G13750	bHLH
OGLUM01G15940.1	OGLUM01G15940	NAC
OGLUM01G16180.1	OGLUM01G16180	GATA
OGLUM01G16410.1	OGLUM01G16410	NF-YC
OGLUM01G18710.1	OGLUM01G18710	NAC
OGLUM01G19440.1	OGLUM01G19440	NAC
OGLUM01G20320.1	OGLUM01G20320	LBD
OGLUM01G20420.1	OGLUM01G20420	GeBP
OGLUM01G20660.1	OGLUM01G20660	bZIP
OGLUM01G20910.1	OGLUM01G20910	NAC
OGLUM01G21120.1	OGLUM01G21120	bHLH
OGLUM01G22270.1	OGLUM01G22270	bZIP
OGLUM01G22860.1	OGLUM01G22860	Nin-like
OGLUM01G23470.1	OGLUM01G23470	bHLH
OGLUM01G23720.1	OGLUM01G23720	HSF
OGLUM01G23800.1	OGLUM01G23800	LBD
OGLUM01G23830.1	OGLUM01G23830	LBD
OGLUM01G23840.1	OGLUM01G23840	LBD
OGLUM01G23890.1	OGLUM01G23890	bHLH
OGLUM01G23970.1	OGLUM01G23970	bHLH
OGLUM01G24040.1	OGLUM01G24040	bHLH
OGLUM01G24210.1	OGLUM01G24210	NF-YC
OGLUM01G24490.1	OGLUM01G24490	WRKY
OGLUM01G24640.1	OGLUM01G24640	WRKY
OGLUM01G27100.1	OGLUM01G27100	WRKY
OGLUM01G27120.1	OGLUM01G27120	HSF
OGLUM01G27180.1	OGLUM01G27180	WRKY
OGLUM01G27180.2	OGLUM01G27180	WRKY
OGLUM01G27700.1	OGLUM01G27700	ZF-HD
OGLUM01G28380.1	OGLUM01G28380	GRAS
OGLUM01G28930.1	OGLUM01G28930	WRKY
OGLUM01G29060.1	OGLUM01G29060	bZIP
OGLUM01G29320.1	OGLUM01G29320	GATA
OGLUM01G29520.1	OGLUM01G29520	WRKY
OGLUM01G29620.1	OGLUM01G29620	NAC
OGLUM01G29870.1	OGLUM01G29870	NAC
OGLUM01G30020.1	OGLUM01G30020	Dof
OGLUM01G30050.1	OGLUM01G30050	Trihelix
OGLUM01G30190.1	OGLUM01G30190	NAC
OGLUM01G30360.1	OGLUM01G30360	E2F/DP
OGLUM01G30360.2	OGLUM01G30360	E2F/DP
OGLUM01G32030.1	OGLUM01G32030	bHLH
OGLUM01G32180.1	OGLUM01G32180	bHLH
OGLUM01G32750.1	OGLUM01G32750	WRKY
OGLUM01G33070.1	OGLUM01G33070	Trihelix
OGLUM01G33860.1	OGLUM01G33860	WRKY
OGLUM01G34020.1	OGLUM01G34020	WRKY
OGLUM01G34750.1	OGLUM01G34750	GATA
OGLUM01G35030.1	OGLUM01G35030	HSF
OGLUM01G35080.1	OGLUM01G35080	WRKY
OGLUM01G35080.2	OGLUM01G35080	WRKY
OGLUM01G35310.1	OGLUM01G35310	VOZ
OGLUM01G35450.1	OGLUM01G35450	TCP
OGLUM01G35480.1	OGLUM01G35480	bZIP
OGLUM01G35670.1	OGLUM01G35670	Dof
OGLUM01G35920.1	OGLUM01G35920	CPP
OGLUM01G36040.1	OGLUM01G36040	TCP
OGLUM01G36730.1	OGLUM01G36730	LBD
OGLUM01G36730.2	OGLUM01G36730	LBD
OGLUM01G36910.1	OGLUM01G36910	bHLH
OGLUM01G37590.1	OGLUM01G37590	bHLH
OGLUM01G38420.1	OGLUM01G38420	bZIP
OGLUM01G38810.1	OGLUM01G38810	bZIP
OGLUM01G39020.1	OGLUM01G39020	NAC
OGLUM01G39350.1	OGLUM01G39350	WRKY
OGLUM01G39360.1	OGLUM01G39360	WRKY
OGLUM01G39380.1	OGLUM01G39380	WRKY
OGLUM01G39390.1	OGLUM01G39390	WRKY
OGLUM01G39690.1	OGLUM01G39690	LBD
OGLUM01G39950.1	OGLUM01G39950	bHLH
OGLUM01G40190.1	OGLUM01G40190	NF-YB
OGLUM01G40190.2	OGLUM01G40190	NF-YB
OGLUM01G40820.1	OGLUM01G40820	GRAS
OGLUM01G40860.1	OGLUM01G40860	WRKY
OGLUM01G42150.1	OGLUM01G42150	bZIP
OGLUM01G42150.2	OGLUM01G42150	bZIP
OGLUM01G42170.1	OGLUM01G42170	bZIP
OGLUM01G42170.2	OGLUM01G42170	bZIP
OGLUM01G42170.3	OGLUM01G42170	bZIP
OGLUM01G42380.1	OGLUM01G42380	NAC
OGLUM01G42590.1	OGLUM01G42590	bHLH
OGLUM01G42610.1	OGLUM01G42610	Dof
OGLUM01G42750.1	OGLUM01G42750	bZIP
OGLUM01G43650.1	OGLUM01G43650	GRAS
OGLUM01G43820.1	OGLUM01G43820	NAC
OGLUM01G44090.1	OGLUM01G44090	NAC
OGLUM01G44190.1	OGLUM01G44190	LBD
OGLUM01G44190.2	OGLUM01G44190	LBD
OGLUM01G44190.3	OGLUM01G44190	LBD
OGLUM01G44860.1	OGLUM01G44860	bHLH
OGLUM01G45030.1	OGLUM01G45030	GRAS
OGLUM01G45850.1	OGLUM01G45850	bHLH
OGLUM01G46420.1	OGLUM01G46420	SBP
OGLUM01G46490.1	OGLUM01G46490	CAMTA
OGLUM01G46490.2	OGLUM01G46490	CAMTA
OGLUM01G46570.1	OGLUM01G46570	TCP
OGLUM01G46690.1	OGLUM01G46690	NAC
OGLUM01G46800.1	OGLUM01G46800	Trihelix
OGLUM01G46870.1	OGLUM01G46870	bHLH
OGLUM01G47440.1	OGLUM01G47440	NF-YB
OGLUM01G48010.1	OGLUM01G48010	NAC
OGLUM01G48120.4	OGLUM01G48120	GRAS
OGLUM01G48440.1	OGLUM01G48440	bHLH
OGLUM01G48440.2	OGLUM01G48440	bHLH
OGLUM01G48440.3	OGLUM01G48440	bHLH
