TF_ID	Gene_ID	Family
Cc11_g10560	Cc11_g10560	RAV
Cc06_g21760	Cc06_g21760	RAV
Cc00_g01440	Cc00_g01440	FAR1
Cc00_g02210	Cc00_g02210	bHLH
Cc00_g02380	Cc00_g02380	bZIP
Cc00_g03490	Cc00_g03490	FAR1
Cc00_g03570	Cc00_g03570	bZIP
Cc00_g05780	Cc00_g05780	NAC
Cc00_g06580	Cc00_g06580	TCP
Cc00_g06820	Cc00_g06820	GRAS
Cc00_g06830	Cc00_g06830	WRKY
Cc00_g07200	Cc00_g07200	bHLH
Cc00_g07300	Cc00_g07300	NF-YA
Cc00_g07980	Cc00_g07980	NF-X1
Cc00_g08030	Cc00_g08030	NAC
Cc00_g08040	Cc00_g08040	NAC
Cc00_g08160	Cc00_g08160	NF-YC
Cc00_g08580	Cc00_g08580	GRAS
Cc00_g09000	Cc00_g09000	Trihelix
Cc00_g09070	Cc00_g09070	NAC
Cc00_g10600	Cc00_g10600	NF-YB
Cc00_g10740	Cc00_g10740	Nin-like
Cc00_g11390	Cc00_g11390	bZIP
Cc00_g12270	Cc00_g12270	bHLH
Cc00_g13830	Cc00_g13830	YABBY
Cc00_g13890	Cc00_g13890	WRKY
Cc00_g14270	Cc00_g14270	NAC
Cc00_g14290	Cc00_g14290	NAC
Cc00_g14640	Cc00_g14640	SBP
Cc00_g14790	Cc00_g14790	ZF-HD
Cc00_g15080	Cc00_g15080	bZIP
Cc00_g15460	Cc00_g15460	SAP
Cc00_g15720	Cc00_g15720	LBD
Cc00_g16650	Cc00_g16650	bHLH
Cc00_g19380	Cc00_g19380	NF-YA
Cc00_g20610	Cc00_g20610	HSF
Cc00_g20690	Cc00_g20690	bHLH
Cc00_g21560	Cc00_g21560	WRKY
Cc00_g21780	Cc00_g21780	bZIP
Cc00_g22160	Cc00_g22160	Nin-like
Cc00_g24080	Cc00_g24080	bHLH
Cc00_g26010	Cc00_g26010	NAC
Cc00_g27610	Cc00_g27610	bHLH
Cc00_g28360	Cc00_g28360	HSF
Cc00_g29220	Cc00_g29220	bZIP
Cc00_g29370	Cc00_g29370	bHLH
Cc00_g29760	Cc00_g29760	Nin-like
Cc00_g30020	Cc00_g30020	bHLH
Cc00_g30710	Cc00_g30710	HSF
Cc00_g30840	Cc00_g30840	NAC
Cc00_g31280	Cc00_g31280	bHLH
Cc00_g31390	Cc00_g31390	Trihelix
Cc00_g32910	Cc00_g32910	E2F/DP
Cc00_g33210	Cc00_g33210	Trihelix
Cc00_g33380	Cc00_g33380	Trihelix
Cc00_g33850	Cc00_g33850	Trihelix
Cc00_g33880	Cc00_g33880	Trihelix
Cc00_g35310	Cc00_g35310	E2F/DP
Cc00_g35530	Cc00_g35530	Nin-like
Cc01_g04200	Cc01_g04200	EIL
Cc01_g04280	Cc01_g04280	GRAS
Cc01_g04290	Cc01_g04290	GRAS
Cc01_g04300	Cc01_g04300	GRAS
Cc01_g04310	Cc01_g04310	GRAS
Cc01_g04350	Cc01_g04350	LBD
Cc01_g04410	Cc01_g04410	bHLH
Cc01_g04540	Cc01_g04540	NAC
Cc01_g04560	Cc01_g04560	NAC
Cc01_g04590	Cc01_g04590	NAC
Cc01_g04900	Cc01_g04900	GRAS
Cc01_g05110	Cc01_g05110	bZIP
Cc01_g05900	Cc01_g05900	GRAS
Cc01_g06640	Cc01_g06640	GRAS
Cc01_g06650	Cc01_g06650	GRAS
Cc01_g07010	Cc01_g07010	GRAS
Cc01_g07160	Cc01_g07160	NF-YC
Cc01_g07490	Cc01_g07490	EIL
Cc01_g07860	Cc01_g07860	YABBY
Cc01_g08610	Cc01_g08610	E2F/DP
Cc01_g08720	Cc01_g08720	NAC
Cc01_g08730	Cc01_g08730	NAC
Cc01_g08900	Cc01_g08900	NAC
Cc01_g09080	Cc01_g09080	NF-YB
Cc01_g09290	Cc01_g09290	bZIP
Cc01_g10310	Cc01_g10310	bHLH
Cc01_g10750	Cc01_g10750	TCP
Cc01_g11010	Cc01_g11010	GATA
Cc01_g11290	Cc01_g11290	NF-YC
Cc01_g11320	Cc01_g11320	NAC
Cc01_g11350	Cc01_g11350	NAC
