TF_ID	Gene_ID	Family
Eucgr.B03048.1.p	Eucgr.B03048	RAV
Eucgr.D00053.1.p	Eucgr.D00053	RAV
Eucgr.L01673.1.p	Eucgr.L01673	RAV
Eucgr.C00358.1.p	Eucgr.C00358	RAV
Eucgr.C00358.2.p	Eucgr.C00358	RAV
Eucgr.A00040.1.p	Eucgr.A00040	Nin-like
Eucgr.A00087.1.p	Eucgr.A00087	FAR1
Eucgr.A00102.1.p	Eucgr.A00102	bZIP
Eucgr.A00193.1.p	Eucgr.A00193	GATA
Eucgr.A00213.1.p	Eucgr.A00213	bHLH
Eucgr.A00213.2.p	Eucgr.A00213	bHLH
Eucgr.A00213.3.p	Eucgr.A00213	bHLH
Eucgr.A00281.1.p	Eucgr.A00281	FAR1
Eucgr.A00281.2.p	Eucgr.A00281	FAR1
Eucgr.A00281.3.p	Eucgr.A00281	FAR1
Eucgr.A00354.1.p	Eucgr.A00354	GRAS
Eucgr.A00355.1.p	Eucgr.A00355	GRAS
Eucgr.A00357.1.p	Eucgr.A00357	NAC
Eucgr.A00357.2.p	Eucgr.A00357	NAC
Eucgr.A00359.1.p	Eucgr.A00359	NAC
Eucgr.A00362.1.p	Eucgr.A00362	NAC
Eucgr.A00365.1.p	Eucgr.A00365	NAC
Eucgr.A00368.1.p	Eucgr.A00368	NAC
Eucgr.A00369.1.p	Eucgr.A00369	NAC
Eucgr.A00370.1.p	Eucgr.A00370	NAC
Eucgr.A00371.1.p	Eucgr.A00371	NAC
Eucgr.A00435.1.p	Eucgr.A00435	NAC
Eucgr.A00437.1.p	Eucgr.A00437	NAC
Eucgr.A00494.1.p	Eucgr.A00494	NAC
Eucgr.A00494.2.p	Eucgr.A00494	NAC
Eucgr.A00520.1.p	Eucgr.A00520	Trihelix
Eucgr.A00605.1.p	Eucgr.A00605	GRAS
Eucgr.A00751.1.p	Eucgr.A00751	GRAS
Eucgr.A00764.1.p	Eucgr.A00764	GRAS
Eucgr.A00766.1.p	Eucgr.A00766	GRAS
Eucgr.A00769.1.p	Eucgr.A00769	GRAS
Eucgr.A00772.1.p	Eucgr.A00772	GRAS
Eucgr.A00903.1.p	Eucgr.A00903	GRAS
Eucgr.A00908.1.p	Eucgr.A00908	FAR1
Eucgr.A00908.2.p	Eucgr.A00908	FAR1
Eucgr.A00908.3.p	Eucgr.A00908	FAR1
Eucgr.A00910.1.p	Eucgr.A00910	FAR1
Eucgr.A00910.2.p	Eucgr.A00910	FAR1
Eucgr.A00969.1.p	Eucgr.A00969	NAC
Eucgr.A00998.1.p	Eucgr.A00998	bHLH
