TF_ID	Gene_ID	Family
Tp57577_TGAC_v2_mRNA26840	Tp57577_TGAC_v2_gene25951	RAV
Tp57577_TGAC_v2_mRNA218	Tp57577_TGAC_v2_gene218	RAV
Tp57577_TGAC_v2_mRNA9193	Tp57577_TGAC_v2_gene8891	RAV
Tp57577_TGAC_v2_mRNA10004	Tp57577_TGAC_v2_gene9678	TCP
Tp57577_TGAC_v2_mRNA10039	Tp57577_TGAC_v2_gene9710	LBD
Tp57577_TGAC_v2_mRNA10067	Tp57577_TGAC_v2_gene9736	NAC
Tp57577_TGAC_v2_mRNA10138	Tp57577_TGAC_v2_gene9806	FAR1
Tp57577_TGAC_v2_mRNA10141	Tp57577_TGAC_v2_gene9809	Trihelix
Tp57577_TGAC_v2_mRNA10155	Tp57577_TGAC_v2_gene9823	bHLH
Tp57577_TGAC_v2_mRNA10278	Tp57577_TGAC_v2_gene9941	NF-YC
Tp57577_TGAC_v2_mRNA10320	Tp57577_TGAC_v2_gene9983	FAR1
Tp57577_TGAC_v2_mRNA10365	Tp57577_TGAC_v2_gene10026	bHLH
Tp57577_TGAC_v2_mRNA10383	Tp57577_TGAC_v2_gene10044	CPP
Tp57577_TGAC_v2_mRNA10414	Tp57577_TGAC_v2_gene10074	NAC
Tp57577_TGAC_v2_mRNA10497	Tp57577_TGAC_v2_gene10156	NAC
Tp57577_TGAC_v2_mRNA10508	Tp57577_TGAC_v2_gene10167	NAC
Tp57577_TGAC_v2_mRNA1051	Tp57577_TGAC_v2_gene1044	bHLH
Tp57577_TGAC_v2_mRNA10584	Tp57577_TGAC_v2_gene10242	Trihelix
Tp57577_TGAC_v2_mRNA10587	Tp57577_TGAC_v2_gene10245	HSF
Tp57577_TGAC_v2_mRNA10701	Tp57577_TGAC_v2_gene10355	GeBP
Tp57577_TGAC_v2_mRNA10711	Tp57577_TGAC_v2_gene10365	bZIP
Tp57577_TGAC_v2_mRNA10803	Tp57577_TGAC_v2_gene10453	CAMTA
Tp57577_TGAC_v2_mRNA10912	Tp57577_TGAC_v2_gene10558	bZIP
Tp57577_TGAC_v2_mRNA10918	Tp57577_TGAC_v2_gene10564	GRAS
Tp57577_TGAC_v2_mRNA10927	Tp57577_TGAC_v2_gene10573	NF-YB
Tp57577_TGAC_v2_mRNA10928	Tp57577_TGAC_v2_gene10574	FAR1
Tp57577_TGAC_v2_mRNA10938	Tp57577_TGAC_v2_gene10584	Trihelix
Tp57577_TGAC_v2_mRNA10971	Tp57577_TGAC_v2_gene10617	LBD
Tp57577_TGAC_v2_mRNA10979	Tp57577_TGAC_v2_gene10624	bZIP
Tp57577_TGAC_v2_mRNA11016	Tp57577_TGAC_v2_gene10660	NF-YC
Tp57577_TGAC_v2_mRNA1109	Tp57577_TGAC_v2_gene1100	WRKY
Tp57577_TGAC_v2_mRNA11110	Tp57577_TGAC_v2_gene10753	HSF
Tp57577_TGAC_v2_mRNA11169	Tp57577_TGAC_v2_gene10811	bHLH
Tp57577_TGAC_v2_mRNA11320	Tp57577_TGAC_v2_gene10962	NAC
Tp57577_TGAC_v2_mRNA11457	Tp57577_TGAC_v2_gene11099	WRKY
Tp57577_TGAC_v2_mRNA1150	Tp57577_TGAC_v2_gene1138	NAC
Tp57577_TGAC_v2_mRNA11509	Tp57577_TGAC_v2_gene11149	GeBP
Tp57577_TGAC_v2_mRNA11519	Tp57577_TGAC_v2_gene11159	GeBP
Tp57577_TGAC_v2_mRNA11567	Tp57577_TGAC_v2_gene11205	NF-X1
Tp57577_TGAC_v2_mRNA11571	Tp57577_TGAC_v2_gene11209	bHLH
Tp57577_TGAC_v2_mRNA11601	Tp57577_TGAC_v2_gene11239	LBD
Tp57577_TGAC_v2_mRNA11646	Tp57577_TGAC_v2_gene11282	GATA
Tp57577_TGAC_v2_mRNA11666	Tp57577_TGAC_v2_gene11300	FAR1
Tp57577_TGAC_v2_mRNA11694	Tp57577_TGAC_v2_gene11327	bZIP
Tp57577_TGAC_v2_mRNA11695	Tp57577_TGAC_v2_gene11327	bZIP
Tp57577_TGAC_v2_mRNA11696	Tp57577_TGAC_v2_gene11327	bZIP
Tp57577_TGAC_v2_mRNA11730	Tp57577_TGAC_v2_gene11358	LBD
Tp57577_TGAC_v2_mRNA11873	Tp57577_TGAC_v2_gene11501	Trihelix
Tp57577_TGAC_v2_mRNA11906	Tp57577_TGAC_v2_gene11532	Trihelix
Tp57577_TGAC_v2_mRNA11923	Tp57577_TGAC_v2_gene11549	bHLH
Tp57577_TGAC_v2_mRNA11933	Tp57577_TGAC_v2_gene11559	GATA
Tp57577_TGAC_v2_mRNA11957	Tp57577_TGAC_v2_gene11582	Dof
Tp57577_TGAC_v2_mRNA12050	Tp57577_TGAC_v2_gene11674	VOZ
Tp57577_TGAC_v2_mRNA12052	Tp57577_TGAC_v2_gene11676	FAR1
Tp57577_TGAC_v2_mRNA1206	Tp57577_TGAC_v2_gene1194	LBD
Tp57577_TGAC_v2_mRNA12061	Tp57577_TGAC_v2_gene11685	Trihelix
Tp57577_TGAC_v2_mRNA12075	Tp57577_TGAC_v2_gene11698	bHLH
Tp57577_TGAC_v2_mRNA12077	Tp57577_TGAC_v2_gene11700	bHLH
Tp57577_TGAC_v2_mRNA12114	Tp57577_TGAC_v2_gene11734	bHLH
Tp57577_TGAC_v2_mRNA12197	Tp57577_TGAC_v2_gene11814	HSF
Tp57577_TGAC_v2_mRNA12227	Tp57577_TGAC_v2_gene11841	Nin-like
Tp57577_TGAC_v2_mRNA12237	Tp57577_TGAC_v2_gene11851	HSF
