TF_ID	Gene_ID	Family
Pavir.5NG098400.1.p	Pavir.5NG098400	RAV
Pavir.5KG097700.1.p	Pavir.5KG097700	RAV
Pavir.5NG454300.1.p	Pavir.5NG454300	RAV
Pavir.5NG098700.1.p	Pavir.5NG098700	RAV
Pavir.3KG280900.1.p	Pavir.3KG280900	RAV
Pavir.9NG290100.1.p	Pavir.9NG290100	RAV
Pavir.5KG484500.1.p	Pavir.5KG484500	RAV
Pavir.5KG097500.1.p	Pavir.5KG097500	RAV
Pavir.J314000.1.p	Pavir.J314000	RAV
Pavir.5KG097800.1.p	Pavir.5KG097800	RAV
Pavir.1KG005500.1.p	Pavir.1KG005500	Trihelix
Pavir.1KG014800.1.p	Pavir.1KG014800	bHLH
Pavir.1KG014800.2.p	Pavir.1KG014800	bHLH
Pavir.1KG015400.1.p	Pavir.1KG015400	GATA
Pavir.1KG015400.2.p	Pavir.1KG015400	GATA
Pavir.1KG019800.1.p	Pavir.1KG019800	bHLH
Pavir.1KG019800.2.p	Pavir.1KG019800	bHLH
Pavir.1KG029600.1.p	Pavir.1KG029600	GATA
Pavir.1KG032700.1.p	Pavir.1KG032700	bZIP
Pavir.1KG034400.1.p	Pavir.1KG034400	BES1
Pavir.1KG037800.1.p	Pavir.1KG037800	bZIP
Pavir.1KG040700.1.p	Pavir.1KG040700	Nin-like
Pavir.1KG041100.1.p	Pavir.1KG041100	FAR1
Pavir.1KG043600.1.p	Pavir.1KG043600	SBP
Pavir.1KG056900.1.p	Pavir.1KG056900	FAR1
Pavir.1KG060000.1.p	Pavir.1KG060000	FAR1
Pavir.1KG062100.1.p	Pavir.1KG062100	Whirly
Pavir.1KG073400.1.p	Pavir.1KG073400	NF-YC
Pavir.1KG076500.1.p	Pavir.1KG076500	SBP
Pavir.1KG077100.1.p	Pavir.1KG077100	bZIP
Pavir.1KG078500.1.p	Pavir.1KG078500	SBP
Pavir.1KG080400.1.p	Pavir.1KG080400	SBP
Pavir.1KG087300.1.p	Pavir.1KG087300	WRKY
Pavir.1KG088700.1.p	Pavir.1KG088700	bZIP
Pavir.1KG090300.1.p	Pavir.1KG090300	bZIP
Pavir.1KG098200.1.p	Pavir.1KG098200	bZIP
Pavir.1KG100200.1.p	Pavir.1KG100200	bZIP
Pavir.1KG103600.1.p	Pavir.1KG103600	GRAS
Pavir.1KG103600.2.p	Pavir.1KG103600	GRAS
Pavir.1KG113100.1.p	Pavir.1KG113100	bHLH
Pavir.1KG121100.1.p	Pavir.1KG121100	bHLH
Pavir.1KG126100.1.p	Pavir.1KG126100	bZIP
Pavir.1KG128700.1.p	Pavir.1KG128700	NF-YB
Pavir.1KG128700.2.p	Pavir.1KG128700	NF-YB
Pavir.1KG133800.1.p	Pavir.1KG133800	GRAS
Pavir.1KG133800.2.p	Pavir.1KG133800	GRAS
Pavir.1KG133800.3.p	Pavir.1KG133800	GRAS
Pavir.1KG133800.4.p	Pavir.1KG133800	GRAS
Pavir.1KG133900.1.p	Pavir.1KG133900	GRAS
Pavir.1KG134100.1.p	Pavir.1KG134100	GRAS
Pavir.1KG140800.1.p	Pavir.1KG140800	NAC
Pavir.1KG142300.1.p	Pavir.1KG142300	GeBP
Pavir.1KG150700.1.p	Pavir.1KG150700	NAC
Pavir.1KG150700.2.p	Pavir.1KG150700	NAC
Pavir.1KG158700.1.p	Pavir.1KG158700	NAC
Pavir.1KG159300.1.p	Pavir.1KG159300	HSF
Pavir.1KG163300.1.p	Pavir.1KG163300	NAC
