TF_ID	Gene_ID	Family
Sobic.003G078100.1.p	Sobic.003G078100	RAV
Sobic.009G221400.1.p	Sobic.009G221400	RAV
Sobic.003G265200.1.p	Sobic.003G265200	RAV
Sobic.001G006600.1.p	Sobic.001G006600	WRKY
Sobic.001G006600.2.p	Sobic.001G006600	WRKY
Sobic.001G007200.2.p	Sobic.001G007200	HSF
Sobic.001G007200.3.p	Sobic.001G007200	HSF
Sobic.001G009200.1.p	Sobic.001G009200	NF-YC
Sobic.001G016600.2.p	Sobic.001G016600	FAR1
Sobic.001G016600.3.p	Sobic.001G016600	FAR1
Sobic.001G016600.4.p	Sobic.001G016600	FAR1
Sobic.001G016600.5.p	Sobic.001G016600	FAR1
Sobic.001G016600.6.p	Sobic.001G016600	FAR1
Sobic.001G018350.1.p	Sobic.001G018350	NAC
Sobic.001G018700.1.p	Sobic.001G018700	NAC
Sobic.001G023900.1.p	Sobic.001G023900	GATA
Sobic.001G023900.2.p	Sobic.001G023900	GATA
Sobic.001G026500.1.p	Sobic.001G026500	SBP
Sobic.001G030800.1.p	Sobic.001G030800	NAC
Sobic.001G031000.1.p	Sobic.001G031000	NAC
Sobic.001G033200.3.p	Sobic.001G033200	GRAS
Sobic.001G033200.4.p	Sobic.001G033200	GRAS
Sobic.001G034300.1.p	Sobic.001G034300	Dof
Sobic.001G034300.2.p	Sobic.001G034300	Dof
Sobic.001G034300.3.p	Sobic.001G034300	Dof
Sobic.001G040200.1.p	Sobic.001G040200	NAC
Sobic.001G040900.1.p	Sobic.001G040900	NAC
Sobic.001G041500.1.p	Sobic.001G041500	bHLH
Sobic.001G041500.2.p	Sobic.001G041500	bHLH
Sobic.001G044300.10.p	Sobic.001G044300	bZIP
Sobic.001G044300.7.p	Sobic.001G044300	bZIP
Sobic.001G044300.8.p	Sobic.001G044300	bZIP
Sobic.001G044300.9.p	Sobic.001G044300	bZIP
Sobic.001G045500.1.p	Sobic.001G045500	NAC
Sobic.001G051300.1.p	Sobic.001G051300	bHLH
Sobic.001G055400.1.p	Sobic.001G055400	WRKY
Sobic.001G056300.1.p	Sobic.001G056300	bHLH
Sobic.001G056300.2.p	Sobic.001G056300	bHLH
Sobic.001G056700.1.p	Sobic.001G056700	bZIP
Sobic.001G057700.1.p	Sobic.001G057700	HSF
Sobic.001G062700.1.p	Sobic.001G062700	GATA
Sobic.001G062800.1.p	Sobic.001G062800	LBD
Sobic.001G066100.1.p	Sobic.001G066100	TCP
Sobic.001G066100.2.p	Sobic.001G066100	TCP
Sobic.001G068301.1.p	Sobic.001G068301	bHLH
Sobic.001G069400.1.p	Sobic.001G069400	GeBP
Sobic.001G069400.2.p	Sobic.001G069400	GeBP
Sobic.001G070600.1.p	Sobic.001G070600	FAR1
Sobic.001G070600.2.p	Sobic.001G070600	FAR1
Sobic.001G071000.1.p	Sobic.001G071000	NAC
Sobic.001G075900.1.p	Sobic.001G075900	bZIP
Sobic.001G078700.1.p	Sobic.001G078700	Dof
Sobic.001G079300.1.p	Sobic.001G079300	bHLH
Sobic.001G082600.1.p	Sobic.001G082600	bHLH
Sobic.001G082600.2.p	Sobic.001G082600	bHLH
Sobic.001G082600.4.p	Sobic.001G082600	bHLH
Sobic.001G083000.1.p	Sobic.001G083000	WRKY
Sobic.001G084000.1.p	Sobic.001G084000	WRKY
Sobic.001G093200.1.p	Sobic.001G093200	HSF
Sobic.001G093200.2.p	Sobic.001G093200	HSF
Sobic.001G095500.1.p	Sobic.001G095500	WRKY
Sobic.001G095700.1.p	Sobic.001G095700	bHLH
Sobic.001G100100.1.p	Sobic.001G100100	GATA
Sobic.001G105000.1.p	Sobic.001G105000	bHLH
Sobic.001G105000.2.p	Sobic.001G105000	bHLH
Sobic.001G105000.3.p	Sobic.001G105000	bHLH
Sobic.001G105000.4.p	Sobic.001G105000	bHLH
Sobic.001G107400.1.p	Sobic.001G107400	bHLH
Sobic.001G107400.2.p	Sobic.001G107400	bHLH
Sobic.001G107400.3.p	Sobic.001G107400	bHLH
Sobic.001G109100.1.p	Sobic.001G109100	GRAS
Sobic.001G112500.1.p	Sobic.001G112500	ZF-HD
Sobic.001G119700.1.p	Sobic.001G119700	GeBP
Sobic.001G120900.1.p	Sobic.001G120900	GRAS
Sobic.001G121600.1.p	Sobic.001G121600	TCP
Sobic.001G127800.1.p	Sobic.001G127800	NF-YA
Sobic.001G127800.2.p	Sobic.001G127800	NF-YA
Sobic.001G127800.3.p	Sobic.001G127800	NF-YA
Sobic.001G135400.1.p	Sobic.001G135400	GATA
Sobic.001G137300.1.p	Sobic.001G137300	GATA
Sobic.001G139200.2.p	Sobic.001G139200	bZIP
Sobic.001G140800.1.p	Sobic.001G140800	bHLH
Sobic.001G140900.3.p	Sobic.001G140900	bHLH
Sobic.001G140900.4.p	Sobic.001G140900	bHLH
Sobic.001G141100.1.p	Sobic.001G141100	bHLH
Sobic.001G141100.2.p	Sobic.001G141100	bHLH
Sobic.001G143400.1.p	Sobic.001G143400	Trihelix
Sobic.001G147000.1.p	Sobic.001G147000	LBD
Sobic.001G148000.1.p	Sobic.001G148000	WRKY
Sobic.001G149000.1.p	Sobic.001G149000	FAR1
Sobic.001G149000.2.p	Sobic.001G149000	FAR1
Sobic.001G149000.3.p	Sobic.001G149000	FAR1
Sobic.001G152901.1.p	Sobic.001G152901	YABBY
Sobic.001G154500.1.p	Sobic.001G154500	NF-YA
Sobic.001G154500.2.p	Sobic.001G154500	NF-YA
Sobic.001G158900.1.p	Sobic.001G158900	bHLH
Sobic.001G158900.2.p	Sobic.001G158900	bHLH
Sobic.001G158900.3.p	Sobic.001G158900	bHLH
Sobic.001G158900.4.p	Sobic.001G158900	bHLH
Sobic.001G159500.1.p	Sobic.001G159500	CPP
Sobic.001G159500.2.p	Sobic.001G159500	CPP
Sobic.001G162100.1.p	Sobic.001G162100	WRKY
Sobic.001G162100.2.p	Sobic.001G162100	WRKY
Sobic.001G163800.1.p	Sobic.001G163800	NAC
Sobic.001G163800.2.p	Sobic.001G163800	NAC
Sobic.001G166200.1.p	Sobic.001G166200	Dof
Sobic.001G166700.1.p	Sobic.001G166700	bHLH
Sobic.001G167600.1.p	Sobic.001G167600	LBD
Sobic.001G169200.1.p	Sobic.001G169200	LBD
Sobic.001G174100.1.p	Sobic.001G174100	GRAS
Sobic.001G174200.1.p	Sobic.001G174200	GRAS
Sobic.001G174300.1.p	Sobic.001G174300	GRAS
Sobic.001G174500.1.p	Sobic.001G174500	GRAS
Sobic.001G179300.1.p	Sobic.001G179300	Dof
Sobic.001G181100.1.p	Sobic.001G181100	GRAS
Sobic.001G194600.1.p	Sobic.001G194600	Trihelix
Sobic.001G195550.1.p	Sobic.001G195550	FAR1
Sobic.001G199200.1.p	Sobic.001G199200	YABBY
Sobic.001G206300.1.p	Sobic.001G206300	Dof
Sobic.001G206300.3.p	Sobic.001G206300	Dof
Sobic.001G229200.1.p	Sobic.001G229200	GATA
Sobic.001G237600.1.p	Sobic.001G237600	E2F/DP
Sobic.001G243000.1.p	Sobic.001G243000	HSF
Sobic.001G243800.1.p	Sobic.001G243800	bZIP
