TF_ID	Gene_ID	Family
mrna03871.1-v1.0-hybrid	gene03871-v1.0-hybrid	RAV
mrna07828.1-v1.0-hybrid	gene07828-v1.0-hybrid	RAV
mrna10330.1-v1.0-hybrid	gene10330-v1.0-hybrid	RAV
mrna26847.1-v1.0-hybrid	gene26847-v1.0-hybrid	RAV
mrna24427.1-v1.0-hybrid	gene24427-v1.0-hybrid	RAV
mrna00151.1-v1.0-hybrid	gene00151-v1.0-hybrid	NAC
mrna00196.1-v1.0-hybrid	gene00196-v1.0-hybrid	SBP
mrna00252.1-v1.0-hybrid	gene00252-v1.0-hybrid	NAC
mrna00378.1-v1.0-hybrid	gene00378-v1.0-hybrid	FAR1
mrna00379.1-v1.0-hybrid	gene00379-v1.0-hybrid	EIL
mrna00391.1-v1.0-hybrid	gene00391-v1.0-hybrid	EIL
mrna00392.1-v1.0-hybrid	gene00392-v1.0-hybrid	EIL
mrna00393.1-v1.0-hybrid	gene00393-v1.0-hybrid	bZIP
mrna00517.1-v1.0-hybrid	gene00517-v1.0-hybrid	bZIP
mrna00545.1-v1.0-hybrid	gene00545-v1.0-hybrid	bHLH
mrna00554.1-v1.0-hybrid	gene00554-v1.0-hybrid	bHLH
mrna00620.1-v1.0-hybrid	gene00620-v1.0-hybrid	BBR-BPC
mrna00631.1-v1.0-hybrid	gene00631-v1.0-hybrid	bHLH
mrna00752.1-v1.0-hybrid	gene00752-v1.0-hybrid	bHLH
mrna00901.1-v1.0-hybrid	gene00901-v1.0-hybrid	bHLH
mrna00951.1-v1.0-hybrid	gene00951-v1.0-hybrid	NAC
mrna00971.1-v1.0-hybrid	gene00971-v1.0-hybrid	NAC
mrna01015.1-v1.0-hybrid	gene01015-v1.0-hybrid	GRAS
mrna01023.1-v1.0-hybrid	gene01023-v1.0-hybrid	NAC
mrna01068.1-v1.0-hybrid	gene01068-v1.0-hybrid	bHLH
mrna01184.1-v1.0-hybrid	gene01184-v1.0-hybrid	GRAS
mrna01197.1-v1.0-hybrid	gene01197-v1.0-hybrid	WRKY
mrna01256.1-v1.0-hybrid	gene01256-v1.0-hybrid	WRKY
mrna01286.1-v1.0-hybrid	gene01286-v1.0-hybrid	LBD
mrna01338.1-v1.0-hybrid	gene01338-v1.0-hybrid	SBP
mrna01340.1-v1.0-hybrid	gene01340-v1.0-hybrid	WRKY
mrna01346.1-v1.0-hybrid	gene01346-v1.0-hybrid	TCP
mrna01356.1-v1.0-hybrid	gene01356-v1.0-hybrid	GRAS
mrna01364.1-v1.0-hybrid	gene01364-v1.0-hybrid	NAC
mrna01536.1-v1.0-hybrid	gene01536-v1.0-hybrid	FAR1
mrna01596.1-v1.0-hybrid	gene01596-v1.0-hybrid	WRKY
mrna01615.1-v1.0-hybrid	gene01615-v1.0-hybrid	SRS
mrna01638.1-v1.0-hybrid	gene01638-v1.0-hybrid	GATA
mrna01678.1-v1.0-hybrid	gene01678-v1.0-hybrid	BBR-BPC
mrna01680.1-v1.0-hybrid	gene01680-v1.0-hybrid	bZIP
mrna01828.1-v1.0-hybrid	gene01828-v1.0-hybrid	Trihelix
mrna01851.1-v1.0-hybrid	gene01851-v1.0-hybrid	NAC
mrna01881.1-v1.0-hybrid	gene01881-v1.0-hybrid	NAC
mrna01894.1-v1.0-hybrid	gene01894-v1.0-hybrid	bHLH
mrna01920.1-v1.0-hybrid	gene01920-v1.0-hybrid	ZF-HD
mrna02016.1-v1.0-hybrid	gene02016-v1.0-hybrid	NAC
mrna02091.1-v1.0-hybrid	gene02091-v1.0-hybrid	Trihelix
mrna02177.1-v1.0-hybrid	gene02177-v1.0-hybrid	bZIP
mrna02199.1-v1.0-hybrid	gene02199-v1.0-hybrid	bHLH
mrna02232.1-v1.0-hybrid	gene02232-v1.0-hybrid	GRAS
mrna02269.1-v1.0-hybrid	gene02269-v1.0-hybrid	WRKY
mrna02271.1-v1.0-hybrid	gene02271-v1.0-hybrid	GRAS
mrna02272.1-v1.0-hybrid	gene02272-v1.0-hybrid	GRAS
mrna02273.1-v1.0-hybrid	gene02273-v1.0-hybrid	GRAS
mrna02284.1-v1.0-hybrid	gene02284-v1.0-hybrid	bZIP
mrna02297.1-v1.0-hybrid	gene02297-v1.0-hybrid	FAR1
mrna02365.1-v1.0-hybrid	gene02365-v1.0-hybrid	Dof
mrna02381.1-v1.0-hybrid	gene02381-v1.0-hybrid	bHLH
mrna02408.1-v1.0-hybrid	gene02408-v1.0-hybrid	HSF
mrna02419.1-v1.0-hybrid	gene02419-v1.0-hybrid	bZIP
mrna02444.1-v1.0-hybrid	gene02444-v1.0-hybrid	NAC
mrna02464.1-v1.0-hybrid	gene02464-v1.0-hybrid	HSF
mrna02557.1-v1.0-hybrid	gene02557-v1.0-hybrid	LBD
mrna02560.1-v1.0-hybrid	gene02560-v1.0-hybrid	bHLH
mrna02614.1-v1.0-hybrid	gene02614-v1.0-hybrid	bZIP
mrna02629.1-v1.0-hybrid	gene02629-v1.0-hybrid	bHLH
mrna02686.1-v1.0-hybrid	gene02686-v1.0-hybrid	GATA
mrna02696.1-v1.0-hybrid	gene02696-v1.0-hybrid	LBD
mrna02697.1-v1.0-hybrid	gene02697-v1.0-hybrid	LBD
mrna02705.1-v1.0-hybrid	gene02705-v1.0-hybrid	HSF
mrna03079.1-v1.0-hybrid	gene03079-v1.0-hybrid	Nin-like
mrna03259.1-v1.0-hybrid	gene03259-v1.0-hybrid	bHLH
mrna03285.1-v1.0-hybrid	gene03285-v1.0-hybrid	GRAS
mrna03303.1-v1.0-hybrid	gene03303-v1.0-hybrid	bHLH
mrna03312.1-v1.0-hybrid	gene03312-v1.0-hybrid	E2F/DP
mrna03360.1-v1.0-hybrid	gene03360-v1.0-hybrid	FAR1
mrna03384.1-v1.0-hybrid	gene03384-v1.0-hybrid	FAR1
mrna03411.1-v1.0-hybrid	gene03411-v1.0-hybrid	WRKY
mrna03549.1-v1.0-hybrid	gene03549-v1.0-hybrid	WRKY
mrna03551.1-v1.0-hybrid	gene03551-v1.0-hybrid	GRAS
mrna03633.1-v1.0-hybrid	gene03633-v1.0-hybrid	bZIP
mrna03678.1-v1.0-hybrid	gene03678-v1.0-hybrid	bHLH
mrna03713.1-v1.0-hybrid	gene03713-v1.0-hybrid	bHLH
mrna03741.1-v1.0-hybrid	gene03741-v1.0-hybrid	LBD
mrna03778.1-v1.0-hybrid	gene03778-v1.0-hybrid	bZIP
mrna03815.1-v1.0-hybrid	gene03815-v1.0-hybrid	ZF-HD
mrna03816.1-v1.0-hybrid	gene03816-v1.0-hybrid	ZF-HD
mrna03833.1-v1.0-hybrid	gene03833-v1.0-hybrid	NAC
mrna03875.1-v1.0-hybrid	gene03875-v1.0-hybrid	NAC
mrna03879.1-v1.0-hybrid	gene03879-v1.0-hybrid	bHLH
mrna03882.1-v1.0-hybrid	gene03882-v1.0-hybrid	TCP
mrna03900.1-v1.0-hybrid	gene03900-v1.0-hybrid	WRKY
mrna03910.1-v1.0-hybrid	gene03910-v1.0-hybrid	NAC
mrna03938.1-v1.0-hybrid	gene03938-v1.0-hybrid	YABBY
mrna03956.1-v1.0-hybrid	gene03956-v1.0-hybrid	GRAS
mrna04187.1-v1.0-hybrid	gene04187-v1.0-hybrid	bZIP
mrna04249.1-v1.0-hybrid	gene04249-v1.0-hybrid	NAC
mrna04255.1-v1.0-hybrid	gene04255-v1.0-hybrid	TCP
mrna04303.1-v1.0-hybrid	gene04303-v1.0-hybrid	NAC
mrna04391.1-v1.0-hybrid	gene04391-v1.0-hybrid	WRKY
mrna04424.1-v1.0-hybrid	gene04424-v1.0-hybrid	NAC
mrna04441.1-v1.0-hybrid	gene04441-v1.0-hybrid	Dof
mrna04504.1-v1.0-hybrid	gene04504-v1.0-hybrid	bZIP
mrna04513.1-v1.0-hybrid	gene04513-v1.0-hybrid	bHLH
mrna04534.1-v1.0-hybrid	gene04534-v1.0-hybrid	bHLH
mrna04565.1-v1.0-hybrid	gene04565-v1.0-hybrid	SBP
mrna04566.1-v1.0-hybrid	gene04566-v1.0-hybrid	YABBY
mrna04766.1-v1.0-hybrid	gene04766-v1.0-hybrid	NAC
mrna04784.1-v1.0-hybrid	gene04784-v1.0-hybrid	SBP
mrna04786.1-v1.0-hybrid	gene04786-v1.0-hybrid	SBP
mrna04797.1-v1.0-hybrid	gene04797-v1.0-hybrid	GATA
mrna04816.1-v1.0-hybrid	gene04816-v1.0-hybrid	NF-YC
mrna04864.1-v1.0-hybrid	gene04864-v1.0-hybrid	WRKY
mrna05066.1-v1.0-hybrid	gene05066-v1.0-hybrid	WRKY
mrna05159.1-v1.0-hybrid	gene05159-v1.0-hybrid	CAMTA
mrna05160.1-v1.0-hybrid	gene05160-v1.0-hybrid	CAMTA
mrna05172.1-v1.0-hybrid	gene05172-v1.0-hybrid	FAR1
mrna05175.1-v1.0-hybrid	gene05175-v1.0-hybrid	GATA
mrna05318.1-v1.0-hybrid	gene05318-v1.0-hybrid	Trihelix
mrna05400.1-v1.0-hybrid	gene05400-v1.0-hybrid	Trihelix
mrna05560.1-v1.0-hybrid	gene05560-v1.0-hybrid	bHLH
mrna05610.1-v1.0-hybrid	gene05610-v1.0-hybrid	bHLH
mrna05612.1-v1.0-hybrid	gene05612-v1.0-hybrid	bHLH
mrna05720.1-v1.0-hybrid	gene05720-v1.0-hybrid	GRAS
mrna05722.1-v1.0-hybrid	gene05722-v1.0-hybrid	LBD
mrna05757.1-v1.0-hybrid	gene05757-v1.0-hybrid	GRAS
mrna05847.1-v1.0-hybrid	gene05847-v1.0-hybrid	CPP
mrna05925.1-v1.0-hybrid	gene05925-v1.0-hybrid	NF-YC
mrna05956.1-v1.0-hybrid	gene05956-v1.0-hybrid	Trihelix
mrna06093.1-v1.0-hybrid	gene06093-v1.0-hybrid	bHLH
mrna06133.1-v1.0-hybrid	gene06133-v1.0-hybrid	FAR1
mrna06165.1-v1.0-hybrid	gene06165-v1.0-hybrid	FAR1
mrna06295.1-v1.0-hybrid	gene06295-v1.0-hybrid	SBP
mrna06313.1-v1.0-hybrid	gene06313-v1.0-hybrid	NF-YC
mrna06358.1-v1.0-hybrid	gene06358-v1.0-hybrid	Trihelix
mrna06360.1-v1.0-hybrid	gene06360-v1.0-hybrid	Trihelix
mrna06414.1-v1.0-hybrid	gene06414-v1.0-hybrid	Trihelix
mrna06435.1-v1.0-hybrid	gene06435-v1.0-hybrid	bHLH
mrna06448.1-v1.0-hybrid	gene06448-v1.0-hybrid	bHLH
mrna06460.1-v1.0-hybrid	gene06460-v1.0-hybrid	NAC
mrna06570.1-v1.0-hybrid	gene06570-v1.0-hybrid	HSF
mrna06692.1-v1.0-hybrid	gene06692-v1.0-hybrid	SBP
mrna06857.1-v1.0-hybrid	gene06857-v1.0-hybrid	NF-YB
mrna07355.1-v1.0-hybrid	gene07355-v1.0-hybrid	bHLH
mrna07391.1-v1.0-hybrid	gene07391-v1.0-hybrid	bHLH
mrna07470.1-v1.0-hybrid	gene07470-v1.0-hybrid	CAMTA
mrna07522.1-v1.0-hybrid	gene07522-v1.0-hybrid	NF-YA
mrna07554.1-v1.0-hybrid	gene07554-v1.0-hybrid	bZIP
mrna07815.1-v1.0-hybrid	gene07815-v1.0-hybrid	NAC
mrna07822.1-v1.0-hybrid	gene07822-v1.0-hybrid	NAC
mrna07844.1-v1.0-hybrid	gene07844-v1.0-hybrid	bZIP
mrna08029.1-v1.0-hybrid	gene08029-v1.0-hybrid	Trihelix
mrna08112.1-v1.0-hybrid	gene08112-v1.0-hybrid	NAC
mrna08154.1-v1.0-hybrid	gene08154-v1.0-hybrid	bZIP
mrna08173.1-v1.0-hybrid	gene08173-v1.0-hybrid	Trihelix
