TF_ID	Gene_ID	Family
ONIVA01G02970.1	ONIVA01G02970	RAV
ONIVA01G02990.1	ONIVA01G02990	RAV
ONIVA05G26000.1	ONIVA05G26000	RAV
ONIVA01G31290.1	ONIVA01G31290	RAV
ONIVA01G00250.1	ONIVA01G00250	NAC
ONIVA01G00280.1	ONIVA01G00280	NAC
ONIVA01G00330.1	ONIVA01G00330	bHLH
ONIVA01G00550.1	ONIVA01G00550	bHLH
ONIVA01G00560.1	ONIVA01G00560	bHLH
ONIVA01G00780.1	ONIVA01G00780	bHLH
ONIVA01G02110.1	ONIVA01G02110	LBD
ONIVA01G04320.1	ONIVA01G04320	NF-X1
ONIVA01G04320.2	ONIVA01G04320	NF-X1
ONIVA01G04390.1	ONIVA01G04390	bHLH
ONIVA01G04390.2	ONIVA01G04390	bHLH
ONIVA01G04930.1	ONIVA01G04930	LBD
ONIVA01G05400.1	ONIVA01G05400	bZIP
ONIVA01G05630.1	ONIVA01G05630	BES1
ONIVA01G06080.1	ONIVA01G06080	WRKY
ONIVA01G06080.2	ONIVA01G06080	WRKY
ONIVA01G06130.1	ONIVA01G06130	NF-YC
ONIVA01G06350.1	ONIVA01G06350	WRKY
ONIVA01G06360.1	ONIVA01G06360	WRKY
ONIVA01G06690.1	ONIVA01G06690	NAC
ONIVA01G06690.2	ONIVA01G06690	NAC
ONIVA01G06690.3	ONIVA01G06690	NAC
ONIVA01G06900.1	ONIVA01G06900	Dof
ONIVA01G07080.1	ONIVA01G07080	bHLH
ONIVA01G07090.1	ONIVA01G07090	bHLH
ONIVA01G07100.1	ONIVA01G07100	bHLH
ONIVA01G07150.1	ONIVA01G07150	bHLH
ONIVA01G07170.1	ONIVA01G07170	bHLH
ONIVA01G07190.1	ONIVA01G07190	bHLH
ONIVA01G07440.1	ONIVA01G07440	bHLH
ONIVA01G07860.1	ONIVA01G07860	WRKY
ONIVA01G08700.1	ONIVA01G08700	BES1
ONIVA01G09160.1	ONIVA01G09160	bZIP
ONIVA01G09270.1	ONIVA01G09270	TCP
ONIVA01G09540.1	ONIVA01G09540	bHLH
ONIVA01G11170.1	ONIVA01G11170	bHLH
ONIVA01G11240.1	ONIVA01G11240	Nin-like
ONIVA01G11590.1	ONIVA01G11590	LBD
ONIVA01G11810.1	ONIVA01G11810	Nin-like
