TF_ID	Gene_ID	Family
e_gw1.14.312.1	e_gw1.14.312.1	bZIP
e_gw1.16.472.1	e_gw1.16.472.1	Whirly
e_gw1.17.282.1	e_gw1.17.282.1	bHLH
e_gw1.19.20.1	e_gw1.19.20.1	CPP
e_gw1.2.581.1	e_gw1.2.581.1	NF-YB
e_gw1.3.487.1	e_gw1.3.487.1	bZIP
e_gw1.3.601.1	e_gw1.3.601.1	GATA
e_gw1.7.600.1	e_gw1.7.600.1	GATA
e_gw1.7.793.1	e_gw1.7.793.1	GATA
e_gw1.9.884.1	e_gw1.9.884.1	CPP
EuGene.0200010371	EuGene.0200010371	GATA
EuGene.0500010229	EuGene.0500010229	GATA
EuGene.0700010075	EuGene.0700010075	bZIP
EuGene.0800010212	EuGene.0800010212	WRKY
EuGene.1100010359	EuGene.1100010359	WRKY
EuGene.2000010207	EuGene.2000010207	Nin-like
fgenesh1_kg.chr_19_#_5_#_CBPU_CBPX_CBPY_730_1	fgenesh1_kg.chr_19_#_5_#_CBPU_CBPX_CBPY_730_1	bHLH
fgenesh1_pg.chr_20_#_144	fgenesh1_pg.chr_20_#_144	bHLH
fgenesh1_pg.chr_20_#_21	fgenesh1_pg.chr_20_#_21	NF-YA
fgenesh1_pg.chr_5_#_192	fgenesh1_pg.chr_5_#_192	YABBY
fgenesh1_pg.chr_7_#_290	fgenesh1_pg.chr_7_#_290	WRKY
fgenesh1_pm.chr_10_#_45	fgenesh1_pm.chr_10_#_45	E2F/DP
fgenesh1_pm.chr_6_#_332	fgenesh1_pm.chr_6_#_332	Nin-like
fgenesh1_pm.chr_9_#_57	fgenesh1_pm.chr_9_#_57	CAMTA
gw1.11.975.1	gw1.11.975.1	NF-YC
gw1.19.139.1	gw1.19.139.1	HSF
gw1.19.153.1	gw1.19.153.1	bHLH
gw1.1.958.1	gw1.1.958.1	bZIP
gw1.20.85.1	gw1.20.85.1	NF-YC
gw1.2.161.1	gw1.2.161.1	Nin-like
gw1.4.1151.1	gw1.4.1151.1	NF-YB
gw1.4.1217.1	gw1.4.1217.1	Dof
gw1.7.1039.1	gw1.7.1039.1	NF-YB
gw1.8.144.1	gw1.8.144.1	E2F/DP
gw1.8.497.1	gw1.8.497.1	Dof
e_gw1.13.607.1	e_gw1.13.607.1	AP2
e_gw1.3.205.1	e_gw1.3.205.1	AP2
e_gw1.12.263.1	e_gw1.12.263.1	AP2
EuGene.0600010523	EuGene.0600010523	AP2
fgenesh1_pm.chr_1_#_161	fgenesh1_pm.chr_1_#_161	ERF
fgenesh1_pm.chr_4_#_35	fgenesh1_pm.chr_4_#_35	ERF
gw1.20.728.1	gw1.20.728.1	ERF
e_gw1.4.293.1	e_gw1.4.293.1	CO-like
EuGene.0900010501	EuGene.0900010501	CO-like
e_gw1.1.649.1	e_gw1.1.649.1	ARR-B
gw1.12.313.1	gw1.12.313.1	G2-like
gw1.12.455.1	gw1.12.455.1	G2-like
gw1.1.1011.1	gw1.1.1011.1	M-type_MADS
EuGene.0500010405	EuGene.0500010405	HB-other
fgenesh1_pm.chr_17_#_137	fgenesh1_pm.chr_17_#_137	HB-other
gw1.16.233.1	gw1.16.233.1	HB-other
gw1.9.674.1	gw1.9.674.1	HB-other
gw1.13.333.1	gw1.13.333.1	WOX
fgenesh1_pm.chr_4_#_82	fgenesh1_pm.chr_4_#_82	TALE
e_gw1.11.310.1	e_gw1.11.310.1	C3H
e_gw1.12.147.1	e_gw1.12.147.1	C3H
e_gw1.16.65.1	e_gw1.16.65.1	C3H
e_gw1.17.258.1	e_gw1.17.258.1	C3H
e_gw1.2.36.1	e_gw1.2.36.1	C3H
e_gw1.3.83.1	e_gw1.3.83.1	C3H
e_gw1.5.1148.1	e_gw1.5.1148.1	C3H
e_gw1.5.243.1	e_gw1.5.243.1	C3H
e_gw1.9.913.1	e_gw1.9.913.1	C2H2
EuGene.0400010508	EuGene.0400010508	C3H
EuGene.0700010343	EuGene.0700010343	C3H
EuGene.1500010018	EuGene.1500010018	C3H
fgenesh1_pg.chr_1_#_338	fgenesh1_pg.chr_1_#_338	C3H
fgenesh1_pm.chr_1_#_247	fgenesh1_pm.chr_1_#_247	C3H
fgenesh1_pm.chr_5_#_12	fgenesh1_pm.chr_5_#_12	C3H
fgenesh1_pm.chr_6_#_302	fgenesh1_pm.chr_6_#_302	C3H
