TF_ID	Gene_ID	Family
Seita.5G096900.1.p	Seita.5G096900	RAV
Seita.5G096700.1.p	Seita.5G096700	RAV
Seita.3G158300.1.p	Seita.3G158300	RAV
Seita.5G280700.1.p	Seita.5G280700	RAV
Seita.5G096800.1.p	Seita.5G096800	RAV
Seita.7G266200.1.p	Seita.7G266200	RAV
Seita.1G003700.1.p	Seita.1G003700	Trihelix
Seita.1G009800.1.p	Seita.1G009800	WRKY
Seita.1G013200.1.p	Seita.1G013200	bHLH
Seita.1G015000.1.p	Seita.1G015000	NAC
Seita.1G019600.1.p	Seita.1G019600	bZIP
Seita.1G022000.1.p	Seita.1G022000	Dof
Seita.1G024500.1.p	Seita.1G024500	BES1
Seita.1G025800.1.p	Seita.1G025800	HSF
Seita.1G025900.1.p	Seita.1G025900	HSF
Seita.1G026900.1.p	Seita.1G026900	bHLH
Seita.1G034200.1.p	Seita.1G034200	GATA
Seita.1G034600.1.p	Seita.1G034600	bHLH
Seita.1G036000.1.p	Seita.1G036000	WRKY
Seita.1G043800.1.p	Seita.1G043800	bZIP
Seita.1G048800.1.p	Seita.1G048800	GRAS
Seita.1G050400.1.p	Seita.1G050400	bZIP
Seita.1G050400.2.p	Seita.1G050400	bZIP
Seita.1G050400.3.p	Seita.1G050400	bZIP
Seita.1G050400.4.p	Seita.1G050400	bZIP
Seita.1G050400.5.p	Seita.1G050400	bZIP
Seita.1G050400.6.p	Seita.1G050400	bZIP
Seita.1G050400.7.p	Seita.1G050400	bZIP
Seita.1G050400.8.p	Seita.1G050400	bZIP
Seita.1G050400.9.p	Seita.1G050400	bZIP
Seita.1G052000.1.p	Seita.1G052000	bZIP
Seita.1G054600.1.p	Seita.1G054600	bZIP
Seita.1G062100.1.p	Seita.1G062100	WRKY
Seita.1G066300.1.p	Seita.1G066300	SBP
Seita.1G068600.1.p	Seita.1G068600	bZIP
Seita.1G068600.2.p	Seita.1G068600	bZIP
Seita.1G069100.1.p	Seita.1G069100	Trihelix
Seita.1G069300.1.p	Seita.1G069300	SBP
Seita.1G071900.1.p	Seita.1G071900	NF-YC
