TF_ID	Gene_ID	Family
Phvul.007G102800.1	Phvul.007G102800	RAV
Phvul.003G111800.1	Phvul.003G111800	RAV
Phvul.007G002900.1	Phvul.007G002900	RAV
Phvul.001G006100.1	Phvul.001G006100	bHLH
Phvul.001G006200.1	Phvul.001G006200	bHLH
Phvul.001G009000.1	Phvul.001G009000	bZIP
Phvul.001G009000.2	Phvul.001G009000	bZIP
Phvul.001G009000.3	Phvul.001G009000	bZIP
Phvul.001G009800.1	Phvul.001G009800	SRS
Phvul.001G011800.1	Phvul.001G011800	bZIP
Phvul.001G016100.1	Phvul.001G016100	BES1
Phvul.001G022900.1	Phvul.001G022900	HSF
Phvul.001G023200.1	Phvul.001G023200	bHLH
Phvul.001G023200.2	Phvul.001G023200	bHLH
Phvul.001G023400.1	Phvul.001G023400	NAC
Phvul.001G026800.1	Phvul.001G026800	bHLH
Phvul.001G029500.1	Phvul.001G029500	bZIP
Phvul.001G031300.1	Phvul.001G031300	bHLH
Phvul.001G035600.1	Phvul.001G035600	GATA
Phvul.001G037000.1	Phvul.001G037000	HSF
Phvul.001G037000.2	Phvul.001G037000	HSF
Phvul.001G039900.1	Phvul.001G039900	WRKY
Phvul.001G042100.1	Phvul.001G042100	WRKY
Phvul.001G042100.2	Phvul.001G042100	WRKY
Phvul.001G042100.3	Phvul.001G042100	WRKY
Phvul.001G042200.1	Phvul.001G042200	WRKY
Phvul.001G052500.1	Phvul.001G052500	CPP
Phvul.001G059900.1	Phvul.001G059900	NAC
Phvul.001G059900.2	Phvul.001G059900	NAC
Phvul.001G060200.1	Phvul.001G060200	WRKY
Phvul.001G062100.1	Phvul.001G062100	Dof
Phvul.001G064500.1	Phvul.001G064500	GRAS
Phvul.001G064500.2	Phvul.001G064500	GRAS
Phvul.001G064500.3	Phvul.001G064500	GRAS
Phvul.001G072200.1	Phvul.001G072200	NAC
Phvul.001G077200.1	Phvul.001G077200	bZIP
Phvul.001G080800.1	Phvul.001G080800	Dof
Phvul.001G080900.1	Phvul.001G080900	bHLH
Phvul.001G080900.2	Phvul.001G080900	bHLH
Phvul.001G082900.1	Phvul.001G082900	TCP
Phvul.001G085500.1	Phvul.001G085500	bHLH
Phvul.001G085500.2	Phvul.001G085500	bHLH
Phvul.001G088200.1	Phvul.001G088200	WRKY
Phvul.001G089100.1	Phvul.001G089100	TCP
Phvul.001G089900.1	Phvul.001G089900	GRAS
Phvul.001G091100.1	Phvul.001G091100	NAC
Phvul.001G091400.1	Phvul.001G091400	SBP
Phvul.001G100200.1	Phvul.001G100200	NAC
Phvul.001G100500.1	Phvul.001G100500	NAC
Phvul.001G101000.1	Phvul.001G101000	bZIP
Phvul.001G101000.2	Phvul.001G101000	bZIP
Phvul.001G106400.1	Phvul.001G106400	Dof
Phvul.001G109500.1	Phvul.001G109500	GATA
Phvul.001G115200.1	Phvul.001G115200	LBD
Phvul.001G119300.1	Phvul.001G119300	bZIP
Phvul.001G121200.1	Phvul.001G121200	bHLH
Phvul.001G123300.1	Phvul.001G123300	bZIP
Phvul.001G126400.1	Phvul.001G126400	bHLH
Phvul.001G131000.1	Phvul.001G131000	HSF
Phvul.001G132000.1	Phvul.001G132000	FAR1
Phvul.001G138200.1	Phvul.001G138200	bHLH
Phvul.001G138200.2	Phvul.001G138200	bHLH
Phvul.001G138200.3	Phvul.001G138200	bHLH
Phvul.001G138600.1	Phvul.001G138600	bHLH
Phvul.001G140100.1	Phvul.001G140100	bZIP
Phvul.001G140100.2	Phvul.001G140100	bZIP
Phvul.001G141000.1	Phvul.001G141000	SBP
Phvul.001G150300.1	Phvul.001G150300	bHLH
Phvul.001G154700.1	Phvul.001G154700	HSF
Phvul.001G156400.1	Phvul.001G156400	bHLH
Phvul.001G159300.1	Phvul.001G159300	LBD
Phvul.001G159400.1	Phvul.001G159400	LBD
Phvul.001G159600.1	Phvul.001G159600	bHLH
Phvul.001G159600.2	Phvul.001G159600	bHLH
Phvul.001G161700.1	Phvul.001G161700	NAC
Phvul.001G168700.1	Phvul.001G168700	bHLH
Phvul.001G168700.2	Phvul.001G168700	bHLH
Phvul.001G173700.1	Phvul.001G173700	WRKY
Phvul.001G173700.2	Phvul.001G173700	WRKY
Phvul.001G174600.1	Phvul.001G174600	NF-YB
Phvul.001G174600.2	Phvul.001G174600	NF-YB
Phvul.001G175700.1	Phvul.001G175700	S1Fa-like
Phvul.001G176100.1	Phvul.001G176100	NAC
Phvul.001G185100.1	Phvul.001G185100	Trihelix
Phvul.001G185100.2	Phvul.001G185100	Trihelix
Phvul.001G187000.1	Phvul.001G187000	Trihelix
Phvul.001G188300.1	Phvul.001G188300	bZIP
Phvul.001G188300.2	Phvul.001G188300	bZIP
Phvul.001G189400.1	Phvul.001G189400	bZIP
Phvul.001G192000.1	Phvul.001G192000	NAC
Phvul.001G196100.1	Phvul.001G196100	Dof
Phvul.001G196800.1	Phvul.001G196800	NF-YA
Phvul.001G196800.2	Phvul.001G196800	NF-YA
Phvul.001G196800.3	Phvul.001G196800	NF-YA
Phvul.001G196800.4	Phvul.001G196800	NF-YA
Phvul.001G212800.1	Phvul.001G212800	bZIP
Phvul.001G213400.1	Phvul.001G213400	GRAS
Phvul.001G213600.1	Phvul.001G213600	WRKY
Phvul.001G214400.1	Phvul.001G214400	WRKY
Phvul.001G218500.1	Phvul.001G218500	WRKY
Phvul.001G218800.1	Phvul.001G218800	bHLH
Phvul.001G226500.1	Phvul.001G226500	GATA
Phvul.001G230500.1	Phvul.001G230500	GRAS
Phvul.001G231500.1	Phvul.001G231500	bHLH
Phvul.001G243400.1	Phvul.001G243400	NF-X1
Phvul.001G244500.1	Phvul.001G244500	bHLH
Phvul.001G244500.2	Phvul.001G244500	bHLH
Phvul.001G244700.1	Phvul.001G244700	LBD
Phvul.001G245800.1	Phvul.001G245800	LBD
Phvul.001G249300.1	Phvul.001G249300	bZIP
Phvul.001G249300.2	Phvul.001G249300	bZIP
Phvul.001G251100.1	Phvul.001G251100	EIL
Phvul.001G258700.1	Phvul.001G258700	Trihelix
Phvul.001G261300.1	Phvul.001G261300	NF-YC
Phvul.001G262600.1	Phvul.001G262600	SBP
Phvul.001G263000.1	Phvul.001G263000	CAMTA
Phvul.001G266300.1	Phvul.001G266300	HSF
Phvul.002G001500.1	Phvul.002G001500	GATA
Phvul.002G007400.1	Phvul.002G007400	bHLH
Phvul.002G007500.1	Phvul.002G007500	bHLH
Phvul.002G009200.1	Phvul.002G009200	bZIP
Phvul.002G010700.1	Phvul.002G010700	GRAS
Phvul.002G012200.1	Phvul.002G012200	LBD
Phvul.002G016100.1	Phvul.002G016100	WRKY
Phvul.002G017600.1	Phvul.002G017600	bHLH
Phvul.002G018300.1	Phvul.002G018300	bHLH
Phvul.002G019100.1	Phvul.002G019100	HSF
Phvul.002G021200.1	Phvul.002G021200	LBD
Phvul.002G022000.1	Phvul.002G022000	Dof
Phvul.002G026700.1	Phvul.002G026700	BES1
