TF_ID	Gene_ID	Family
0100010379	0100010379	bZIP
0200010383	0200010383	Nin-like
0200010675	0200010675	Nin-like
0300010106	0300010106	GATA
0300010272	0300010272	bZIP
0300010311	0300010311	bZIP
0400010301	0400010301	Dof
0400010528	0400010528	NF-YB
0700010329	0700010329	NF-YB
0700010421	0700010421	WRKY
0800010130	0800010130	YABBY
0800010288	0800010288	E2F/DP
0900010064	0900010064	NF-YC
1400010185	1400010185	NF-YC
1400010209	1400010209	Nin-like
1500010105	1500010105	bZIP
1500010145	1500010145	bZIP
1700010040	1700010040	Whirly
e_gw1.10.00.278.1	e_gw1.10.00.278.1	E2F/DP
e_gw1.20.00.75.1	e_gw1.20.00.75.1	HSF
estExt_fgenesh1_pg.C_Chr_04.00010098	estExt_fgenesh1_pg.C_Chr_04.00010098	bZIP
estExt_fgenesh1_pg.C_Chr_05.00010153	estExt_fgenesh1_pg.C_Chr_05.00010153	GATA
estExt_fgenesh1_pg.C_Chr_07.00010219	estExt_fgenesh1_pg.C_Chr_07.00010219	GATA
estExt_fgenesh1_pg.C_Chr_11.00010026	estExt_fgenesh1_pg.C_Chr_11.00010026	NF-YC
estExt_gwp_GeneWisePlus.C_Chr_02.00010270	estExt_gwp_GeneWisePlus.C_Chr_02.00010270	E2F/DP
fgenesh1_pg.C_Chr_05.0001000169	fgenesh1_pg.C_Chr_05.0001000169	Nin-like
fgenesh1_pg.C_Chr_07.0001000008	fgenesh1_pg.C_Chr_07.0001000008	Nin-like
fgenesh1_pg.C_Chr_07.0001000033	fgenesh1_pg.C_Chr_07.0001000033	bZIP
fgenesh1_pg.C_Chr_07.0001000042	fgenesh1_pg.C_Chr_07.0001000042	GATA
fgenesh1_pg.C_Chr_07.0001000239	fgenesh1_pg.C_Chr_07.0001000239	GATA
fgenesh1_pg.C_Chr_08.0001000114	fgenesh1_pg.C_Chr_08.0001000114	Dof
fgenesh1_pg.C_Chr_09.0001000301	fgenesh1_pg.C_Chr_09.0001000301	CPP
fgenesh1_pg.C_Chr_11.0001000193	fgenesh1_pg.C_Chr_11.0001000193	WRKY
fgenesh1_pg.C_Chr_14.0001000151	fgenesh1_pg.C_Chr_14.0001000151	bHLH
gw1.02.00.531.1	gw1.02.00.531.1	NF-YB
gw1.20.00.89.1	gw1.20.00.89.1	CPP
e_gw1.03.00.529.1	e_gw1.03.00.529.1	AP2
estExt_fgenesh1_pg.C_Chr_03.00010272	estExt_fgenesh1_pg.C_Chr_03.00010272	AP2
0100010458	0100010458	ERF
1300010209	1300010209	ERF
estExt_fgenesh1_pg.C_Chr_04.00010339	estExt_fgenesh1_pg.C_Chr_04.00010339	ERF
gw1.08.00.335.1	gw1.08.00.335.1	ERF
gw1.14.00.335.1	gw1.14.00.335.1	ERF
0900010151	0900010151	CO-like
estExt_fgenesh1_pg.C_Chr_07.00010056	estExt_fgenesh1_pg.C_Chr_07.00010056	CO-like
estExt_gwp_GeneWisePlus.C_Chr_04.00010305	estExt_gwp_GeneWisePlus.C_Chr_04.00010305	CO-like
estExt_fgenesh1_pg.C_Chr_16.00010090	estExt_fgenesh1_pg.C_Chr_16.00010090	ARR-B
1200010147	1200010147	G2-like
1200010282	1200010282	G2-like
e_gw1.01.00.699.1	e_gw1.01.00.699.1	M-type_MADS
0200010427	0200010427	HB-other
0500010395	0500010395	HB-other
fgenesh1_pg.C_Chr_09.0001000270	fgenesh1_pg.C_Chr_09.0001000270	HB-other
fgenesh1_pg.C_Chr_17.0001000037	fgenesh1_pg.C_Chr_17.0001000037	HB-other
fgenesh1_pg.C_Chr_18.0001000131	fgenesh1_pg.C_Chr_18.0001000131	HB-other
1300010135	1300010135	WOX
fgenesh1_pg.C_Chr_04.0001000291	fgenesh1_pg.C_Chr_04.0001000291	TALE
0200010530	0200010530	C3H
0300010273	0300010273	C3H
0300010453	0300010453	C3H
0300010469	0300010469	C2H2
0400010557	0400010557	C3H
0500010132	0500010132	C3H
0800010292	0800010292	C2H2
1000010317	1000010317	C2H2
1200010223	1200010223	C3H
1800010021	1800010021	C3H
estExt_fgenesh1_pg.C_Chr_04.00010028	estExt_fgenesh1_pg.C_Chr_04.00010028	C3H
estExt_fgenesh1_pg.C_Chr_04.00010344	estExt_fgenesh1_pg.C_Chr_04.00010344	C2H2
estExt_fgenesh1_pg.C_Chr_06.00010275	estExt_fgenesh1_pg.C_Chr_06.00010275	C3H
fgenesh1_pg.C_Chr_02.0001000347	fgenesh1_pg.C_Chr_02.0001000347	C2H2
fgenesh1_pg.C_Chr_05.0001000049	fgenesh1_pg.C_Chr_05.0001000049	C3H
fgenesh1_pg.C_Chr_12.0001000110	fgenesh1_pg.C_Chr_12.0001000110	C3H
fgenesh1_pg.C_Chr_16.0001000191	fgenesh1_pg.C_Chr_16.0001000191	C3H
0500010178	0500010178	MYB
1500010069	1500010069	MYB
1500010222	1500010222	MYB
e_gw1.05.00.32.1	e_gw1.05.00.32.1	MYB
e_gw1.09.00.361.1	e_gw1.09.00.361.1	MYB
e_gw1.13.00.306.1	e_gw1.13.00.306.1	MYB
e_gw1.16.00.288.1	e_gw1.16.00.288.1	MYB
gw1.05.00.538.1	gw1.05.00.538.1	MYB
gw1.10.00.387.1	gw1.10.00.387.1	MYB
0100010593	0100010593	MYB_related
0200010569	0200010569	MYB_related
0600010132	0600010132	MYB_related
1200010153	1200010153	MYB_related
1800010213	1800010213	MYB_related
e_gw1.04.00.501.1	e_gw1.04.00.501.1	MYB_related
e_gw1.06.00.251.1	e_gw1.06.00.251.1	MYB_related
estExt_fgenesh1_pg.C_Chr_01.00010348	estExt_fgenesh1_pg.C_Chr_01.00010348	MYB_related
