TF_ID	Gene_ID	Family
Tp1g37530	Tp1g37530	RAV
Tp5g23950	Tp5g23950	RAV
Tp2g14980	Tp2g14980	RAV
Tp1g11770	Tp1g11770	RAV
Tp1g22650	Tp1g22650	RAV
Tp1g37850	Tp1g37850	RAV
Tp1g00240	Tp1g00240	SBP
Tp1g00590	Tp1g00590	NAC
Tp1g01020	Tp1g01020	bHLH
Tp1g01300	Tp1g01300	NAC
Tp1g01310	Tp1g01310	NAC
Tp1g01320	Tp1g01320	NAC
Tp1g01430	Tp1g01430	bHLH
Tp1g02030	Tp1g02030	bHLH
Tp1g04530	Tp1g04530	bHLH
Tp1g04610	Tp1g04610	bHLH
Tp1g04880	Tp1g04880	bZIP
Tp1g04980	Tp1g04980	bHLH
Tp1g05090	Tp1g05090	LBD
Tp1g05580	Tp1g05580	bZIP
Tp1g06250	Tp1g06250	GRAS
Tp1g06260	Tp1g06260	GRAS
Tp1g06350	Tp1g06350	Dof
Tp1g06580	Tp1g06580	LBD
Tp1g06610	Tp1g06610	NF-YC
Tp1g06640	Tp1g06640	GATA
Tp1g06960	Tp1g06960	bZIP
Tp1g07110	Tp1g07110	YABBY
Tp1g07580	Tp1g07580	NF-YC
Tp1g07640	Tp1g07640	NF-YB
Tp1g08130	Tp1g08130	bHLH
Tp1g08750	Tp1g08750	bHLH
Tp1g08800	Tp1g08800	NF-X1
Tp1g08850	Tp1g08850	FAR1
Tp1g09050	Tp1g09050	bHLH
Tp1g09250	Tp1g09250	bHLH
Tp1g09290	Tp1g09290	bHLH
Tp1g10140	Tp1g10140	GeBP
Tp1g10880	Tp1g10880	NAC
Tp1g11120	Tp1g11120	bHLH
Tp1g11440	Tp1g11440	bHLH
Tp1g11920	Tp1g11920	Trihelix
Tp1g11980	Tp1g11980	bZIP
Tp1g12320	Tp1g12320	WRKY
Tp1g12780	Tp1g12780	Whirly
Tp1g12810	Tp1g12810	ZF-HD
Tp1g13070	Tp1g13070	BBR-BPC
Tp1g13090	Tp1g13090	ZF-HD
Tp1g13120	Tp1g13120	NF-YB
Tp1g14700	Tp1g14700	LBD
Tp1g15160	Tp1g15160	STAT
Tp1g15720	Tp1g15720	NF-YA
Tp1g16350	Tp1g16350	bHLH
Tp1g16770	Tp1g16770	Nin-like
Tp1g16810	Tp1g16810	ZF-HD
Tp1g16840	Tp1g16840	WRKY
Tp1g17260	Tp1g17260	BES1
Tp1g17370	Tp1g17370	bZIP
Tp1g17600	Tp1g17600	SRS
Tp1g18360	Tp1g18360	Nin-like
Tp1g18680	Tp1g18680	SBP
Tp1g18840	Tp1g18840	Trihelix
Tp1g18890	Tp1g18890	Dof
Tp1g18990	Tp1g18990	GRAS
Tp1g19490	Tp1g19490	NF-YB
Tp1g19580	Tp1g19580	bZIP
Tp1g19970	Tp1g19970	bHLH
Tp1g20860	Tp1g20860	YABBY
Tp1g21830	Tp1g21830	bHLH
Tp1g21900	Tp1g21900	NAC
Tp1g22010	Tp1g22010	Dof
Tp1g22410	Tp1g22410	bHLH
Tp1g22630	Tp1g22630	NAC
Tp1g22900	Tp1g22900	bHLH
Tp1g23580	Tp1g23580	SBP
Tp1g23590	Tp1g23590	SBP
Tp1g23870	Tp1g23870	bHLH
Tp1g23970	Tp1g23970	bHLH
Tp1g24530	Tp1g24530	Dof
Tp1g24720	Tp1g24720	NAC
Tp1g24770	Tp1g24770	VOZ
Tp1g25090	Tp1g25090	Dof
Tp1g25210	Tp1g25210	WRKY
Tp1g25750	Tp1g25750	WRKY
Tp1g25810	Tp1g25810	bHLH
Tp1g26030	Tp1g26030	TCP
Tp1g26340	Tp1g26340	NF-YA
Tp1g26550	Tp1g26550	WRKY
Tp1g26570	Tp1g26570	bHLH
Tp1g26900	Tp1g26900	bHLH
Tp1g27130	Tp1g27130	Trihelix
Tp1g27150	Tp1g27150	LBD
Tp1g27810	Tp1g27810	bZIP
Tp1g28190	Tp1g28190	NAC
Tp1g28280	Tp1g28280	bHLH
Tp1g28390	Tp1g28390	NAC
Tp1g28570	Tp1g28570	HSF
Tp1g28600	Tp1g28600	NAC
Tp1g28690	Tp1g28690	Trihelix
Tp1g29410	Tp1g29410	NAC
Tp1g29420	Tp1g29420	NAC
Tp1g30180	Tp1g30180	bHLH
Tp1g32200	Tp1g32200	bZIP
Tp1g32720	Tp1g32720	bZIP
Tp1g34100	Tp1g34100	bZIP
Tp1g34200	Tp1g34200	HSF
Tp1g34840	Tp1g34840	E2F/DP
Tp1g36040	Tp1g36040	NAC
