TF_ID	Gene_ID	Family
110104	110104	RAV
71153	71153	RAV
100288	100288	NF-YB
102071	102071	GRAS
102611	102611	Trihelix
102631	102631	GRAS
102726	102726	GRAS
104940	104940	NAC
105005	105005	LBD
105213	105213	NAC
106387	106387	GRAS
106490	106490	GRAS
107503	107503	HSF
108669	108669	WRKY
109349	109349	Trihelix
111283	111283	LBD
111494	111494	LBD
111756	111756	ZF-HD
112063	112063	EIL
113376	113376	GRAS
113858	113858	GRAS
114141	114141	bHLH
117274	117274	bHLH
118783	118783	Nin-like
118904	118904	bHLH
118926	118926	E2F/DP
122435	122435	GRAS
122441	122441	GRAS
125080	125080	WRKY
125734	125734	bZIP
12696	12696	GRAS
128445	128445	bHLH
130409	130409	Trihelix
131087	131087	bHLH
131666	131666	Dof
135978	135978	bZIP
136738	136738	E2F/DP
139506	139506	GRAS
142207	142207	GRAS
147012	147012	NAC
147026	147026	WRKY
149826	149826	GRAS
157919	157919	bHLH
16039	16039	bHLH
16064	16064	EIL
165311	165311	bHLH
165556	165556	bHLH
172537	172537	Nin-like
17503	17503	ZF-HD
177195	177195	GATA
17777	17777	SBP
17886	17886	bZIP
19595	19595	NF-YB
19630	19630	Dof
19631	19631	Dof
19633	19633	Dof
19636	19636	Dof
19637	19637	Dof
19643	19643	Dof
22445	22445	GRAS
22449	22449	GRAS
227538	227538	NF-YB
231160	231160	bZIP
231344	231344	bZIP
232175	232175	GRAS
24407	24407	WRKY
24518	24518	Trihelix
24847	24847	GRAS
24848	24848	GRAS
24851	24851	GRAS
24892	24892	bHLH
25564	25564	HSF
25673	25673	NAC
266892	266892	bZIP
270282	270282	bZIP
27657	27657	LBD
28262	28262	bHLH
28388	28388	CAMTA
28598	28598	SBP
28626	28626	SBP
28629	28629	SBP
28630	28630	SBP
28635	28635	SBP
28794	28794	TCP
28959	28959	Dof
29096	29096	Dof
29097	29097	Dof
29146	29146	WRKY
29162	29162	TCP
29247	29247	WRKY
29495	29495	GATA
29498	29498	GATA
29563	29563	Dof
29567	29567	Dof
29617	29617	Dof
29692	29692	WRKY
29703	29703	WRKY
30433	30433	NF-X1
32919	32919	GRAS
33543	33543	GRAS
34663	34663	bZIP
34848	34848	bHLH
36139	36139	NAC
36301	36301	GRAS
37169	37169	LBD
37324	37324	HSF
37441	37441	CPP
37570	37570	LBD
38104	38104	NF-YB
38594	38594	bZIP
38995	38995	ZF-HD
38997	38997	ZF-HD
39143	39143	bHLH
39375	39375	HSF
39384	39384	HSF
39427	39427	bZIP
402071	402071	NAC
402258	402258	NAC
402301	402301	bHLH
402536	402536	bHLH
402580	402580	Trihelix
402651	402651	bZIP
402928	402928	bHLH
403406	403406	bHLH
403456	403456	Dof
403458	403458	Dof
403462	403462	Dof
403539	403539	Trihelix
403897	403897	SAP
404061	404061	TCP
404596	404596	bZIP
404767	404767	bHLH
405079	405079	Dof
405087	405087	Dof
405209	405209	GATA
405220	405220	bHLH
405492	405492	bHLH
405883	405883	bHLH
406689	406689	GRAS
406691	406691	GRAS
406693	406693	GRAS
406969	406969	Trihelix
407084	407084	BES1
407102	407102	Trihelix
407447	407447	GeBP
407706	407706	bHLH
408627	408627	Nin-like
408741	408741	bHLH
408928	408928	bHLH
409669	409669	Trihelix
409864	409864	Dof
409920	409920	bZIP
409922	409922	GATA
409925	409925	SRS
409950	409950	bHLH
409967	409967	bHLH
410014	410014	Dof
410500	410500	NZZ/SPL
411158	411158	bHLH
411161	411161	bHLH
411325	411325	CAMTA
411605	411605	NZZ/SPL
412243	412243	Trihelix
412326	412326	bHLH
412681	412681	bHLH
412944	412944	Trihelix
413232	413232	bHLH
413316	413316	bHLH
413715	413715	bZIP
413913	413913	Trihelix
414095	414095	BES1
414340	414340	bZIP
414369	414369	Dof
414920	414920	Dof
415005	415005	Trihelix
415191	415191	Dof
415254	415254	Trihelix
416079	416079	Dof
417095	417095	GRAS
417099	417099	GRAS
417529	417529	Dof
418491	418491	bHLH
418727	418727	BES1
419055	419055	Trihelix
419157	419157	Trihelix
419294	419294	Dof
419297	419297	Dof
419388	419388	bHLH
419761	419761	EIL
419770	419770	EIL
420183	420183	Trihelix
420712	420712	CPP
421085	421085	Trihelix
421249	421249	bHLH
421405	421405	E2F/DP
422169	422169	bHLH
424152	424152	bHLH
424604	424604	bHLH
424843	424843	GRAS
425147	425147	Nin-like
425336	425336	bHLH
425594	425594	Dof
429122	429122	Dof
429125	429125	Dof
429480	429480	Nin-like
429765	429765	BES1
430716	430716	bHLH
430854	430854	Dof
431583	431583	HRT-like
432055	432055	GRAS
432649	432649	Dof
437216	437216	BES1
437670	437670	SBP
438143	438143	NF-YA
438214	438214	TCP
438363	438363	Trihelix
438474	438474	Dof
438544	438544	Trihelix
439190	439190	bHLH
439314	439314	bZIP
440037	440037	GATA
440304	440304	CAMTA
440305	440305	CAMTA
440669	440669	Trihelix
440893	440893	bHLH
440949	440949	BBR-BPC
441102	441102	Trihelix
441201	441201	CAMTA
441321	441321	TCP
441386	441386	Trihelix
441667	441667	CAMTA
442185	442185	NF-YB
442874	442874	HRT-like
443113	443113	bHLH
443191	443191	CPP
443825	443825	bZIP
444176	444176	bZIP
444199	444199	bZIP
444260	444260	GRAS
444782	444782	bHLH
445783	445783	bHLH
446039	446039	Trihelix
448754	448754	Trihelix
448939	448939	EIL
449238	449238	EIL
47266	47266	NAC
49084	49084	LBD
49859	49859	SBP
509	509	NF-X1
53339	53339	GRAS
56382	56382	GRAS
56610	56610	bHLH
56793	56793	WRKY
58662	58662	NF-YC
58936	58936	LBD
59069	59069	SRS
59082	59082	SRS
59179	59179	LBD
59269	59269	SRS
59543	59543	SBP
59613	59613	GRAS
59642	59642	LBD
59650	59650	LBD
59991	59991	SBP
61084	61084	Nin-like
61520	61520	LBD
64241	64241	GRAS
64559	64559	GRAS
64588	64588	GRAS
66294	66294	Trihelix
66769	66769	WRKY
67189	67189	bZIP
67638	67638	NAC
67677	67677	NAC
68039	68039	Trihelix
68041	68041	Trihelix
68150	68150	NAC
68508	68508	ZF-HD
68988	68988	LBD
69131	69131	NAC
69246	69246	NF-YB
69267	69267	LBD
69405	69405	WRKY
69423	69423	WRKY
69431	69431	WRKY
69510	69510	GATA
69566	69566	GATA
69579	69579	NF-YC
69582	69582	NF-YC
69621	69621	LBD
70744	70744	GRAS
71303	71303	NAC
71305	71305	NAC
71307	71307	NAC
71404	71404	NAC
71417	71417	NAC
71469	71469	NAC
72702	72702	bHLH
72886	72886	LFY
73105	73105	Nin-like
73108	73108	Nin-like
73110	73110	Nin-like
73111	73111	Nin-like
73112	73112	Nin-like
73113	73113	Nin-like
73116	73116	Nin-like
73117	73117	Nin-like
73118	73118	Nin-like
73196	73196	bZIP
73198	73198	bZIP
73220	73220	WRKY
73221	73221	WRKY
73225	73225	WRKY
73360	73360	bHLH
73941	73941	Trihelix
74001	74001	NAC
74492	74492	GRAS
74605	74605	GRAS
74950	74950	NAC
75047	75047	bHLH
75102	75102	CPP
7686	7686	NF-YC
77165	77165	GRAS
77288	77288	bHLH
77371	77371	NAC
77573	77573	NF-YC
77868	77868	bZIP
77979	77979	WRKY
79699	79699	SBP
79941	79941	Trihelix
80549	80549	GRAS
80923	80923	E2F/DP
81013	81013	bHLH
81371	81371	WRKY
82663	82663	GRAS
83123	83123	GRAS
83267	83267	GRAS
83811	83811	GRAS
83927	83927	GRAS
84550	84550	STAT
84560	84560	GRAS
84708	84708	Whirly
84762	84762	GRAS
