TF_ID	Gene_ID	Family
XP_009796840.1	LOC104243359	RAV
XP_009789826.1	LOC104237381	RAV
XP_009771974.1	LOC104222437	RAV
XP_009757158.1	LOC104210055	NAC
XP_009757309.1	LOC104210185	TCP
XP_009757310.1	LOC104210185	TCP
XP_009757428.1	LOC104210269	LBD
XP_009757456.1	LOC104210292	HSF
XP_009757457.1	LOC104210292	HSF
XP_009757458.1	LOC104210292	HSF
XP_009757460.1	LOC104210292	HSF
XP_009757461.1	LOC104210292	HSF
XP_009757518.1	LOC104210336	bHLH
XP_009757519.1	LOC104210336	bHLH
XP_009757521.1	LOC104210338	HSF
XP_009757584.1	LOC104210386	bHLH
XP_009757585.1	LOC104210386	bHLH
XP_009757586.1	LOC104210386	bHLH
XP_009757612.1	LOC104210409	bHLH
XP_009757613.1	LOC104210409	bHLH
XP_009757635.1	LOC104210434	NAC
XP_009757642.1	LOC104210441	bHLH
XP_009757682.1	LOC104210475	TCP
XP_009757727.1	LOC104210513	bHLH
XP_009757835.1	LOC104210594	Trihelix
XP_009757856.1	LOC104210609	bHLH
XP_009757880.1	LOC104210627	LBD
XP_009757881.1	LOC104210627	LBD
XP_009757882.1	LOC104210627	LBD
XP_009757927.1	LOC104210679	GeBP
XP_009758019.1	LOC104210756	Dof
XP_009758025.1	LOC104210761	LBD
XP_009758031.1	LOC104210767	LBD
XP_009758127.1	LOC104210849	GATA
XP_009758154.1	LOC104210884	ZF-HD
XP_009758175.1	LOC104210912	WRKY
XP_009758353.1	LOC104211055	Whirly
XP_009758423.1	LOC104211122	GATA
XP_009758434.1	LOC104211128	Dof
XP_009758435.1	LOC104211128	Dof
XP_009758490.1	LOC104211178	WRKY
XP_009758491.1	LOC104211178	WRKY
XP_009758525.1	LOC104211207	Dof
XP_009758579.1	LOC104211248	WRKY
XP_009758605.1	LOC104211272	FAR1
XP_009758643.1	LOC104211302	NAC
XP_009758709.1	LOC104211363	NAC
XP_009758713.1	LOC104211368	bHLH
XP_009758722.1	LOC104211378	SBP
XP_009758867.1	LOC104211502	GRAS
XP_009758869.1	LOC104211505	Dof
XP_009758954.1	LOC104211574	bHLH
XP_009758955.1	LOC104211574	bHLH
XP_009758957.1	LOC104211577	bHLH
XP_009758958.1	LOC104211577	bHLH
XP_009758959.1	LOC104211577	bHLH
XP_009758960.1	LOC104211577	bHLH
XP_009758961.1	LOC104211577	bHLH
XP_009758962.1	LOC104211577	bHLH
XP_009759077.1	LOC104211680	Nin-like
XP_009759078.1	LOC104211680	Nin-like
XP_009759087.1	LOC104211690	NAC
XP_009759370.1	LOC104211924	EIL
XP_009759475.1	LOC104212007	NAC
XP_009759481.1	LOC104212013	Trihelix
XP_009759482.1	LOC104212013	Trihelix
XP_009759483.1	LOC104212013	Trihelix
XP_009759498.1	LOC104212022	Dof
XP_009759500.1	LOC104212024	NAC
XP_009759591.1	LOC104212104	bZIP
XP_009759684.1	LOC104212174	GRAS
XP_009759697.1	LOC104212184	NF-YA
XP_009759698.1	LOC104212184	NF-YA
XP_009759699.1	LOC104212184	NF-YA
XP_009759700.1	LOC104212184	NF-YA
XP_009759701.1	LOC104212184	NF-YA
XP_009759702.1	LOC104212184	NF-YA
XP_009759753.1	LOC104212232	NAC
XP_009759888.1	LOC104212357	bZIP
XP_009759907.1	LOC104212377	GATA
XP_009759908.1	LOC104212378	GATA
XP_009759909.1	LOC104212378	GATA
XP_009759910.1	LOC104212378	GATA
XP_009759914.1	LOC104212382	NAC
XP_009760064.1	LOC104212484	NAC
XP_009760116.1	LOC104212522	SBP
XP_009760139.1	LOC104212541	bZIP
XP_009760156.1	LOC104212553	bHLH
XP_009760157.1	LOC104212553	bHLH
XP_009760243.1	LOC104212626	GRAS
XP_009760265.1	LOC104212637	NF-YB
XP_009760286.1	LOC104212652	Dof
XP_009760287.1	LOC104212652	Dof
XP_009760288.1	LOC104212652	Dof
XP_009760399.1	LOC104212749	bHLH
XP_009760419.1	LOC104212764	bHLH
XP_009760471.1	LOC104212820	LBD
XP_009760495.1	LOC104212835	TCP
XP_009760508.1	LOC104212847	TCP
XP_009760513.1	LOC104212853	bZIP
XP_009760677.1	LOC104213001	NAC
XP_009760718.1	LOC104213022	NAC
XP_009760719.1	LOC104213022	NAC
XP_009760738.1	LOC104213035	FAR1
XP_009760739.1	LOC104213038	GATA
XP_009760780.1	LOC104213068	bHLH
XP_009760781.1	LOC104213068	bHLH
XP_009760809.1	LOC104213091	NAC
XP_009760820.1	LOC104213101	NAC
XP_009760821.1	LOC104213101	NAC
XP_009760855.1	LOC104213119	WRKY
XP_009760862.1	LOC104213126	GATA
XP_009760863.1	LOC104213126	GATA
XP_009760864.1	LOC104213127	WRKY
XP_009760894.1	LOC104213156	Trihelix
XP_009760921.1	LOC104213178	HSF
XP_009761009.1	LOC104213246	GRAS
XP_009761017.1	LOC104213254	bHLH
XP_009761018.1	LOC104213254	bHLH
XP_009761217.1	LOC104213419	NF-YA
XP_009761218.1	LOC104213419	NF-YA
XP_009761269.1	LOC104213464	GRAS
XP_009761286.1	LOC104213476	NAC
XP_009761320.1	LOC104213498	FAR1
XP_009761371.1	LOC104213546	BBR-BPC
XP_009761378.1	LOC104213546	BBR-BPC
XP_009761438.1	LOC104213606	Dof
XP_009761459.1	LOC104213623	Dof
XP_009761563.1	LOC104213724	FAR1
XP_009761564.1	LOC104213724	FAR1
XP_009761565.1	LOC104213724	FAR1
XP_009761566.1	LOC104213724	FAR1
XP_009761567.1	LOC104213724	FAR1
XP_009761568.1	LOC104213724	FAR1
XP_009761570.1	LOC104213724	FAR1
XP_009761571.1	LOC104213724	FAR1
XP_009761611.1	LOC104213767	NAC
XP_009761612.1	LOC104213767	NAC
XP_009761662.1	LOC104213810	NAC
XP_009761820.1	LOC104213950	NAC
XP_009761823.1	LOC104213951	GRAS
XP_009761833.1	LOC104213951	GRAS
XP_009761897.1	LOC104214005	NF-YA
XP_009761907.1	LOC104214012	FAR1
XP_009761911.1	LOC104214015	GATA
XP_009762029.1	LOC104214104	NAC
XP_009762030.1	LOC104214104	NAC
XP_009762039.1	LOC104214112	ZF-HD
XP_009762040.1	LOC104214112	ZF-HD
XP_009762052.1	LOC104214125	YABBY
XP_009762053.1	LOC104214125	YABBY
XP_009762054.1	LOC104214125	YABBY
XP_009762055.1	LOC104214125	YABBY
XP_009762057.1	LOC104214125	YABBY
XP_009762097.1	LOC104214168	TCP
XP_009762192.1	LOC104214237	TCP
XP_009762311.1	LOC104214354	bHLH
XP_009762400.1	LOC104214441	NAC
XP_009762628.1	LOC104214631	GRAS
XP_009762783.1	LOC104214767	ZF-HD
XP_009762847.1	LOC104214823	FAR1
XP_009762857.1	LOC104214836	NAC
XP_009762859.1	LOC104214836	NAC
XP_009762879.1	LOC104214853	bHLH
XP_009762917.1	LOC104214892	BBR-BPC
XP_009762991.1	LOC104214954	NAC
XP_009762993.1	LOC104214956	bHLH
XP_009763061.1	LOC104215023	SBP
XP_009763062.1	LOC104215023	SBP
XP_009763090.1	LOC104215049	NAC
XP_009763114.1	LOC104215065	CPP
XP_009763147.1	LOC104215100	TCP
XP_009763148.1	LOC104215100	TCP
XP_009763212.1	LOC104215161	bHLH
XP_009763274.1	LOC104215219	NAC
XP_009763275.1	LOC104215219	NAC
XP_009763372.1	LOC104215299	LBD
XP_009763636.1	LOC104215516	WRKY
XP_009763764.1	LOC104215616	GeBP
XP_009763792.1	LOC104215647	ZF-HD
XP_009763855.1	LOC104215697	bHLH
XP_009763882.1	LOC104215720	CAMTA
XP_009763883.1	LOC104215720	CAMTA
