TF_ID	Gene_ID	Family
MLOC_63261.1	MLOC_63261	RAV
MLOC_7940.1	MLOC_7940	RAV
MLOC_5512.1	MLOC_5512	RAV
MLOC_5512.2	MLOC_5512	RAV
MLOC_56567.1	MLOC_56567	RAV
MLOC_75135.2	MLOC_75135	RAV
MLOC_75135.1	MLOC_75135	RAV
MLOC_10214.1	MLOC_10214	TCP
MLOC_10264.2	MLOC_10264	WRKY
MLOC_10315.1	MLOC_10315	EIL
MLOC_10315.2	MLOC_10315	EIL
MLOC_10315.3	MLOC_10315	EIL
MLOC_10364.1	MLOC_10364	GATA
MLOC_10399.1	MLOC_10399	bZIP
MLOC_10595.1	MLOC_10595	bHLH
MLOC_10595.2	MLOC_10595	bHLH
MLOC_10638.1	MLOC_10638	GeBP
MLOC_10687.1	MLOC_10687	WRKY
MLOC_10687.2	MLOC_10687	WRKY
MLOC_10687.3	MLOC_10687	WRKY
MLOC_10687.4	MLOC_10687	WRKY
MLOC_10687.5	MLOC_10687	WRKY
MLOC_10687.6	MLOC_10687	WRKY
MLOC_10725.1	MLOC_10725	bZIP
MLOC_10725.2	MLOC_10725	bZIP
MLOC_10783.1	MLOC_10783	LBD
MLOC_10784.1	MLOC_10784	LBD
MLOC_10815.1	MLOC_10815	bHLH
MLOC_10815.10	MLOC_10815	bHLH
MLOC_10815.2	MLOC_10815	bHLH
MLOC_10815.3	MLOC_10815	bHLH
MLOC_10815.4	MLOC_10815	bHLH
MLOC_10823.1	MLOC_10823	EIL
MLOC_10823.2	MLOC_10823	EIL
MLOC_10823.3	MLOC_10823	EIL
MLOC_10823.4	MLOC_10823	EIL
MLOC_11017.1	MLOC_11017	NAC
MLOC_11088.1	MLOC_11088	WRKY
MLOC_11130.1	MLOC_11130	Nin-like
MLOC_11130.2	MLOC_11130	Nin-like
MLOC_11130.3	MLOC_11130	Nin-like
MLOC_11199.1	MLOC_11199	SBP
MLOC_11199.2	MLOC_11199	SBP
MLOC_11199.3	MLOC_11199	SBP
MLOC_11199.4	MLOC_11199	SBP
MLOC_11199.5	MLOC_11199	SBP
MLOC_11199.6	MLOC_11199	SBP
MLOC_11199.7	MLOC_11199	SBP
MLOC_11199.8	MLOC_11199	SBP
MLOC_11199.9	MLOC_11199	SBP
MLOC_11286.1	MLOC_11286	HSF
MLOC_11286.2	MLOC_11286	HSF
MLOC_11286.3	MLOC_11286	HSF
MLOC_11415.2	MLOC_11415	E2F/DP
MLOC_11415.3	MLOC_11415	E2F/DP
MLOC_11415.4	MLOC_11415	E2F/DP
MLOC_11415.5	MLOC_11415	E2F/DP
MLOC_11415.6	MLOC_11415	E2F/DP
MLOC_11453.1	MLOC_11453	HSF
MLOC_11453.2	MLOC_11453	HSF
MLOC_11457.1	MLOC_11457	CPP
MLOC_11457.2	MLOC_11457	CPP
MLOC_11494.1	MLOC_11494	VOZ
MLOC_11494.2	MLOC_11494	VOZ
MLOC_11547.2	MLOC_11547	NF-YC
MLOC_11547.3	MLOC_11547	NF-YC
MLOC_11586.1	MLOC_11586	Whirly
MLOC_11586.2	MLOC_11586	Whirly
MLOC_11732.1	MLOC_11732	NAC
MLOC_11732.2	MLOC_11732	NAC
MLOC_11838.1	MLOC_11838	LBD
MLOC_11838.2	MLOC_11838	LBD
MLOC_12004.1	MLOC_12004	TCP
MLOC_12058.1	MLOC_12058	bHLH
MLOC_12058.2	MLOC_12058	bHLH
MLOC_12058.3	MLOC_12058	bHLH
MLOC_12078.1	MLOC_12078	WRKY
MLOC_12078.4	MLOC_12078	WRKY
MLOC_12079.1	MLOC_12079	WRKY
MLOC_12225.1	MLOC_12225	GeBP
MLOC_1236.1	MLOC_1236	NF-X1
MLOC_1236.3	MLOC_1236	NF-X1
MLOC_1236.4	MLOC_1236	NF-X1
MLOC_12466.1	MLOC_12466	NAC
MLOC_12466.2	MLOC_12466	NAC
MLOC_12466.3	MLOC_12466	NAC
MLOC_12466.4	MLOC_12466	NAC
MLOC_12609.1	MLOC_12609	Nin-like
MLOC_12609.2	MLOC_12609	Nin-like
MLOC_12824.1	MLOC_12824	GeBP
MLOC_12824.2	MLOC_12824	GeBP
MLOC_12824.3	MLOC_12824	GeBP
MLOC_12832.1	MLOC_12832	bHLH
MLOC_12832.3	MLOC_12832	bHLH
MLOC_13032.1	MLOC_13032	SBP
MLOC_13034.1	MLOC_13034	FAR1
MLOC_13034.2	MLOC_13034	FAR1
MLOC_13034.3	MLOC_13034	FAR1
MLOC_13034.4	MLOC_13034	FAR1
MLOC_13034.5	MLOC_13034	FAR1
MLOC_13034.7	MLOC_13034	FAR1
MLOC_13034.8	MLOC_13034	FAR1
MLOC_13034.9	MLOC_13034	FAR1
MLOC_13159.1	MLOC_13159	bHLH
MLOC_13410.1	MLOC_13410	bZIP
MLOC_13416.1	MLOC_13416	EIL
MLOC_13431.1	MLOC_13431	bZIP
MLOC_13431.2	MLOC_13431	bZIP
MLOC_13438.2	MLOC_13438	bHLH
MLOC_13438.3	MLOC_13438	bHLH
MLOC_13459.1	MLOC_13459	BBR-BPC
MLOC_13459.2	MLOC_13459	BBR-BPC
MLOC_13459.3	MLOC_13459	BBR-BPC
MLOC_13610.1	MLOC_13610	Nin-like
MLOC_13610.2	MLOC_13610	Nin-like
MLOC_13653.1	MLOC_13653	bHLH
MLOC_13932.1	MLOC_13932	NAC
MLOC_14207.1	MLOC_14207	Trihelix
