TF_ID	Gene_ID	Family
EcC024712.20	EcC024712	RAV
EcS754042.10	EcS754042	RAV
EcC054500.60	EcC054500	RAV
EcC050657.20	EcC050657	RAV
EcC000134.10	EcC000134	NF-YA
EcC000151.10	EcC000151	GRAS
EcC000151.30	EcC000151	GRAS
EcC000216.10	EcC000216	bZIP
EcC000267.20	EcC000267	NAC
EcC000284.10	EcC000284	NAC
EcC000293.10	EcC000293	NAC
EcC000293.20	EcC000293	NAC
EcC000329.10	EcC000329	NF-YB
EcC000338.10	EcC000338	YABBY
EcC000342.20	EcC000342	Dof
EcC000419.20	EcC000419	NF-YB
EcC000555.10	EcC000555	bHLH
EcC000566.10	EcC000566	HSF
EcC000810.10	EcC000810	NAC
EcC001020.10	EcC001020	Trihelix
EcC001023.20	EcC001023	bHLH
EcC001065.20	EcC001065	WRKY
EcC001131.20	EcC001131	LBD
EcC001143.10	EcC001143	LBD
EcC001251.10	EcC001251	bZIP
EcC001305.30	EcC001305	GRAS
EcC001316.20	EcC001316	FAR1
EcC001738.10	EcC001738	TCP
EcC001753.10	EcC001753	FAR1
EcC001966.20	EcC001966	GRAS
EcC001969.10	EcC001969	GRAS
EcC002206.10	EcC002206	NAC
EcC002323.10	EcC002323	WRKY
EcC002371.20	EcC002371	NAC
EcC002453.30	EcC002453	GRAS
EcC002532.20	EcC002532	SRS
EcC002598.10	EcC002598	NAC
EcC002771.20	EcC002771	WRKY
EcC003131.30	EcC003131	BBR-BPC
EcC003157.10	EcC003157	FAR1
EcC003213.10	EcC003213	bHLH
EcC003255.40	EcC003255	Dof
EcC003343.30	EcC003343	WRKY
EcC003387.10	EcC003387	LBD
EcC003469.40	EcC003469	bHLH
EcC003696.10	EcC003696	bZIP
EcC003705.30	EcC003705	GATA
EcC003711.10	EcC003711	bHLH
EcC003791.20	EcC003791	GRAS
EcC003884.20	EcC003884	NAC
EcC003993.10	EcC003993	NAC
EcC004039.20	EcC004039	WRKY
EcC004052.10	EcC004052	WRKY
EcC004159.10	EcC004159	NAC
EcC004245.10	EcC004245	GRAS
EcC004245.20	EcC004245	GRAS
EcC004408.10	EcC004408	bHLH
EcC004675.20	EcC004675	ZF-HD
EcC004847.10	EcC004847	WRKY
EcC004877.10	EcC004877	NAC
EcC004877.30	EcC004877	NAC
EcC004939.10	EcC004939	NAC
EcC005080.20	EcC005080	bZIP
EcC005170.20	EcC005170	WRKY
EcC005220.10	EcC005220	HSF
EcC005220.20	EcC005220	bHLH
EcC005467.20	EcC005467	WRKY
EcC005502.20	EcC005502	BES1
EcC005899.20	EcC005899	bHLH
EcC005927.20	EcC005927	Trihelix
EcC006043.50	EcC006043	GRAS
EcC006043.60	EcC006043	bZIP
EcC006051.30	EcC006051	ZF-HD
EcC006129.20	EcC006129	GRAS
EcC006223.20	EcC006223	FAR1
EcC006223.40	EcC006223	FAR1
EcC006223.60	EcC006223	FAR1
EcC006529.30	EcC006529	GRAS
EcC006579.20	EcC006579	NAC
EcC006588.20	EcC006588	FAR1
EcC006667.10	EcC006667	bZIP
EcC006881.20	EcC006881	GRAS
EcC006970.30	EcC006970	LBD
EcC007135.10	EcC007135	GRAS
EcC007284.10	EcC007284	TCP
EcC007297.50	EcC007297	NZZ/SPL
EcC007322.40	EcC007322	FAR1
EcC007349.20	EcC007349	bZIP
EcC007367.10	EcC007367	bZIP
EcC007367.30	EcC007367	FAR1
EcC007434.10	EcC007434	WRKY
EcC007586.10	EcC007586	bHLH
EcC007630.30	EcC007630	bHLH
EcC007649.70	EcC007649	bHLH
EcC007719.10	EcC007719	NAC
EcC007811.20	EcC007811	GRAS
EcC007872.10	EcC007872	CPP
EcC008121.10	EcC008121	Nin-like
EcC008258.30	EcC008258	Nin-like
EcC008259.10	EcC008259	LBD
EcC008330.10	EcC008330	GATA
EcC008381.10	EcC008381	CPP
EcC008393.20	EcC008393	NAC
EcC008436.10	EcC008436	SRS
EcC008537.30	EcC008537	bZIP
EcC008662.10	EcC008662	WRKY
EcC008702.20	EcC008702	bHLH
EcC008884.40	EcC008884	NAC
EcC008940.10	EcC008940	SRS
EcC009286.20	EcC009286	NAC
EcC009296.10	EcC009296	bHLH
EcC009465.40	EcC009465	bHLH
EcC009637.20	EcC009637	GRAS
EcC009637.30	EcC009637	GRAS
EcC009711.80	EcC009711	bZIP
EcC009748.20	EcC009748	GRAS
EcC009842.30	EcC009842	FAR1
EcC009915.10	EcC009915	GeBP
EcC010129.10	EcC010129	CPP
EcC010129.30	EcC010129	CPP
EcC010131.20	EcC010131	bHLH
EcC010357.20	EcC010357	NAC
EcC010552.10	EcC010552	GRAS
EcC010696.40	EcC010696	bHLH
EcC010793.10	EcC010793	NAC
EcC010992.20	EcC010992	NAC
EcC011030.20	EcC011030	GRAS
EcC011216.30	EcC011216	NF-YB
EcC011288.10	EcC011288	GRAS
EcC011405.10	EcC011405	WRKY
EcC011632.10	EcC011632	BBR-BPC
EcC011661.10	EcC011661	WRKY
EcC011699.50	EcC011699	NAC
EcC011699.60	EcC011699	NAC
EcC011826.10	EcC011826	GRAS
EcC011895.40	EcC011895	NAC
EcC012018.10	EcC012018	LBD
EcC012458.20	EcC012458	WRKY
EcC012513.10	EcC012513	Dof
EcC012707.10	EcC012707	HSF
EcC012760.10	EcC012760	GATA
EcC012843.50	EcC012843	bZIP
EcC013314.30	EcC013314	NAC
EcC013332.10	EcC013332	LBD
EcC013628.20	EcC013628	TCP
EcC013663.30	EcC013663	FAR1
EcC013666.20	EcC013666	NF-YC
EcC013670.30	EcC013670	NAC
