TF_ID	Gene_ID	Family
EMT31332	F775_20035	RAV
EMT00406	F775_29696	bZIP
EMT00528	F775_04112	bZIP
EMT00560	F775_11229	WRKY
EMT00562	F775_21933	WRKY
EMT00567	F775_04529	NF-YB
EMT00743	F775_25572	WRKY
EMT00793	F775_04741	bZIP
EMT00868	F775_08585	NAC
EMT00875	F775_00938	WRKY
EMT01102	F775_21336	bZIP
EMT01172	F775_02759	GRAS
EMT01196	F775_20405	bHLH
EMT01225	F775_00184	bHLH
EMT01361	F775_10732	GRAS
EMT01400	F775_09858	bZIP
EMT01440	F775_13048	CPP
EMT01449	F775_08524	WRKY
EMT01573	F775_04514	LBD
EMT01578	F775_25422	WRKY
EMT01603	F775_14190	bHLH
EMT01729	F775_26337	Trihelix
EMT01861	F775_14938	NAC
EMT01908	F775_33125	NAC
EMT01994	F775_26920	NAC
EMT02183	F775_04897	CPP
EMT02241	F775_02308	NAC
EMT02398	F775_24741	CPP
EMT02468	F775_16091	GRAS
EMT02670	F775_19036	HSF
EMT02714	F775_23458	bHLH
EMT02781	F775_24116	GATA
EMT02809	F775_01482	NAC
EMT02851	F775_03546	GATA
EMT02903	F775_12027	bHLH
EMT02956	F775_25120	NF-YA
EMT03037	F775_21644	bHLH
EMT03069	F775_17625	GRAS
EMT03070	F775_08284	GRAS
EMT03071	F775_08285	GRAS
EMT03072	F775_03306	GRAS
EMT03073	F775_17626	GRAS
EMT03074	F775_17627	GRAS
EMT03076	F775_07568	bZIP
EMT03105	F775_02175	bHLH
EMT03125	F775_06432	bZIP
EMT03129	F775_01009	bHLH
EMT03170	F775_14547	bHLH
EMT03210	F775_00029	NAC
EMT03273	F775_06914	BBR-BPC
EMT03280	F775_31774	bZIP
EMT03319	F775_08335	Trihelix
EMT03342	F775_33053	WRKY
EMT03350	F775_21498	NAC
EMT03374	F775_05429	bZIP
EMT03425	F775_42361	NAC
EMT03452	F775_09988	Dof
EMT03488	F775_23627	CAMTA
EMT03543	F775_23312	bHLH
EMT03563	F775_23219	NAC
EMT03564	F775_22220	NAC
EMT03738	F775_07992	Dof
EMT03741	F775_01047	bHLH
EMT03756	F775_19530	WRKY
EMT03825	F775_13750	LBD
EMT03885	F775_01324	NAC
EMT03936	F775_11347	bHLH
EMT03959	F775_02791	SBP
EMT04109	F775_14336	GRAS
EMT04162	F775_04096	bZIP
EMT04182	F775_26406	bHLH
EMT04311	F775_14520	SBP
EMT04374	F775_12062	bHLH
EMT04396	F775_15894	WRKY
EMT04469	F775_08186	GRAS
EMT04610	F775_32953	ZF-HD
EMT04695	F775_26780	GRAS
EMT04714	F775_07523	NF-YB
EMT04829	F775_23009	NF-X1
EMT04981	F775_29010	bZIP
EMT05066	F775_43263	bHLH
EMT05067	F775_22744	bHLH
EMT05068	F775_43264	bHLH
EMT05069	F775_18644	bHLH
EMT05070	F775_43517	bHLH
EMT05112	F775_12079	NAC
EMT05113	F775_43398	NAC
EMT05147	F775_00446	NAC
EMT05172	F775_22678	ZF-HD
EMT05210	F775_01937	bZIP
EMT05213	F775_22967	LBD
EMT05224	F775_24385	HSF
EMT05397	F775_12405	bHLH
EMT05452	F775_25077	bZIP
