TF_ID	Gene_ID	Family
29738.m001050	29738.t000052	RAV
28192.m000250	28192.t000008	RAV
28008.m000029	28008.t000002	RAV
29650.m000279	29650.t000012	RAV
27395.m000081	27395.t000003	Dof
27451.m000248	27451.t000010	GeBP
27469.m000162	27469.t000001	bHLH
27494.m000044	27494.t000001	GATA
27524.m000293	27524.t000009	LBD
27529.m000047	27529.t000002	GRAS
27538.m000326	27538.t000013	GATA
27568.m000253	27568.t000002	GRAS
27613.m000639	27613.t000032	WRKY
27613.m000642	27613.t000035	GRAS
27699.m000212	27699.t000008	NF-YB
27733.m000033	27733.t000002	bHLH
27742.m000246	27742.t000001	SRS
27744.m000093	27744.t000002	NAC
27749.m000334	27749.t000006	bHLH
27751.m000168	27751.t000001	bHLH
27751.m000169	27751.t000002	bHLH
27791.m000083	27791.t000001	NF-X1
27895.m000041	27895.t000001	ZF-HD
27895.m000042	27895.t000002	ZF-HD
27914.m000423	27914.t000016	FAR1
27940.m000323	27940.t000001	GATA
27950.m000105	27950.t000002	NAC
27961.m000091	27961.t000001	NAC
27964.m000352	27964.t000007	bHLH
27964.m000356	27964.t000011	bHLH
27964.m000369	27964.t000024	NAC
27985.m000859	27985.t000022	Dof
27996.m000145	27996.t000002	WRKY
27996.m000153	27996.t000010	bHLH
28011.m000080	28011.t000005	NAC
28035.m000366	28035.t000011	GATA
28040.m000035	28040.t000001	WRKY
28077.m000081	28077.t000004	Trihelix
28095.m000094	28095.t000001	bZIP
28152.m000885	28152.t000014	bHLH
28152.m000905	28152.t000034	LBD
28152.m000914	28152.t000043	bHLH
28154.m000038	28154.t000001	ZF-HD
28162.m000128	28162.t000006	NF-X1
28166.m001040	28166.t000003	GRAS
28166.m001054	28166.t000017	bHLH
28179.m000457	28179.t000002	bHLH
28179.m000478	28179.t000023	bHLH
28179.m000479	28179.t000024	bHLH
28196.m000211	28196.t000011	bZIP
28200.m000189	28200.t000001	NAC
28200.m000191	28200.t000003	YABBY
28207.m000107	28207.t000006	LBD
28211.m000132	28211.t000006	SBP
28219.m000090	28219.t000002	NAC
28226.m000851	28226.t000021	NAC
28226.m000857	28226.t000027	bZIP
28226.m000868	28226.t000038	Trihelix
28229.m000059	28229.t000004	NAC
28281.m000379	28281.t000018	CAMTA
28308.m000066	28308.t000003	Trihelix
28312.m000133	28312.t000007	HSF
28324.m000396	28324.t000004	E2F/DP
28405.m000015	28405.t000001	bHLH
28428.m000040	28428.t000002	LBD
28455.m000362	28455.t000009	WRKY
28460.m000086	28460.t000006	FAR1
28492.m000479	28492.t000017	GRAS
28492.m000489	28492.t000027	NAC
28567.m000052	28567.t000001	bHLH
28609.m000209	28609.t000014	bHLH
28617.m000204	28617.t000001	bZIP
28623.m000400	28623.t000013	NAC
28629.m000575	28629.t000030	NAC
28644.m000915	28644.t000022	WRKY
28644.m000924	28644.t000031	NAC
28649.m000212	28649.t000001	NAC
28650.m000186	28650.t000006	GRAS
28650.m000187	28650.t000007	GRAS
28650.m000189	28650.t000009	GRAS
28650.m000190	28650.t000010	GRAS
28650.m000191	28650.t000011	GRAS
28677.m000055	28677.t000001	GRAS
28690.m000025	28690.t000001	WRKY
28694.m000665	28694.t000008	LBD
28779.m000140	28779.t000004	bZIP
28838.m000250	28838.t000008	Dof
28859.m000318	28859.t000004	LBD
28859.m000324	28859.t000010	FAR1
28859.m000326	28859.t000012	SAP
28872.m000248	28872.t000009	NAC
28872.m000252	28872.t000013	NAC
28883.m000741	28883.t000031	bZIP
28966.m000524	28966.t000003	WRKY
28966.m000535	28966.t000014	GRAS
28976.m000155	28976.t000002	bZIP
29000.m000028	29000.t000002	NAC
29002.m000146	29002.t000004	bZIP
29032.m000021	29032.t000001	NAC
29042.m000023	29042.t000002	bZIP
29092.m000454	29092.t000013	HSF
29092.m000461	29092.t000020	Trihelix
29216.m000249	29216.t000001	bZIP
29216.m000261	29216.t000013	bHLH
29222.m000411	29222.t000019	bHLH
29222.m000412	29222.t000020	bHLH
29235.m000230	29235.t000001	Dof
29269.m000250	29269.t000012	SBP
29279.m000131	29279.t000001	SRS
29333.m001047	29333.t000010	Dof
29333.m001059	29333.t000022	NF-YA
29346.m000115	29346.t000004	NAC
29382.m000084	29382.t000001	NAC
29428.m000319	29428.t000003	Trihelix
29447.m000032	29447.t000002	bHLH
29569.m000146	29569.t000002	FAR1
29569.m000147	29569.t000003	FAR1
29569.m000148	29569.t000004	FAR1
29576.m000223	29576.t000001	Trihelix
29576.m000224	29576.t000002	Trihelix
29576.m000226	29576.t000004	Trihelix
29576.m000233	29576.t000011	Trihelix
29577.m000449	29577.t000006	bZIP
29585.m000603	29585.t000031	bHLH
29586.m000615	29586.t000020	NF-YC
29589.m001259	29589.t000038	bHLH
29596.m000688	29596.t000002	bHLH
29596.m000719	29596.t000033	GATA
29596.m000720	29596.t000034	GATA
29598.m000445	29598.t000004	WRKY
29598.m000464	29598.t000023	bHLH
29598.m000468	29598.t000027	bZIP
29603.m000513	29603.t000005	bHLH
29610.m000402	29610.t000017	Trihelix
29613.m000372	29613.t000015	LBD
29623.m000322	29623.t000003	Nin-like
29625.m000702	29625.t000029	bZIP
29629.m001369	29629.t000020	NF-YB
29629.m001382	29629.t000033	NF-YB
29629.m001435	29629.t000086	HSF
29630.m000789	29630.t000014	FAR1
29630.m000811	29630.t000036	NAC
29631.m001025	29631.t000032	bHLH
29631.m001038	29631.t000045	bHLH
29631.m001039	29631.t000046	bHLH
29631.m001046	29631.t000053	YABBY
29633.m000898	29633.t000017	FAR1
29634.m002055	29634.t000001	GATA
29634.m002076	29634.t000022	bZIP
29634.m002080	29634.t000026	bHLH
29634.m002128	29634.t000074	ZF-HD
29634.m002146	29634.t000092	GATA
29634.m002156	29634.t000102	GRAS
29635.m000468	29635.t000028	WRKY
29636.m000750	29636.t000015	HSF
29638.m000529	29638.t000028	TCP
29638.m000530	29638.t000029	TCP
29643.m000337	29643.t000015	NF-YC
29644.m000187	29644.t000015	WRKY
