TF_ID	Gene_ID	Family
Niben101Scf06059g01001.1	Niben101Scf06059g01001	RAV
Niben101Scf03150g06002.1	Niben101Scf03150g06002	RAV
Niben101Scf16806g00003.1	Niben101Scf16806g00003	RAV
Niben101Scf00872g03005.1	Niben101Scf00872g03005	RAV
Niben101Scf10767g03010.1	Niben101Scf10767g03010	RAV
Niben101Scf03488g06004.1	Niben101Scf03488g06004	RAV
Niben101Scf07498g01011.1	Niben101Scf07498g01011	RAV
Niben101Ctg00317g00003.1	Niben101Ctg00317g00003	LBD
Niben101Ctg00579g00001.1	Niben101Ctg00579g00001	LBD
Niben101Ctg01201g00001.1	Niben101Ctg01201g00001	LBD
Niben101Ctg03201g00001.1	Niben101Ctg03201g00001	GRAS
Niben101Ctg03622g00002.1	Niben101Ctg03622g00002	ZF-HD
Niben101Ctg04686g00002.1	Niben101Ctg04686g00002	GRAS
Niben101Ctg05239g00001.1	Niben101Ctg05239g00001	LBD
Niben101Ctg05879g00002.1	Niben101Ctg05879g00002	NAC
Niben101Ctg06296g00002.1	Niben101Ctg06296g00002	HSF
Niben101Ctg08087g00001.1	Niben101Ctg08087g00001	NAC
Niben101Ctg09867g00003.1	Niben101Ctg09867g00003	CPP
Niben101Ctg10874g00003.1	Niben101Ctg10874g00003	SAP
Niben101Ctg11776g00001.1	Niben101Ctg11776g00001	Dof
Niben101Ctg12118g00001.1	Niben101Ctg12118g00001	GRAS
Niben101Ctg12301g00003.1	Niben101Ctg12301g00003	NAC
Niben101Ctg12776g00001.1	Niben101Ctg12776g00001	bHLH
Niben101Ctg13582g00001.1	Niben101Ctg13582g00001	bZIP
Niben101Ctg13774g00001.1	Niben101Ctg13774g00001	NAC
Niben101Ctg13932g00004.1	Niben101Ctg13932g00004	GRAS
Niben101Ctg14233g00001.1	Niben101Ctg14233g00001	GATA
Niben101Ctg14368g00003.1	Niben101Ctg14368g00003	bZIP
Niben101Ctg14421g00002.1	Niben101Ctg14421g00002	LBD
Niben101Ctg14444g00003.1	Niben101Ctg14444g00003	WRKY
Niben101Ctg14738g00001.1	Niben101Ctg14738g00001	ZF-HD
Niben101Ctg14882g00002.1	Niben101Ctg14882g00002	TCP
Niben101Ctg15076g00003.1	Niben101Ctg15076g00003	bHLH
Niben101Ctg15328g00002.1	Niben101Ctg15328g00002	GRAS
Niben101Ctg15574g00001.1	Niben101Ctg15574g00001	ZF-HD
Niben101Ctg15612g00002.1	Niben101Ctg15612g00002	bHLH
Niben101Ctg15702g00001.1	Niben101Ctg15702g00001	GATA
Niben101Ctg15726g00001.1	Niben101Ctg15726g00001	HSF
