TF_ID	Gene_ID	Family
676748872	676748872	RAV
676757746	676757746	RAV
676755474	676755474	RAV
676738834	676738834	RAV
676714760	676714760	RAV
676748870	676748870	RAV
676700478	676700478	GRAS
676700830	676700830	TCP
676702116	676702116	HSF
676702456	676702456	HSF
676702724	676702724	NAC
676703688	676703688	bHLH
676704342	676704342	NF-YC
676705534	676705534	bHLH
676705838	676705838	NAC
676706490	676706490	GeBP
676706754	676706754	GeBP
676707074	676707074	WRKY
676707316	676707316	GeBP
676707580	676707580	GRAS
676707934	676707934	NF-YC
676708010	676708010	bHLH
676708024	676708024	NF-YC
676708044	676708044	bHLH
676708170	676708170	NF-YB
676708342	676708342	bHLH
676708560	676708560	HSF
676708852	676708852	FAR1
676708942	676708942	TCP
676708974	676708974	bZIP
676709010	676709010	bHLH
676709110	676709110	NAC
676709186	676709186	NAC
676709360	676709360	NF-YA
676709390	676709390	TCP
676709392	676709392	bZIP
676709550	676709550	TCP
676709566	676709566	bHLH
676709648	676709648	bZIP
676709708	676709708	NAC
676709794	676709794	NAC
676709864	676709864	STAT
676710036	676710036	EIL
676710040	676710040	GATA
676710046	676710046	bHLH
676710062	676710062	bHLH
676710064	676710064	bHLH
676710066	676710066	bHLH
676710080	676710080	bHLH
676710090	676710090	bHLH
676710092	676710092	bHLH
676710094	676710094	bHLH
676710418	676710418	GeBP
676710578	676710578	GATA
676710624	676710624	bHLH
676710680	676710680	bHLH
676710830	676710830	LBD
676710984	676710984	WRKY
676711192	676711192	bHLH
676711528	676711528	NAC
676711650	676711650	bHLH
676711844	676711844	GeBP
676711936	676711936	WRKY
676712266	676712266	NAC
676712270	676712270	NAC
676712556	676712556	Dof
676712578	676712578	GRAS
676712676	676712676	Nin-like
676712750	676712750	SBP
676712786	676712786	Trihelix
676713048	676713048	bHLH
676713052	676713052	bHLH
676713058	676713058	FAR1
676713246	676713246	bHLH
676713258	676713258	Dof
676713260	676713260	Dof
676713264	676713264	Dof
676713642	676713642	NAC
676713656	676713656	CPP
676713678	676713678	BBR-BPC
676713682	676713682	ZF-HD
676713814	676713814	NAC
676713830	676713830	NAC
676713906	676713906	GRAS
676714038	676714038	EIL
676714170	676714170	NAC
676714220	676714220	bZIP
676714226	676714226	SRS
676714300	676714300	WRKY
676714356	676714356	WRKY
676714638	676714638	Dof
676714660	676714660	GATA
676714754	676714754	bHLH
676714756	676714756	EIL
676714772	676714772	bHLH
676714818	676714818	NAC
676715014	676715014	bZIP
676715242	676715242	NAC
676715348	676715348	bHLH
676715366	676715366	NAC
676715390	676715390	Dof
676715400	676715400	Dof
676715510	676715510	bHLH
676716232	676716232	bZIP
676716400	676716400	GeBP
676716648	676716648	NAC
676716680	676716680	TCP
676717304	676717304	LBD
676717436	676717436	NAC
676717690	676717690	WRKY
676717740	676717740	Dof
676717742	676717742	E2F/DP
676717914	676717914	E2F/DP
676717980	676717980	Trihelix
676717988	676717988	HSF
676718060	676718060	bHLH
676718122	676718122	NAC
676718198	676718198	Trihelix
676718210	676718210	bHLH
676718402	676718402	Trihelix
676718678	676718678	NAC
676718906	676718906	GRAS
676718960	676718960	ZF-HD
676719194	676719194	WRKY
676719256	676719256	bHLH
676719304	676719304	bHLH
676719324	676719324	Dof
676719604	676719604	LBD
676719646	676719646	bHLH
676719664	676719664	bHLH
676720270	676720270	bHLH
676720272	676720272	bHLH
676720360	676720360	Trihelix
676720378	676720378	HSF
676720428	676720428	GeBP
676720510	676720510	FAR1
676720536	676720536	bHLH
676720656	676720656	bHLH
676720768	676720768	GATA
676720782	676720782	FAR1
676720854	676720854	NAC
676720860	676720860	ZF-HD
676720868	676720868	Dof
676720890	676720890	TCP
676720924	676720924	bHLH
676721018	676721018	NAC
676721024	676721024	bZIP
676721034	676721034	GATA
676721038	676721038	SRS
676721078	676721078	bHLH
676721096	676721096	GATA
676721116	676721116	GRAS
676721120	676721120	bZIP
676721130	676721130	BES1
676721204	676721204	HSF
676721218	676721218	bHLH
676721284	676721284	Nin-like
676721350	676721350	Nin-like
676721566	676721566	WRKY
676721608	676721608	WRKY
676721612	676721612	HSF
676721682	676721682	NAC
676721704	676721704	Dof
