TF_ID	Gene_ID	Family
Carubv10020536m	Carubv10020536m.g	RAV
Carubv10009612m	Carubv10009612m.g	RAV
Carubv10019207m	Carubv10019207m.g	RAV
Carubv10011592m	Carubv10011592m.g	RAV
Carubv10011257m	Carubv10011257m.g	RAV
Carubv10000015m	Carubv10000015m.g	LBD
Carubv10000120m	Carubv10000120m.g	CAMTA
Carubv10000129m	Carubv10000120m.g	CAMTA
Carubv10000250m	Carubv10000250m.g	FAR1
Carubv10000255m	Carubv10000255m.g	FAR1
Carubv10000262m	Carubv10000255m.g	FAR1
Carubv10000489m	Carubv10000489m.g	NAC
Carubv10000500m	Carubv10000489m.g	NAC
Carubv10000523m	Carubv10000523m.g	Trihelix
Carubv10000532m	Carubv10000532m.g	Trihelix
Carubv10000576m	Carubv10000576m.g	bHLH
Carubv10000606m	Carubv10000606m.g	WRKY
Carubv10000626m	Carubv10000626m.g	GRAS
Carubv10000655m	Carubv10000655m.g	bHLH
Carubv10000703m	Carubv10000703m.g	WRKY
Carubv10000708m	Carubv10000708m.g	EIL
Carubv10000809m	Carubv10000809m.g	WRKY
Carubv10000816m	Carubv10000816m.g	CPP
Carubv10000892m	Carubv10000892m.g	NAC
Carubv10000964m	Carubv10000964m.g	EIL
Carubv10001022m	Carubv10001022m.g	GeBP
Carubv10001050m	Carubv10001050m.g	bZIP
Carubv10001065m	Carubv10001065m.g	HSF
Carubv10001072m	Carubv10000892m.g	NAC
Carubv10001082m	Carubv10001082m.g	bHLH
Carubv10001091m	Carubv10001050m.g	bZIP
Carubv10001121m	Carubv10001121m.g	Dof
Carubv10001139m	Carubv10001139m.g	NAC
Carubv10001164m	Carubv10001164m.g	E2F/DP
Carubv10001204m	Carubv10001204m.g	HSF
Carubv10001212m	Carubv10001212m.g	NF-YC
Carubv10001247m	Carubv10001247m.g	bZIP
Carubv10001291m	Carubv10001291m.g	E2F/DP
Carubv10001357m	Carubv10001357m.g	NAC
Carubv10001360m	Carubv10001360m.g	GATA
Carubv10001361m	Carubv10001361m.g	bZIP
Carubv10001372m	Carubv10001372m.g	NAC
Carubv10001373m	Carubv10001373m.g	NAC
Carubv10001409m	Carubv10001409m.g	bZIP
Carubv10001413m	Carubv10001413m.g	bZIP
Carubv10001414m	Carubv10001409m.g	bZIP
Carubv10001432m	Carubv10001432m.g	Trihelix
Carubv10001446m	Carubv10001446m.g	WRKY
Carubv10001450m	Carubv10001450m.g	bZIP
Carubv10001454m	Carubv10001454m.g	WRKY
Carubv10001458m	Carubv10001458m.g	WRKY
Carubv10001464m	Carubv10001450m.g	bZIP
