TF_ID	Gene_ID	Family
Peinf101Scf00441g05001.1	Peinf101Scf00441g05001	RAV
Peinf101Scf01838g00001.1	Peinf101Scf01838g00001	RAV
Peinf101Scf01452g15014.1	Peinf101Scf01452g15014	RAV
Peinf101Scf01889g14044.1	Peinf101Scf01889g14044	RAV
Peinf101Ctg12685011g00004.1	Peinf101Ctg12685011g00004	NAC
Peinf101Ctg12770835g00001.1	Peinf101Ctg12770835g00001	NF-YA
Peinf101Ctg12847943g00002.1	Peinf101Ctg12847943g00002	NF-YA
Peinf101Ctg13051599g00001.1	Peinf101Ctg13051599g00001	LBD
Peinf101Ctg13097590g00003.1	Peinf101Ctg13097590g00003	WRKY
Peinf101Ctg13284910g00001.1	Peinf101Ctg13284910g00001	NF-YA
Peinf101Ctg13287258g00002.1	Peinf101Ctg13287258g00002	bHLH
Peinf101Ctg13298684g00002.1	Peinf101Ctg13298684g00002	NAC
Peinf101Ctg13321838g00001.1	Peinf101Ctg13321838g00001	LBD
Peinf101Ctg13350408g00001.1	Peinf101Ctg13350408g00001	NAC
Peinf101Ctg13364766g00003.1	Peinf101Ctg13364766g00003	NAC
Peinf101Ctg13381308g00002.1	Peinf101Ctg13381308g00002	LBD
Peinf101Ctg13452108g00001.1	Peinf101Ctg13452108g00001	GATA
Peinf101Ctg13455094g00001.1	Peinf101Ctg13455094g00001	SRS
Peinf101Ctg13486332g00001.1	Peinf101Ctg13486332g00001	NAC
Peinf101Ctg13518254g00001.1	Peinf101Ctg13518254g00001	TCP
Peinf101Ctg13571756g00001.1	Peinf101Ctg13571756g00001	NAC
Peinf101Ctg13627631g00002.1	Peinf101Ctg13627631g00002	NAC
Peinf101Ctg13657787g00001.1	Peinf101Ctg13657787g00001	EIL
Peinf101Ctg13694859g00003.1	Peinf101Ctg13694859g00003	TCP
Peinf101Ctg13715789g00001.1	Peinf101Ctg13715789g00001	bHLH
Peinf101Ctg13782524g00003.1	Peinf101Ctg13782524g00003	GATA
Peinf101Ctg13819509g00004.1	Peinf101Ctg13819509g00004	LBD
Peinf101Scf00001g02003.1	Peinf101Scf00001g02003	NF-YB
Peinf101Scf00001g29006.1	Peinf101Scf00001g29006	GRAS
Peinf101Scf00009g02007.1	Peinf101Scf00009g02007	NAC
Peinf101Scf00011g01019.1	Peinf101Scf00011g01019	NAC
Peinf101Scf00011g03004.1	Peinf101Scf00011g03004	NAC
Peinf101Scf00013g04003.1	Peinf101Scf00013g04003	bHLH
Peinf101Scf00013g06013.1	Peinf101Scf00013g06013	LBD
Peinf101Scf00015g03003.1	Peinf101Scf00015g03003	LBD
Peinf101Scf00015g04016.1	Peinf101Scf00015g04016	bHLH
Peinf101Scf00015g05002.1	Peinf101Scf00015g05002	bZIP
Peinf101Scf00015g12028.1	Peinf101Scf00015g12028	EIL
