TF_ID	Gene_ID	Family
augustus_masked-scaffold00296-abinit-gene-0.2-mRNA-1	augustus_masked-scaffold00296-abinit-gene-0.2	RAV
augustus_masked-scaffold07852-abinit-gene-0.2-mRNA-1	augustus_masked-scaffold07852-abinit-gene-0.2	RAV
maker-scaffold02277-augustus-gene-0.8-mRNA-1	maker-scaffold02277-augustus-gene-0.8	RAV
augustus_masked-scaffold02933-abinit-gene-0.4-mRNA-1	augustus_masked-scaffold02933-abinit-gene-0.4	RAV
augustus_masked-scaffold00006-abinit-gene-2.1-mRNA-1	augustus_masked-scaffold00006-abinit-gene-2.1	Trihelix
augustus_masked-scaffold00006-abinit-gene-2.3-mRNA-1	augustus_masked-scaffold00006-abinit-gene-2.3	Trihelix
augustus_masked-scaffold00017-abinit-gene-0.6-mRNA-1	augustus_masked-scaffold00017-abinit-gene-0.6	ZF-HD
augustus_masked-scaffold00019-abinit-gene-0.5-mRNA-1	augustus_masked-scaffold00019-abinit-gene-0.5	Trihelix
augustus_masked-scaffold00022-abinit-gene-0.6-mRNA-1	augustus_masked-scaffold00022-abinit-gene-0.6	GATA
augustus_masked-scaffold00033-abinit-gene-0.7-mRNA-1	augustus_masked-scaffold00033-abinit-gene-0.7	TCP
augustus_masked-scaffold00033-abinit-gene-2.0-mRNA-1	augustus_masked-scaffold00033-abinit-gene-2.0	NAC
augustus_masked-scaffold00059-abinit-gene-0.2-mRNA-1	augustus_masked-scaffold00059-abinit-gene-0.2	bHLH
augustus_masked-scaffold00060-abinit-gene-1.16-mRNA-1	augustus_masked-scaffold00060-abinit-gene-1.16	LBD
augustus_masked-scaffold00062-abinit-gene-0.1-mRNA-1	augustus_masked-scaffold00062-abinit-gene-0.1	bZIP
augustus_masked-scaffold00068-abinit-gene-0.5-mRNA-1	augustus_masked-scaffold00068-abinit-gene-0.5	GRAS
augustus_masked-scaffold00091-abinit-gene-1.10-mRNA-1	augustus_masked-scaffold00091-abinit-gene-1.10	Dof
augustus_masked-scaffold00096-abinit-gene-1.0-mRNA-1	augustus_masked-scaffold00096-abinit-gene-1.0	FAR1
