TF_ID	Gene_ID	Family
ORGLA01G0022400.1	ORGLA01G0022400	RAV
ORGLA01G0022600.1	ORGLA01G0022600	RAV
ORGLA01G0225300.1	ORGLA01G0225300	RAV
ORGLA01G0001300.1	ORGLA01G0001300	NF-YC
ORGLA01G0003200.1	ORGLA01G0003200	bHLH
ORGLA01G0005100.1	ORGLA01G0005100	bHLH
ORGLA01G0005200.1	ORGLA01G0005200	bHLH
ORGLA01G0007400.1	ORGLA01G0007400	bHLH
ORGLA01G0016600.1	ORGLA01G0016600	LBD
ORGLA01G0034200.1	ORGLA01G0034200	NF-X1
ORGLA01G0034700.1	ORGLA01G0034700	bHLH
ORGLA01G0040900.1	ORGLA01G0040900	LBD
ORGLA01G0043900.1	ORGLA01G0043900	bZIP
ORGLA01G0050200.1	ORGLA01G0050200	NF-YC
ORGLA01G0052200.1	ORGLA01G0052200	WRKY
ORGLA01G0052400.1	ORGLA01G0052400	WRKY
ORGLA01G0055000.1	ORGLA01G0055000	NAC
ORGLA01G0056600.1	ORGLA01G0056600	Dof
ORGLA01G0058200.1	ORGLA01G0058200	bHLH
ORGLA01G0062300.1	ORGLA01G0062300	TCP
ORGLA01G0065100.1	ORGLA01G0065100	bHLH
ORGLA01G0077100.1	ORGLA01G0077100	bHLH
ORGLA01G0077900.1	ORGLA01G0077900	Nin-like
ORGLA01G0080800.1	ORGLA01G0080800	LBD
ORGLA01G0083700.1	ORGLA01G0083700	Nin-like
ORGLA01G0083800.1	ORGLA01G0083800	WRKY
ORGLA01G0085600.1	ORGLA01G0085600	GeBP
ORGLA01G0091700.1	ORGLA01G0091700	NAC
ORGLA01G0092800.1	ORGLA01G0092800	Dof
ORGLA01G0096800.1	ORGLA01G0096800	Dof
ORGLA01G0102100.1	ORGLA01G0102100	WRKY
ORGLA01G0103500.1	ORGLA01G0103500	SBP
ORGLA01G0103700.1	ORGLA01G0103700	bHLH
ORGLA01G0110000.1	ORGLA01G0110000	Trihelix
ORGLA01G0118700.1	ORGLA01G0118700	GATA
ORGLA01G0119700.1	ORGLA01G0119700	NF-YC
ORGLA01G0146100.1	ORGLA01G0146100	bHLH
ORGLA01G0153900.1	ORGLA01G0153900	bZIP
ORGLA01G0163600.1	ORGLA01G0163600	bHLH
ORGLA01G0166200.1	ORGLA01G0166200	HSF
ORGLA01G0166300.1	ORGLA01G0166300	LBD
ORGLA01G0166400.1	ORGLA01G0166400	LBD
ORGLA01G0167100.1	ORGLA01G0167100	LBD
ORGLA01G0167200.1	ORGLA01G0167200	LBD
ORGLA01G0167300.1	ORGLA01G0167300	LBD
ORGLA01G0167400.1	ORGLA01G0167400	LBD
ORGLA01G0188000.1	ORGLA01G0188000	WRKY
ORGLA01G0188200.1	ORGLA01G0188200	HSF
ORGLA01G0188800.1	ORGLA01G0188800	WRKY
ORGLA01G0197900.1	ORGLA01G0197900	GRAS
ORGLA01G0204900.1	ORGLA01G0204900	WRKY
ORGLA01G0206000.1	ORGLA01G0206000	bZIP
ORGLA01G0208300.1	ORGLA01G0208300	GATA
ORGLA01G0210100.1	ORGLA01G0210100	WRKY
ORGLA01G0211000.1	ORGLA01G0211000	NAC
ORGLA01G0213300.1	ORGLA01G0213300	NAC
ORGLA01G0214300.1	ORGLA01G0214300	Trihelix
ORGLA01G0215600.1	ORGLA01G0215600	NAC
ORGLA01G0217000.1	ORGLA01G0217000	E2F/DP
ORGLA01G0232100.1	ORGLA01G0232100	bHLH
ORGLA01G0233600.1	ORGLA01G0233600	bHLH
ORGLA01G0238400.1	ORGLA01G0238400	WRKY
ORGLA01G0245200.1	ORGLA01G0245200	HSF
ORGLA01G0245700.1	ORGLA01G0245700	WRKY
ORGLA01G0250200.1	ORGLA01G0250200	GATA
ORGLA01G0253200.1	ORGLA01G0253200	HSF
ORGLA01G0253700.1	ORGLA01G0253700	WRKY
ORGLA01G0254900.1	ORGLA01G0254900	bZIP
ORGLA01G0258000.1	ORGLA01G0258000	CPP
ORGLA01G0259400.1	ORGLA01G0259400	TCP
ORGLA01G0267200.1	ORGLA01G0267200	bHLH
ORGLA01G0280700.1	ORGLA01G0280700	bZIP
ORGLA01G0285000.1	ORGLA01G0285000	NAC
ORGLA01G0286100.1	ORGLA01G0286100	bZIP
ORGLA01G0288400.1	ORGLA01G0288400	NAC
ORGLA01G0291600.1	ORGLA01G0291600	WRKY
ORGLA01G0291800.1	ORGLA01G0291800	WRKY
ORGLA01G0291900.1	ORGLA01G0291900	WRKY
ORGLA01G0292000.1	ORGLA01G0292000	WRKY
ORGLA01G0292200.1	ORGLA01G0292200	WRKY
ORGLA01G0294900.1	ORGLA01G0294900	LBD
ORGLA01G0295600.1	ORGLA01G0295600	WRKY
ORGLA01G0297200.1	ORGLA01G0297200	NF-YB
ORGLA01G0299600.1	ORGLA01G0299600	bHLH
ORGLA01G0306900.1	ORGLA01G0306900	GRAS
ORGLA01G0307300.1	ORGLA01G0307300	WRKY
ORGLA01G0317900.1	ORGLA01G0317900	bZIP
ORGLA01G0318100.1	ORGLA01G0318100	bZIP
ORGLA01G0320200.1	ORGLA01G0320200	NAC
ORGLA01G0322000.1	ORGLA01G0322000	bHLH
ORGLA01G0322200.1	ORGLA01G0322200	Dof
ORGLA01G0323500.1	ORGLA01G0323500	bZIP
ORGLA01G0333300.1	ORGLA01G0333300	GRAS
ORGLA01G0334900.1	ORGLA01G0334900	NAC
ORGLA01G0337900.1	ORGLA01G0337900	NAC
ORGLA01G0339000.1	ORGLA01G0339000	LBD
ORGLA01G0346000.1	ORGLA01G0346000	TCP
ORGLA01G0346300.1	ORGLA01G0346300	bHLH
ORGLA01G0347800.1	ORGLA01G0347800	GRAS
ORGLA01G0348000.1	ORGLA01G0348000	GRAS
ORGLA01G0356500.1	ORGLA01G0356500	bHLH
ORGLA01G0361700.1	ORGLA01G0361700	SBP
ORGLA01G0362300.1	ORGLA01G0362300	CAMTA
ORGLA01G0363500.1	ORGLA01G0363500	bHLH
ORGLA01G0366500.1	ORGLA01G0366500	LBD
ORGLA01G0368600.1	ORGLA01G0368600	NF-YB
ORGLA01G0368700.1	ORGLA01G0368700	NF-YB
ORGLA01G0376000.1	ORGLA01G0376000	NAC
ORGLA01G0376700.1	ORGLA01G0376700	GRAS
ORGLA01G0380200.1	ORGLA01G0380200	bHLH
ORGLA01G0381000.1	ORGLA01G0381000	SRS
ORGLA01G0392700.1	ORGLA01G0392700	WRKY
ORGLA01G0395900.1	ORGLA01G0395900	GATA
ORGLA01G0397100.1	ORGLA01G0397100	bHLH
ORGLA01G0399300.1	ORGLA01G0399300	NAC
ORGLA01G0401200.1	ORGLA01G0401200	GATA
ORGLA02G0003500.1	ORGLA02G0003500	Trihelix
ORGLA02G0011200.1	ORGLA02G0011200	bHLH
ORGLA02G0014200.1	ORGLA02G0014200	bHLH
ORGLA02G0021500.1	ORGLA02G0021500	bZIP
ORGLA02G0022300.1	ORGLA02G0022300	BES1
ORGLA02G0024700.1	ORGLA02G0024700	bZIP
ORGLA02G0030600.1	ORGLA02G0030600	SBP
ORGLA02G0035000.1	ORGLA02G0035000	GATA
ORGLA02G0041200.1	ORGLA02G0041200	Whirly
ORGLA02G0046100.1	ORGLA02G0046100	NAC
ORGLA02G0049900.1	ORGLA02G0049900	NF-YC
ORGLA02G0051400.1	ORGLA02G0051400	SBP
ORGLA02G0051600.1	ORGLA02G0051600	Trihelix
ORGLA02G0052000.1	ORGLA02G0052000	bZIP
ORGLA02G0053800.1	ORGLA02G0053800	SBP
ORGLA02G0057000.1	ORGLA02G0057000	WRKY
ORGLA02G0057900.1	ORGLA02G0057900	bZIP
ORGLA02G0064700.1	ORGLA02G0064700	bZIP
ORGLA02G0067600.1	ORGLA02G0067600	bZIP
ORGLA02G0069300.1	ORGLA02G0069300	GRAS
ORGLA02G0073800.1	ORGLA02G0073800	FAR1
ORGLA02G0074000.1	ORGLA02G0074000	bZIP
ORGLA02G0080400.1	ORGLA02G0080400	NAC
ORGLA02G0086900.1	ORGLA02G0086900	bHLH
ORGLA02G0087700.1	ORGLA02G0087700	HSF
ORGLA02G0088400.1	ORGLA02G0088400	BES1
ORGLA02G0094900.1	ORGLA02G0094900	bZIP
ORGLA02G0097800.1	ORGLA02G0097800	NAC
ORGLA02G0097900.1	ORGLA02G0097900	Dof
ORGLA02G0100500.1	ORGLA02G0100500	bHLH
ORGLA02G0103000.1	ORGLA02G0103000	WRKY
ORGLA02G0104200.1	ORGLA02G0104200	bZIP
ORGLA02G0108300.1	ORGLA02G0108300	CPP
