TF_ID	Gene_ID	Family
Sp_139930_anxo.t1	Sp_139930_anxo	RAV
Sp_014220_wrfd.t1	Sp_014220_wrfd	RAV
Sp_000070_yfgx.t1	Sp_000070_yfgx	bZIP
Sp_000340_siic.t1	Sp_000340_siic	bHLH
Sp_001520_mpcs.t1	Sp_001520_mpcs	Nin-like
Sp_001670_kniy.t1	Sp_001670_kniy	LBD
Sp_002790_ktjc.t1	Sp_002790_ktjc	Trihelix
Sp_003020_mejr.t1	Sp_003020_mejr	bHLH
Sp_003060_scgs.t1	Sp_003060_scgs	Nin-like
Sp_003600_oqtx.t1	Sp_003600_oqtx	Whirly
Sp_003610_afga.t1	Sp_003610_afga	WRKY
Sp_003720_make.t1	Sp_003720_make	HSF
Sp_003720_make.t2	Sp_003720_make	HSF
Sp_004030_rqud.t1	Sp_004030_rqud	Dof
Sp_004170_asdt.t1	Sp_004170_asdt	WRKY
Sp_004880_jgpp.t1	Sp_004880_jgpp	TCP
Sp_005290_yuzh.t1	Sp_005290_yuzh	GeBP
Sp_005440_jamk.t1	Sp_005440_jamk	EIL
Sp_005840_iyxx.t1	Sp_005840_iyxx	Dof
Sp_006130_aegy.t1	Sp_006130_aegy	GRAS
Sp_006240_topm.t1	Sp_006240_topm	WRKY
Sp_006680_oeaa.t1	Sp_006680_oeaa	GATA
Sp_007860_sigc.t1	Sp_007860_sigc	bZIP
Sp_007860_sigc.t2	Sp_007860_sigc	bZIP
Sp_008030_ekix.t1	Sp_008030_ekix	bZIP
Sp_008660_oskq.t1	Sp_008660_oskq	bHLH
Sp_008660_oskq.t2	Sp_008660_oskq	bHLH
Sp_008660_oskq.t3	Sp_008660_oskq	bHLH
Sp_008740_hruy.t1	Sp_008740_hruy	bZIP
Sp_009360_ufwn.t1	Sp_009360_ufwn	SRS
Sp_009720_kgso.t1	Sp_009720_kgso	WRKY
Sp_009860_gype.t1	Sp_009860_gype	GRAS
Sp_010770_sfci.t1	Sp_010770_sfci	Dof
Sp_010850_ckzq.t1	Sp_010850_ckzq	WRKY
Sp_011410_jgxg.t1	Sp_011410_jgxg	SBP
Sp_011520_xmqu.t1	Sp_011520_xmqu	GRAS
Sp_011540_epwz.t1	Sp_011540_epwz	WRKY
Sp_011740_wieo.t1	Sp_011740_wieo	BBR-BPC
Sp_012370_kzrr.t1	Sp_012370_kzrr	bHLH
Sp_012420_kmmx.t1	Sp_012420_kmmx	NAC
Sp_013380_yujy.t1	Sp_013380_yujy	NF-YB
Sp_013380_yujy.t2	Sp_013380_yujy	NF-YB
Sp_013490_odcy.t1	Sp_013490_odcy	NF-YC
Sp_014080_drcz.t1	Sp_014080_drcz	Trihelix
Sp_014540_zkxz.t1	Sp_014540_zkxz	VOZ
Sp_014620_dsee.t1	Sp_014620_dsee	bZIP
Sp_014630_xyza.t1	Sp_014630_xyza	WRKY
Sp_015210_zrxi.t1	Sp_015210_zrxi	bHLH
Sp_015250_agko.t1	Sp_015250_agko	bHLH
Sp_015250_agko.t2	Sp_015250_agko	bHLH
Sp_015990_inss.t1	Sp_015990_inss	bHLH
Sp_016100_hgze.t1	Sp_016100_hgze	LBD
Sp_017560_cwtt.t1	Sp_017560_cwtt	bHLH
Sp_017620_pjxq.t1	Sp_017620_pjxq	NAC
Sp_018030_yjcc.t1	Sp_018030_yjcc	bHLH
Sp_019230_oihr.t1	Sp_019230_oihr	FAR1
Sp_020000_tejy.t1	Sp_020000_tejy	Trihelix
Sp_020780_eawr.t1	Sp_020780_eawr	NF-YB
Sp_021610_powa.t1	Sp_021610_powa	Trihelix
Sp_023520_maiw.t1	Sp_023520_maiw	NAC
Sp_023740_theh.t1	Sp_023740_theh	bHLH
Sp_024640_csri.t1	Sp_024640_csri	LBD
Sp_024820_ycrm.t1	Sp_024820_ycrm	LBD
Sp_024910_nchh.t1	Sp_024910_nchh	bHLH
Sp_026020_gcng.t1	Sp_026020_gcng	bHLH
Sp_026020_gcng.t2	Sp_026020_gcng	bHLH
Sp_026070_crae.t1	Sp_026070_crae	GATA
Sp_026180_qgyj.t1	Sp_026180_qgyj	FAR1
Sp_026350_tdhu.t1	Sp_026350_tdhu	bZIP
Sp_027620_xdmn.t1	Sp_027620_xdmn	SRS
Sp_028020_doqm.t1	Sp_028020_doqm	NAC
Sp_028340_qorz.t1	Sp_028340_qorz	NAC
Sp_028480_oaxd.t1	Sp_028480_oaxd	bZIP
Sp_028800_hini.t1	Sp_028800_hini	NAC
Sp_028880_knhe.t1	Sp_028880_knhe	bZIP
Sp_028880_knhe.t2	Sp_028880_knhe	bZIP
Sp_029270_fytx.t1	Sp_029270_fytx	NAC
Sp_029840_tguk.t1	Sp_029840_tguk	ZF-HD
Sp_030030_whfc.t1	Sp_030030_whfc	GRAS
Sp_030320_sppf.t1	Sp_030320_sppf	WRKY
Sp_030320_sppf.t2	Sp_030320_sppf	WRKY
Sp_030330_jiiy.t1	Sp_030330_jiiy	FAR1
Sp_030920_ttan.t1	Sp_030920_ttan	GRAS
Sp_031330_ioco.t1	Sp_031330_ioco	bZIP
Sp_032130_gizq.t1	Sp_032130_gizq	EIL
Sp_032420_fmtu.t1	Sp_032420_fmtu	SBP
Sp_032720_pyix.t1	Sp_032720_pyix	bHLH
Sp_032780_cscf.t1	Sp_032780_cscf	NF-YC
Sp_033230_yrso.t1	Sp_033230_yrso	WRKY
Sp_033280_ssaz.t1	Sp_033280_ssaz	bHLH
Sp_033280_ssaz.t2	Sp_033280_ssaz	bHLH
Sp_034090_dnua.t1	Sp_034090_dnua	GRAS
Sp_034090_dnua.t2	Sp_034090_dnua	GRAS
Sp_034650_atqa.t1	Sp_034650_atqa	GATA
Sp_035090_mwct.t1	Sp_035090_mwct	bHLH
Sp_035110_wgdk.t1	Sp_035110_wgdk	TCP
Sp_035150_qgmo.t1	Sp_035150_qgmo	bZIP
Sp_036000_ggiy.t1	Sp_036000_ggiy	GRAS
Sp_036090_aemp.t1	Sp_036090_aemp	NF-X1
Sp_036500_ywnu.t1	Sp_036500_ywnu	bZIP
Sp_037930_ygct.t1	Sp_037930_ygct	Nin-like
Sp_038230_pxgw.t1	Sp_038230_pxgw	TCP
Sp_038470_dfya.t1	Sp_038470_dfya	bHLH
Sp_038480_mosn.t1	Sp_038480_mosn	bHLH
Sp_038920_kxzf.t1	Sp_038920_kxzf	NAC
Sp_039500_miqj.t1	Sp_039500_miqj	bHLH
Sp_039590_pigj.t1	Sp_039590_pigj	WRKY
Sp_039640_dehz.t1	Sp_039640_dehz	WRKY
Sp_039780_ijwt.t1	Sp_039780_ijwt	SRS
Sp_040880_ozxu.t1	Sp_040880_ozxu	Trihelix
Sp_041020_ixtj.t1	Sp_041020_ixtj	SBP
Sp_041130_hpja.t1	Sp_041130_hpja	bHLH
Sp_041130_hpja.t2	Sp_041130_hpja	bHLH
Sp_041430_wwou.t1	Sp_041430_wwou	bHLH
Sp_041430_wwou.t2	Sp_041430_wwou	bHLH
Sp_041430_wwou.t3	Sp_041430_wwou	bHLH
Sp_041470_muzn.t1	Sp_041470_muzn	HRT-like
Sp_041750_mrge.t1	Sp_041750_mrge	GATA
Sp_041970_tsis.t1	Sp_041970_tsis	LFY
Sp_042010_qucd.t1	Sp_042010_qucd	NAC
Sp_042070_dnka.t1	Sp_042070_dnka	NAC
Sp_042210_agke.t1	Sp_042210_agke	GATA
Sp_042400_oxwq.t1	Sp_042400_oxwq	bHLH
Sp_042910_wwfp.t1	Sp_042910_wwfp	Trihelix
Sp_042910_wwfp.t2	Sp_042910_wwfp	Trihelix
Sp_044260_cngh.t1	Sp_044260_cngh	WRKY
Sp_045090_gksa.t1	Sp_045090_gksa	NAC
Sp_045300_rgzh.t1	Sp_045300_rgzh	bHLH
Sp_045470_sewy.t1	Sp_045470_sewy	E2F/DP
Sp_045540_ymir.t1	Sp_045540_ymir	FAR1
Sp_046240_wzmm.t1	Sp_046240_wzmm	Nin-like
Sp_046300_edek.t1	Sp_046300_edek	ZF-HD
Sp_046520_nxcc.t1	Sp_046520_nxcc	WRKY
Sp_046520_nxcc.t2	Sp_046520_nxcc	WRKY
Sp_046870_gztn.t1	Sp_046870_gztn	bHLH
Sp_047280_oyje.t1	Sp_047280_oyje	GRAS
Sp_047290_czfo.t1	Sp_047290_czfo	bZIP
Sp_047940_ustt.t1	Sp_047940_ustt	ZF-HD
Sp_048420_mmdm.t1	Sp_048420_mmdm	TCP
Sp_048610_cqij.t1	Sp_048610_cqij	bHLH
Sp_048620_tqpy.t1	Sp_048620_tqpy	bHLH
Sp_049120_hoyq.t1	Sp_049120_hoyq	bHLH
Sp_049120_hoyq.t2	Sp_049120_hoyq	bHLH
Sp_050870_cctg.t1	Sp_050870_cctg	bZIP
Sp_051660_mood.t1	Sp_051660_mood	bZIP
Sp_052050_ywuc.t1	Sp_052050_ywuc	HSF
Sp_052390_ftsp.t1	Sp_052390_ftsp	Dof
Sp_052630_emjn.t1	Sp_052630_emjn	TCP
Sp_052800_gxnr.t1	Sp_052800_gxnr	bHLH
Sp_052800_gxnr.t2	Sp_052800_gxnr	bHLH
Sp_052830_dptr.t1	Sp_052830_dptr	WRKY
Sp_052960_tidn.t1	Sp_052960_tidn	NAC
Sp_053050_hrne.t1	Sp_053050_hrne	NF-YC
Sp_053150_pjzg.t1	Sp_053150_pjzg	bZIP
Sp_053530_qzrt.t1	Sp_053530_qzrt	GRAS
Sp_054400_ncjx.t1	Sp_054400_ncjx	NAC
Sp_055290_kwui.t1	Sp_055290_kwui	bHLH
Sp_055790_wyuw.t1	Sp_055790_wyuw	GATA
Sp_055790_wyuw.t2	Sp_055790_wyuw	GATA
Sp_055790_wyuw.t3	Sp_055790_wyuw	GATA
Sp_056250_iudq.t1	Sp_056250_iudq	Dof
Sp_056370_yddw.t1	Sp_056370_yddw	GRAS
Sp_056700_tycm.t1	Sp_056700_tycm	TCP
Sp_057020_iign.t1	Sp_057020_iign	Trihelix
Sp_057020_iign.t2	Sp_057020_iign	Trihelix
Sp_057060_uotc.t1	Sp_057060_uotc	Trihelix
Sp_057640_tnjo.t1	Sp_057640_tnjo	GRAS
Sp_058360_fokh.t1	Sp_058360_fokh	HSF
Sp_058490_wiju.t1	Sp_058490_wiju	GRAS
Sp_059390_kjee.t1	Sp_059390_kjee	NF-X1
Sp_060420_defs.t1	Sp_060420_defs	WRKY
Sp_060460_fefj.t1	Sp_060460_fefj	WRKY
Sp_060680_phqp.t1	Sp_060680_phqp	bHLH
Sp_060870_ayep.t1	Sp_060870_ayep	bHLH
Sp_060870_ayep.t2	Sp_060870_ayep	bHLH
Sp_061520_hmkq.t1	Sp_061520_hmkq	Trihelix
Sp_061760_atuk.t1	Sp_061760_atuk	bZIP
Sp_063690_ughi.t1	Sp_063690_ughi	NF-YB
Sp_064170_aizt.t1	Sp_064170_aizt	bZIP
Sp_064170_aizt.t2	Sp_064170_aizt	bZIP
Sp_064840_chzu.t1	Sp_064840_chzu	ZF-HD
Sp_064860_rhru.t1	Sp_064860_rhru	Dof
Sp_065630_mptu.t1	Sp_065630_mptu	NF-YA
Sp_065630_mptu.t2	Sp_065630_mptu	NF-YA
Sp_066780_khjy.t1	Sp_066780_khjy	WRKY
Sp_067030_krrh.t1	Sp_067030_krrh	NF-YA
Sp_067200_ccqz.t1	Sp_067200_ccqz	bHLH
Sp_068120_ctqx.t1	Sp_068120_ctqx	bHLH
Sp_068500_rmfu.t1	Sp_068500_rmfu	NAC
Sp_068500_rmfu.t2	Sp_068500_rmfu	NAC
Sp_068890_kijg.t1	Sp_068890_kijg	bZIP
Sp_069720_rxjt.t1	Sp_069720_rxjt	bHLH
Sp_069780_ywkn.t1	Sp_069780_ywkn	bHLH
Sp_069940_xpeh.t1	Sp_069940_xpeh	E2F/DP
Sp_069940_xpeh.t3	Sp_069940_xpeh	E2F/DP
Sp_070070_xooc.t1	Sp_070070_xooc	NAC
Sp_070430_ceyz.t1	Sp_070430_ceyz	FAR1
Sp_070530_eiqd.t1	Sp_070530_eiqd	Trihelix
Sp_071310_wcgk.t1	Sp_071310_wcgk	bZIP
Sp_071320_ekpp.t1	Sp_071320_ekpp	Dof
Sp_071390_ugwc.t1	Sp_071390_ugwc	bZIP
Sp_071390_ugwc.t2	Sp_071390_ugwc	bZIP
Sp_071500_shoz.t1	Sp_071500_shoz	TCP
Sp_071530_ehan.t1	Sp_071530_ehan	WRKY
Sp_071590_rodk.t1	Sp_071590_rodk	bHLH
Sp_071960_gkqx.t1	Sp_071960_gkqx	GRAS
Sp_071990_apnk.t1	Sp_071990_apnk	NF-YC
Sp_071990_apnk.t2	Sp_071990_apnk	NF-YC
Sp_072010_dtqg.t1	Sp_072010_dtqg	FAR1
Sp_072020_rukc.t1	Sp_072020_rukc	WRKY
Sp_073550_czdq.t1	Sp_073550_czdq	Dof
Sp_074230_ddta.t1	Sp_074230_ddta	NF-YA
Sp_074520_sjsc.t1	Sp_074520_sjsc	LBD
Sp_074830_kuwx.t1	Sp_074830_kuwx	CPP
Sp_075240_tnxn.t1	Sp_075240_tnxn	bZIP
Sp_076120_jsgg.t1	Sp_076120_jsgg	bHLH
Sp_077990_tktk.t1	Sp_077990_tktk	NAC
Sp_078440_uafi.t1	Sp_078440_uafi	BES1
Sp_078870_dnps.t1	Sp_078870_dnps	NAC
