TF_ID	Gene_ID	Family
Jcr4S03357.10	Jcr4S03357.10	RAV
Jcr4S00318.20	Jcr4S00318.20	RAV
Jcr4S20061.20	Jcr4S20061.20	RAV
Jcr4S00711.80	Jcr4S00711.80	RAV
Jcr4S00002.110	Jcr4S00002.110	FAR1
Jcr4S00002.130	Jcr4S00002.130	bZIP
Jcr4S00002.200	Jcr4S00002.200	SBP
Jcr4S00003.390	Jcr4S00003.390	NF-YA
Jcr4S00005.110	Jcr4S00005.110	HSF
Jcr4S00005.370	Jcr4S00005.370	NF-YA
Jcr4S00007.210	Jcr4S00007.210	FAR1
Jcr4S00009.60	Jcr4S00009.60	LBD
Jcr4S00011.130	Jcr4S00011.130	NAC
Jcr4S00011.20	Jcr4S00011.20	WRKY
Jcr4S00011.30	Jcr4S00011.30	GRAS
Jcr4S00017.170	Jcr4S00017.170	Trihelix
Jcr4S00021.330	Jcr4S00021.330	CPP
Jcr4S00021.40	Jcr4S00021.40	HSF
Jcr4S00022.240	Jcr4S00022.240	bZIP
Jcr4S00025.270	Jcr4S00025.270	CAMTA
Jcr4S00027.270	Jcr4S00027.270	bHLH
Jcr4S00028.120	Jcr4S00028.120	FAR1
Jcr4S00028.40	Jcr4S00028.40	HSF
Jcr4S00030.280	Jcr4S00030.280	bHLH
Jcr4S00030.60	Jcr4S00030.60	Dof
Jcr4S00035.90	Jcr4S00035.90	WRKY
Jcr4S00038.120	Jcr4S00038.120	LBD
Jcr4S00039.170	Jcr4S00039.170	bHLH
Jcr4S00043.30	Jcr4S00043.30	bHLH
Jcr4S00043.80	Jcr4S00043.80	GRAS
Jcr4S00043.90	Jcr4S00043.90	NF-YC
Jcr4S00044.40	Jcr4S00044.40	Dof
Jcr4S00047.160	Jcr4S00047.160	GRAS
Jcr4S00047.90	Jcr4S00047.90	NAC
Jcr4S00050.50	Jcr4S00050.50	FAR1
Jcr4S00050.60	Jcr4S00050.60	FAR1
Jcr4S00050.70	Jcr4S00050.70	FAR1
Jcr4S00052.30	Jcr4S00052.30	WRKY
Jcr4S00052.80	Jcr4S00052.80	WRKY
Jcr4S00053.100	Jcr4S00053.100	bHLH
Jcr4S00055.70	Jcr4S00055.70	CPP
Jcr4S00056.100	Jcr4S00056.100	bHLH
Jcr4S00057.310	Jcr4S00057.310	LBD
Jcr4S00063.120	Jcr4S00063.120	WRKY
Jcr4S00065.230	Jcr4S00065.230	WRKY
Jcr4S00071.160	Jcr4S00071.160	GRAS
Jcr4S00074.50	Jcr4S00074.50	bHLH
Jcr4S00074.80	Jcr4S00074.80	bZIP
Jcr4S00081.20	Jcr4S00081.20	GRAS
Jcr4S00084.170	Jcr4S00084.170	Whirly
Jcr4S00084.210	Jcr4S00084.210	WRKY
