TF_ID	Gene_ID	Family
Peaxi162Scf00380g00041.1	Peaxi162Scf00380g00041	RAV
Peaxi162Scf00086g00063.1	Peaxi162Scf00086g00063	RAV
Peaxi162Scf01464g00006.1	Peaxi162Scf01464g00006	RAV
Peaxi162Scf00652g10013.1	Peaxi162Scf00652g10013	RAV
Peaxi162Scf00207g00109.1	Peaxi162Scf00207g00109	RAV
Peaxi162Scf00000g00252.1	Peaxi162Scf00000g00252	TCP
Peaxi162Scf00000g00481.1	Peaxi162Scf00000g00481	NAC
Peaxi162Scf00000g00723.1	Peaxi162Scf00000g00723	bHLH
Peaxi162Scf00001g00012.1	Peaxi162Scf00001g00012	CAMTA
Peaxi162Scf00001g00042.1	Peaxi162Scf00001g00042	NAC
Peaxi162Scf00001g00044.1	Peaxi162Scf00001g00044	NAC
Peaxi162Scf00001g00283.1	Peaxi162Scf00001g00283	FAR1
Peaxi162Scf00001g00285.1	Peaxi162Scf00001g00285	GATA
Peaxi162Scf00001g00534.1	Peaxi162Scf00001g00534	SBP
Peaxi162Scf00001g00542.1	Peaxi162Scf00001g00542	SBP
Peaxi162Scf00001g04119.1	Peaxi162Scf00001g04119	FAR1
Peaxi162Scf00002g00162.1	Peaxi162Scf00002g00162	GRAS
Peaxi162Scf00002g00717.1	Peaxi162Scf00002g00717	YABBY
Peaxi162Scf00002g00720.1	Peaxi162Scf00002g00720	NAC
Peaxi162Scf00002g02718.1	Peaxi162Scf00002g02718	HSF
Peaxi162Scf00003g00077.1	Peaxi162Scf00003g00077	SRS
Peaxi162Scf00003g00086.1	Peaxi162Scf00003g00086	bZIP
Peaxi162Scf00003g00107.1	Peaxi162Scf00003g00107	FAR1
Peaxi162Scf00003g00218.1	Peaxi162Scf00003g00218	bHLH
Peaxi162Scf00003g00374.1	Peaxi162Scf00003g00374	Trihelix
Peaxi162Scf00003g00428.1	Peaxi162Scf00003g00428	bZIP
Peaxi162Scf00003g00523.1	Peaxi162Scf00003g00523	bZIP
Peaxi162Scf00003g01722.1	Peaxi162Scf00003g01722	bHLH
Peaxi162Scf00003g02333.1	Peaxi162Scf00003g02333	bZIP
Peaxi162Scf00003g02638.1	Peaxi162Scf00003g02638	LBD
Peaxi162Scf00003g02711.1	Peaxi162Scf00003g02711	bHLH
Peaxi162Scf00003g02730.1	Peaxi162Scf00003g02730	bHLH
Peaxi162Scf00003g03239.1	Peaxi162Scf00003g03239	GATA
Peaxi162Scf00003g03938.1	Peaxi162Scf00003g03938	bZIP
Peaxi162Scf00003g04130.1	Peaxi162Scf00003g04130	NF-YA
Peaxi162Scf00003g04231.1	Peaxi162Scf00003g04231	bHLH
Peaxi162Scf00003g04241.1	Peaxi162Scf00003g04241	bHLH
Peaxi162Scf00003g04342.1	Peaxi162Scf00003g04342	SBP
Peaxi162Scf00003g04919.1	Peaxi162Scf00003g04919	E2F/DP
Peaxi162Scf00003g04929.1	Peaxi162Scf00003g04929	bHLH
Peaxi162Scf00003g05235.1	Peaxi162Scf00003g05235	bZIP
Peaxi162Scf00003g05367.1	Peaxi162Scf00003g05367	bZIP
Peaxi162Scf00004g00092.1	Peaxi162Scf00004g00092	GRAS
Peaxi162Scf00004g00431.1	Peaxi162Scf00004g00431	HSF
Peaxi162Scf00004g00441.1	Peaxi162Scf00004g00441	bZIP
Peaxi162Scf00004g02521.1	Peaxi162Scf00004g02521	NF-YA
Peaxi162Scf00004g02727.1	Peaxi162Scf00004g02727	NAC
Peaxi162Scf00004g04521.1	Peaxi162Scf00004g04521	SRS
Peaxi162Scf00005g00388.1	Peaxi162Scf00005g00388	S1Fa-like
Peaxi162Scf00005g00493.1	Peaxi162Scf00005g00493	NF-YB
Peaxi162Scf00006g00229.1	Peaxi162Scf00006g00229	NAC
Peaxi162Scf00007g00141.1	Peaxi162Scf00007g00141	GeBP
Peaxi162Scf00007g00315.1	Peaxi162Scf00007g00315	WRKY
Peaxi162Scf00007g01411.1	Peaxi162Scf00007g01411	bHLH
Peaxi162Scf00007g02010.1	Peaxi162Scf00007g02010	LBD
Peaxi162Scf00008g00417.1	Peaxi162Scf00008g00417	bZIP
Peaxi162Scf00008g00459.1	Peaxi162Scf00008g00459	BES1
Peaxi162Scf00008g00815.1	Peaxi162Scf00008g00815	bHLH
Peaxi162Scf00008g02313.1	Peaxi162Scf00008g02313	FAR1
Peaxi162Scf00008g03526.1	Peaxi162Scf00008g03526	bHLH
Peaxi162Scf00008g03610.1	Peaxi162Scf00008g03610	GATA
Peaxi162Scf00009g00021.1	Peaxi162Scf00009g00021	NAC
Peaxi162Scf00009g00023.1	Peaxi162Scf00009g00023	Dof
Peaxi162Scf00009g00111.1	Peaxi162Scf00009g00111	bHLH
Peaxi162Scf00009g00216.1	Peaxi162Scf00009g00216	bHLH
Peaxi162Scf00009g00342.1	Peaxi162Scf00009g00342	WRKY
Peaxi162Scf00009g00525.1	Peaxi162Scf00009g00525	LBD
Peaxi162Scf00010g00077.1	Peaxi162Scf00010g00077	SRS
Peaxi162Scf00010g00091.1	Peaxi162Scf00010g00091	bZIP
