TF_ID	Gene_ID	Family
Thecc1EG019508t1	Thecc1EG019508	RAV
Thecc1EG011862t1	Thecc1EG011862	RAV
Thecc1EG026600t2	Thecc1EG026600	RAV
Thecc1EG026600t1	Thecc1EG026600	RAV
Thecc1EG015895t1	Thecc1EG015895	RAV
Thecc1EG015895t2	Thecc1EG015895	RAV
Thecc1EG040397t1	Thecc1EG040397	RAV
Thecc1EG000070t1	Thecc1EG000070	Nin-like
Thecc1EG000084t1	Thecc1EG000084	SBP
Thecc1EG000097t1	Thecc1EG000097	NAC
Thecc1EG000152t1	Thecc1EG000152	bZIP
Thecc1EG000204t1	Thecc1EG000204	bHLH
Thecc1EG000235t1	Thecc1EG000235	NAC
Thecc1EG000235t2	Thecc1EG000235	NAC
Thecc1EG000262t1	Thecc1EG000262	GATA
Thecc1EG000274t1	Thecc1EG000274	SRS
Thecc1EG000304t1	Thecc1EG000304	bZIP
Thecc1EG000362t1	Thecc1EG000362	bHLH
Thecc1EG000362t2	Thecc1EG000362	bHLH
Thecc1EG000362t3	Thecc1EG000362	bHLH
Thecc1EG000362t4	Thecc1EG000362	bHLH
Thecc1EG000362t5	Thecc1EG000362	bHLH
Thecc1EG000371t1	Thecc1EG000371	ZF-HD
Thecc1EG000376t1	Thecc1EG000376	GATA
Thecc1EG000399t1	Thecc1EG000399	GRAS
Thecc1EG000399t2	Thecc1EG000399	GRAS
Thecc1EG000399t3	Thecc1EG000399	GRAS
Thecc1EG000435t1	Thecc1EG000435	GRAS
Thecc1EG000436t1	Thecc1EG000436	bZIP
Thecc1EG000436t2	Thecc1EG000436	bZIP
Thecc1EG000451t1	Thecc1EG000451	BES1
Thecc1EG000451t2	Thecc1EG000451	BES1
Thecc1EG000526t1	Thecc1EG000526	Dof
Thecc1EG000549t1	Thecc1EG000549	Dof
Thecc1EG000560t1	Thecc1EG000560	LBD
Thecc1EG000610t1	Thecc1EG000610	HSF
Thecc1EG000632t1	Thecc1EG000632	bHLH
Thecc1EG000649t1	Thecc1EG000649	bHLH
Thecc1EG000649t2	Thecc1EG000649	bHLH
Thecc1EG000649t3	Thecc1EG000649	bHLH
Thecc1EG000680t1	Thecc1EG000680	WRKY
Thecc1EG000680t2	Thecc1EG000680	WRKY
Thecc1EG000680t4	Thecc1EG000680	WRKY
Thecc1EG000680t5	Thecc1EG000680	WRKY
Thecc1EG000764t1	Thecc1EG000764	GRAS
Thecc1EG000766t1	Thecc1EG000766	LBD
Thecc1EG000801t1	Thecc1EG000801	GRAS
Thecc1EG000835t1	Thecc1EG000835	bZIP
Thecc1EG000894t1	Thecc1EG000894	bHLH
Thecc1EG000895t1	Thecc1EG000895	bHLH
Thecc1EG000915t1	Thecc1EG000915	bHLH
Thecc1EG000915t2	Thecc1EG000915	bHLH
Thecc1EG000956t1	Thecc1EG000956	Dof
Thecc1EG000997t1	Thecc1EG000997	bHLH
Thecc1EG001008t1	Thecc1EG001008	ZF-HD
Thecc1EG001031t1	Thecc1EG001031	bHLH
Thecc1EG001031t2	Thecc1EG001031	bHLH
Thecc1EG001031t3	Thecc1EG001031	bHLH
Thecc1EG001031t4	Thecc1EG001031	bHLH
Thecc1EG001108t1	Thecc1EG001108	CAMTA
Thecc1EG001108t2	Thecc1EG001108	CAMTA
Thecc1EG001154t1	Thecc1EG001154	EIL
Thecc1EG001212t1	Thecc1EG001212	bZIP
Thecc1EG001212t2	Thecc1EG001212	bZIP
Thecc1EG001212t3	Thecc1EG001212	bZIP
Thecc1EG001265t1	Thecc1EG001265	WRKY
Thecc1EG001282t1	Thecc1EG001282	WRKY
Thecc1EG001348t1	Thecc1EG001348	Trihelix
Thecc1EG001435t1	Thecc1EG001435	bHLH
Thecc1EG001442t1	Thecc1EG001442	NAC
Thecc1EG001450t1	Thecc1EG001450	NAC
Thecc1EG001465t1	Thecc1EG001465	NAC
Thecc1EG001514t1	Thecc1EG001514	NAC
Thecc1EG001516t1	Thecc1EG001516	NAC
Thecc1EG001531t1	Thecc1EG001531	NF-YB
Thecc1EG001541t1	Thecc1EG001541	GATA
Thecc1EG001595t1	Thecc1EG001595	NAC
Thecc1EG001660t1	Thecc1EG001660	ZF-HD
Thecc1EG001690t1	Thecc1EG001690	bHLH
Thecc1EG001784t1	Thecc1EG001784	HSF
Thecc1EG001885t1	Thecc1EG001885	WRKY
Thecc1EG001889t1	Thecc1EG001889	Nin-like
Thecc1EG001889t2	Thecc1EG001889	Nin-like
Thecc1EG001913t1	Thecc1EG001913	bHLH
Thecc1EG001913t2	Thecc1EG001913	bHLH
Thecc1EG001913t3	Thecc1EG001913	bHLH
Thecc1EG001913t4	Thecc1EG001913	bHLH
Thecc1EG001913t5	Thecc1EG001913	bHLH
Thecc1EG001955t1	Thecc1EG001955	NAC
Thecc1EG002021t1	Thecc1EG002021	GRAS
Thecc1EG002030t1	Thecc1EG002030	FAR1
Thecc1EG002031t1	Thecc1EG002031	FAR1
Thecc1EG002031t2	Thecc1EG002031	FAR1
Thecc1EG002031t3	Thecc1EG002031	FAR1
Thecc1EG002031t4	Thecc1EG002031	FAR1
Thecc1EG002031t5	Thecc1EG002031	FAR1
Thecc1EG002031t6	Thecc1EG002031	FAR1
Thecc1EG002031t7	Thecc1EG002031	FAR1
Thecc1EG002031t8	Thecc1EG002031	FAR1
Thecc1EG002087t1	Thecc1EG002087	WRKY
Thecc1EG002318t1	Thecc1EG002318	WRKY
Thecc1EG002318t2	Thecc1EG002318	WRKY
Thecc1EG002318t3	Thecc1EG002318	WRKY
Thecc1EG002319t1	Thecc1EG002319	GRAS
Thecc1EG002319t2	Thecc1EG002319	GRAS
Thecc1EG002319t3	Thecc1EG002319	GRAS
Thecc1EG002319t4	Thecc1EG002319	GRAS
Thecc1EG002360t1	Thecc1EG002360	SAP
Thecc1EG002410t1	Thecc1EG002410	NF-YB
Thecc1EG002647t1	Thecc1EG002647	FAR1
Thecc1EG002647t2	Thecc1EG002647	FAR1
Thecc1EG002653t1	Thecc1EG002653	FAR1
Thecc1EG002653t2	Thecc1EG002653	FAR1
Thecc1EG002654t1	Thecc1EG002654	FAR1
Thecc1EG002654t2	Thecc1EG002654	FAR1
Thecc1EG002654t3	Thecc1EG002654	FAR1
Thecc1EG002654t4	Thecc1EG002654	FAR1
Thecc1EG002654t5	Thecc1EG002654	FAR1
Thecc1EG002654t6	Thecc1EG002654	FAR1
Thecc1EG002654t7	Thecc1EG002654	FAR1
Thecc1EG002737t1	Thecc1EG002737	bHLH
Thecc1EG002839t1	Thecc1EG002839	NAC
Thecc1EG002925t1	Thecc1EG002925	Trihelix
Thecc1EG003125t1	Thecc1EG003125	bHLH
Thecc1EG003125t2	Thecc1EG003125	bHLH
Thecc1EG003125t3	Thecc1EG003125	bHLH
Thecc1EG003548t1	Thecc1EG003548	LBD
Thecc1EG003607t1	Thecc1EG003607	bZIP
Thecc1EG003652t1	Thecc1EG003652	TCP
Thecc1EG003652t2	Thecc1EG003652	TCP
Thecc1EG003984t1	Thecc1EG003984	GRAS
Thecc1EG003998t1	Thecc1EG003998	NAC
Thecc1EG004103t1	Thecc1EG004103	LBD
Thecc1EG004106t1	Thecc1EG004106	LBD
Thecc1EG004187t1	Thecc1EG004187	WRKY
Thecc1EG004217t1	Thecc1EG004217	bHLH
Thecc1EG004222t1	Thecc1EG004222	bZIP
Thecc1EG004222t2	Thecc1EG004222	bZIP
Thecc1EG004275t1	Thecc1EG004275	HSF
Thecc1EG004275t2	Thecc1EG004275	HSF
Thecc1EG004275t3	Thecc1EG004275	HSF
Thecc1EG004275t4	Thecc1EG004275	HSF
Thecc1EG004275t5	Thecc1EG004275	HSF
Thecc1EG004275t6	Thecc1EG004275	HSF
Thecc1EG004275t7	Thecc1EG004275	HSF
Thecc1EG004275t8	Thecc1EG004275	HSF
Thecc1EG004403t1	Thecc1EG004403	bHLH
Thecc1EG004433t1	Thecc1EG004433	bHLH
Thecc1EG004576t1	Thecc1EG004576	NF-YB
Thecc1EG004733t1	Thecc1EG004733	bZIP
Thecc1EG004753t1	Thecc1EG004753	GATA
Thecc1EG004807t1	Thecc1EG004807	bZIP
Thecc1EG004818t1	Thecc1EG004818	GRAS
Thecc1EG004820t1	Thecc1EG004820	WRKY
Thecc1EG004843t1	Thecc1EG004843	WRKY
Thecc1EG004922t1	Thecc1EG004922	SBP
Thecc1EG004922t2	Thecc1EG004922	SBP
Thecc1EG004951t1	Thecc1EG004951	WRKY
Thecc1EG004959t1	Thecc1EG004959	bHLH
Thecc1EG005007t1	Thecc1EG005007	NAC
Thecc1EG005008t1	Thecc1EG005008	NAC
Thecc1EG005008t2	Thecc1EG005008	NAC
Thecc1EG005009t1	Thecc1EG005009	NAC
Thecc1EG005010t1	Thecc1EG005010	NAC
Thecc1EG005011t1	Thecc1EG005011	NAC
Thecc1EG005028t1	Thecc1EG005028	bHLH
Thecc1EG005047t1	Thecc1EG005047	NAC
Thecc1EG005064t1	Thecc1EG005064	bHLH
Thecc1EG005109t1	Thecc1EG005109	Dof
Thecc1EG005109t2	Thecc1EG005109	Dof
Thecc1EG005109t3	Thecc1EG005109	Dof
Thecc1EG005109t4	Thecc1EG005109	Dof
Thecc1EG005120t1	Thecc1EG005120	LBD
Thecc1EG005131t1	Thecc1EG005131	bHLH
Thecc1EG005131t2	Thecc1EG005131	bHLH
Thecc1EG005179t1	Thecc1EG005179	WRKY
Thecc1EG005210t1	Thecc1EG005210	bZIP
Thecc1EG005210t2	Thecc1EG005210	bZIP
Thecc1EG005210t3	Thecc1EG005210	bZIP
Thecc1EG005210t4	Thecc1EG005210	bZIP
Thecc1EG005256t1	Thecc1EG005256	WRKY
Thecc1EG005261t1	Thecc1EG005261	WRKY
Thecc1EG005333t1	Thecc1EG005333	bHLH
Thecc1EG005336t1	Thecc1EG005336	BES1
Thecc1EG005447t1	Thecc1EG005447	TCP
Thecc1EG005496t1	Thecc1EG005496	LBD
Thecc1EG005497t1	Thecc1EG005497	LBD
Thecc1EG005549t1	Thecc1EG005549	YABBY
Thecc1EG005549t2	Thecc1EG005549	YABBY
Thecc1EG005571t1	Thecc1EG005571	GRAS
Thecc1EG005607t1	Thecc1EG005607	bHLH
Thecc1EG005607t2	Thecc1EG005607	bHLH
Thecc1EG005607t3	Thecc1EG005607	bHLH
Thecc1EG005613t1	Thecc1EG005613	GATA
Thecc1EG005620t1	Thecc1EG005620	SBP
Thecc1EG005622t1	Thecc1EG005622	SBP
Thecc1EG005744t1	Thecc1EG005744	WRKY
