TF_ID	Gene_ID	Family
Kalax.0017s0138.1.p	Kalax.0017s0138	RAV
Kalax.0009s0173.1.p	Kalax.0009s0173	RAV
Kalax.0039s0143.1.p	Kalax.0039s0143	RAV
Kalax.0217s0002.1.p	Kalax.0217s0002	RAV
Kalax.0069s0011.1.p	Kalax.0069s0011	RAV
Kalax.0509s0022.1.p	Kalax.0509s0022	RAV
Kalax.1139s0002.1.p	Kalax.1139s0002	RAV
Kalax.0124s0045.1.p	Kalax.0124s0045	RAV
Kalax.0229s0042.1.p	Kalax.0229s0042	RAV
Kalax.0061s0129.1.p	Kalax.0061s0129	RAV
Kalax.0001s0031.1.p	Kalax.0001s0031	bZIP
Kalax.0001s0036.1.p	Kalax.0001s0036	bHLH
Kalax.0001s0036.2.p	Kalax.0001s0036	bHLH
Kalax.0001s0036.3.p	Kalax.0001s0036	bHLH
Kalax.0001s0051.1.p	Kalax.0001s0051	NAC
Kalax.0001s0099.1.p	Kalax.0001s0099	GRAS
Kalax.0001s0108.1.p	Kalax.0001s0108	bHLH
Kalax.0001s0118.1.p	Kalax.0001s0118	NAC
Kalax.0001s0118.2.p	Kalax.0001s0118	NAC
Kalax.0001s0118.3.p	Kalax.0001s0118	NAC
Kalax.0001s0148.1.p	Kalax.0001s0148	bHLH
Kalax.0001s0178.1.p	Kalax.0001s0178	WRKY
Kalax.0001s0186.1.p	Kalax.0001s0186	NAC
Kalax.0001s0201.1.p	Kalax.0001s0201	NAC
Kalax.0001s0245.10.p	Kalax.0001s0245	NF-YC
Kalax.0001s0245.1.p	Kalax.0001s0245	NF-YC
Kalax.0001s0245.2.p	Kalax.0001s0245	NF-YC
Kalax.0001s0245.3.p	Kalax.0001s0245	NF-YC
Kalax.0001s0245.4.p	Kalax.0001s0245	NF-YC
Kalax.0001s0245.5.p	Kalax.0001s0245	NF-YC
Kalax.0001s0245.6.p	Kalax.0001s0245	NF-YC
Kalax.0001s0245.7.p	Kalax.0001s0245	NF-YC
Kalax.0001s0245.8.p	Kalax.0001s0245	NF-YC
Kalax.0001s0245.9.p	Kalax.0001s0245	NF-YC
Kalax.0001s0272.1.p	Kalax.0001s0272	WRKY
Kalax.0001s0273.1.p	Kalax.0001s0273	SBP
Kalax.0001s0273.2.p	Kalax.0001s0273	SBP
Kalax.0001s0273.3.p	Kalax.0001s0273	SBP
Kalax.0001s0273.4.p	Kalax.0001s0273	SBP
Kalax.0001s0273.5.p	Kalax.0001s0273	SBP
Kalax.0001s0277.1.p	Kalax.0001s0277	CAMTA
Kalax.0001s0280.1.p	Kalax.0001s0280	SBP
Kalax.0001s0280.2.p	Kalax.0001s0280	SBP
Kalax.0002s0023.1.p	Kalax.0002s0023	NAC
Kalax.0002s0024.1.p	Kalax.0002s0024	NAC
Kalax.0002s0037.1.p	Kalax.0002s0037	NZZ/SPL
Kalax.0002s0056.1.p	Kalax.0002s0056	Dof
Kalax.0002s0079.1.p	Kalax.0002s0079	bZIP
Kalax.0002s0105.1.p	Kalax.0002s0105	WRKY
Kalax.0002s0117.1.p	Kalax.0002s0117	LBD
Kalax.0002s0131.1.p	Kalax.0002s0131	bZIP
Kalax.0002s0190.1.p	Kalax.0002s0190	ZF-HD
Kalax.0002s0249.1.p	Kalax.0002s0249	GRAS
Kalax.0002s0302.1.p	Kalax.0002s0302	SBP
Kalax.0002s0305.1.p	Kalax.0002s0305	NF-YC
Kalax.0002s0316.1.p	Kalax.0002s0316	ZF-HD
Kalax.0002s0331.1.p	Kalax.0002s0331	bHLH
Kalax.0002s0331.2.p	Kalax.0002s0331	bHLH
Kalax.0003s0004.1.p	Kalax.0003s0004	bZIP
Kalax.0003s0004.2.p	Kalax.0003s0004	bZIP
Kalax.0003s0029.1.p	Kalax.0003s0029	NAC
Kalax.0003s0045.1.p	Kalax.0003s0045	GATA
Kalax.0003s0052.1.p	Kalax.0003s0052	GRAS
Kalax.0003s0086.1.p	Kalax.0003s0086	GATA
Kalax.0003s0132.1.p	Kalax.0003s0132	bZIP
Kalax.0003s0151.10.p	Kalax.0003s0151	YABBY
Kalax.0003s0151.11.p	Kalax.0003s0151	YABBY
Kalax.0003s0151.12.p	Kalax.0003s0151	YABBY
Kalax.0003s0151.1.p	Kalax.0003s0151	YABBY
Kalax.0003s0151.2.p	Kalax.0003s0151	YABBY
Kalax.0003s0151.3.p	Kalax.0003s0151	YABBY
Kalax.0003s0151.4.p	Kalax.0003s0151	YABBY
Kalax.0003s0151.5.p	Kalax.0003s0151	YABBY
Kalax.0003s0151.6.p	Kalax.0003s0151	YABBY
Kalax.0003s0151.7.p	Kalax.0003s0151	YABBY
Kalax.0003s0151.8.p	Kalax.0003s0151	YABBY
Kalax.0003s0151.9.p	Kalax.0003s0151	YABBY
Kalax.0003s0201.1.p	Kalax.0003s0201	GATA
Kalax.0003s0227.1.p	Kalax.0003s0227	bZIP
Kalax.0003s0227.2.p	Kalax.0003s0227	bZIP
Kalax.0003s0227.3.p	Kalax.0003s0227	bZIP
Kalax.0003s0234.1.p	Kalax.0003s0234	HSF
Kalax.0003s0239.1.p	Kalax.0003s0239	NAC
Kalax.0003s0239.2.p	Kalax.0003s0239	NAC
Kalax.0003s0253.1.p	Kalax.0003s0253	bZIP
Kalax.0003s0253.2.p	Kalax.0003s0253	bZIP
Kalax.0003s0280.1.p	Kalax.0003s0280	ZF-HD
Kalax.0003s0289.1.p	Kalax.0003s0289	bHLH
Kalax.0003s0292.1.p	Kalax.0003s0292	bZIP
Kalax.0004s0020.1.p	Kalax.0004s0020	WRKY
Kalax.0004s0103.1.p	Kalax.0004s0103	bHLH
Kalax.0004s0174.1.p	Kalax.0004s0174	bHLH
Kalax.0004s0189.1.p	Kalax.0004s0189	bZIP
Kalax.0004s0198.1.p	Kalax.0004s0198	bHLH
Kalax.0004s0214.1.p	Kalax.0004s0214	NAC
Kalax.0004s0279.1.p	Kalax.0004s0279	S1Fa-like
Kalax.0004s0329.1.p	Kalax.0004s0329	YABBY
Kalax.0004s0329.2.p	Kalax.0004s0329	YABBY
Kalax.0004s0329.3.p	Kalax.0004s0329	YABBY
Kalax.0005s0032.1.p	Kalax.0005s0032	HSF
Kalax.0005s0038.1.p	Kalax.0005s0038	CPP
Kalax.0005s0043.1.p	Kalax.0005s0043	GRAS
Kalax.0005s0055.1.p	Kalax.0005s0055	ZF-HD
Kalax.0005s0118.1.p	Kalax.0005s0118	bHLH
Kalax.0005s0141.1.p	Kalax.0005s0141	bHLH
Kalax.0005s0166.1.p	Kalax.0005s0166	bZIP
Kalax.0005s0166.2.p	Kalax.0005s0166	bZIP
Kalax.0005s0166.3.p	Kalax.0005s0166	bZIP
Kalax.0005s0166.4.p	Kalax.0005s0166	bZIP
Kalax.0005s0166.5.p	Kalax.0005s0166	bZIP
Kalax.0005s0166.6.p	Kalax.0005s0166	bZIP
Kalax.0005s0180.1.p	Kalax.0005s0180	TCP
Kalax.0005s0180.2.p	Kalax.0005s0180	TCP
Kalax.0005s0197.1.p	Kalax.0005s0197	GeBP
Kalax.0005s0237.1.p	Kalax.0005s0237	LBD
Kalax.0005s0281.1.p	Kalax.0005s0281	bHLH
Kalax.0005s0281.2.p	Kalax.0005s0281	bHLH
Kalax.0006s0006.1.p	Kalax.0006s0006	bHLH
Kalax.0006s0006.2.p	Kalax.0006s0006	bHLH
Kalax.0006s0006.3.p	Kalax.0006s0006	bHLH
Kalax.0006s0006.4.p	Kalax.0006s0006	bHLH
Kalax.0006s0018.1.p	Kalax.0006s0018	bZIP
Kalax.0006s0018.2.p	Kalax.0006s0018	bZIP
Kalax.0006s0039.1.p	Kalax.0006s0039	LBD
Kalax.0006s0086.1.p	Kalax.0006s0086	FAR1
Kalax.0006s0094.1.p	Kalax.0006s0094	GRAS
Kalax.0006s0103.1.p	Kalax.0006s0103	bHLH
Kalax.0006s0170.1.p	Kalax.0006s0170	Nin-like
Kalax.0006s0180.1.p	Kalax.0006s0180	bHLH
Kalax.0006s0193.1.p	Kalax.0006s0193	FAR1
Kalax.0006s0201.1.p	Kalax.0006s0201	bZIP
Kalax.0006s0215.1.p	Kalax.0006s0215	WRKY
Kalax.0006s0245.1.p	Kalax.0006s0245	NAC
Kalax.0006s0251.1.p	Kalax.0006s0251	bZIP
Kalax.0006s0251.2.p	Kalax.0006s0251	bZIP
Kalax.0006s0261.1.p	Kalax.0006s0261	Nin-like
Kalax.0007s0059.1.p	Kalax.0007s0059	NF-YB
Kalax.0007s0059.2.p	Kalax.0007s0059	NF-YB
Kalax.0007s0142.1.p	Kalax.0007s0142	Trihelix
Kalax.0007s0184.1.p	Kalax.0007s0184	Trihelix
Kalax.0007s0222.1.p	Kalax.0007s0222	bZIP
Kalax.0008s0012.1.p	Kalax.0008s0012	WRKY
Kalax.0008s0042.1.p	Kalax.0008s0042	bHLH
Kalax.0008s0042.2.p	Kalax.0008s0042	bHLH
Kalax.0008s0042.3.p	Kalax.0008s0042	bHLH
Kalax.0008s0215.1.p	Kalax.0008s0215	GRAS
Kalax.0009s0074.1.p	Kalax.0009s0074	bHLH
Kalax.0009s0083.1.p	Kalax.0009s0083	NAC
Kalax.0009s0084.1.p	Kalax.0009s0084	ZF-HD
Kalax.0009s0084.2.p	Kalax.0009s0084	ZF-HD
Kalax.0009s0097.1.p	Kalax.0009s0097	NAC
Kalax.0009s0099.1.p	Kalax.0009s0099	Whirly
Kalax.0009s0099.2.p	Kalax.0009s0099	Whirly
Kalax.0009s0136.1.p	Kalax.0009s0136	YABBY
Kalax.0009s0136.2.p	Kalax.0009s0136	YABBY
Kalax.0009s0141.1.p	Kalax.0009s0141	bHLH
Kalax.0009s0141.2.p	Kalax.0009s0141	bHLH
Kalax.0009s0141.3.p	Kalax.0009s0141	bHLH
Kalax.0009s0141.4.p	Kalax.0009s0141	bHLH
Kalax.0009s0141.5.p	Kalax.0009s0141	bHLH
Kalax.0009s0150.1.p	Kalax.0009s0150	bZIP
Kalax.0009s0171.1.p	Kalax.0009s0171	bHLH
Kalax.0009s0179.1.p	Kalax.0009s0179	SBP
Kalax.0009s0235.1.p	Kalax.0009s0235	GATA
Kalax.0009s0242.1.p	Kalax.0009s0242	LBD
Kalax.0009s0245.1.p	Kalax.0009s0245	NF-YB
Kalax.0009s0258.1.p	Kalax.0009s0258	FAR1
Kalax.0009s0290.1.p	Kalax.0009s0290	bZIP
Kalax.0010s0020.1.p	Kalax.0010s0020	GATA
Kalax.0010s0020.2.p	Kalax.0010s0020	GATA
Kalax.0010s0020.3.p	Kalax.0010s0020	GATA
Kalax.0010s0020.4.p	Kalax.0010s0020	GATA
Kalax.0010s0020.5.p	Kalax.0010s0020	GATA
Kalax.0010s0020.6.p	Kalax.0010s0020	GATA
Kalax.0010s0083.1.p	Kalax.0010s0083	CPP
Kalax.0010s0118.1.p	Kalax.0010s0118	bZIP
Kalax.0010s0273.1.p	Kalax.0010s0273	bHLH
Kalax.0010s0273.2.p	Kalax.0010s0273	bHLH
Kalax.0010s0282.1.p	Kalax.0010s0282	HSF
Kalax.0010s0282.2.p	Kalax.0010s0282	HSF
Kalax.0011s0013.1.p	Kalax.0011s0013	bHLH
Kalax.0011s0018.1.p	Kalax.0011s0018	ZF-HD
Kalax.0011s0029.1.p	Kalax.0011s0029	bHLH
Kalax.0011s0091.1.p	Kalax.0011s0091	Nin-like
Kalax.0011s0091.2.p	Kalax.0011s0091	Nin-like
Kalax.0011s0117.1.p	Kalax.0011s0117	GATA
Kalax.0011s0164.1.p	Kalax.0011s0164	NAC
Kalax.0011s0168.1.p	Kalax.0011s0168	Trihelix
Kalax.0011s0200.1.p	Kalax.0011s0200	CPP
Kalax.0012s0017.1.p	Kalax.0012s0017	GeBP
Kalax.0012s0037.1.p	Kalax.0012s0037	BES1
